name,date,open_price,close_price,high_price,low_price,volume,market
MLNK,04-Jan-2010,9.64,9.9,9.57,9.9,327400,NASDAQ
MLNK,05-Jan-2010,9.89,9.9,9.57,9.77,277100,NASDAQ
MLNK,06-Jan-2010,9.77,9.89,9.71,9.83,283900,NASDAQ
MLNK,07-Jan-2010,9.85,10.11,9.72,10.1,388100,NASDAQ
MLNK,08-Jan-2010,10.03,10.13,10.01,10.13,159800,NASDAQ
MLNK,11-Jan-2010,10.17,10.2,10.1,10.17,172800,NASDAQ
MLNK,12-Jan-2010,10.11,10.19,9.98,10.13,229200,NASDAQ
MLNK,13-Jan-2010,10.18,10.4,10.02,10.37,328100,NASDAQ
MLNK,14-Jan-2010,10.3,10.61,10.21,10.5,313600,NASDAQ
MLNK,15-Jan-2010,10.55,10.61,10.08,10.34,290600,NASDAQ
MLNK,19-Jan-2010,10.31,10.59,10.31,10.48,363900,NASDAQ
MLNK,20-Jan-2010,10.42,10.48,10.18,10.3,226900,NASDAQ
MLNK,21-Jan-2010,10.35,10.5,10.03,10.06,185400,NASDAQ
MLNK,22-Jan-2010,10.06,10.16,9.87,10.08,393100,NASDAQ
MLNK,25-Jan-2010,10.16,10.21,10.04,10.11,327000,NASDAQ
MLNK,26-Jan-2010,10.02,10.23,9.99,10.06,315100,NASDAQ
MLNK,27-Jan-2010,10.0,10.25,10.0,10.23,113700,NASDAQ
MLNK,28-Jan-2010,10.25,10.25,10.08,10.1,212900,NASDAQ
MLNK,29-Jan-2010,10.12,10.22,9.93,10.15,315100,NASDAQ
MLNK,01-Feb-2010,10.17,10.45,10.1,10.41,345400,NASDAQ
MLNK,02-Feb-2010,10.38,10.45,10.11,10.24,209800,NASDAQ
MLNK,03-Feb-2010,10.15,10.27,9.9,10.02,163800,NASDAQ
MLNK,04-Feb-2010,9.92,10.01,9.59,9.6,292800,NASDAQ
MLNK,05-Feb-2010,9.57,9.69,9.33,9.47,244800,NASDAQ
MLNK,08-Feb-2010,9.45,9.57,9.2,9.43,264200,NASDAQ
MLNK,09-Feb-2010,9.54,9.58,9.32,9.39,228200,NASDAQ
MLNK,10-Feb-2010,9.32,9.57,9.27,9.55,247900,NASDAQ
MLNK,11-Feb-2010,9.5,9.69,9.4,9.62,112100,NASDAQ
MLNK,12-Feb-2010,9.59,9.82,9.4,9.65,214100,NASDAQ
MLNK,16-Feb-2010,9.65,9.8,9.52,9.73,288700,NASDAQ
MLNK,17-Feb-2010,9.81,9.81,9.62,9.71,230300,NASDAQ
MLNK,18-Feb-2010,9.73,9.81,9.49,9.79,236300,NASDAQ
MLNK,19-Feb-2010,9.8,10.03,9.8,9.91,198500,NASDAQ
MLNK,22-Feb-2010,9.93,10.03,9.83,9.95,119900,NASDAQ
MLNK,23-Feb-2010,9.92,10.0,9.81,9.88,147700,NASDAQ
MLNK,24-Feb-2010,9.88,10.09,9.75,9.99,125000,NASDAQ
MLNK,25-Feb-2010,9.81,10.08,9.76,10.04,114700,NASDAQ
MLNK,26-Feb-2010,10.02,10.02,9.8,9.9,169300,NASDAQ
MLNK,01-Mar-2010,9.92,10.56,9.8,10.56,269400,NASDAQ
MLNK,02-Mar-2010,10.56,10.89,10.53,10.71,240500,NASDAQ
MLNK,03-Mar-2010,10.76,10.86,10.64,10.73,189800,NASDAQ
MLNK,04-Mar-2010,10.67,10.79,10.52,10.75,106400,NASDAQ
MLNK,05-Mar-2010,10.79,11.1,10.65,11.07,252800,NASDAQ
MLNK,08-Mar-2010,11.03,11.07,10.85,10.92,172300,NASDAQ
MLNK,09-Mar-2010,10.24,10.24,9.16,9.74,775400,NASDAQ
MLNK,10-Mar-2010,9.72,9.98,9.33,9.61,543400,NASDAQ
MLNK,11-Mar-2010,9.51,9.6,9.4,9.43,170700,NASDAQ
MLNK,12-Mar-2010,9.51,9.51,8.97,9.06,615900,NASDAQ
MLNK,15-Mar-2010,9.0,9.14,8.98,9.03,379200,NASDAQ
MLNK,16-Mar-2010,9.1,9.16,9.0,9.16,204400,NASDAQ
MLNK,17-Mar-2010,9.15,9.39,9.1,9.23,179800,NASDAQ
MLNK,18-Mar-2010,9.18,9.26,9.03,9.14,125200,NASDAQ
MLNK,19-Mar-2010,9.2,9.2,8.82,8.88,434000,NASDAQ
MLNK,22-Mar-2010,8.77,9.11,8.59,8.98,247700,NASDAQ
MLNK,23-Mar-2010,8.97,9.1,8.88,9.04,265900,NASDAQ
MLNK,24-Mar-2010,8.97,9.09,8.74,8.99,206300,NASDAQ
MLNK,25-Mar-2010,9.07,9.1,8.89,8.91,318100,NASDAQ
MLNK,26-Mar-2010,8.92,8.95,8.62,8.68,203100,NASDAQ
MLNK,29-Mar-2010,8.66,8.73,8.32,8.57,282700,NASDAQ
MLNK,30-Mar-2010,8.53,8.69,8.34,8.61,186900,NASDAQ
MLNK,31-Mar-2010,8.54,8.65,8.43,8.43,197700,NASDAQ
MLNK,01-Apr-2010,8.54,8.57,8.37,8.42,313500,NASDAQ
MLNK,05-Apr-2010,8.4,8.61,8.35,8.59,262300,NASDAQ
MLNK,06-Apr-2010,8.55,8.58,8.46,8.54,349100,NASDAQ
MLNK,07-Apr-2010,8.49,8.59,8.36,8.46,432600,NASDAQ
MLNK,08-Apr-2010,8.38,8.49,8.35,8.45,189200,NASDAQ
MLNK,09-Apr-2010,8.43,8.53,8.37,8.46,205600,NASDAQ
MLNK,12-Apr-2010,8.44,8.47,8.37,8.4,294800,NASDAQ
MLNK,13-Apr-2010,8.4,8.49,8.38,8.4,343600,NASDAQ
MLNK,14-Apr-2010,8.41,8.71,8.38,8.65,612900,NASDAQ
MLNK,15-Apr-2010,8.6,8.93,8.42,8.88,225500,NASDAQ
MLNK,16-Apr-2010,8.88,8.88,8.66,8.75,260800,NASDAQ
MLNK,19-Apr-2010,8.75,8.82,8.6,8.77,204000,NASDAQ
MLNK,20-Apr-2010,8.77,9.0,8.76,8.92,180200,NASDAQ
MLNK,21-Apr-2010,8.92,9.0,8.92,8.95,206800,NASDAQ
MLNK,22-Apr-2010,8.83,9.12,8.83,9.12,177500,NASDAQ
MLNK,23-Apr-2010,9.1,9.2,9.02,9.16,385300,NASDAQ
MLNK,26-Apr-2010,9.12,9.13,8.96,9.04,176100,NASDAQ
MLNK,27-Apr-2010,8.99,9.22,8.96,8.97,195900,NASDAQ
MLNK,28-Apr-2010,9.0,9.06,8.84,8.9,164100,NASDAQ
MLNK,29-Apr-2010,8.94,9.03,8.84,9.02,264700,NASDAQ
MLNK,30-Apr-2010,8.98,9.01,8.84,8.93,305100,NASDAQ
MLNK,03-May-2010,8.94,9.03,8.82,9.02,205000,NASDAQ
MLNK,04-May-2010,8.86,8.86,8.48,8.56,270500,NASDAQ
MLNK,05-May-2010,8.44,8.5,8.39,8.41,130000,NASDAQ
MLNK,06-May-2010,8.39,8.45,6.21,8.14,492000,NASDAQ
MLNK,07-May-2010,8.04,8.09,7.63,7.76,386500,NASDAQ
MLNK,10-May-2010,8.01,8.35,7.91,8.09,277400,NASDAQ
MLNK,11-May-2010,7.91,8.2,7.91,8.06,142600,NASDAQ
MLNK,12-May-2010,8.06,8.34,8.05,8.26,176000,NASDAQ
MLNK,13-May-2010,8.2,8.31,8.1,8.2,145800,NASDAQ
MLNK,14-May-2010,8.08,8.11,8.01,8.08,144800,NASDAQ
MLNK,17-May-2010,8.12,8.32,7.91,8.1,136100,NASDAQ
MLNK,18-May-2010,8.17,8.25,7.91,7.97,221500,NASDAQ
MLNK,19-May-2010,8.01,8.13,7.78,7.82,268500,NASDAQ
MLNK,20-May-2010,7.69,7.73,7.42,7.44,348900,NASDAQ
MLNK,21-May-2010,7.31,7.61,7.31,7.55,266400,NASDAQ
MLNK,24-May-2010,7.49,7.59,7.35,7.52,202700,NASDAQ
MLNK,25-May-2010,7.3,7.55,7.26,7.53,208600,NASDAQ
MLNK,26-May-2010,7.55,7.71,7.42,7.43,185600,NASDAQ
MLNK,27-May-2010,7.62,7.87,7.6,7.86,167500,NASDAQ
MLNK,28-May-2010,7.81,7.81,7.51,7.64,175100,NASDAQ
MLNK,01-Jun-2010,7.57,7.83,7.4,7.42,149000,NASDAQ
MLNK,02-Jun-2010,7.47,7.73,7.41,7.53,294000,NASDAQ
MLNK,03-Jun-2010,7.58,7.68,7.43,7.64,183700,NASDAQ
MLNK,04-Jun-2010,7.42,7.52,7.34,7.35,225000,NASDAQ
MLNK,07-Jun-2010,7.37,7.44,7.14,7.2,195800,NASDAQ
MLNK,08-Jun-2010,7.22,7.24,7.04,7.21,240800,NASDAQ
MLNK,09-Jun-2010,7.09,7.09,6.42,6.42,767200,NASDAQ
MLNK,10-Jun-2010,6.51,6.54,6.45,6.5,305500,NASDAQ
MLNK,11-Jun-2010,6.41,6.56,6.38,6.53,149000,NASDAQ
MLNK,14-Jun-2010,6.6,6.84,6.46,6.48,203700,NASDAQ
MLNK,15-Jun-2010,6.49,6.69,6.3,6.38,410800,NASDAQ
MLNK,16-Jun-2010,6.32,6.48,6.25,6.31,426100,NASDAQ
MLNK,17-Jun-2010,6.33,6.37,6.23,6.26,200400,NASDAQ
MLNK,18-Jun-2010,6.31,6.38,6.17,6.37,359500,NASDAQ
MLNK,21-Jun-2010,6.47,6.51,6.16,6.17,117800,NASDAQ
MLNK,22-Jun-2010,6.18,6.29,6.16,6.16,129700,NASDAQ
MLNK,23-Jun-2010,6.17,6.3,6.1,6.21,121700,NASDAQ
MLNK,24-Jun-2010,6.19,6.28,6.18,6.2,146700,NASDAQ
MLNK,25-Jun-2010,6.25,6.49,6.19,6.49,579700,NASDAQ
MLNK,28-Jun-2010,6.44,6.54,6.36,6.48,227200,NASDAQ
MLNK,29-Jun-2010,6.35,6.54,6.16,6.21,319100,NASDAQ
MLNK,30-Jun-2010,6.23,6.32,6.03,6.03,213200,NASDAQ
MLNK,01-Jul-2010,6.07,6.13,5.88,6.04,223200,NASDAQ
MLNK,02-Jul-2010,6.1,6.11,5.98,6.01,138200,NASDAQ
MLNK,06-Jul-2010,6.09,6.15,5.83,5.84,269500,NASDAQ
MLNK,07-Jul-2010,5.87,6.08,5.82,6.07,299300,NASDAQ
MLNK,08-Jul-2010,6.08,6.39,6.08,6.35,252200,NASDAQ
MLNK,09-Jul-2010,6.32,6.55,6.3,6.54,118500,NASDAQ
MLNK,12-Jul-2010,6.54,6.76,6.28,6.29,160000,NASDAQ
MLNK,13-Jul-2010,6.4,6.67,6.34,6.65,204300,NASDAQ
MLNK,14-Jul-2010,6.6,6.7,6.51,6.68,236300,NASDAQ
MLNK,15-Jul-2010,6.71,6.78,6.45,6.52,169500,NASDAQ
MLNK,16-Jul-2010,6.45,6.52,6.23,6.28,272800,NASDAQ
MLNK,19-Jul-2010,6.3,6.46,6.25,6.4,66100,NASDAQ
MLNK,20-Jul-2010,6.3,6.46,6.21,6.45,140400,NASDAQ
MLNK,21-Jul-2010,6.49,6.56,6.15,6.16,132700,NASDAQ
MLNK,22-Jul-2010,6.27,6.56,6.21,6.38,339100,NASDAQ
MLNK,23-Jul-2010,6.34,6.55,6.27,6.46,601500,NASDAQ
MLNK,26-Jul-2010,6.46,6.47,6.38,6.43,279700,NASDAQ
MLNK,27-Jul-2010,6.5,6.7,6.49,6.59,153800,NASDAQ
MLNK,28-Jul-2010,6.56,6.73,6.56,6.62,145400,NASDAQ
MLNK,29-Jul-2010,6.68,6.71,6.41,6.54,96200,NASDAQ
MLNK,30-Jul-2010,6.46,6.65,6.4,6.56,201200,NASDAQ
MLNK,02-Aug-2010,6.69,6.69,6.38,6.46,182000,NASDAQ
MLNK,03-Aug-2010,6.44,6.56,6.33,6.41,168500,NASDAQ
MLNK,04-Aug-2010,6.44,6.53,6.44,6.5,119800,NASDAQ
MLNK,05-Aug-2010,6.42,6.54,6.33,6.47,113900,NASDAQ
MLNK,06-Aug-2010,6.37,6.48,6.3,6.45,90600,NASDAQ
MLNK,09-Aug-2010,6.5,6.68,6.46,6.67,142200,NASDAQ
MLNK,10-Aug-2010,6.57,6.63,6.48,6.5,110900,NASDAQ
MLNK,11-Aug-2010,6.35,6.45,6.21,6.22,173500,NASDAQ
MLNK,12-Aug-2010,6.15,6.28,6.15,6.18,97200,NASDAQ
MLNK,13-Aug-2010,6.14,6.25,6.02,6.08,151900,NASDAQ
MLNK,16-Aug-2010,6.03,6.28,6.03,6.14,83200,NASDAQ
MLNK,17-Aug-2010,6.23,6.35,6.11,6.28,99900,NASDAQ
MLNK,18-Aug-2010,6.26,6.3,6.09,6.15,94800,NASDAQ
MLNK,19-Aug-2010,6.11,6.2,5.97,6.0,185700,NASDAQ
MLNK,20-Aug-2010,5.99,6.13,5.98,6.06,107400,NASDAQ
MLNK,23-Aug-2010,6.1,6.1,5.91,5.93,144700,NASDAQ
MLNK,24-Aug-2010,5.88,6.02,5.8,5.92,184500,NASDAQ
MLNK,25-Aug-2010,5.89,6.02,5.84,5.91,139300,NASDAQ
MLNK,26-Aug-2010,5.92,6.08,5.9,5.9,79600,NASDAQ
MLNK,27-Aug-2010,5.99,6.03,5.87,5.93,190300,NASDAQ
MLNK,30-Aug-2010,5.92,5.95,5.79,5.79,187100,NASDAQ
MLNK,31-Aug-2010,5.79,5.88,5.75,5.81,437700,NASDAQ
MLNK,01-Sep-2010,5.81,6.11,5.76,6.1,319100,NASDAQ
MLNK,02-Sep-2010,6.07,6.16,6.02,6.14,129000,NASDAQ
MLNK,03-Sep-2010,6.19,6.37,6.14,6.21,151200,NASDAQ
MLNK,07-Sep-2010,6.2,6.22,6.1,6.12,124100,NASDAQ
MLNK,08-Sep-2010,6.16,6.59,6.16,6.53,180500,NASDAQ
MLNK,09-Sep-2010,6.6,6.69,6.58,6.68,115300,NASDAQ
MLNK,10-Sep-2010,6.68,6.76,6.64,6.72,100100,NASDAQ
MLNK,13-Sep-2010,6.77,7.1,6.74,7.06,226600,NASDAQ
MLNK,14-Sep-2010,7.02,7.09,6.88,6.9,190900,NASDAQ
MLNK,15-Sep-2010,6.85,7.04,6.77,7.02,118200,NASDAQ
MLNK,16-Sep-2010,6.99,7.07,6.95,7.01,115000,NASDAQ
MLNK,17-Sep-2010,7.09,7.39,7.08,7.12,264600,NASDAQ
MLNK,20-Sep-2010,7.12,7.35,7.05,7.33,213400,NASDAQ
MLNK,21-Sep-2010,7.38,7.44,7.21,7.23,288400,NASDAQ
MLNK,22-Sep-2010,7.19,7.27,7.0,7.14,124900,NASDAQ
MLNK,23-Sep-2010,7.06,7.2,7.02,7.02,152100,NASDAQ
MLNK,24-Sep-2010,7.16,7.23,7.07,7.21,202000,NASDAQ
MLNK,27-Sep-2010,7.19,7.24,7.15,7.2,132500,NASDAQ
MLNK,28-Sep-2010,7.2,7.26,7.06,7.22,215800,NASDAQ
MLNK,29-Sep-2010,6.35,6.38,6.1,6.23,1095500,NASDAQ
MLNK,30-Sep-2010,6.3,6.37,6.19,6.35,346500,NASDAQ
MLNK,01-Oct-2010,6.39,6.4,6.29,6.37,192900,NASDAQ
MLNK,04-Oct-2010,6.35,6.5,6.25,6.35,259400,NASDAQ
MLNK,05-Oct-2010,6.44,6.45,6.27,6.41,215600,NASDAQ
