name,date,open_price,close_price,high_price,low_price,volume,market
MMSI,04-Jan-2010,15.736,15.808,15.576,15.8,78300,NASDAQ
MMSI,05-Jan-2010,15.736,15.88,15.272,15.296,362000,NASDAQ
MMSI,06-Jan-2010,15.328,15.424,14.76,14.88,349300,NASDAQ
MMSI,07-Jan-2010,14.88,14.904,14.488,14.824,160000,NASDAQ
MMSI,08-Jan-2010,14.744,14.888,14.632,14.856,101600,NASDAQ
MMSI,11-Jan-2010,14.992,15.448,14.968,15.392,183700,NASDAQ
MMSI,12-Jan-2010,15.256,15.592,15.208,15.552,154100,NASDAQ
MMSI,13-Jan-2010,15.56,15.64,15.512,15.576,105800,NASDAQ
MMSI,14-Jan-2010,15.488,15.584,15.456,15.512,70000,NASDAQ
MMSI,15-Jan-2010,15.592,15.64,14.936,15.096,151900,NASDAQ
MMSI,19-Jan-2010,15.16,15.472,15.16,15.392,139800,NASDAQ
MMSI,20-Jan-2010,15.256,15.44,14.864,15.208,138900,NASDAQ
MMSI,21-Jan-2010,15.272,15.296,14.8,14.8,118900,NASDAQ
MMSI,22-Jan-2010,14.752,15.016,14.48,14.496,110800,NASDAQ
MMSI,25-Jan-2010,14.52,14.744,14.064,14.224,118600,NASDAQ
MMSI,26-Jan-2010,14.136,14.2,13.704,14.12,167800,NASDAQ
MMSI,27-Jan-2010,14.024,14.416,13.968,14.384,156900,NASDAQ
MMSI,28-Jan-2010,14.36,14.36,13.688,14.208,125000,NASDAQ
MMSI,29-Jan-2010,14.216,14.368,13.608,14.264,157800,NASDAQ
MMSI,01-Feb-2010,14.272,14.272,13.896,14.104,109900,NASDAQ
MMSI,02-Feb-2010,14.072,14.168,13.944,14.144,141800,NASDAQ
MMSI,03-Feb-2010,14.056,14.2,13.92,13.936,130300,NASDAQ
MMSI,04-Feb-2010,13.824,13.976,13.552,13.664,221100,NASDAQ
MMSI,05-Feb-2010,13.696,13.88,13.488,13.72,159200,NASDAQ
MMSI,08-Feb-2010,13.736,13.736,13.432,13.464,87000,NASDAQ
MMSI,09-Feb-2010,13.624,13.68,13.424,13.568,38600,NASDAQ
MMSI,10-Feb-2010,13.488,13.552,13.264,13.552,69400,NASDAQ
MMSI,11-Feb-2010,13.48,13.664,13.328,13.648,56100,NASDAQ
MMSI,12-Feb-2010,13.576,13.84,13.368,13.416,245400,NASDAQ
MMSI,16-Feb-2010,13.464,13.656,13.272,13.376,243500,NASDAQ
MMSI,17-Feb-2010,13.424,13.424,13.256,13.408,68500,NASDAQ
MMSI,18-Feb-2010,13.416,14.016,13.264,13.952,536900,NASDAQ
MMSI,19-Feb-2010,11.816,11.88,11.344,11.528,2465700,NASDAQ
