name,date,open_price,close_price,high_price,low_price,volume,market
MOFG,04-Jan-2010,7.9,8.92,7.9,8.66,11600,NASDAQ
MOFG,05-Jan-2010,8.1,8.47,7.7,8.09,9600,NASDAQ
MOFG,06-Jan-2010,8.24,8.49,8.24,8.49,800,NASDAQ
MOFG,07-Jan-2010,8.49,8.49,8.49,8.49,0,NASDAQ
MOFG,08-Jan-2010,8.49,8.6,8.46,8.6,4500,NASDAQ
MOFG,11-Jan-2010,8.85,8.85,8.68,8.68,3100,NASDAQ
MOFG,12-Jan-2010,8.61,8.79,8.61,8.79,7700,NASDAQ
MOFG,13-Jan-2010,8.8,8.8,8.76,8.76,2700,NASDAQ
MOFG,14-Jan-2010,8.5,9.1,8.5,9.1,9100,NASDAQ
MOFG,15-Jan-2010,8.99,8.99,8.99,8.99,1500,NASDAQ
MOFG,19-Jan-2010,9.17,9.38,9.0,9.38,5700,NASDAQ
MOFG,20-Jan-2010,9.38,9.38,9.38,9.38,0,NASDAQ
MOFG,21-Jan-2010,9.35,9.36,9.35,9.35,15600,NASDAQ
MOFG,22-Jan-2010,9.48,9.5,9.2,9.26,8200,NASDAQ
MOFG,25-Jan-2010,9.26,9.26,9.26,9.26,0,NASDAQ
MOFG,26-Jan-2010,9.12,9.12,9.1,9.1,1100,NASDAQ
MOFG,27-Jan-2010,9.49,9.55,9.26,9.35,7200,NASDAQ
MOFG,28-Jan-2010,9.58,9.58,9.45,9.5,1200,NASDAQ
MOFG,29-Jan-2010,9.5,9.51,9.5,9.5,1200,NASDAQ
MOFG,01-Feb-2010,9.6,9.6,9.54,9.54,500,NASDAQ
MOFG,02-Feb-2010,9.49,9.5,9.49,9.5,400,NASDAQ
MOFG,03-Feb-2010,9.3,9.5,9.25,9.4,4400,NASDAQ
MOFG,04-Feb-2010,9.2,9.2,9.2,9.2,2000,NASDAQ
MOFG,05-Feb-2010,9.41,9.42,9.3,9.3,2000,NASDAQ
MOFG,08-Feb-2010,9.59,9.75,9.4,9.45,9700,NASDAQ
MOFG,09-Feb-2010,9.73,9.89,9.45,9.89,4900,NASDAQ
MOFG,10-Feb-2010,9.83,10.1,9.55,10.09,11900,NASDAQ
MOFG,11-Feb-2010,9.94,10.11,9.94,10.1,12600,NASDAQ
MOFG,12-Feb-2010,10.3,10.74,10.3,10.4,11000,NASDAQ
MOFG,16-Feb-2010,10.49,10.78,10.19,10.6,9300,NASDAQ
MOFG,17-Feb-2010,10.59,10.89,10.21,10.61,6300,NASDAQ
MOFG,18-Feb-2010,10.87,11.02,10.75,11.0,2400,NASDAQ
MOFG,19-Feb-2010,10.8,10.8,10.63,10.63,3100,NASDAQ
MOFG,22-Feb-2010,10.91,11.4,10.91,11.4,2700,NASDAQ
MOFG,23-Feb-2010,11.26,11.26,11.24,11.24,1000,NASDAQ
MOFG,24-Feb-2010,11.2,11.49,11.2,11.45,5300,NASDAQ
MOFG,25-Feb-2010,11.35,11.35,11.1,11.12,3400,NASDAQ
MOFG,26-Feb-2010,11.25,11.25,11.23,11.25,7800,NASDAQ
MOFG,01-Mar-2010,11.25,11.25,11.25,11.25,0,NASDAQ
MOFG,02-Mar-2010,11.25,11.25,11.25,11.25,0,NASDAQ
MOFG,03-Mar-2010,11.11,11.11,11.0,11.1,700,NASDAQ
MOFG,04-Mar-2010,11.34,11.35,11.34,11.35,4200,NASDAQ
MOFG,05-Mar-2010,11.07,11.15,11.07,11.15,200,NASDAQ
MOFG,08-Mar-2010,11.2,11.2,11.2,11.2,700,NASDAQ
MOFG,09-Mar-2010,11.39,11.39,11.35,11.35,1300,NASDAQ
MOFG,10-Mar-2010,11.23,11.35,11.21,11.25,25400,NASDAQ
MOFG,11-Mar-2010,11.47,11.48,11.25,11.41,1100,NASDAQ
MOFG,12-Mar-2010,11.25,11.25,11.25,11.25,1300,NASDAQ
MOFG,15-Mar-2010,11.36,11.36,11.25,11.25,1500,NASDAQ
MOFG,16-Mar-2010,11.31,11.94,11.31,11.51,2100,NASDAQ
