name,date,open_price,close_price,high_price,low_price,volume,market
MPAC,04-Jan-2010,4.22,4.32,4.11,4.13,2000,NASDAQ
MPAC,05-Jan-2010,4.11,4.31,4.11,4.13,700,NASDAQ
MPAC,06-Jan-2010,4.14,4.14,4.1,4.1,7900,NASDAQ
MPAC,07-Jan-2010,4.03,4.35,4.0,4.13,1200,NASDAQ
MPAC,08-Jan-2010,4.18,4.35,4.0,4.0,2800,NASDAQ
MPAC,11-Jan-2010,4.0,4.03,4.0,4.02,3500,NASDAQ
MPAC,12-Jan-2010,4.0,4.0,3.75,3.75,4000,NASDAQ
MPAC,13-Jan-2010,3.8,3.97,3.8,3.84,1900,NASDAQ
MPAC,14-Jan-2010,3.84,3.97,3.84,3.96,2000,NASDAQ
MPAC,15-Jan-2010,3.98,4.0,3.98,4.0,200,NASDAQ
MPAC,19-Jan-2010,3.85,4.12,3.84,4.12,5100,NASDAQ
MPAC,20-Jan-2010,3.88,4.12,3.88,3.91,10800,NASDAQ
MPAC,21-Jan-2010,3.95,4.1,3.93,4.0,2300,NASDAQ
MPAC,22-Jan-2010,4.0,4.0,4.0,4.0,0,NASDAQ
MPAC,25-Jan-2010,4.05,4.05,4.05,4.05,200,NASDAQ
MPAC,26-Jan-2010,4.09,4.25,4.09,4.14,3100,NASDAQ
MPAC,27-Jan-2010,4.23,4.23,4.19,4.23,400,NASDAQ
MPAC,28-Jan-2010,3.9,4.3,3.9,4.29,8500,NASDAQ
MPAC,29-Jan-2010,4.0,4.45,4.0,4.42,700,NASDAQ
MPAC,01-Feb-2010,4.4,4.6,4.34,4.6,3900,NASDAQ
MPAC,02-Feb-2010,4.28,4.53,4.28,4.5,700,NASDAQ
MPAC,03-Feb-2010,4.59,4.7,4.59,4.7,1400,NASDAQ
MPAC,04-Feb-2010,4.68,5.84,4.68,5.25,69500,NASDAQ
MPAC,05-Feb-2010,5.18,5.24,5.0,5.11,12600,NASDAQ
MPAC,08-Feb-2010,5.2,5.25,5.0,5.2,6000,NASDAQ
MPAC,09-Feb-2010,5.23,5.47,5.23,5.44,6800,NASDAQ
MPAC,10-Feb-2010,5.48,5.9,5.43,5.77,7200,NASDAQ
MPAC,11-Feb-2010,5.94,5.95,5.47,5.7,7400,NASDAQ
MPAC,12-Feb-2010,5.51,5.9,5.4,5.88,3900,NASDAQ
MPAC,16-Feb-2010,5.79,5.79,5.52,5.78,600,NASDAQ
MPAC,17-Feb-2010,5.79,6.15,5.78,6.0,19200,NASDAQ
MPAC,18-Feb-2010,6.05,6.08,5.73,5.95,5200,NASDAQ
MPAC,19-Feb-2010,5.7,6.0,5.55,5.67,2600,NASDAQ
MPAC,22-Feb-2010,5.7,6.08,5.7,6.03,14200,NASDAQ
MPAC,23-Feb-2010,5.95,6.05,5.78,6.05,2000,NASDAQ
MPAC,24-Feb-2010,5.9,5.9,5.89,5.89,1100,NASDAQ
MPAC,25-Feb-2010,5.75,6.01,5.55,5.57,7200,NASDAQ
MPAC,26-Feb-2010,5.9,5.9,5.7,5.7,500,NASDAQ
MPAC,01-Mar-2010,5.58,6.08,5.57,5.79,3600,NASDAQ
MPAC,02-Mar-2010,5.88,6.08,5.88,6.02,5000,NASDAQ
MPAC,03-Mar-2010,6.07,6.1,5.68,6.1,4000,NASDAQ
MPAC,04-Mar-2010,6.15,6.15,5.7,5.95,4000,NASDAQ
MPAC,05-Mar-2010,5.98,6.24,5.95,6.19,6500,NASDAQ
MPAC,08-Mar-2010,6.09,6.09,5.75,5.96,16000,NASDAQ
MPAC,09-Mar-2010,5.73,5.97,5.6,5.97,5400,NASDAQ
MPAC,10-Mar-2010,5.99,5.99,5.65,5.91,1600,NASDAQ
MPAC,11-Mar-2010,5.6,5.98,5.6,5.87,10800,NASDAQ
MPAC,12-Mar-2010,5.76,5.97,5.55,5.57,12000,NASDAQ
MPAC,15-Mar-2010,5.55,6.0,5.55,5.8,1400,NASDAQ
MPAC,16-Mar-2010,5.72,5.85,5.55,5.76,3000,NASDAQ
MPAC,17-Mar-2010,5.56,5.95,5.56,5.9,4600,NASDAQ
MPAC,18-Mar-2010,5.62,5.85,5.61,5.76,500,NASDAQ
MPAC,19-Mar-2010,5.9,5.98,5.78,5.98,3500,NASDAQ
MPAC,22-Mar-2010,5.95,5.95,5.6,5.95,1200,NASDAQ
MPAC,23-Mar-2010,5.62,5.95,5.62,5.88,4800,NASDAQ
MPAC,24-Mar-2010,5.93,5.93,5.93,5.93,300,NASDAQ
MPAC,25-Mar-2010,5.91,6.07,5.67,5.99,11100,NASDAQ
MPAC,26-Mar-2010,5.97,6.0,5.78,6.0,1100,NASDAQ
MPAC,29-Mar-2010,6.0,6.0,5.92,5.92,1400,NASDAQ
MPAC,30-Mar-2010,5.93,6.0,5.93,6.0,300,NASDAQ
MPAC,31-Mar-2010,6.0,6.0,5.92,5.93,1300,NASDAQ
MPAC,01-Apr-2010,5.92,6.25,5.92,6.25,14700,NASDAQ
MPAC,05-Apr-2010,6.34,6.69,6.21,6.48,7600,NASDAQ
MPAC,06-Apr-2010,6.48,6.48,6.1,6.47,1400,NASDAQ
MPAC,07-Apr-2010,6.48,6.52,6.48,6.48,1000,NASDAQ
MPAC,08-Apr-2010,6.1,6.47,6.1,6.47,3400,NASDAQ
MPAC,09-Apr-2010,6.52,6.7,6.36,6.7,17900,NASDAQ
MPAC,12-Apr-2010,6.58,6.58,6.58,6.58,100,NASDAQ
MPAC,13-Apr-2010,6.13,6.13,6.1,6.1,200,NASDAQ
MPAC,14-Apr-2010,6.44,6.48,6.44,6.48,3200,NASDAQ
MPAC,15-Apr-2010,6.48,6.48,6.26,6.31,3000,NASDAQ
MPAC,16-Apr-2010,6.31,6.31,6.31,6.31,0,NASDAQ
MPAC,19-Apr-2010,6.31,6.31,6.31,6.31,0,NASDAQ
MPAC,20-Apr-2010,6.1,6.25,5.98,6.25,6600,NASDAQ
MPAC,21-Apr-2010,6.01,6.04,5.92,6.04,9000,NASDAQ
MPAC,22-Apr-2010,6.0,6.04,5.93,5.94,5000,NASDAQ
MPAC,23-Apr-2010,6.28,6.28,5.66,6.01,15600,NASDAQ
