name,date,open_price,close_price,high_price,low_price,volume,market
MSTR,04-Jan-2010,94.47,96.25,94.47,96.16,71500,NASDAQ
MSTR,05-Jan-2010,96.94,98.6,96.67,97.84,139400,NASDAQ
MSTR,06-Jan-2010,98.26,98.64,96.1,96.34,64600,NASDAQ
MSTR,07-Jan-2010,96.09,97.33,92.21,92.49,170600,NASDAQ
MSTR,08-Jan-2010,92.57,95.41,92.57,95.0,65100,NASDAQ
MSTR,11-Jan-2010,95.78,96.77,90.5,90.77,133300,NASDAQ
MSTR,12-Jan-2010,93.75,99.7,92.17,99.57,334200,NASDAQ
MSTR,13-Jan-2010,100.0,103.23,97.0,98.09,577200,NASDAQ
MSTR,14-Jan-2010,98.36,99.29,97.72,99.07,69700,NASDAQ
MSTR,15-Jan-2010,102.25,106.06,102.11,103.59,332400,NASDAQ
MSTR,19-Jan-2010,104.69,106.86,103.86,105.1,150700,NASDAQ
MSTR,20-Jan-2010,104.68,104.98,100.8,102.44,101700,NASDAQ
MSTR,21-Jan-2010,102.85,104.16,98.5,99.45,102600,NASDAQ
MSTR,22-Jan-2010,99.1,99.8,96.83,97.01,88000,NASDAQ
MSTR,25-Jan-2010,97.26,98.54,95.01,95.49,98800,NASDAQ
MSTR,26-Jan-2010,95.07,98.43,94.02,97.35,103300,NASDAQ
MSTR,27-Jan-2010,96.63,97.94,95.7,96.83,132300,NASDAQ
MSTR,28-Jan-2010,96.72,97.84,95.15,95.5,67400,NASDAQ
MSTR,29-Jan-2010,96.01,97.33,93.72,93.72,111700,NASDAQ
MSTR,01-Feb-2010,94.09,95.0,92.76,94.37,59400,NASDAQ
MSTR,02-Feb-2010,94.37,95.62,94.03,94.66,60600,NASDAQ
MSTR,03-Feb-2010,94.58,97.66,94.56,96.64,132400,NASDAQ
MSTR,04-Feb-2010,84.01,86.21,77.79,79.03,1147300,NASDAQ
MSTR,05-Feb-2010,79.03,80.78,77.25,79.13,300800,NASDAQ
MSTR,08-Feb-2010,79.33,81.94,78.1,81.26,192500,NASDAQ
MSTR,09-Feb-2010,81.95,83.16,81.04,82.42,135900,NASDAQ
MSTR,10-Feb-2010,82.1,84.81,81.15,84.03,222800,NASDAQ
MSTR,11-Feb-2010,83.62,84.99,82.54,84.54,151600,NASDAQ
MSTR,12-Feb-2010,83.88,84.94,83.75,84.8,135700,NASDAQ
MSTR,16-Feb-2010,85.15,86.49,84.95,86.14,145600,NASDAQ
MSTR,17-Feb-2010,86.5,87.12,85.84,86.0,69600,NASDAQ
MSTR,18-Feb-2010,85.69,86.0,84.5,85.04,84400,NASDAQ
MSTR,19-Feb-2010,85.13,86.18,84.02,85.66,170000,NASDAQ
MSTR,22-Feb-2010,85.61,87.24,85.0,86.36,65400,NASDAQ
MSTR,23-Feb-2010,85.9,86.71,85.51,86.12,60600,NASDAQ
MSTR,24-Feb-2010,85.93,87.41,85.87,87.19,45400,NASDAQ
MSTR,25-Feb-2010,86.26,87.35,85.26,87.24,105300,NASDAQ
MSTR,26-Feb-2010,87.35,88.93,86.79,88.62,87900,NASDAQ
MSTR,01-Mar-2010,89.1,91.26,89.1,90.67,106500,NASDAQ
MSTR,02-Mar-2010,91.03,91.13,87.92,88.31,166900,NASDAQ
MSTR,03-Mar-2010,88.55,89.18,88.15,88.97,85400,NASDAQ
MSTR,04-Mar-2010,88.96,89.46,88.55,89.28,47800,NASDAQ
MSTR,05-Mar-2010,89.77,91.54,89.4,91.33,128900,NASDAQ
