name,date,open_price,close_price,high_price,low_price,volume,market
MTGE,04-Aug-2011,19.0,19.28,18.41,18.41,3881400,NASDAQ
MTGE,05-Aug-2011,18.5,18.75,18.5,18.63,254000,NASDAQ
MTGE,08-Aug-2011,18.0,18.74,18.0,18.05,562200,NASDAQ
MTGE,09-Aug-2011,18.05,19.5,18.0,19.4,276200,NASDAQ
MTGE,10-Aug-2011,18.75,20.0,18.52,19.25,203800,NASDAQ
MTGE,11-Aug-2011,19.05,19.69,18.81,19.69,163000,NASDAQ
MTGE,12-Aug-2011,19.7,19.7,19.25,19.53,148700,NASDAQ
MTGE,15-Aug-2011,19.68,19.76,19.25,19.65,132800,NASDAQ
MTGE,16-Aug-2011,19.46,19.65,19.25,19.59,45700,NASDAQ
MTGE,17-Aug-2011,19.5,19.57,19.41,19.41,104800,NASDAQ
MTGE,18-Aug-2011,19.26,19.49,19.0,19.0,102800,NASDAQ
MTGE,19-Aug-2011,19.01,19.17,18.79,18.86,89600,NASDAQ
MTGE,22-Aug-2011,19.1,19.1,18.3,18.4,48300,NASDAQ
MTGE,23-Aug-2011,18.27,18.5,17.55,18.28,282900,NASDAQ
MTGE,24-Aug-2011,18.1,18.75,18.05,18.19,22000,NASDAQ
MTGE,25-Aug-2011,18.17,18.17,17.98,18.01,41100,NASDAQ
MTGE,26-Aug-2011,17.67,18.72,17.67,18.64,88000,NASDAQ
MTGE,29-Aug-2011,18.85,18.85,18.2,18.37,19200,NASDAQ
MTGE,30-Aug-2011,18.22,18.7,17.75,18.03,48200,NASDAQ
MTGE,31-Aug-2011,18.07,18.42,18.0,18.2,15500,NASDAQ
MTGE,01-Sep-2011,18.14,18.24,18.05,18.05,11500,NASDAQ
MTGE,02-Sep-2011,17.85,17.97,17.06,17.51,161900,NASDAQ
MTGE,06-Sep-2011,17.23,17.79,17.23,17.37,28000,NASDAQ
MTGE,07-Sep-2011,17.2,17.49,16.81,17.12,138200,NASDAQ
MTGE,08-Sep-2011,16.9,17.27,16.4,17.03,40900,NASDAQ
MTGE,09-Sep-2011,17.07,17.13,17.0,17.09,13700,NASDAQ
MTGE,12-Sep-2011,16.92,17.09,16.91,17.09,24000,NASDAQ
MTGE,13-Sep-2011,17.12,17.74,17.12,17.64,34000,NASDAQ
MTGE,14-Sep-2011,17.8,17.81,17.51,17.8,45500,NASDAQ
MTGE,15-Sep-2011,18.02,18.06,17.75,18.0,25600,NASDAQ
MTGE,16-Sep-2011,17.7,18.47,17.7,18.47,50000,NASDAQ
MTGE,19-Sep-2011,18.43,18.43,18.0,18.2,28800,NASDAQ
MTGE,20-Sep-2011,17.95,18.17,17.65,17.7,40100,NASDAQ
MTGE,21-Sep-2011,17.5,18.0,16.96,16.96,43900,NASDAQ
MTGE,22-Sep-2011,16.65,17.04,16.43,17.0,101500,NASDAQ
MTGE,23-Sep-2011,17.6,17.6,16.49,16.96,76600,NASDAQ
MTGE,26-Sep-2011,17.13,17.15,16.75,16.96,36000,NASDAQ
MTGE,27-Sep-2011,17.0,17.06,16.76,17.0,59400,NASDAQ
MTGE,28-Sep-2011,16.94,16.94,16.48,16.6,50900,NASDAQ
MTGE,29-Sep-2011,16.7,16.9,16.52,16.8,43100,NASDAQ
MTGE,30-Sep-2011,16.65,16.88,16.5,16.7,760100,NASDAQ
MTGE,03-Oct-2011,16.52,17.08,16.13,16.24,65000,NASDAQ
MTGE,04-Oct-2011,15.97,16.68,15.07,16.6,167300,NASDAQ
MTGE,05-Oct-2011,16.56,16.58,16.2,16.32,36400,NASDAQ
MTGE,06-Oct-2011,16.31,16.96,16.2,16.94,48700,NASDAQ
MTGE,07-Oct-2011,16.22,16.43,15.59,15.95,106300,NASDAQ
MTGE,10-Oct-2011,16.29,16.49,15.98,16.46,57900,NASDAQ
MTGE,11-Oct-2011,16.38,16.4,15.94,16.09,40000,NASDAQ
MTGE,12-Oct-2011,16.33,16.33,15.51,15.83,102400,NASDAQ
MTGE,13-Oct-2011,15.64,15.93,15.52,15.7,43600,NASDAQ
MTGE,14-Oct-2011,15.81,16.25,15.55,16.24,25000,NASDAQ
MTGE,17-Oct-2011,16.12,16.93,16.1,16.7,49400,NASDAQ
MTGE,18-Oct-2011,16.4,16.9,16.0,16.89,54600,NASDAQ
MTGE,19-Oct-2011,16.8,16.85,16.1,16.17,39700,NASDAQ
MTGE,20-Oct-2011,16.18,16.28,16.0,16.06,21200,NASDAQ
MTGE,21-Oct-2011,16.33,16.44,16.04,16.42,43500,NASDAQ
MTGE,24-Oct-2011,16.32,16.63,16.16,16.51,41200,NASDAQ
MTGE,25-Oct-2011,16.5,17.5,16.5,17.08,136300,NASDAQ
MTGE,26-Oct-2011,17.45,18.05,17.44,17.94,107500,NASDAQ
MTGE,27-Oct-2011,18.44,18.44,17.43,18.03,141700,NASDAQ
MTGE,28-Oct-2011,17.69,18.2,17.69,18.1,54700,NASDAQ
MTGE,31-Oct-2011,18.11,18.25,17.55,18.18,124700,NASDAQ
MTGE,01-Nov-2011,17.59,18.15,17.57,17.82,90600,NASDAQ
MTGE,02-Nov-2011,18.0,18.13,17.9,17.96,29200,NASDAQ
MTGE,03-Nov-2011,17.7,17.98,17.44,17.67,124400,NASDAQ
