name,date,open_price,close_price,high_price,low_price,volume,market
MYL,04-Jan-2010,18.35,18.76,18.31,18.72,3612000,NASDAQ
MYL,05-Jan-2010,18.45,18.66,18.28,18.52,7942300,NASDAQ
MYL,06-Jan-2010,18.37,18.5,18.26,18.34,6838000,NASDAQ
MYL,07-Jan-2010,18.19,18.34,18.02,18.03,6825800,NASDAQ
MYL,08-Jan-2010,17.7,17.8,16.75,17.42,20293200,NASDAQ
MYL,11-Jan-2010,17.44,17.82,17.44,17.77,8390500,NASDAQ
MYL,12-Jan-2010,17.51,17.75,17.34,17.41,4852300,NASDAQ
MYL,13-Jan-2010,17.5,17.88,17.43,17.81,4700800,NASDAQ
MYL,14-Jan-2010,17.75,17.97,17.73,17.87,7066200,NASDAQ
MYL,15-Jan-2010,17.62,18.22,17.62,18.2,7216400,NASDAQ
MYL,19-Jan-2010,18.1,18.75,18.09,18.74,9341700,NASDAQ
MYL,20-Jan-2010,18.6,18.73,18.11,18.22,5802500,NASDAQ
MYL,21-Jan-2010,18.27,18.43,17.88,17.94,5505500,NASDAQ
MYL,22-Jan-2010,17.92,18.07,17.74,17.78,5598100,NASDAQ
MYL,25-Jan-2010,17.68,18.0,17.68,17.68,3789900,NASDAQ
MYL,26-Jan-2010,17.58,18.2,17.57,18.09,11144500,NASDAQ
MYL,27-Jan-2010,18.1,18.26,17.98,18.25,5142900,NASDAQ
MYL,28-Jan-2010,18.25,18.29,17.65,17.93,6756500,NASDAQ
MYL,29-Jan-2010,18.01,18.47,18.0,18.23,7603400,NASDAQ
MYL,01-Feb-2010,18.35,18.45,18.0,18.12,4803600,NASDAQ
MYL,02-Feb-2010,18.21,18.24,17.82,18.2,4753800,NASDAQ
MYL,03-Feb-2010,18.31,18.32,17.86,18.01,7157600,NASDAQ
MYL,04-Feb-2010,17.89,18.03,17.55,17.78,6957800,NASDAQ
MYL,05-Feb-2010,17.86,17.99,17.49,17.89,7505400,NASDAQ
MYL,08-Feb-2010,17.99,18.0,17.71,17.76,3469300,NASDAQ
MYL,09-Feb-2010,17.8,17.96,17.54,17.68,5953300,NASDAQ
MYL,10-Feb-2010,17.61,17.8,17.29,17.61,5483400,NASDAQ
MYL,11-Feb-2010,17.53,18.31,17.51,18.29,7887300,NASDAQ
MYL,12-Feb-2010,17.96,18.34,17.8,18.31,3703500,NASDAQ
MYL,16-Feb-2010,18.4,18.7,18.29,18.68,4256800,NASDAQ
MYL,17-Feb-2010,18.7,18.92,18.51,18.87,4493900,NASDAQ
MYL,18-Feb-2010,18.9,18.95,18.7,18.86,3725900,NASDAQ
MYL,19-Feb-2010,18.85,19.1,18.84,19.07,4826200,NASDAQ
MYL,22-Feb-2010,19.15,19.7,19.01,19.61,11222200,NASDAQ
MYL,23-Feb-2010,19.58,19.7,19.13,19.16,7143200,NASDAQ
MYL,24-Feb-2010,19.12,19.57,19.12,19.42,8684000,NASDAQ
MYL,25-Feb-2010,20.03,21.03,19.96,20.7,27066800,NASDAQ
MYL,26-Feb-2010,20.7,21.47,20.56,21.34,13308600,NASDAQ
MYL,01-Mar-2010,21.4,21.6,21.12,21.38,19329500,NASDAQ
MYL,02-Mar-2010,21.47,21.51,21.24,21.35,11763500,NASDAQ
MYL,03-Mar-2010,21.44,21.44,21.04,21.13,7016000,NASDAQ
MYL,04-Mar-2010,21.01,21.4,20.86,21.29,8046400,NASDAQ
MYL,05-Mar-2010,21.38,21.86,21.21,21.77,8994400,NASDAQ
MYL,08-Mar-2010,21.59,21.72,21.39,21.42,7429700,NASDAQ
MYL,09-Mar-2010,21.6,21.62,21.35,21.61,6069200,NASDAQ
MYL,10-Mar-2010,21.69,22.0,21.57,21.81,10665500,NASDAQ
MYL,11-Mar-2010,21.77,22.05,21.72,21.98,6294500,NASDAQ
MYL,12-Mar-2010,22.0,22.04,21.79,21.95,3526200,NASDAQ
MYL,15-Mar-2010,22.0,22.0,21.72,21.95,6283200,NASDAQ
MYL,16-Mar-2010,21.77,22.1,21.76,22.09,3711800,NASDAQ
MYL,17-Mar-2010,22.05,22.22,21.99,22.1,3235800,NASDAQ
MYL,18-Mar-2010,22.04,22.42,22.04,22.36,4580700,NASDAQ
MYL,19-Mar-2010,22.5,22.88,22.33,22.53,10817500,NASDAQ
MYL,22-Mar-2010,22.59,23.0,22.57,22.91,8485800,NASDAQ
MYL,23-Mar-2010,23.24,23.3,22.9,22.92,9305700,NASDAQ
MYL,24-Mar-2010,22.86,22.93,22.53,22.66,6586400,NASDAQ
MYL,25-Mar-2010,22.87,22.96,22.22,22.26,5504500,NASDAQ
MYL,26-Mar-2010,22.4,22.44,22.01,22.38,5310900,NASDAQ
MYL,29-Mar-2010,22.53,22.95,22.35,22.87,5610300,NASDAQ
MYL,30-Mar-2010,22.82,22.9,22.58,22.65,7809300,NASDAQ
MYL,31-Mar-2010,22.8,22.97,22.59,22.71,4773900,NASDAQ
