name,date,open_price,close_price,high_price,low_price,volume,market
NBTB,04-Jan-2010,20.65,20.7,20.41,20.7,66100,NASDAQ
NBTB,05-Jan-2010,20.61,20.75,19.55,19.85,221300,NASDAQ
NBTB,06-Jan-2010,19.88,19.91,19.15,19.29,442400,NASDAQ
NBTB,07-Jan-2010,19.34,19.99,19.25,19.95,111400,NASDAQ
NBTB,08-Jan-2010,19.93,20.09,19.75,20.0,66800,NASDAQ
NBTB,11-Jan-2010,20.07,20.07,19.5,19.86,83600,NASDAQ
NBTB,12-Jan-2010,19.68,20.03,19.68,19.9,91400,NASDAQ
NBTB,13-Jan-2010,19.86,20.22,19.72,20.09,91300,NASDAQ
NBTB,14-Jan-2010,19.97,20.31,19.97,20.22,55400,NASDAQ
NBTB,15-Jan-2010,20.23,20.23,19.77,20.19,159200,NASDAQ
NBTB,19-Jan-2010,20.17,20.55,19.94,20.49,112200,NASDAQ
NBTB,20-Jan-2010,20.26,20.54,20.0,20.39,95600,NASDAQ
NBTB,21-Jan-2010,20.36,20.84,20.3,20.7,146300,NASDAQ
NBTB,22-Jan-2010,20.62,20.95,20.46,20.61,115200,NASDAQ
NBTB,25-Jan-2010,20.77,20.77,20.29,20.61,60000,NASDAQ
NBTB,26-Jan-2010,20.56,20.85,20.49,20.7,161200,NASDAQ
NBTB,27-Jan-2010,20.57,21.12,20.47,21.12,81600,NASDAQ
NBTB,28-Jan-2010,21.15,21.16,20.76,20.82,125900,NASDAQ
NBTB,29-Jan-2010,20.86,21.11,20.75,20.86,154200,NASDAQ
NBTB,01-Feb-2010,20.9,21.08,20.65,20.77,101200,NASDAQ
NBTB,02-Feb-2010,20.73,21.0,20.56,20.61,135200,NASDAQ
NBTB,03-Feb-2010,20.51,20.73,20.1,20.25,79000,NASDAQ
NBTB,04-Feb-2010,20.14,20.33,19.89,20.0,91700,NASDAQ
NBTB,05-Feb-2010,20.0,20.44,19.9,20.34,56400,NASDAQ
NBTB,08-Feb-2010,20.34,20.34,19.92,19.92,68800,NASDAQ
NBTB,09-Feb-2010,20.18,20.3,19.89,20.06,87000,NASDAQ
NBTB,10-Feb-2010,19.95,20.44,19.95,20.37,64500,NASDAQ
NBTB,11-Feb-2010,20.27,20.54,20.12,20.49,87100,NASDAQ
NBTB,12-Feb-2010,20.26,20.6,20.1,20.6,78300,NASDAQ
NBTB,16-Feb-2010,20.78,20.93,20.62,20.93,59800,NASDAQ
NBTB,17-Feb-2010,21.03,21.03,20.72,20.88,37600,NASDAQ
NBTB,18-Feb-2010,20.85,21.23,20.85,21.23,39900,NASDAQ
NBTB,19-Feb-2010,21.23,21.45,21.11,21.34,59500,NASDAQ
NBTB,22-Feb-2010,21.47,21.65,21.39,21.65,47500,NASDAQ
NBTB,23-Feb-2010,21.51,21.67,21.27,21.55,65400,NASDAQ
NBTB,24-Feb-2010,21.34,22.08,21.34,21.96,54800,NASDAQ
NBTB,25-Feb-2010,21.59,21.66,21.28,21.6,53100,NASDAQ
NBTB,26-Feb-2010,21.55,21.77,21.2,21.24,87300,NASDAQ
NBTB,01-Mar-2010,21.34,22.28,21.28,22.14,292300,NASDAQ
NBTB,02-Mar-2010,22.11,22.44,22.1,22.4,80100,NASDAQ
NBTB,03-Mar-2010,22.45,22.57,22.18,22.24,79600,NASDAQ
NBTB,04-Mar-2010,22.36,22.42,22.09,22.38,33400,NASDAQ
NBTB,05-Mar-2010,22.44,22.94,22.35,22.93,103800,NASDAQ
NBTB,08-Mar-2010,22.85,22.93,22.63,22.66,51700,NASDAQ
NBTB,09-Mar-2010,22.52,22.85,22.52,22.72,46900,NASDAQ
NBTB,10-Mar-2010,22.7,23.16,22.59,23.03,91100,NASDAQ
NBTB,11-Mar-2010,22.83,23.08,22.83,23.06,65500,NASDAQ
NBTB,12-Mar-2010,23.1,23.1,22.77,22.97,79100,NASDAQ
NBTB,15-Mar-2010,23.01,23.23,22.94,23.18,79500,NASDAQ
NBTB,16-Mar-2010,23.2,23.39,23.0,23.39,66400,NASDAQ
NBTB,17-Mar-2010,23.43,23.82,23.35,23.58,99300,NASDAQ
NBTB,18-Mar-2010,23.6,23.81,23.36,23.53,47100,NASDAQ
NBTB,19-Mar-2010,23.67,23.77,23.15,23.76,248900,NASDAQ
NBTB,22-Mar-2010,23.58,23.98,23.54,23.89,73100,NASDAQ
NBTB,23-Mar-2010,23.84,23.99,23.53,23.92,76200,NASDAQ
NBTB,24-Mar-2010,23.79,23.85,23.31,23.36,79800,NASDAQ
NBTB,25-Mar-2010,23.46,23.89,23.18,23.24,66000,NASDAQ
NBTB,26-Mar-2010,23.37,23.46,22.93,22.97,56900,NASDAQ
NBTB,29-Mar-2010,23.11,23.12,22.83,23.01,32300,NASDAQ
NBTB,30-Mar-2010,23.1,23.22,22.86,23.13,37200,NASDAQ
NBTB,31-Mar-2010,22.96,23.41,22.85,22.88,113600,NASDAQ
NBTB,01-Apr-2010,22.9,23.05,22.51,22.84,61200,NASDAQ
NBTB,05-Apr-2010,22.86,23.12,22.7,23.11,44200,NASDAQ
NBTB,06-Apr-2010,22.94,23.7,22.87,23.65,48000,NASDAQ
NBTB,07-Apr-2010,23.55,23.76,23.47,23.72,62000,NASDAQ
NBTB,08-Apr-2010,23.63,23.97,23.32,23.9,81500,NASDAQ
NBTB,09-Apr-2010,23.82,23.98,23.68,23.82,59200,NASDAQ
NBTB,12-Apr-2010,23.76,23.98,23.72,23.94,50600,NASDAQ
NBTB,13-Apr-2010,23.88,23.88,23.56,23.84,39000,NASDAQ
NBTB,14-Apr-2010,23.91,24.11,23.54,24.09,157600,NASDAQ
NBTB,15-Apr-2010,24.15,24.81,23.86,24.77,128700,NASDAQ
NBTB,16-Apr-2010,24.61,24.91,24.27,24.76,196800,NASDAQ
NBTB,19-Apr-2010,24.61,24.95,24.24,24.85,97200,NASDAQ
NBTB,20-Apr-2010,24.9,25.04,24.83,25.04,104300,NASDAQ
NBTB,21-Apr-2010,25.0,25.43,24.94,25.42,125200,NASDAQ
NBTB,22-Apr-2010,25.15,25.74,24.94,25.68,72600,NASDAQ
NBTB,23-Apr-2010,25.62,25.81,25.46,25.81,78100,NASDAQ
NBTB,26-Apr-2010,25.72,25.72,25.04,25.08,62100,NASDAQ
NBTB,27-Apr-2010,25.0,25.73,24.7,24.73,85100,NASDAQ
NBTB,28-Apr-2010,24.98,25.48,24.9,25.02,78900,NASDAQ
NBTB,29-Apr-2010,25.16,25.96,24.5,25.96,92500,NASDAQ
NBTB,30-Apr-2010,25.88,25.95,24.47,24.47,166000,NASDAQ
NBTB,03-May-2010,24.67,24.76,24.26,24.75,91500,NASDAQ
NBTB,04-May-2010,24.45,24.54,23.7,23.84,104100,NASDAQ
NBTB,05-May-2010,23.64,24.13,23.62,23.79,71800,NASDAQ
NBTB,06-May-2010,23.67,24.0,22.38,23.11,127600,NASDAQ
NBTB,07-May-2010,22.99,23.6,22.57,22.81,147200,NASDAQ
NBTB,10-May-2010,23.7,24.3,23.12,24.26,157900,NASDAQ
NBTB,11-May-2010,24.01,25.13,24.01,24.75,109400,NASDAQ
NBTB,12-May-2010,24.9,25.21,24.55,25.19,116700,NASDAQ
