name,date,open_price,close_price,high_price,low_price,volume,market
NCTY,04-Jan-2010,7.28,7.62,7.28,7.55,50100,NASDAQ
NCTY,05-Jan-2010,7.76,8.1,7.76,8.05,131600,NASDAQ
NCTY,06-Jan-2010,8.05,8.41,7.99,8.25,301300,NASDAQ
NCTY,07-Jan-2010,8.25,8.25,7.77,8.0,288100,NASDAQ
NCTY,08-Jan-2010,8.2,8.25,7.75,8.25,342000,NASDAQ
NCTY,11-Jan-2010,8.5,8.5,8.17,8.17,105200,NASDAQ
NCTY,12-Jan-2010,8.18,8.37,8.14,8.2,125700,NASDAQ
NCTY,13-Jan-2010,8.15,8.38,8.0,8.28,91100,NASDAQ
NCTY,14-Jan-2010,8.27,8.5,8.08,8.36,45000,NASDAQ
NCTY,15-Jan-2010,8.3,8.64,8.3,8.52,177200,NASDAQ
NCTY,19-Jan-2010,8.52,8.66,8.5,8.53,83300,NASDAQ
NCTY,20-Jan-2010,8.44,8.44,7.86,8.04,120500,NASDAQ
NCTY,21-Jan-2010,7.99,8.14,7.73,7.8,62800,NASDAQ
NCTY,22-Jan-2010,7.76,7.87,7.49,7.49,37600,NASDAQ
NCTY,25-Jan-2010,7.47,7.49,7.15,7.25,123000,NASDAQ
NCTY,26-Jan-2010,7.19,7.27,7.03,7.09,50000,NASDAQ
NCTY,27-Jan-2010,7.1,7.17,6.85,6.97,152000,NASDAQ
NCTY,28-Jan-2010,7.03,7.06,6.97,6.97,86200,NASDAQ
NCTY,29-Jan-2010,7.03,7.12,6.78,6.81,68500,NASDAQ
NCTY,01-Feb-2010,6.83,7.14,6.83,6.99,141900,NASDAQ
NCTY,02-Feb-2010,6.98,7.34,6.98,7.21,102300,NASDAQ
NCTY,03-Feb-2010,7.15,7.23,6.95,7.11,40100,NASDAQ
NCTY,04-Feb-2010,7.04,7.18,6.8,6.86,65500,NASDAQ
NCTY,05-Feb-2010,6.82,7.0,6.8,6.87,46800,NASDAQ
NCTY,08-Feb-2010,6.83,6.99,6.8,6.81,30100,NASDAQ
NCTY,09-Feb-2010,6.98,6.98,6.5,6.65,88900,NASDAQ
NCTY,10-Feb-2010,6.64,6.8,6.35,6.52,92800,NASDAQ
NCTY,11-Feb-2010,6.5,6.89,6.5,6.64,53000,NASDAQ
NCTY,12-Feb-2010,6.57,6.68,6.5,6.6,39100,NASDAQ
NCTY,16-Feb-2010,6.63,6.76,6.51,6.68,51200,NASDAQ
NCTY,17-Feb-2010,6.75,6.79,6.51,6.71,37200,NASDAQ
NCTY,18-Feb-2010,6.67,6.75,6.63,6.67,20300,NASDAQ
NCTY,19-Feb-2010,6.64,6.8,6.6,6.61,27900,NASDAQ
NCTY,22-Feb-2010,6.6,6.78,6.56,6.71,57400,NASDAQ
NCTY,23-Feb-2010,6.65,6.7,6.6,6.65,23800,NASDAQ
NCTY,24-Feb-2010,6.74,7.2,6.69,7.2,95200,NASDAQ
NCTY,25-Feb-2010,7.1,7.19,6.8,6.89,37800,NASDAQ
NCTY,26-Feb-2010,6.92,7.05,6.8,7.02,26100,NASDAQ
NCTY,01-Mar-2010,7.22,7.22,6.93,7.01,19000,NASDAQ
NCTY,02-Mar-2010,7.0,7.0,6.86,6.87,10500,NASDAQ
NCTY,03-Mar-2010,6.9,6.9,6.71,6.78,26000,NASDAQ
NCTY,04-Mar-2010,6.73,6.78,6.64,6.7,27600,NASDAQ
NCTY,05-Mar-2010,6.81,7.06,6.79,7.02,39200,NASDAQ
NCTY,08-Mar-2010,7.15,7.26,7.01,7.24,84100,NASDAQ
NCTY,09-Mar-2010,7.23,7.49,7.12,7.3,79900,NASDAQ
NCTY,10-Mar-2010,7.26,7.42,7.23,7.3,37500,NASDAQ
NCTY,11-Mar-2010,7.27,7.27,7.16,7.2,37600,NASDAQ
NCTY,12-Mar-2010,7.35,7.46,7.23,7.24,15300,NASDAQ
NCTY,15-Mar-2010,7.19,7.45,7.19,7.3,17200,NASDAQ
NCTY,16-Mar-2010,7.3,7.4,7.15,7.32,49400,NASDAQ
NCTY,17-Mar-2010,7.28,7.48,7.14,7.32,25900,NASDAQ
NCTY,18-Mar-2010,7.42,7.48,7.35,7.41,24200,NASDAQ
NCTY,19-Mar-2010,7.21,7.39,7.13,7.17,40900,NASDAQ
NCTY,22-Mar-2010,7.09,7.23,6.73,7.05,32300,NASDAQ
NCTY,23-Mar-2010,6.95,7.2,6.86,6.86,25700,NASDAQ
NCTY,24-Mar-2010,6.81,6.93,6.71,6.79,31600,NASDAQ
NCTY,25-Mar-2010,6.76,6.96,6.76,6.88,14500,NASDAQ
NCTY,26-Mar-2010,6.9,6.95,6.8,6.89,44200,NASDAQ
NCTY,29-Mar-2010,6.83,7.03,6.81,7.0,24000,NASDAQ
NCTY,30-Mar-2010,7.0,7.09,6.82,7.0,54700,NASDAQ
NCTY,31-Mar-2010,6.93,7.13,6.91,7.03,42900,NASDAQ
NCTY,01-Apr-2010,7.06,7.1,7.0,7.0,34000,NASDAQ
NCTY,05-Apr-2010,7.02,7.33,7.02,7.14,39500,NASDAQ
NCTY,06-Apr-2010,7.09,7.09,6.93,7.02,31700,NASDAQ
NCTY,07-Apr-2010,7.03,7.11,7.0,7.01,38600,NASDAQ
NCTY,08-Apr-2010,6.95,7.07,6.84,7.01,39100,NASDAQ
NCTY,09-Apr-2010,7.0,7.22,6.94,7.0,20500,NASDAQ
NCTY,12-Apr-2010,7.0,7.09,7.0,7.03,20100,NASDAQ
NCTY,13-Apr-2010,7.0,7.05,7.0,7.03,25000,NASDAQ
NCTY,14-Apr-2010,7.06,7.17,7.0,7.13,84300,NASDAQ
NCTY,15-Apr-2010,7.13,7.2,7.05,7.16,44100,NASDAQ
NCTY,16-Apr-2010,7.1,7.15,6.9,6.95,60100,NASDAQ
