name,date,open_price,close_price,high_price,low_price,volume,market
NKTR,04-Jan-2010,9.41,9.71,9.38,9.68,909900,NASDAQ
NKTR,05-Jan-2010,9.69,9.84,9.56,9.66,434000,NASDAQ
NKTR,06-Jan-2010,9.62,9.74,9.42,9.53,613100,NASDAQ
NKTR,07-Jan-2010,9.62,9.66,9.41,9.57,614000,NASDAQ
NKTR,08-Jan-2010,9.51,9.52,9.33,9.39,374200,NASDAQ
NKTR,11-Jan-2010,9.41,9.59,9.29,9.5,863600,NASDAQ
NKTR,12-Jan-2010,9.76,9.79,9.21,9.7,1394300,NASDAQ
NKTR,13-Jan-2010,9.75,11.72,9.69,11.01,3868900,NASDAQ
NKTR,14-Jan-2010,11.05,12.0,11.04,11.82,2358500,NASDAQ
NKTR,15-Jan-2010,11.91,12.05,11.29,11.97,2528300,NASDAQ
NKTR,19-Jan-2010,12.09,12.19,11.87,12.02,1423300,NASDAQ
NKTR,20-Jan-2010,11.94,12.06,11.75,12.04,884300,NASDAQ
NKTR,21-Jan-2010,12.02,12.28,11.99,12.19,1212300,NASDAQ
NKTR,22-Jan-2010,12.27,12.27,11.77,11.85,1023100,NASDAQ
NKTR,25-Jan-2010,11.98,12.01,11.76,11.8,750000,NASDAQ
NKTR,26-Jan-2010,11.8,11.87,11.65,11.77,685800,NASDAQ
NKTR,27-Jan-2010,11.71,11.99,11.62,11.97,543600,NASDAQ
NKTR,28-Jan-2010,11.96,11.96,11.41,11.42,586700,NASDAQ
NKTR,29-Jan-2010,11.45,11.6,11.37,11.42,512500,NASDAQ
NKTR,01-Feb-2010,11.35,11.51,11.2,11.34,527300,NASDAQ
NKTR,02-Feb-2010,11.32,11.93,11.23,11.88,835600,NASDAQ
NKTR,03-Feb-2010,11.87,11.97,11.67,11.95,516800,NASDAQ
NKTR,04-Feb-2010,11.8,11.8,11.27,11.28,887000,NASDAQ
NKTR,05-Feb-2010,11.34,11.45,10.96,11.32,490500,NASDAQ
NKTR,08-Feb-2010,11.34,11.62,11.15,11.4,497300,NASDAQ
NKTR,09-Feb-2010,11.56,11.76,11.4,11.71,611800,NASDAQ
NKTR,10-Feb-2010,11.63,11.72,11.38,11.69,389500,NASDAQ
NKTR,11-Feb-2010,11.66,11.82,11.45,11.78,290900,NASDAQ
NKTR,12-Feb-2010,11.61,11.93,11.61,11.92,522300,NASDAQ
NKTR,16-Feb-2010,11.98,12.15,11.88,12.12,446600,NASDAQ
NKTR,17-Feb-2010,12.15,12.86,12.14,12.6,1278300,NASDAQ
NKTR,18-Feb-2010,12.64,12.88,12.47,12.87,511300,NASDAQ
NKTR,19-Feb-2010,12.9,13.0,12.76,12.84,809800,NASDAQ
NKTR,22-Feb-2010,12.85,12.97,12.75,12.93,646400,NASDAQ
NKTR,23-Feb-2010,12.97,13.0,12.49,12.52,613800,NASDAQ
NKTR,24-Feb-2010,12.55,12.85,12.5,12.67,302400,NASDAQ
NKTR,25-Feb-2010,12.46,12.61,12.25,12.59,528100,NASDAQ
NKTR,26-Feb-2010,12.53,12.63,12.34,12.39,532700,NASDAQ
NKTR,01-Mar-2010,12.43,12.8,12.37,12.77,641300,NASDAQ
NKTR,02-Mar-2010,12.83,12.9,12.46,12.53,1203700,NASDAQ
NKTR,03-Mar-2010,12.59,14.43,12.53,14.32,4508500,NASDAQ
NKTR,04-Mar-2010,14.28,14.74,14.23,14.58,1519800,NASDAQ
NKTR,05-Mar-2010,14.74,15.15,14.71,14.94,1701000,NASDAQ
NKTR,08-Mar-2010,15.07,15.3,14.85,14.89,1416300,NASDAQ
NKTR,09-Mar-2010,14.81,15.3,14.76,15.29,1413700,NASDAQ
NKTR,10-Mar-2010,15.32,15.51,15.29,15.36,1004300,NASDAQ
NKTR,11-Mar-2010,15.33,15.51,15.06,15.46,729000,NASDAQ
NKTR,12-Mar-2010,15.52,15.56,15.04,15.39,834500,NASDAQ
NKTR,15-Mar-2010,15.4,15.5,15.07,15.4,689100,NASDAQ
NKTR,16-Mar-2010,15.44,15.5,15.15,15.37,847600,NASDAQ
NKTR,17-Mar-2010,15.35,15.44,15.18,15.22,584500,NASDAQ
NKTR,18-Mar-2010,15.12,15.48,15.0,15.29,1010100,NASDAQ
NKTR,19-Mar-2010,15.38,15.38,14.83,14.84,1076700,NASDAQ
NKTR,22-Mar-2010,14.81,15.2,14.6,15.19,949900,NASDAQ
NKTR,23-Mar-2010,15.15,15.51,15.04,15.5,623800,NASDAQ
NKTR,24-Mar-2010,15.55,15.73,15.37,15.37,574600,NASDAQ
NKTR,25-Mar-2010,15.51,15.84,15.37,15.52,579100,NASDAQ
NKTR,26-Mar-2010,15.55,15.66,15.17,15.2,515600,NASDAQ
NKTR,29-Mar-2010,15.26,15.36,15.11,15.33,358400,NASDAQ
NKTR,30-Mar-2010,15.39,15.58,15.15,15.32,286700,NASDAQ
NKTR,31-Mar-2010,15.26,15.46,15.18,15.21,534800,NASDAQ
NKTR,01-Apr-2010,15.34,15.57,15.21,15.55,665600,NASDAQ
NKTR,05-Apr-2010,15.54,15.72,15.47,15.58,389200,NASDAQ
NKTR,06-Apr-2010,15.52,15.61,15.08,15.1,869000,NASDAQ
NKTR,07-Apr-2010,15.04,15.19,14.47,14.63,923500,NASDAQ
NKTR,08-Apr-2010,14.53,14.67,14.32,14.58,556600,NASDAQ
NKTR,09-Apr-2010,14.62,14.96,14.3,14.96,421900,NASDAQ
NKTR,12-Apr-2010,15.01,15.03,14.49,14.6,539800,NASDAQ
NKTR,13-Apr-2010,14.59,14.75,14.39,14.68,448700,NASDAQ
NKTR,14-Apr-2010,14.79,14.8,14.42,14.56,613100,NASDAQ
NKTR,15-Apr-2010,14.58,14.79,14.53,14.75,408900,NASDAQ
NKTR,16-Apr-2010,14.66,14.66,14.23,14.28,657400,NASDAQ
NKTR,19-Apr-2010,14.26,14.55,13.96,14.11,425900,NASDAQ
NKTR,20-Apr-2010,14.14,14.47,14.12,14.47,529800,NASDAQ
NKTR,21-Apr-2010,14.44,14.8,14.37,14.47,813600,NASDAQ
NKTR,22-Apr-2010,14.39,14.52,14.15,14.5,407700,NASDAQ
NKTR,23-Apr-2010,14.5,14.68,14.17,14.26,548200,NASDAQ
NKTR,26-Apr-2010,14.22,14.26,13.25,13.62,1512400,NASDAQ
NKTR,27-Apr-2010,13.55,13.93,13.13,13.67,1230500,NASDAQ
NKTR,28-Apr-2010,13.73,14.1,13.65,14.05,989600,NASDAQ
NKTR,29-Apr-2010,14.14,14.44,13.93,14.41,704400,NASDAQ
NKTR,30-Apr-2010,14.34,14.43,13.95,13.96,793400,NASDAQ
NKTR,03-May-2010,14.01,15.15,14.01,15.08,1295500,NASDAQ
NKTR,04-May-2010,14.94,15.05,14.3,14.55,953500,NASDAQ
NKTR,05-May-2010,14.37,14.74,14.2,14.51,619100,NASDAQ
NKTR,06-May-2010,14.47,14.57,11.5,13.13,1994500,NASDAQ
NKTR,07-May-2010,13.01,13.59,12.57,12.95,1403400,NASDAQ
