name,date,open_price,close_price,high_price,low_price,volume,market
OCC,31-Mar-2011,4.32,5.05,4.32,4.9,10100,NASDAQ
OCC,01-Apr-2011,4.94,5.11,4.9,5.05,36200,NASDAQ
OCC,04-Apr-2011,5.21,5.26,5.07,5.13,39600,NASDAQ
OCC,05-Apr-2011,5.14,5.17,5.06,5.14,28400,NASDAQ
OCC,06-Apr-2011,5.08,5.14,4.91,5.06,37400,NASDAQ
OCC,07-Apr-2011,4.96,5.05,4.93,4.98,28100,NASDAQ
OCC,08-Apr-2011,4.54,4.91,4.52,4.84,15800,NASDAQ
OCC,11-Apr-2011,5.02,5.02,4.52,4.75,8300,NASDAQ
OCC,12-Apr-2011,4.77,4.77,4.58,4.58,13600,NASDAQ
OCC,13-Apr-2011,4.64,4.66,4.58,4.62,7600,NASDAQ
OCC,14-Apr-2011,4.61,4.67,4.57,4.63,13500,NASDAQ
OCC,15-Apr-2011,4.59,5.11,4.58,4.74,5900,NASDAQ
OCC,18-Apr-2011,4.52,4.69,4.52,4.69,20200,NASDAQ
OCC,19-Apr-2011,4.93,5.01,4.75,4.91,20600,NASDAQ
OCC,20-Apr-2011,5.1,5.1,4.91,4.92,18400,NASDAQ
OCC,21-Apr-2011,4.89,5.06,4.78,4.86,21600,NASDAQ
OCC,25-Apr-2011,4.81,4.93,4.75,4.8,15200,NASDAQ
OCC,26-Apr-2011,4.71,4.87,4.58,4.59,20300,NASDAQ
OCC,27-Apr-2011,4.7,4.77,4.53,4.54,17600,NASDAQ
OCC,28-Apr-2011,4.54,4.56,4.3,4.4,20300,NASDAQ
OCC,29-Apr-2011,4.39,4.49,4.3,4.49,11100,NASDAQ
OCC,02-May-2011,4.41,4.58,4.4,4.47,6800,NASDAQ
OCC,03-May-2011,4.71,4.83,4.42,4.71,26800,NASDAQ
OCC,04-May-2011,4.65,4.69,4.34,4.51,16000,NASDAQ
OCC,05-May-2011,4.45,4.49,4.45,4.45,2700,NASDAQ
OCC,06-May-2011,4.49,4.79,4.45,4.79,17900,NASDAQ
OCC,09-May-2011,4.84,4.84,4.6,4.6,4600,NASDAQ
OCC,10-May-2011,4.59,4.81,4.55,4.81,6900,NASDAQ
OCC,11-May-2011,4.69,4.69,4.6,4.63,1800,NASDAQ
OCC,12-May-2011,4.66,4.83,4.56,4.83,20300,NASDAQ
OCC,13-May-2011,4.89,4.97,4.71,4.82,22400,NASDAQ
OCC,16-May-2011,4.74,5.29,4.74,4.92,25400,NASDAQ
OCC,17-May-2011,4.76,4.77,4.58,4.61,9100,NASDAQ
OCC,18-May-2011,4.61,4.61,4.39,4.42,71300,NASDAQ
OCC,19-May-2011,4.41,4.57,4.4,4.47,7900,NASDAQ
OCC,20-May-2011,4.41,4.47,4.41,4.47,4200,NASDAQ
OCC,23-May-2011,4.4,4.6,4.25,4.38,11000,NASDAQ
OCC,24-May-2011,4.5,4.6,4.31,4.45,9300,NASDAQ
OCC,25-May-2011,4.54,4.6,4.43,4.44,10500,NASDAQ
OCC,26-May-2011,4.46,4.55,4.25,4.34,10600,NASDAQ
OCC,27-May-2011,4.17,4.32,4.17,4.22,15600,NASDAQ
OCC,31-May-2011,4.28,4.43,4.28,4.43,5000,NASDAQ
OCC,01-Jun-2011,4.42,4.56,4.22,4.22,7200,NASDAQ
OCC,02-Jun-2011,4.22,4.29,4.2,4.27,2300,NASDAQ
OCC,03-Jun-2011,4.27,4.37,4.26,4.36,2900,NASDAQ
OCC,06-Jun-2011,4.34,4.34,3.88,4.14,27000,NASDAQ
OCC,07-Jun-2011,4.17,4.48,4.17,4.3,8300,NASDAQ
OCC,08-Jun-2011,4.46,4.46,3.91,4.1,19800,NASDAQ
OCC,09-Jun-2011,4.1,4.26,3.93,4.26,8700,NASDAQ
OCC,10-Jun-2011,4.19,4.45,4.19,4.3,11500,NASDAQ
OCC,13-Jun-2011,4.37,4.37,3.99,4.16,10100,NASDAQ
OCC,14-Jun-2011,3.79,4.11,3.6,3.89,28600,NASDAQ
OCC,15-Jun-2011,3.88,3.89,3.59,3.71,24900,NASDAQ
OCC,16-Jun-2011,3.82,3.84,3.52,3.7,9800,NASDAQ
OCC,17-Jun-2011,3.72,3.83,3.72,3.83,10900,NASDAQ
OCC,20-Jun-2011,3.52,3.94,3.42,3.9,18400,NASDAQ
OCC,21-Jun-2011,3.89,3.96,3.89,3.96,7900,NASDAQ
OCC,22-Jun-2011,4.04,4.12,4.0,4.12,15700,NASDAQ
OCC,23-Jun-2011,3.98,4.19,3.98,4.19,6100,NASDAQ
OCC,24-Jun-2011,4.19,4.38,4.15,4.38,3800,NASDAQ
OCC,27-Jun-2011,4.24,4.25,4.11,4.25,11600,NASDAQ
OCC,28-Jun-2011,4.24,4.24,4.0,4.1,215500,NASDAQ
OCC,29-Jun-2011,4.07,4.08,3.98,4.05,17800,NASDAQ
OCC,30-Jun-2011,3.98,4.1,3.98,4.05,10500,NASDAQ
OCC,01-Jul-2011,4.09,4.15,4.06,4.06,6800,NASDAQ
OCC,05-Jul-2011,4.08,4.21,4.08,4.21,9900,NASDAQ
OCC,06-Jul-2011,4.2,4.32,4.08,4.21,9700,NASDAQ
OCC,07-Jul-2011,4.21,4.21,4.02,4.18,10700,NASDAQ
OCC,08-Jul-2011,4.02,4.15,4.02,4.06,17300,NASDAQ
OCC,11-Jul-2011,4.09,4.2,3.99,4.14,13100,NASDAQ
OCC,12-Jul-2011,4.02,4.11,4.02,4.11,2500,NASDAQ
OCC,13-Jul-2011,4.11,4.19,4.1,4.1,7500,NASDAQ
OCC,14-Jul-2011,4.17,4.2,4.01,4.11,6900,NASDAQ
OCC,15-Jul-2011,4.09,4.24,4.04,4.23,9100,NASDAQ
OCC,18-Jul-2011,4.22,4.37,4.08,4.18,12200,NASDAQ
OCC,19-Jul-2011,4.11,4.46,4.11,4.39,14700,NASDAQ
OCC,20-Jul-2011,4.44,4.47,4.36,4.39,15400,NASDAQ
OCC,21-Jul-2011,4.42,4.54,4.42,4.52,7200,NASDAQ
OCC,22-Jul-2011,4.59,4.59,4.4,4.51,6300,NASDAQ
OCC,25-Jul-2011,4.41,4.41,4.24,4.29,8300,NASDAQ
OCC,26-Jul-2011,4.39,4.4,4.27,4.27,1300,NASDAQ
OCC,27-Jul-2011,4.33,4.33,4.1,4.1,1900,NASDAQ
OCC,28-Jul-2011,4.08,4.08,3.96,3.96,9500,NASDAQ
OCC,29-Jul-2011,3.93,4.03,3.93,4.03,1200,NASDAQ
OCC,01-Aug-2011,4.04,4.05,3.71,3.82,13100,NASDAQ
