name,date,open_price,close_price,high_price,low_price,volume,market
OFED,14-Jan-2011,11.03,12.3,11.0,11.96,169500,NASDAQ
OFED,18-Jan-2011,11.95,12.06,11.5,11.9,79100,NASDAQ
OFED,19-Jan-2011,11.99,11.99,11.91,11.91,6500,NASDAQ
OFED,20-Jan-2011,11.62,11.9,11.6,11.9,33500,NASDAQ
OFED,21-Jan-2011,11.9,11.9,11.9,11.9,0,NASDAQ
OFED,24-Jan-2011,11.9,11.9,11.9,11.9,0,NASDAQ
OFED,25-Jan-2011,11.79,12.01,11.77,12.01,79200,NASDAQ
OFED,26-Jan-2011,11.85,12.06,11.83,11.99,6600,NASDAQ
OFED,27-Jan-2011,12.03,12.07,12.0,12.0,12700,NASDAQ
OFED,28-Jan-2011,12.0,12.06,11.81,12.0,21600,NASDAQ
OFED,31-Jan-2011,11.8,11.84,11.8,11.8,400,NASDAQ
OFED,01-Feb-2011,11.75,12.05,11.75,12.05,3400,NASDAQ
OFED,02-Feb-2011,12.05,12.05,12.05,12.05,0,NASDAQ
OFED,03-Feb-2011,12.0,12.06,11.94,12.05,8600,NASDAQ
OFED,04-Feb-2011,12.03,12.09,12.03,12.09,40400,NASDAQ
OFED,07-Feb-2011,12.08,12.09,12.08,12.09,2000,NASDAQ
OFED,08-Feb-2011,12.07,12.2,12.07,12.19,23300,NASDAQ
OFED,09-Feb-2011,12.15,12.22,12.11,12.11,6000,NASDAQ
OFED,10-Feb-2011,12.1,12.1,12.1,12.1,1000,NASDAQ
OFED,11-Feb-2011,12.1,12.1,12.0,12.0,5500,NASDAQ
OFED,14-Feb-2011,12.19,12.96,12.19,12.5,30900,NASDAQ
OFED,15-Feb-2011,12.5,12.5,12.5,12.5,0,NASDAQ
OFED,16-Feb-2011,12.5,13.5,12.5,13.44,57000,NASDAQ
OFED,17-Feb-2011,13.2,13.34,13.01,13.32,2500,NASDAQ
OFED,18-Feb-2011,13.27,13.45,12.75,12.75,19100,NASDAQ
OFED,22-Feb-2011,12.75,12.87,12.75,12.79,1300,NASDAQ
OFED,23-Feb-2011,12.57,12.8,12.31,12.33,1500,NASDAQ
OFED,24-Feb-2011,12.28,12.28,12.26,12.26,600,NASDAQ
OFED,25-Feb-2011,12.74,12.74,12.32,12.46,3500,NASDAQ
OFED,28-Feb-2011,12.64,12.73,12.64,12.64,1300,NASDAQ
OFED,01-Mar-2011,13.24,13.48,13.24,13.32,1900,NASDAQ
OFED,02-Mar-2011,12.4,12.4,12.4,12.4,200,NASDAQ
OFED,03-Mar-2011,12.4,12.4,12.4,12.4,0,NASDAQ
OFED,04-Mar-2011,12.75,12.94,12.7,12.94,1000,NASDAQ
OFED,07-Mar-2011,12.94,12.94,12.94,12.94,0,NASDAQ
OFED,08-Mar-2011,12.74,12.74,12.23,12.23,500,NASDAQ
OFED,09-Mar-2011,12.24,12.88,12.24,12.74,5800,NASDAQ
OFED,10-Mar-2011,12.98,12.99,12.41,12.5,2400,NASDAQ
OFED,11-Mar-2011,12.55,12.55,12.12,12.25,1600,NASDAQ
OFED,14-Mar-2011,12.25,12.25,12.25,12.25,0,NASDAQ
OFED,15-Mar-2011,12.32,12.4,12.24,12.24,700,NASDAQ
OFED,16-Mar-2011,12.25,12.35,12.25,12.35,200,NASDAQ
OFED,17-Mar-2011,12.35,12.35,12.32,12.35,300,NASDAQ
OFED,18-Mar-2011,11.56,11.56,11.56,11.56,500,NASDAQ
OFED,21-Mar-2011,11.56,11.56,11.56,11.56,0,NASDAQ
OFED,22-Mar-2011,12.0,12.12,12.0,12.12,200,NASDAQ
OFED,23-Mar-2011,12.12,12.12,12.12,12.12,0,NASDAQ
OFED,24-Mar-2011,12.12,12.12,12.12,12.12,0,NASDAQ
OFED,25-Mar-2011,11.7,11.99,11.7,11.99,1500,NASDAQ
OFED,28-Mar-2011,11.99,11.99,11.99,11.99,0,NASDAQ
OFED,29-Mar-2011,11.96,11.96,11.79,11.79,500,NASDAQ
OFED,30-Mar-2011,11.8,11.8,11.79,11.8,1600,NASDAQ
OFED,31-Mar-2011,11.8,11.8,11.49,11.49,5700,NASDAQ
OFED,01-Apr-2011,11.56,11.56,11.5,11.5,8400,NASDAQ
OFED,04-Apr-2011,11.95,12.0,11.92,12.0,4500,NASDAQ
OFED,05-Apr-2011,11.98,12.08,11.98,12.08,2600,NASDAQ
OFED,06-Apr-2011,12.08,12.08,11.9,11.9,3000,NASDAQ
OFED,07-Apr-2011,12.08,12.08,12.08,12.08,1000,NASDAQ
OFED,08-Apr-2011,12.08,12.08,12.08,12.08,0,NASDAQ
OFED,11-Apr-2011,11.93,11.93,11.91,11.91,200,NASDAQ
OFED,12-Apr-2011,12.0,12.0,12.0,12.0,5000,NASDAQ
OFED,13-Apr-2011,12.0,12.0,12.0,12.0,500,NASDAQ
OFED,14-Apr-2011,12.08,12.08,12.08,12.08,1000,NASDAQ
OFED,15-Apr-2011,12.1,12.1,12.1,12.1,1000,NASDAQ
OFED,18-Apr-2011,12.1,12.1,12.1,12.1,0,NASDAQ
OFED,19-Apr-2011,12.1,12.1,12.1,12.1,0,NASDAQ
OFED,20-Apr-2011,12.0,12.0,12.0,12.0,1000,NASDAQ
OFED,21-Apr-2011,12.0,12.0,12.0,12.0,900,NASDAQ
OFED,25-Apr-2011,12.0,12.1,12.0,12.1,200,NASDAQ
OFED,26-Apr-2011,12.05,12.15,12.05,12.15,1600,NASDAQ
OFED,27-Apr-2011,12.15,13.0,12.15,12.73,8100,NASDAQ
OFED,28-Apr-2011,12.6,12.73,12.52,12.52,4100,NASDAQ
OFED,29-Apr-2011,12.52,12.52,12.52,12.52,0,NASDAQ
OFED,02-May-2011,12.2,12.21,12.2,12.21,1000,NASDAQ
OFED,03-May-2011,12.21,12.21,12.21,12.21,0,NASDAQ
OFED,04-May-2011,12.41,12.41,12.27,12.27,300,NASDAQ
OFED,05-May-2011,12.22,12.22,12.04,12.05,1000,NASDAQ
OFED,06-May-2011,12.05,12.05,12.05,12.05,0,NASDAQ
OFED,09-May-2011,12.4,12.4,12.4,12.4,100,NASDAQ
OFED,10-May-2011,12.4,12.4,12.4,12.4,0,NASDAQ
OFED,11-May-2011,12.4,12.4,12.4,12.4,0,NASDAQ
OFED,12-May-2011,12.4,12.4,12.4,12.4,0,NASDAQ
OFED,13-May-2011,12.3,12.3,12.24,12.24,3400,NASDAQ
OFED,16-May-2011,12.24,12.24,12.24,12.24,0,NASDAQ
OFED,17-May-2011,12.19,12.19,12.19,12.19,1800,NASDAQ
OFED,18-May-2011,12.19,12.19,12.19,12.19,0,NASDAQ
OFED,19-May-2011,12.45,12.6,12.3,12.3,4900,NASDAQ
OFED,20-May-2011,12.2,12.2,12.2,12.2,2000,NASDAQ
OFED,23-May-2011,12.2,12.55,12.2,12.55,1100,NASDAQ
OFED,24-May-2011,12.31,12.31,12.31,12.31,200,NASDAQ
OFED,25-May-2011,12.58,12.58,12.25,12.25,1100,NASDAQ
OFED,26-May-2011,12.25,12.25,12.25,12.25,0,NASDAQ
OFED,27-May-2011,12.25,12.25,12.25,12.25,0,NASDAQ
OFED,31-May-2011,12.25,12.25,12.25,12.25,0,NASDAQ
OFED,01-Jun-2011,12.25,12.25,12.25,12.25,0,NASDAQ
OFED,02-Jun-2011,12.01,12.01,12.01,12.01,100,NASDAQ
OFED,03-Jun-2011,12.01,12.01,12.01,12.01,0,NASDAQ
OFED,06-Jun-2011,12.01,12.01,12.01,12.01,0,NASDAQ
OFED,07-Jun-2011,12.01,12.01,12.01,12.01,0,NASDAQ
OFED,08-Jun-2011,12.05,12.05,12.0,12.04,1300,NASDAQ
OFED,09-Jun-2011,12.06,12.06,11.9,12.01,1000,NASDAQ
OFED,10-Jun-2011,12.01,12.01,12.01,12.01,0,NASDAQ
OFED,13-Jun-2011,11.9,11.97,11.9,11.97,1200,NASDAQ
OFED,14-Jun-2011,11.9,11.91,11.9,11.9,1900,NASDAQ
OFED,15-Jun-2011,11.9,11.9,11.9,11.9,0,NASDAQ
OFED,16-Jun-2011,11.9,11.9,11.9,11.9,0,NASDAQ
OFED,17-Jun-2011,11.83,11.83,11.83,11.83,300,NASDAQ
OFED,20-Jun-2011,12.05,12.05,12.05,12.05,500,NASDAQ
OFED,21-Jun-2011,12.05,12.05,11.85,11.85,200,NASDAQ
OFED,22-Jun-2011,11.85,11.85,11.85,11.85,0,NASDAQ
