name,date,open_price,close_price,high_price,low_price,volume,market
OPTT,04-Jan-2010,92.4,92.5,88.3,92.5,126700,NASDAQ
OPTT,05-Jan-2010,91.7,96.1,91.7,93.9,172000,NASDAQ
OPTT,06-Jan-2010,92.8,95.9,90.5,94.4,84900,NASDAQ
OPTT,07-Jan-2010,93.5,94.3,91.0,91.0,49300,NASDAQ
OPTT,08-Jan-2010,90.7,91.9,88.6,91.6,80400,NASDAQ
OPTT,11-Jan-2010,93.9,96.7,90.5,92.9,249600,NASDAQ
OPTT,12-Jan-2010,93.2,94.4,90.1,90.9,101100,NASDAQ
OPTT,13-Jan-2010,90.8,92.9,82.5,89.4,209500,NASDAQ
OPTT,14-Jan-2010,88.6,91.9,86.4,90.1,89000,NASDAQ
OPTT,15-Jan-2010,90.4,91.0,85.5,86.7,144600,NASDAQ
OPTT,19-Jan-2010,88.5,88.9,82.1,83.6,180000,NASDAQ
OPTT,20-Jan-2010,84.5,85.1,78.2,80.2,211900,NASDAQ
OPTT,21-Jan-2010,80.1,83.8,73.6,76.0,231300,NASDAQ
OPTT,22-Jan-2010,76.3,76.3,69.0,69.4,296900,NASDAQ
OPTT,25-Jan-2010,71.0,74.9,70.1,70.3,137200,NASDAQ
OPTT,26-Jan-2010,70.2,71.3,68.2,68.4,95900,NASDAQ
OPTT,27-Jan-2010,68.5,69.3,66.1,66.4,116000,NASDAQ
OPTT,28-Jan-2010,66.6,67.7,63.8,64.0,96200,NASDAQ
OPTT,29-Jan-2010,64.1,65.1,60.0,60.1,178400,NASDAQ
OPTT,01-Feb-2010,60.7,66.0,60.0,65.4,329300,NASDAQ
OPTT,02-Feb-2010,65.1,67.6,65.1,67.4,127400,NASDAQ
OPTT,03-Feb-2010,67.9,69.1,66.0,67.4,80900,NASDAQ
OPTT,04-Feb-2010,66.7,67.1,62.9,62.9,124000,NASDAQ
OPTT,05-Feb-2010,62.9,64.4,60.1,63.8,184600,NASDAQ
OPTT,08-Feb-2010,63.6,64.3,61.4,62.0,39100,NASDAQ
OPTT,09-Feb-2010,62.8,64.5,62.2,62.3,86500,NASDAQ
OPTT,10-Feb-2010,62.2,63.2,62.0,62.6,35400,NASDAQ
OPTT,11-Feb-2010,63.3,66.4,62.1,66.0,64600,NASDAQ
OPTT,12-Feb-2010,65.2,68.5,63.0,68.4,69700,NASDAQ
OPTT,16-Feb-2010,69.5,74.5,69.0,74.2,95800,NASDAQ
OPTT,17-Feb-2010,75.5,76.9,72.7,73.9,70300,NASDAQ
OPTT,18-Feb-2010,73.7,73.7,70.2,71.2,53400,NASDAQ
OPTT,19-Feb-2010,70.4,71.3,68.3,70.7,33900,NASDAQ
OPTT,22-Feb-2010,72.2,72.4,69.5,71.7,40900,NASDAQ
OPTT,23-Feb-2010,72.6,72.6,65.8,69.0,81100,NASDAQ
OPTT,24-Feb-2010,70.0,70.0,66.1,66.8,33900,NASDAQ
OPTT,25-Feb-2010,66.2,68.4,65.0,67.4,36900,NASDAQ
OPTT,26-Feb-2010,67.4,69.9,65.9,67.1,32700,NASDAQ
OPTT,01-Mar-2010,67.3,68.1,63.6,63.6,158900,NASDAQ
OPTT,02-Mar-2010,64.6,67.1,64.0,66.0,75300,NASDAQ
OPTT,03-Mar-2010,67.1,70.5,67.1,68.0,77700,NASDAQ
OPTT,04-Mar-2010,68.0,68.6,67.3,67.7,30300,NASDAQ
OPTT,05-Mar-2010,67.7,69.7,67.7,69.2,42700,NASDAQ
OPTT,08-Mar-2010,69.6,71.0,69.2,69.2,29000,NASDAQ
OPTT,09-Mar-2010,69.2,71.6,69.2,70.5,26000,NASDAQ
OPTT,10-Mar-2010,70.6,71.0,68.7,70.6,39100,NASDAQ
OPTT,11-Mar-2010,70.6,71.0,69.6,69.7,43100,NASDAQ
OPTT,12-Mar-2010,70.0,71.3,67.0,68.3,100000,NASDAQ
OPTT,15-Mar-2010,68.5,69.3,65.2,66.2,69200,NASDAQ
OPTT,16-Mar-2010,67.0,67.4,65.3,65.7,35400,NASDAQ
OPTT,17-Mar-2010,67.0,69.0,64.8,67.7,69700,NASDAQ
OPTT,18-Mar-2010,69.2,69.2,66.5,68.4,41300,NASDAQ
OPTT,19-Mar-2010,68.7,68.7,65.9,66.2,54800,NASDAQ
OPTT,22-Mar-2010,65.0,67.9,65.0,66.8,44700,NASDAQ
OPTT,23-Mar-2010,66.5,67.5,65.8,67.0,36700,NASDAQ
OPTT,24-Mar-2010,66.6,69.8,66.6,68.9,57600,NASDAQ
OPTT,25-Mar-2010,69.4,70.3,67.2,68.0,60000,NASDAQ
OPTT,26-Mar-2010,67.8,69.8,67.0,68.7,38400,NASDAQ
OPTT,29-Mar-2010,68.7,70.0,67.2,68.6,63400,NASDAQ
OPTT,30-Mar-2010,68.6,70.0,68.2,70.0,102900,NASDAQ
OPTT,31-Mar-2010,69.1,71.0,68.3,70.7,56800,NASDAQ
OPTT,01-Apr-2010,71.1,71.1,69.2,70.9,28700,NASDAQ
OPTT,05-Apr-2010,70.6,71.5,67.7,70.5,65700,NASDAQ
OPTT,06-Apr-2010,69.5,70.5,68.7,69.9,27700,NASDAQ
OPTT,07-Apr-2010,69.1,69.8,68.5,68.5,29300,NASDAQ
OPTT,08-Apr-2010,68.0,68.6,67.5,67.6,33300,NASDAQ
OPTT,09-Apr-2010,67.6,69.9,67.6,68.5,29900,NASDAQ
OPTT,12-Apr-2010,68.4,70.0,68.3,70.0,74800,NASDAQ
OPTT,13-Apr-2010,68.9,69.3,67.7,68.9,52100,NASDAQ
OPTT,14-Apr-2010,69.1,70.0,67.5,69.9,87200,NASDAQ
OPTT,15-Apr-2010,68.9,70.0,68.3,69.9,49100,NASDAQ
OPTT,16-Apr-2010,70.0,70.5,68.1,70.5,115000,NASDAQ
OPTT,19-Apr-2010,70.6,71.1,68.7,70.2,45600,NASDAQ
OPTT,20-Apr-2010,71.5,71.5,69.1,69.2,26900,NASDAQ
OPTT,21-Apr-2010,68.5,69.5,68.1,69.0,30200,NASDAQ
OPTT,22-Apr-2010,68.8,73.3,65.6,72.0,412400,NASDAQ
OPTT,23-Apr-2010,72.3,74.8,69.0,70.5,80900,NASDAQ
OPTT,26-Apr-2010,70.2,72.3,69.0,69.6,31200,NASDAQ
OPTT,27-Apr-2010,69.3,70.0,68.5,68.7,39200,NASDAQ
OPTT,28-Apr-2010,69.0,69.0,65.7,67.3,47700,NASDAQ
OPTT,29-Apr-2010,68.5,70.8,67.2,70.3,48800,NASDAQ
OPTT,30-Apr-2010,70.0,70.0,67.2,68.4,49000,NASDAQ
OPTT,03-May-2010,69.2,71.5,68.5,70.9,95700,NASDAQ
OPTT,04-May-2010,70.7,70.7,68.6,69.2,47200,NASDAQ
OPTT,05-May-2010,68.8,69.7,66.8,68.8,43900,NASDAQ
OPTT,06-May-2010,68.0,72.0,64.0,67.3,136400,NASDAQ
OPTT,07-May-2010,66.4,67.0,60.1,62.5,89500,NASDAQ
OPTT,10-May-2010,67.0,67.0,63.2,64.5,30600,NASDAQ
OPTT,11-May-2010,64.5,65.1,62.5,64.6,39900,NASDAQ
OPTT,12-May-2010,64.2,66.0,64.2,65.8,20500,NASDAQ
OPTT,13-May-2010,66.0,66.0,64.1,64.7,14300,NASDAQ
OPTT,14-May-2010,64.2,64.4,61.2,62.4,33900,NASDAQ
OPTT,17-May-2010,62.4,62.9,58.8,60.3,38800,NASDAQ
OPTT,18-May-2010,60.5,60.9,57.1,57.1,45500,NASDAQ
OPTT,19-May-2010,56.9,58.0,54.0,55.8,62100,NASDAQ
OPTT,20-May-2010,54.0,55.7,52.5,52.5,79300,NASDAQ
OPTT,21-May-2010,52.7,55.2,52.5,55.1,32000,NASDAQ
OPTT,24-May-2010,54.3,58.1,53.2,55.5,40500,NASDAQ
OPTT,25-May-2010,54.6,57.4,53.0,55.6,33700,NASDAQ
OPTT,26-May-2010,56.0,58.1,56.0,56.4,21900,NASDAQ
OPTT,27-May-2010,58.2,59.5,57.2,59.0,20900,NASDAQ
OPTT,28-May-2010,59.0,59.0,58.0,58.4,8000,NASDAQ
OPTT,01-Jun-2010,56.8,58.5,55.8,57.4,8100,NASDAQ
OPTT,02-Jun-2010,56.5,58.2,56.2,57.0,16500,NASDAQ
OPTT,03-Jun-2010,57.0,57.0,55.0,55.9,19800,NASDAQ
OPTT,04-Jun-2010,55.0,56.8,55.0,56.0,39800,NASDAQ
OPTT,07-Jun-2010,56.0,56.7,55.6,55.7,25900,NASDAQ
OPTT,08-Jun-2010,55.4,55.9,49.1,50.3,140400,NASDAQ
OPTT,09-Jun-2010,51.1,53.0,50.1,51.0,29300,NASDAQ
OPTT,10-Jun-2010,52.5,55.0,52.5,54.3,27500,NASDAQ
OPTT,11-Jun-2010,53.5,56.4,53.5,54.6,12400,NASDAQ
OPTT,14-Jun-2010,55.4,55.4,51.0,52.5,26000,NASDAQ
OPTT,15-Jun-2010,52.9,55.9,52.9,55.0,29300,NASDAQ
OPTT,16-Jun-2010,54.2,54.9,53.1,54.8,12900,NASDAQ
OPTT,17-Jun-2010,53.6,55.0,53.6,54.8,11500,NASDAQ
OPTT,18-Jun-2010,55.3,55.3,53.8,54.5,14200,NASDAQ
OPTT,21-Jun-2010,56.3,56.3,52.6,52.6,29600,NASDAQ
OPTT,22-Jun-2010,53.3,53.3,52.1,52.8,19300,NASDAQ
OPTT,23-Jun-2010,52.5,55.9,52.5,55.3,27500,NASDAQ
OPTT,24-Jun-2010,55.7,57.4,54.1,55.5,39600,NASDAQ
OPTT,25-Jun-2010,55.5,56.5,54.4,55.0,31200,NASDAQ
OPTT,28-Jun-2010,55.4,57.5,55.0,56.2,39900,NASDAQ
OPTT,29-Jun-2010,56.6,56.9,52.3,53.7,133000,NASDAQ
OPTT,30-Jun-2010,53.1,53.1,50.8,51.8,38700,NASDAQ
OPTT,01-Jul-2010,51.4,53.5,49.3,50.2,156300,NASDAQ
OPTT,02-Jul-2010,51.2,52.1,49.6,51.4,17900,NASDAQ
OPTT,06-Jul-2010,50.3,54.1,48.2,49.7,174900,NASDAQ
OPTT,07-Jul-2010,49.2,51.0,49.2,50.8,31600,NASDAQ
OPTT,08-Jul-2010,52.1,52.1,50.0,51.3,11400,NASDAQ
OPTT,09-Jul-2010,51.8,51.9,50.5,50.8,17900,NASDAQ
OPTT,12-Jul-2010,50.5,52.5,50.5,51.6,11300,NASDAQ
OPTT,13-Jul-2010,50.7,53.9,50.3,50.8,43000,NASDAQ
OPTT,14-Jul-2010,50.4,53.4,50.4,53.4,37600,NASDAQ
OPTT,15-Jul-2010,53.0,54.8,51.7,53.5,19700,NASDAQ
OPTT,16-Jul-2010,54.4,54.9,52.0,52.9,206200,NASDAQ
OPTT,19-Jul-2010,52.9,53.4,50.8,52.7,26600,NASDAQ
OPTT,20-Jul-2010,52.7,55.9,52.0,54.0,21200,NASDAQ
OPTT,21-Jul-2010,53.8,55.1,53.0,54.2,18100,NASDAQ
OPTT,22-Jul-2010,54.3,58.0,54.3,56.3,43700,NASDAQ
OPTT,23-Jul-2010,56.6,61.4,56.1,60.5,96300,NASDAQ
OPTT,26-Jul-2010,60.7,62.8,60.7,61.8,44400,NASDAQ
OPTT,27-Jul-2010,62.4,62.4,55.7,55.8,20000,NASDAQ
OPTT,28-Jul-2010,55.8,59.2,55.5,56.9,23500,NASDAQ
OPTT,29-Jul-2010,57.0,58.4,55.5,57.7,29900,NASDAQ
