name,date,open_price,close_price,high_price,low_price,volume,market
ORIG,06-Oct-2011,14.0,14.95,13.6,14.95,273400,NASDAQ
ORIG,07-Oct-2011,14.9,18.73,14.55,16.0,371100,NASDAQ
ORIG,10-Oct-2011,15.81,16.16,15.59,15.9,188700,NASDAQ
ORIG,11-Oct-2011,15.5,15.9,15.5,15.75,123000,NASDAQ
ORIG,12-Oct-2011,15.87,16.0,15.85,15.97,337900,NASDAQ
ORIG,13-Oct-2011,15.85,16.0,15.49,15.99,157800,NASDAQ
ORIG,14-Oct-2011,16.1,16.1,15.75,15.98,331100,NASDAQ
ORIG,17-Oct-2011,15.56,16.0,15.05,15.25,183100,NASDAQ
ORIG,18-Oct-2011,15.5,15.5,14.98,15.22,144100,NASDAQ
ORIG,19-Oct-2011,15.5,15.5,14.76,15.01,328600,NASDAQ
ORIG,20-Oct-2011,15.0,15.0,14.85,14.95,260300,NASDAQ
ORIG,21-Oct-2011,15.1,15.1,14.95,15.0,159300,NASDAQ
ORIG,24-Oct-2011,15.19,15.19,14.5,14.79,170100,NASDAQ
ORIG,25-Oct-2011,15.0,15.15,14.9,14.99,302000,NASDAQ
ORIG,26-Oct-2011,15.25,15.25,14.8,15.01,65900,NASDAQ
ORIG,27-Oct-2011,15.48,15.48,15.02,15.2,208200,NASDAQ
ORIG,28-Oct-2011,15.12,15.46,15.04,15.32,145300,NASDAQ
ORIG,31-Oct-2011,15.15,15.34,15.1,15.34,27500,NASDAQ
ORIG,01-Nov-2011,14.98,15.29,14.98,15.24,56300,NASDAQ
ORIG,02-Nov-2011,15.5,15.5,15.04,15.2,83400,NASDAQ
ORIG,03-Nov-2011,15.34,15.43,14.8,15.02,212600,NASDAQ
ORIG,04-Nov-2011,14.99,15.0,14.72,14.9,19700,NASDAQ
ORIG,07-Nov-2011,14.7,14.87,14.15,14.49,219900,NASDAQ
ORIG,08-Nov-2011,14.69,15.0,14.41,14.6,268000,NASDAQ
ORIG,09-Nov-2011,14.32,14.48,14.02,14.35,167200,NASDAQ
ORIG,10-Nov-2011,14.46,15.2,13.61,14.05,167000,NASDAQ
ORIG,11-Nov-2011,14.06,14.61,14.06,14.32,59800,NASDAQ
ORIG,14-Nov-2011,14.33,14.33,13.95,14.15,187100,NASDAQ
ORIG,15-Nov-2011,14.03,14.23,13.8,14.17,315800,NASDAQ
ORIG,16-Nov-2011,13.97,14.12,13.86,14.05,88400,NASDAQ
ORIG,17-Nov-2011,13.99,14.04,13.51,13.7,90900,NASDAQ
ORIG,18-Nov-2011,13.69,13.7,13.4,13.55,222900,NASDAQ
ORIG,21-Nov-2011,13.55,13.55,13.07,13.16,146000,NASDAQ
ORIG,22-Nov-2011,13.1,13.34,13.07,13.3,123300,NASDAQ
ORIG,23-Nov-2011,13.19,13.19,12.88,12.88,46300,NASDAQ
ORIG,25-Nov-2011,12.88,12.9,12.5,12.51,22500,NASDAQ
ORIG,28-Nov-2011,12.7,12.95,12.46,12.81,107800,NASDAQ
ORIG,29-Nov-2011,12.89,13.1,12.16,12.2,185600,NASDAQ
ORIG,30-Nov-2011,12.33,12.8,12.3,12.48,52700,NASDAQ
ORIG,01-Dec-2011,12.42,12.86,12.42,12.63,205600,NASDAQ
ORIG,02-Dec-2011,12.79,12.79,12.41,12.51,77300,NASDAQ
ORIG,05-Dec-2011,12.6,12.6,12.3,12.3,71400,NASDAQ
ORIG,06-Dec-2011,12.35,12.88,12.35,12.69,183000,NASDAQ
ORIG,07-Dec-2011,12.63,12.86,12.54,12.63,50000,NASDAQ
ORIG,08-Dec-2011,12.59,12.85,12.36,12.36,106200,NASDAQ
ORIG,09-Dec-2011,12.5,12.91,12.4,12.86,310300,NASDAQ
ORIG,12-Dec-2011,12.74,12.74,12.5,12.53,68700,NASDAQ
ORIG,13-Dec-2011,12.86,12.9,12.4,12.52,80400,NASDAQ
ORIG,14-Dec-2011,12.46,12.47,12.35,12.36,169300,NASDAQ
ORIG,15-Dec-2011,12.46,12.46,12.0,12.18,93800,NASDAQ
ORIG,16-Dec-2011,12.21,12.4,12.08,12.17,157900,NASDAQ
ORIG,19-Dec-2011,12.01,12.2,11.93,12.0,66200,NASDAQ
ORIG,20-Dec-2011,12.16,12.43,12.09,12.39,101400,NASDAQ
ORIG,21-Dec-2011,12.31,12.42,12.2,12.3,24800,NASDAQ
ORIG,22-Dec-2011,12.3,12.44,12.23,12.34,55200,NASDAQ
ORIG,23-Dec-2011,12.37,12.4,12.37,12.37,11500,NASDAQ
ORIG,27-Dec-2011,12.35,12.36,12.1,12.2,7700,NASDAQ
ORIG,28-Dec-2011,12.02,12.17,11.85,11.96,22400,NASDAQ
ORIG,29-Dec-2011,11.88,12.3,11.88,11.97,26800,NASDAQ
ORIG,30-Dec-2011,11.9,12.2,11.89,12.2,22600,NASDAQ
