name,date,open_price,close_price,high_price,low_price,volume,market
OSBC,04-Jan-2010,7.12,7.19,6.91,6.98,25100,NASDAQ
OSBC,05-Jan-2010,6.96,6.96,6.7,6.83,50900,NASDAQ
OSBC,06-Jan-2010,6.83,6.94,6.69,6.72,30000,NASDAQ
OSBC,07-Jan-2010,6.69,7.15,6.64,6.97,85900,NASDAQ
OSBC,08-Jan-2010,6.99,7.24,6.97,7.2,54500,NASDAQ
OSBC,11-Jan-2010,7.24,7.3,6.92,7.13,67300,NASDAQ
OSBC,12-Jan-2010,7.06,7.09,6.95,7.0,50400,NASDAQ
OSBC,13-Jan-2010,7.03,7.1,6.8,6.98,96500,NASDAQ
OSBC,14-Jan-2010,7.01,7.28,7.0,7.1,41900,NASDAQ
OSBC,15-Jan-2010,7.14,7.22,6.69,7.1,88800,NASDAQ
OSBC,19-Jan-2010,7.11,7.11,6.86,7.0,132000,NASDAQ
OSBC,20-Jan-2010,6.99,7.18,6.78,6.85,68400,NASDAQ
OSBC,21-Jan-2010,6.85,6.92,6.6,6.8,50000,NASDAQ
OSBC,22-Jan-2010,6.78,6.87,6.59,6.75,32600,NASDAQ
OSBC,25-Jan-2010,6.82,6.88,6.6,6.78,20800,NASDAQ
OSBC,26-Jan-2010,6.75,6.78,6.02,6.5,100700,NASDAQ
OSBC,27-Jan-2010,6.41,6.83,6.41,6.5,39800,NASDAQ
OSBC,28-Jan-2010,6.51,6.51,6.15,6.28,69700,NASDAQ
OSBC,29-Jan-2010,6.32,6.46,5.92,5.92,175800,NASDAQ
OSBC,01-Feb-2010,5.99,6.01,5.68,5.79,47700,NASDAQ
OSBC,02-Feb-2010,5.79,6.06,5.34,5.64,65600,NASDAQ
OSBC,03-Feb-2010,5.63,6.34,5.63,6.18,244000,NASDAQ
OSBC,04-Feb-2010,6.15,6.29,6.04,6.09,49700,NASDAQ
OSBC,05-Feb-2010,6.1,6.34,6.1,6.34,69800,NASDAQ
OSBC,08-Feb-2010,6.35,6.35,6.2,6.29,31800,NASDAQ
OSBC,09-Feb-2010,6.32,6.35,6.24,6.3,80200,NASDAQ
OSBC,10-Feb-2010,6.31,6.35,6.24,6.3,32900,NASDAQ
OSBC,11-Feb-2010,6.27,6.5,5.94,6.48,79400,NASDAQ
OSBC,12-Feb-2010,6.3,6.72,6.3,6.7,55600,NASDAQ
OSBC,16-Feb-2010,6.73,6.79,6.53,6.79,33900,NASDAQ
OSBC,17-Feb-2010,6.79,6.85,6.59,6.8,41300,NASDAQ
OSBC,18-Feb-2010,6.84,6.98,6.69,6.92,23500,NASDAQ
OSBC,19-Feb-2010,6.93,7.0,6.71,6.77,25500,NASDAQ
OSBC,22-Feb-2010,6.92,6.92,6.51,6.77,32700,NASDAQ
OSBC,23-Feb-2010,6.75,6.83,6.68,6.68,13100,NASDAQ
OSBC,24-Feb-2010,6.69,6.79,6.65,6.77,23100,NASDAQ
