name,date,open_price,close_price,high_price,low_price,volume,market
OTTR,04-Jan-2010,25.0,25.39,24.83,25.25,88200,NASDAQ
OTTR,05-Jan-2010,25.2,25.26,24.51,24.52,117500,NASDAQ
OTTR,06-Jan-2010,24.45,24.5,23.88,23.98,167500,NASDAQ
OTTR,07-Jan-2010,24.0,24.14,23.75,24.12,65700,NASDAQ
OTTR,08-Jan-2010,24.11,24.19,23.88,24.11,62900,NASDAQ
OTTR,11-Jan-2010,24.17,24.22,23.79,24.06,61600,NASDAQ
OTTR,12-Jan-2010,23.89,24.03,23.77,23.95,102100,NASDAQ
OTTR,13-Jan-2010,24.0,24.14,23.71,23.98,89600,NASDAQ
OTTR,14-Jan-2010,23.85,24.09,23.85,23.96,97300,NASDAQ
OTTR,15-Jan-2010,24.08,24.08,23.47,23.62,146000,NASDAQ
OTTR,19-Jan-2010,23.74,24.09,23.62,24.09,91400,NASDAQ
OTTR,20-Jan-2010,23.95,23.95,23.36,23.79,146000,NASDAQ
OTTR,21-Jan-2010,23.89,23.94,23.0,23.1,182300,NASDAQ
OTTR,22-Jan-2010,23.12,23.28,22.65,22.8,189100,NASDAQ
OTTR,25-Jan-2010,22.92,23.06,22.63,22.78,134600,NASDAQ
OTTR,26-Jan-2010,22.76,22.84,22.4,22.46,154100,NASDAQ
OTTR,27-Jan-2010,22.4,22.76,22.21,22.72,124400,NASDAQ
OTTR,28-Jan-2010,22.83,22.84,21.91,22.05,188500,NASDAQ
OTTR,29-Jan-2010,22.06,22.48,21.6,21.6,439100,NASDAQ
OTTR,01-Feb-2010,21.71,21.81,21.35,21.49,327400,NASDAQ
OTTR,02-Feb-2010,21.55,21.65,21.2,21.4,427000,NASDAQ
OTTR,03-Feb-2010,21.26,21.42,20.86,21.41,232300,NASDAQ
OTTR,04-Feb-2010,21.31,21.32,20.72,20.76,211900,NASDAQ
OTTR,05-Feb-2010,20.88,21.13,20.28,20.69,237400,NASDAQ
OTTR,08-Feb-2010,20.76,20.76,20.39,20.56,163800,NASDAQ
OTTR,09-Feb-2010,20.37,20.69,19.97,20.33,397700,NASDAQ
OTTR,10-Feb-2010,20.15,20.31,19.83,20.06,279600,NASDAQ
OTTR,11-Feb-2010,20.02,20.23,19.7,20.01,393900,NASDAQ
OTTR,12-Feb-2010,19.89,20.13,19.76,20.09,213700,NASDAQ
OTTR,16-Feb-2010,20.15,20.38,20.01,20.37,309400,NASDAQ
OTTR,17-Feb-2010,20.5,20.89,20.15,20.18,197300,NASDAQ
OTTR,18-Feb-2010,20.2,20.6,20.11,20.55,392400,NASDAQ
OTTR,19-Feb-2010,20.56,20.72,20.39,20.71,301600,NASDAQ
OTTR,22-Feb-2010,20.83,21.0,20.5,20.55,116900,NASDAQ
OTTR,23-Feb-2010,20.58,20.85,20.26,20.37,105400,NASDAQ
OTTR,24-Feb-2010,20.49,20.51,20.24,20.32,134700,NASDAQ
OTTR,25-Feb-2010,20.1,20.21,19.85,20.21,185700,NASDAQ
OTTR,26-Feb-2010,19.98,20.44,19.87,19.99,174700,NASDAQ
OTTR,01-Mar-2010,20.1,20.46,20.1,20.36,151100,NASDAQ
OTTR,02-Mar-2010,20.45,20.51,20.3,20.45,191300,NASDAQ
OTTR,03-Mar-2010,20.55,20.72,20.22,20.33,386800,NASDAQ
OTTR,04-Mar-2010,20.4,20.43,20.27,20.42,111900,NASDAQ
OTTR,05-Mar-2010,20.63,20.76,20.43,20.76,273000,NASDAQ
OTTR,08-Mar-2010,20.65,21.13,20.62,21.09,206300,NASDAQ
OTTR,09-Mar-2010,21.1,21.42,21.04,21.35,165900,NASDAQ
OTTR,10-Mar-2010,21.44,21.94,21.39,21.91,256700,NASDAQ
OTTR,11-Mar-2010,21.92,22.17,21.82,22.17,220900,NASDAQ
OTTR,12-Mar-2010,22.25,22.35,22.03,22.17,203100,NASDAQ
OTTR,15-Mar-2010,22.2,22.2,22.01,22.1,112300,NASDAQ
OTTR,16-Mar-2010,22.15,22.2,22.05,22.19,89700,NASDAQ
OTTR,17-Mar-2010,22.3,22.42,22.25,22.36,87400,NASDAQ
OTTR,18-Mar-2010,22.04,22.35,21.9,22.21,104500,NASDAQ
OTTR,19-Mar-2010,22.36,22.36,21.83,21.92,231500,NASDAQ
OTTR,22-Mar-2010,22.17,22.34,21.54,22.12,109400,NASDAQ
OTTR,23-Mar-2010,22.19,22.4,21.98,22.38,90800,NASDAQ
OTTR,24-Mar-2010,22.34,22.38,22.22,22.26,118000,NASDAQ
OTTR,25-Mar-2010,22.4,22.49,22.0,22.08,358000,NASDAQ
OTTR,26-Mar-2010,22.22,22.33,22.03,22.12,120700,NASDAQ
OTTR,29-Mar-2010,22.24,22.25,22.0,22.15,76500,NASDAQ
OTTR,30-Mar-2010,22.07,22.25,21.86,22.06,129000,NASDAQ
OTTR,31-Mar-2010,22.0,22.22,21.94,21.96,190500,NASDAQ
OTTR,01-Apr-2010,22.14,22.25,21.98,22.18,120800,NASDAQ
OTTR,05-Apr-2010,22.35,22.43,22.11,22.25,121000,NASDAQ
OTTR,06-Apr-2010,22.11,22.19,22.0,22.14,114300,NASDAQ
OTTR,07-Apr-2010,22.18,22.18,21.95,22.09,87600,NASDAQ
OTTR,08-Apr-2010,21.94,22.18,21.58,21.88,209300,NASDAQ
OTTR,09-Apr-2010,21.77,21.88,21.46,21.87,140500,NASDAQ
OTTR,12-Apr-2010,21.84,22.0,21.67,21.73,169900,NASDAQ
OTTR,13-Apr-2010,21.73,21.76,21.49,21.75,143300,NASDAQ
OTTR,14-Apr-2010,21.85,22.29,21.73,22.29,111200,NASDAQ
OTTR,15-Apr-2010,22.05,22.56,21.93,22.54,280000,NASDAQ
OTTR,16-Apr-2010,22.54,22.62,22.27,22.34,125100,NASDAQ
OTTR,19-Apr-2010,22.17,22.42,22.02,22.36,75200,NASDAQ
OTTR,20-Apr-2010,22.53,22.53,22.38,22.5,87800,NASDAQ
OTTR,21-Apr-2010,22.61,22.61,22.34,22.44,112400,NASDAQ
OTTR,22-Apr-2010,22.31,22.76,22.19,22.73,237000,NASDAQ
OTTR,23-Apr-2010,22.68,22.87,22.65,22.83,112200,NASDAQ
OTTR,26-Apr-2010,22.77,23.07,22.77,22.81,123200,NASDAQ
OTTR,27-Apr-2010,22.73,23.1,22.42,22.44,111800,NASDAQ
OTTR,28-Apr-2010,22.52,22.73,22.31,22.39,95000,NASDAQ
OTTR,29-Apr-2010,22.61,22.63,22.4,22.55,130600,NASDAQ
OTTR,30-Apr-2010,22.53,22.54,22.2,22.22,185600,NASDAQ
OTTR,03-May-2010,22.26,22.54,22.2,22.5,138700,NASDAQ
OTTR,04-May-2010,22.18,22.94,21.95,22.59,283800,NASDAQ
OTTR,05-May-2010,22.17,22.35,21.39,21.61,310300,NASDAQ
OTTR,06-May-2010,21.54,21.63,19.67,20.69,202300,NASDAQ
OTTR,07-May-2010,20.69,21.04,20.0,20.1,253700,NASDAQ
