name,date,open_price,close_price,high_price,low_price,volume,market
OZRK,04-Jan-2010,7.4125,7.465,7.34,7.395,237700,NASDAQ
OZRK,05-Jan-2010,7.395,7.395,7.2275,7.3075,387000,NASDAQ
OZRK,06-Jan-2010,7.2975,7.3225,6.995,7.165,342100,NASDAQ
OZRK,07-Jan-2010,7.15,7.4675,7.1,7.4125,102100,NASDAQ
OZRK,08-Jan-2010,7.415,7.5,7.28,7.475,79200,NASDAQ
OZRK,11-Jan-2010,7.485,7.485,7.33,7.415,49400,NASDAQ
OZRK,12-Jan-2010,7.3475,7.46,7.3,7.3825,106700,NASDAQ
OZRK,13-Jan-2010,7.39,7.5125,7.39,7.495,216800,NASDAQ
OZRK,14-Jan-2010,7.4725,7.715,7.4725,7.6975,364300,NASDAQ
OZRK,15-Jan-2010,7.6475,7.6475,7.2975,7.405,495200,NASDAQ
OZRK,19-Jan-2010,7.4025,7.625,7.38,7.545,435300,NASDAQ
OZRK,20-Jan-2010,7.5,7.6525,7.375,7.5475,209600,NASDAQ
OZRK,21-Jan-2010,7.525,7.6775,7.4025,7.615,225300,NASDAQ
OZRK,22-Jan-2010,7.615,7.66,7.535,7.6,108200,NASDAQ
OZRK,25-Jan-2010,7.6575,7.6575,7.3925,7.41,89700,NASDAQ
OZRK,26-Jan-2010,7.4125,7.4875,7.2825,7.2825,57100,NASDAQ
OZRK,27-Jan-2010,7.28,7.4825,7.2325,7.3975,75200,NASDAQ
OZRK,28-Jan-2010,7.4275,7.4775,7.25,7.3625,286500,NASDAQ
OZRK,29-Jan-2010,7.405,7.46,7.3225,7.4075,102900,NASDAQ
OZRK,01-Feb-2010,7.4125,7.49,7.3525,7.3975,100100,NASDAQ
OZRK,02-Feb-2010,7.38,7.4125,7.3425,7.375,149700,NASDAQ
OZRK,03-Feb-2010,7.36,7.3675,7.2925,7.3375,113300,NASDAQ
OZRK,04-Feb-2010,7.27,7.335,7.2125,7.275,108200,NASDAQ
OZRK,05-Feb-2010,7.275,7.43,7.2275,7.425,117000,NASDAQ
OZRK,08-Feb-2010,7.3975,7.3975,7.285,7.285,44600,NASDAQ
OZRK,09-Feb-2010,7.355,7.425,7.25,7.35,54400,NASDAQ
OZRK,10-Feb-2010,7.3075,7.3925,7.2325,7.3375,64800,NASDAQ
OZRK,11-Feb-2010,7.3375,7.3375,7.2525,7.2875,66100,NASDAQ
OZRK,12-Feb-2010,7.235,7.3125,7.225,7.3125,126600,NASDAQ
OZRK,16-Feb-2010,7.385,7.385,7.2925,7.335,39700,NASDAQ
OZRK,17-Feb-2010,7.375,7.41,7.2375,7.25,146400,NASDAQ
OZRK,18-Feb-2010,7.2625,7.37,7.2625,7.37,47000,NASDAQ
OZRK,19-Feb-2010,7.375,7.455,7.36,7.4,49100,NASDAQ
OZRK,22-Feb-2010,7.4325,7.515,7.3775,7.4775,50500,NASDAQ
OZRK,23-Feb-2010,7.4775,7.5975,7.4,7.58,194300,NASDAQ
OZRK,24-Feb-2010,7.575,7.705,7.575,7.6525,70600,NASDAQ
OZRK,25-Feb-2010,7.5775,7.72,7.5775,7.7025,42200,NASDAQ
OZRK,26-Feb-2010,7.715,7.73,7.4675,7.68,91200,NASDAQ
OZRK,01-Mar-2010,7.7025,8.0,7.7025,7.99,183200,NASDAQ
OZRK,02-Mar-2010,8.0,8.15,7.9775,8.0875,350500,NASDAQ
OZRK,03-Mar-2010,8.1075,8.1825,8.06,8.16,99000,NASDAQ
OZRK,04-Mar-2010,8.15,8.245,8.055,8.195,52000,NASDAQ
OZRK,05-Mar-2010,8.2225,8.3675,8.19,8.3475,94400,NASDAQ
OZRK,08-Mar-2010,8.32,8.3475,8.23,8.24,69700,NASDAQ
OZRK,09-Mar-2010,7.9025,8.125,7.9025,8.045,109900,NASDAQ
OZRK,10-Mar-2010,8.065,8.215,7.9425,8.1475,53400,NASDAQ
OZRK,11-Mar-2010,8.1125,8.25,8.105,8.2375,61800,NASDAQ
OZRK,12-Mar-2010,8.28,8.355,8.24,8.29,159000,NASDAQ
OZRK,15-Mar-2010,8.3025,8.4125,8.27,8.3425,87600,NASDAQ
OZRK,16-Mar-2010,8.3825,8.4,8.22,8.3675,77800,NASDAQ
OZRK,17-Mar-2010,8.39,8.7075,8.2975,8.6225,94900,NASDAQ
OZRK,18-Mar-2010,8.625,8.6375,8.45,8.4525,106700,NASDAQ
OZRK,19-Mar-2010,8.51,8.615,8.435,8.615,171500,NASDAQ
OZRK,22-Mar-2010,8.585,8.6375,8.4875,8.5975,139500,NASDAQ
OZRK,23-Mar-2010,8.625,8.65,8.54,8.6,119400,NASDAQ
OZRK,24-Mar-2010,8.6125,8.625,8.46,8.4725,60800,NASDAQ
OZRK,25-Mar-2010,8.5275,8.6425,8.4375,8.44,74200,NASDAQ
OZRK,26-Mar-2010,8.49,8.55,8.33,8.4225,68700,NASDAQ
OZRK,29-Mar-2010,8.58,8.925,8.58,8.6875,285700,NASDAQ
OZRK,30-Mar-2010,8.735,8.945,8.6925,8.8875,153800,NASDAQ
OZRK,31-Mar-2010,8.8925,8.96,8.7625,8.7975,95100,NASDAQ
OZRK,01-Apr-2010,8.825,8.825,8.6125,8.7375,41000,NASDAQ
OZRK,05-Apr-2010,8.7675,8.8775,8.7125,8.8775,86900,NASDAQ
OZRK,06-Apr-2010,8.8775,9.26,8.82,9.26,181100,NASDAQ
OZRK,07-Apr-2010,9.25,9.375,9.205,9.285,106200,NASDAQ
OZRK,08-Apr-2010,9.31,9.3625,9.2375,9.2575,59300,NASDAQ
OZRK,09-Apr-2010,9.2825,9.3275,9.195,9.245,139900,NASDAQ
OZRK,12-Apr-2010,9.2675,9.3,9.2375,9.3,91000,NASDAQ
OZRK,13-Apr-2010,9.25,9.3575,9.165,9.2975,59100,NASDAQ
OZRK,14-Apr-2010,9.36,9.465,9.2875,9.425,70100,NASDAQ
OZRK,15-Apr-2010,9.39,9.5425,9.375,9.44,81600,NASDAQ
OZRK,16-Apr-2010,9.45,9.485,9.2725,9.3825,69800,NASDAQ
OZRK,19-Apr-2010,9.3825,9.4875,9.25,9.3625,60200,NASDAQ
OZRK,20-Apr-2010,9.415,9.4925,9.335,9.4925,34800,NASDAQ
OZRK,21-Apr-2010,9.48,9.6075,9.4475,9.575,58000,NASDAQ
OZRK,22-Apr-2010,9.48,9.6075,9.3275,9.5675,81600,NASDAQ
OZRK,23-Apr-2010,9.5425,9.6575,9.4625,9.655,27300,NASDAQ
OZRK,26-Apr-2010,9.6175,9.6175,9.25,9.29,79900,NASDAQ
OZRK,27-Apr-2010,9.25,9.465,9.15,9.16,122900,NASDAQ
OZRK,28-Apr-2010,9.2275,9.255,9.0075,9.0225,106400,NASDAQ
OZRK,29-Apr-2010,9.39,9.945,9.32,9.875,212900,NASDAQ
OZRK,30-Apr-2010,9.8625,9.9,9.6175,9.6175,190900,NASDAQ
OZRK,03-May-2010,9.6175,9.825,9.515,9.625,112100,NASDAQ
OZRK,04-May-2010,9.5625,9.5875,9.2775,9.36,182100,NASDAQ
OZRK,05-May-2010,9.2775,9.39,9.07,9.29,234300,NASDAQ
OZRK,06-May-2010,9.28,9.2925,8.6225,8.9125,143700,NASDAQ
OZRK,07-May-2010,8.9375,9.1525,8.8025,8.8725,189200,NASDAQ
OZRK,10-May-2010,9.18,9.5,9.025,9.2125,81200,NASDAQ
OZRK,11-May-2010,9.1525,9.325,9.0225,9.2225,140500,NASDAQ
OZRK,12-May-2010,9.2675,9.2875,9.1625,9.2475,110600,NASDAQ
OZRK,13-May-2010,9.3925,9.4725,9.1675,9.4325,179300,NASDAQ
OZRK,14-May-2010,9.3575,9.4075,9.2525,9.305,168400,NASDAQ
OZRK,17-May-2010,9.37,9.4175,9.2025,9.3,114400,NASDAQ
OZRK,18-May-2010,9.355,9.3775,9.2125,9.2275,128700,NASDAQ
OZRK,19-May-2010,9.21,9.3225,9.1175,9.2,131700,NASDAQ
OZRK,20-May-2010,9.1275,9.1625,8.7625,8.765,179100,NASDAQ
OZRK,21-May-2010,8.7525,8.9625,8.63,8.8675,95100,NASDAQ
OZRK,24-May-2010,8.83,9.0325,8.65,8.65,74600,NASDAQ
OZRK,25-May-2010,8.61,8.6225,8.4125,8.55,101200,NASDAQ
OZRK,26-May-2010,8.6275,8.7275,8.51,8.5575,129900,NASDAQ
OZRK,27-May-2010,8.77,8.9275,8.68,8.885,100000,NASDAQ
OZRK,28-May-2010,8.865,8.9675,8.7675,8.8225,109400,NASDAQ
OZRK,01-Jun-2010,8.7725,8.94,8.6725,8.6975,68200,NASDAQ
OZRK,02-Jun-2010,8.695,8.96,8.6175,8.96,62800,NASDAQ
OZRK,03-Jun-2010,8.935,9.0875,8.8925,8.98,62200,NASDAQ
OZRK,04-Jun-2010,8.825,8.825,8.535,8.5475,87500,NASDAQ
OZRK,07-Jun-2010,8.5575,8.745,8.3975,8.415,95100,NASDAQ
OZRK,08-Jun-2010,8.4225,8.655,8.3525,8.5975,106600,NASDAQ
OZRK,09-Jun-2010,8.695,8.8275,8.58,8.6275,104500,NASDAQ
OZRK,10-Jun-2010,8.7075,8.885,8.6625,8.8775,95000,NASDAQ
OZRK,11-Jun-2010,8.85,9.055,8.85,9.0375,88500,NASDAQ
OZRK,14-Jun-2010,9.13,9.2575,9.0425,9.16,99600,NASDAQ
OZRK,15-Jun-2010,9.2575,9.2575,9.095,9.1925,76100,NASDAQ
OZRK,16-Jun-2010,9.105,9.3075,9.105,9.2475,98100,NASDAQ
OZRK,17-Jun-2010,9.3225,9.3225,9.105,9.175,71600,NASDAQ
OZRK,18-Jun-2010,9.2325,9.2975,9.0875,9.1825,105000,NASDAQ
OZRK,21-Jun-2010,9.31,9.31,9.025,9.045,47500,NASDAQ
OZRK,22-Jun-2010,9.0875,9.2225,8.955,8.955,51100,NASDAQ
OZRK,23-Jun-2010,8.9175,9.0475,8.8375,9.03,89600,NASDAQ
OZRK,24-Jun-2010,9.0,9.1525,8.9375,9.0575,118100,NASDAQ
OZRK,25-Jun-2010,9.065,9.2325,8.9175,9.1775,208400,NASDAQ
OZRK,28-Jun-2010,9.2125,9.3325,9.1475,9.23,37200,NASDAQ
OZRK,29-Jun-2010,9.1,9.1425,8.9125,8.96,61200,NASDAQ
OZRK,30-Jun-2010,8.9775,9.19,8.7925,8.8675,80200,NASDAQ
OZRK,01-Jul-2010,8.8625,8.945,8.5225,8.7075,69600,NASDAQ
OZRK,02-Jul-2010,8.79,8.8075,8.53,8.6025,41400,NASDAQ
OZRK,06-Jul-2010,8.7225,8.805,8.5575,8.6825,97100,NASDAQ
OZRK,07-Jul-2010,8.7275,8.9675,8.695,8.9625,102600,NASDAQ
OZRK,08-Jul-2010,9.015,9.0175,8.8325,8.9725,36800,NASDAQ
OZRK,09-Jul-2010,8.95,9.1275,8.95,9.12,45200,NASDAQ
OZRK,12-Jul-2010,9.12,9.3225,9.0925,9.2625,92700,NASDAQ
OZRK,13-Jul-2010,9.375,9.665,9.3475,9.5,156600,NASDAQ
OZRK,14-Jul-2010,9.4375,9.49,9.3325,9.49,84500,NASDAQ
OZRK,15-Jul-2010,9.525,9.56,9.2425,9.345,58400,NASDAQ
OZRK,16-Jul-2010,9.26,9.2725,8.9275,8.9475,84700,NASDAQ
OZRK,19-Jul-2010,9.0025,9.1925,9.0,9.1675,94300,NASDAQ
OZRK,20-Jul-2010,9.095,9.2475,9.01,9.2325,89600,NASDAQ
OZRK,21-Jul-2010,9.245,9.3275,8.94,8.9575,72300,NASDAQ
OZRK,22-Jul-2010,9.1025,9.2575,8.9875,9.245,77400,NASDAQ
OZRK,23-Jul-2010,9.2175,9.58,9.1125,9.4725,93700,NASDAQ
OZRK,26-Jul-2010,9.5,9.64,9.25,9.6325,61700,NASDAQ
OZRK,27-Jul-2010,9.7,9.8825,9.635,9.6725,102600,NASDAQ
OZRK,28-Jul-2010,9.63,9.665,9.35,9.3675,74700,NASDAQ
OZRK,29-Jul-2010,9.4725,9.505,9.25,9.4225,61700,NASDAQ
OZRK,30-Jul-2010,9.27,9.51,9.27,9.3625,55200,NASDAQ
OZRK,02-Aug-2010,9.5125,9.5275,9.2475,9.48,83200,NASDAQ
OZRK,03-Aug-2010,9.455,9.67,9.345,9.495,89400,NASDAQ
OZRK,04-Aug-2010,9.58,9.82,9.5425,9.7575,114000,NASDAQ
OZRK,05-Aug-2010,9.71,9.79,9.665,9.74,111400,NASDAQ
OZRK,06-Aug-2010,9.61,9.75,9.55,9.7275,133300,NASDAQ
OZRK,09-Aug-2010,9.76,9.8575,9.67,9.835,76600,NASDAQ
OZRK,10-Aug-2010,9.7025,9.7925,9.635,9.635,103900,NASDAQ
OZRK,11-Aug-2010,9.5875,9.5875,9.2,9.21,91700,NASDAQ
OZRK,12-Aug-2010,9.12,9.3375,9.01,9.205,125100,NASDAQ
OZRK,13-Aug-2010,9.1575,9.26,9.0275,9.0575,81300,NASDAQ
OZRK,16-Aug-2010,8.9975,9.29,8.9775,9.205,52800,NASDAQ
OZRK,17-Aug-2010,9.325,9.4175,9.21,9.295,76700,NASDAQ
OZRK,18-Aug-2010,9.2825,9.4675,9.145,9.3025,65500,NASDAQ
OZRK,19-Aug-2010,9.25,9.31,8.83,8.9425,105900,NASDAQ
OZRK,20-Aug-2010,8.885,8.9375,8.745,8.885,77300,NASDAQ
OZRK,23-Aug-2010,8.95,8.9925,8.7675,8.77,45300,NASDAQ
OZRK,24-Aug-2010,8.7475,9.03,8.6875,8.935,130500,NASDAQ
OZRK,25-Aug-2010,8.8525,9.205,8.8525,9.1975,132500,NASDAQ
OZRK,26-Aug-2010,9.22,9.2475,9.125,9.2125,144200,NASDAQ
OZRK,27-Aug-2010,9.255,9.33,9.1825,9.315,64900,NASDAQ
OZRK,30-Aug-2010,9.2725,9.295,9.06,9.0675,81700,NASDAQ
OZRK,31-Aug-2010,9.045,9.2175,8.985,9.185,160900,NASDAQ
OZRK,01-Sep-2010,9.31,9.52,9.1175,9.4375,107500,NASDAQ
OZRK,02-Sep-2010,9.4425,9.51,9.3175,9.4825,54300,NASDAQ
OZRK,03-Sep-2010,9.5475,9.5475,9.32,9.41,94000,NASDAQ
OZRK,07-Sep-2010,9.35,9.35,9.1875,9.2125,49500,NASDAQ
OZRK,08-Sep-2010,9.2425,9.3,9.1525,9.2175,54600,NASDAQ
OZRK,09-Sep-2010,9.2875,9.3825,9.18,9.2425,27500,NASDAQ
OZRK,10-Sep-2010,9.2725,9.3,9.1025,9.1525,64500,NASDAQ
OZRK,13-Sep-2010,9.255,9.39,9.155,9.35,103200,NASDAQ
OZRK,14-Sep-2010,9.345,9.345,9.2125,9.2225,74600,NASDAQ
OZRK,15-Sep-2010,9.1925,9.2325,9.0325,9.205,54200,NASDAQ
OZRK,16-Sep-2010,9.1625,9.2525,8.97,9.0625,71700,NASDAQ
OZRK,17-Sep-2010,9.1425,9.1775,8.965,8.9975,100100,NASDAQ
OZRK,20-Sep-2010,9.04,9.11,8.8975,9.075,162600,NASDAQ
OZRK,21-Sep-2010,9.04,9.1875,8.9675,8.97,53100,NASDAQ
OZRK,22-Sep-2010,8.95,9.04,8.835,8.88,51900,NASDAQ
OZRK,23-Sep-2010,8.8225,8.945,8.8,8.8625,132300,NASDAQ
OZRK,24-Sep-2010,8.9725,9.1325,8.8125,9.1275,88400,NASDAQ
OZRK,27-Sep-2010,9.1375,9.2625,9.01,9.1275,91300,NASDAQ
OZRK,28-Sep-2010,9.125,9.2525,9.0375,9.215,74900,NASDAQ
OZRK,29-Sep-2010,9.16,9.2925,9.09,9.2575,36000,NASDAQ
OZRK,30-Sep-2010,9.31,9.445,9.225,9.2725,70900,NASDAQ
OZRK,01-Oct-2010,9.365,9.38,9.165,9.2725,32300,NASDAQ
OZRK,04-Oct-2010,9.2525,9.3625,9.19,9.345,95200,NASDAQ
OZRK,05-Oct-2010,9.4625,9.685,9.28,9.6675,125900,NASDAQ
OZRK,06-Oct-2010,9.62,9.7075,9.57,9.615,46500,NASDAQ
