name,date,open_price,close_price,high_price,low_price,volume,market
PACB,27-Oct-2010,16.5,16.88,16.03,16.44,6093000,NASDAQ
PACB,28-Oct-2010,16.49,17.47,16.35,16.97,1396300,NASDAQ
PACB,29-Oct-2010,17.1,17.45,16.75,16.8,351800,NASDAQ
PACB,01-Nov-2010,17.12,17.12,16.42,16.59,240400,NASDAQ
PACB,02-Nov-2010,16.84,16.84,16.22,16.38,252000,NASDAQ
PACB,03-Nov-2010,16.69,16.69,14.2,14.56,625400,NASDAQ
PACB,04-Nov-2010,14.57,14.57,12.5,12.85,721000,NASDAQ
PACB,05-Nov-2010,12.51,15.64,11.62,14.56,609900,NASDAQ
PACB,08-Nov-2010,14.67,15.0,12.92,12.99,229300,NASDAQ
PACB,09-Nov-2010,12.86,13.29,12.74,12.96,162500,NASDAQ
PACB,10-Nov-2010,12.47,13.19,12.16,12.9,261900,NASDAQ
PACB,11-Nov-2010,12.51,12.9,12.48,12.51,271600,NASDAQ
PACB,12-Nov-2010,12.56,12.56,12.0,12.25,286200,NASDAQ
PACB,15-Nov-2010,12.33,13.01,12.21,13.01,265100,NASDAQ
PACB,16-Nov-2010,12.69,12.74,12.0,12.08,137100,NASDAQ
PACB,17-Nov-2010,12.0,12.24,11.8,12.09,135400,NASDAQ
PACB,18-Nov-2010,12.08,12.6,11.33,11.58,325200,NASDAQ
PACB,19-Nov-2010,11.45,11.86,11.28,11.72,220200,NASDAQ
PACB,22-Nov-2010,11.79,12.2,11.79,12.11,113000,NASDAQ
PACB,23-Nov-2010,12.1,12.13,11.9,12.03,62700,NASDAQ
PACB,24-Nov-2010,12.01,12.01,11.6,11.93,189900,NASDAQ
PACB,26-Nov-2010,11.75,11.75,11.25,11.53,112000,NASDAQ
PACB,29-Nov-2010,12.5,12.99,11.51,12.0,250700,NASDAQ
PACB,30-Nov-2010,12.12,12.75,12.01,12.6,142700,NASDAQ
PACB,01-Dec-2010,12.3,13.48,12.3,13.1,415300,NASDAQ
PACB,02-Dec-2010,13.16,13.49,12.49,12.81,246000,NASDAQ
PACB,03-Dec-2010,12.89,13.46,12.49,12.97,156400,NASDAQ
PACB,06-Dec-2010,13.35,13.73,12.97,13.25,474500,NASDAQ
PACB,07-Dec-2010,13.33,13.5,12.91,13.01,171800,NASDAQ
PACB,08-Dec-2010,12.9,13.27,12.8,13.0,65500,NASDAQ
PACB,09-Dec-2010,12.93,13.08,12.93,13.0,75400,NASDAQ
PACB,10-Dec-2010,15.0,15.43,13.35,13.65,596800,NASDAQ
PACB,13-Dec-2010,13.95,14.02,13.64,13.99,343700,NASDAQ
PACB,14-Dec-2010,14.0,14.18,13.76,14.05,416100,NASDAQ
PACB,15-Dec-2010,13.69,14.12,13.5,13.72,148800,NASDAQ
PACB,16-Dec-2010,13.85,14.66,13.63,14.22,303300,NASDAQ
PACB,17-Dec-2010,14.29,14.3,13.8,14.09,1819300,NASDAQ
PACB,20-Dec-2010,14.11,15.2,14.1,15.02,1012800,NASDAQ
PACB,21-Dec-2010,15.19,15.65,14.8,14.97,363200,NASDAQ
PACB,22-Dec-2010,15.09,16.61,14.91,16.28,403800,NASDAQ
PACB,23-Dec-2010,16.23,16.43,15.45,15.6,85200,NASDAQ
PACB,27-Dec-2010,15.7,16.24,15.56,16.1,109800,NASDAQ
PACB,28-Dec-2010,15.88,16.42,15.76,15.88,147200,NASDAQ
PACB,29-Dec-2010,16.01,16.5,15.9,16.5,118400,NASDAQ
PACB,30-Dec-2010,16.6,17.01,16.25,16.44,68000,NASDAQ
PACB,31-Dec-2010,16.44,17.0,15.72,15.91,114300,NASDAQ
PACB,03-Jan-2011,16.18,16.69,16.11,16.3,189200,NASDAQ
PACB,04-Jan-2011,16.28,16.34,15.5,15.94,280100,NASDAQ
PACB,05-Jan-2011,15.96,16.26,15.31,15.74,359200,NASDAQ
PACB,06-Jan-2011,15.85,15.9,15.0,15.06,139100,NASDAQ
PACB,07-Jan-2011,15.15,15.49,15.01,15.19,125700,NASDAQ
PACB,10-Jan-2011,15.16,15.31,14.92,15.05,54200,NASDAQ
PACB,11-Jan-2011,15.22,16.1,15.08,16.07,107200,NASDAQ
PACB,12-Jan-2011,16.1,16.1,15.81,16.0,88400,NASDAQ
PACB,13-Jan-2011,15.91,15.96,15.5,15.61,39400,NASDAQ
PACB,14-Jan-2011,15.69,15.91,15.69,15.76,84100,NASDAQ
PACB,18-Jan-2011,15.73,15.94,15.28,15.77,69700,NASDAQ
PACB,19-Jan-2011,15.72,15.86,15.31,15.34,55000,NASDAQ
PACB,20-Jan-2011,15.49,15.49,14.88,14.88,158700,NASDAQ
PACB,21-Jan-2011,14.93,14.93,14.05,14.34,173000,NASDAQ
PACB,24-Jan-2011,14.38,14.95,14.38,14.81,98600,NASDAQ
PACB,25-Jan-2011,14.8,14.99,14.54,14.99,123700,NASDAQ
PACB,26-Jan-2011,15.03,15.66,14.93,15.36,424200,NASDAQ
PACB,27-Jan-2011,15.41,15.63,15.04,15.43,274300,NASDAQ
PACB,28-Jan-2011,15.45,15.51,14.99,15.08,197200,NASDAQ
PACB,31-Jan-2011,15.08,16.24,15.08,15.8,397400,NASDAQ
PACB,01-Feb-2011,16.0,16.49,15.86,16.13,193200,NASDAQ
PACB,02-Feb-2011,16.2,16.5,15.68,15.86,307200,NASDAQ
PACB,03-Feb-2011,15.86,15.91,15.35,15.63,231600,NASDAQ
PACB,04-Feb-2011,15.56,16.63,15.54,16.13,137700,NASDAQ
PACB,07-Feb-2011,16.29,16.85,15.92,15.95,210100,NASDAQ
PACB,08-Feb-2011,15.97,16.47,15.63,15.81,58500,NASDAQ
PACB,09-Feb-2011,15.82,15.82,15.38,15.54,157200,NASDAQ
PACB,10-Feb-2011,15.48,15.94,15.21,15.66,95600,NASDAQ
PACB,11-Feb-2011,15.66,16.18,15.49,16.07,102900,NASDAQ
PACB,14-Feb-2011,16.08,16.38,15.85,15.94,78800,NASDAQ
PACB,15-Feb-2011,16.25,16.25,15.86,15.98,60900,NASDAQ
PACB,16-Feb-2011,15.93,16.01,15.0,15.11,196200,NASDAQ
PACB,17-Feb-2011,15.28,15.86,14.9,15.02,184800,NASDAQ
PACB,18-Feb-2011,15.01,15.02,14.72,14.81,209000,NASDAQ
PACB,22-Feb-2011,14.8,15.29,14.69,14.99,147100,NASDAQ
PACB,23-Feb-2011,15.5,15.71,15.0,15.59,192400,NASDAQ
PACB,24-Feb-2011,15.68,15.76,15.46,15.68,68300,NASDAQ
