name,date,open_price,close_price,high_price,low_price,volume,market
PBIB,04-Jan-2010,15.44,15.44,14.65,14.98,12700,NASDAQ
PBIB,05-Jan-2010,15.21,15.21,14.82,15.02,3100,NASDAQ
PBIB,06-Jan-2010,14.86,15.33,14.56,14.67,5700,NASDAQ
PBIB,07-Jan-2010,14.82,14.82,14.06,14.21,12900,NASDAQ
PBIB,08-Jan-2010,14.31,14.46,14.08,14.25,4500,NASDAQ
PBIB,11-Jan-2010,14.06,14.18,14.05,14.05,5400,NASDAQ
PBIB,12-Jan-2010,14.49,14.5,14.12,14.13,17000,NASDAQ
PBIB,13-Jan-2010,14.06,14.43,14.06,14.15,7800,NASDAQ
PBIB,14-Jan-2010,14.47,14.47,14.1,14.17,5800,NASDAQ
PBIB,15-Jan-2010,14.06,14.43,13.2,14.2,23100,NASDAQ
PBIB,19-Jan-2010,14.28,14.62,14.28,14.61,12000,NASDAQ
PBIB,20-Jan-2010,14.42,14.71,14.4,14.45,4600,NASDAQ
PBIB,21-Jan-2010,14.4,14.4,14.0,14.01,2100,NASDAQ
PBIB,22-Jan-2010,14.25,14.28,14.0,14.1,7000,NASDAQ
PBIB,25-Jan-2010,14.68,14.68,14.0,14.24,11700,NASDAQ
PBIB,26-Jan-2010,14.62,14.62,14.03,14.05,9500,NASDAQ
PBIB,27-Jan-2010,14.07,14.52,14.02,14.36,5700,NASDAQ
PBIB,28-Jan-2010,14.36,14.42,14.15,14.15,4900,NASDAQ
PBIB,29-Jan-2010,14.15,14.21,14.02,14.02,6000,NASDAQ
PBIB,01-Feb-2010,13.24,13.24,12.38,12.53,23300,NASDAQ
PBIB,02-Feb-2010,12.48,12.72,12.09,12.09,16000,NASDAQ
PBIB,03-Feb-2010,12.29,12.33,11.99,12.01,12900,NASDAQ
PBIB,04-Feb-2010,12.04,12.73,12.0,12.08,12700,NASDAQ
PBIB,05-Feb-2010,12.09,12.2,11.92,12.0,6800,NASDAQ
PBIB,08-Feb-2010,12.24,12.24,11.9,11.9,9100,NASDAQ
PBIB,09-Feb-2010,11.92,11.97,11.66,11.77,18700,NASDAQ
PBIB,10-Feb-2010,11.49,11.56,11.28,11.56,4600,NASDAQ
PBIB,11-Feb-2010,11.54,11.7,11.54,11.58,6300,NASDAQ
PBIB,12-Feb-2010,11.5,11.59,11.14,11.22,4300,NASDAQ
PBIB,16-Feb-2010,11.24,11.24,10.95,11.06,4900,NASDAQ
