name,date,open_price,close_price,high_price,low_price,volume,market
PCLN,04-Jan-2010,222.32,225.3,221.58,223.96,863100,NASDAQ
PCLN,05-Jan-2010,224.1,228.0,222.15,226.56,801500,NASDAQ
PCLN,06-Jan-2010,225.12,226.42,218.15,219.08,1007700,NASDAQ
PCLN,07-Jan-2010,219.62,220.5,214.12,216.13,768700,NASDAQ
PCLN,08-Jan-2010,213.1,218.43,212.13,216.21,756500,NASDAQ
PCLN,11-Jan-2010,217.8,219.5,212.25,218.91,784500,NASDAQ
PCLN,12-Jan-2010,216.06,216.99,210.25,213.98,1222200,NASDAQ
PCLN,13-Jan-2010,214.45,215.92,207.76,214.3,841100,NASDAQ
PCLN,14-Jan-2010,212.97,214.73,206.01,208.77,1402700,NASDAQ
PCLN,15-Jan-2010,208.21,210.5,205.55,208.77,1210800,NASDAQ
PCLN,19-Jan-2010,208.55,212.45,207.79,208.7,625600,NASDAQ
PCLN,20-Jan-2010,206.53,211.5,203.09,206.31,673500,NASDAQ
PCLN,21-Jan-2010,205.88,211.11,205.54,208.04,842900,NASDAQ
PCLN,22-Jan-2010,207.86,209.56,202.81,204.2,838200,NASDAQ
PCLN,25-Jan-2010,205.41,206.01,199.89,202.84,653100,NASDAQ
PCLN,26-Jan-2010,202.41,207.21,200.84,204.44,767300,NASDAQ
PCLN,27-Jan-2010,203.66,208.49,203.18,207.52,676700,NASDAQ
PCLN,28-Jan-2010,208.12,209.7,201.39,201.68,672400,NASDAQ
PCLN,29-Jan-2010,203.96,205.0,193.46,195.35,1089700,NASDAQ
PCLN,01-Feb-2010,196.52,204.53,192.72,204.2,1312700,NASDAQ
PCLN,02-Feb-2010,205.25,205.82,201.73,204.42,608200,NASDAQ
PCLN,03-Feb-2010,201.98,211.52,201.98,208.53,1047700,NASDAQ
PCLN,04-Feb-2010,207.3,208.51,199.71,200.01,1137800,NASDAQ
PCLN,05-Feb-2010,201.0,201.91,193.37,196.96,1287100,NASDAQ
PCLN,08-Feb-2010,199.45,204.16,198.53,200.62,966200,NASDAQ
PCLN,09-Feb-2010,203.5,206.33,203.23,205.38,991800,NASDAQ
PCLN,10-Feb-2010,205.8,208.44,203.63,206.4,737500,NASDAQ
PCLN,11-Feb-2010,204.05,209.64,203.11,208.9,858200,NASDAQ
PCLN,12-Feb-2010,206.5,208.03,203.75,207.78,830400,NASDAQ
PCLN,16-Feb-2010,208.75,212.25,208.75,211.21,847700,NASDAQ
PCLN,17-Feb-2010,213.29,215.73,209.37,212.87,2011500,NASDAQ
PCLN,18-Feb-2010,227.85,235.8,226.02,232.95,3967800,NASDAQ
PCLN,19-Feb-2010,232.5,233.66,229.67,230.57,1406000,NASDAQ
PCLN,22-Feb-2010,231.75,232.23,226.24,229.07,880500,NASDAQ
PCLN,23-Feb-2010,229.45,229.5,223.6,225.09,1151800,NASDAQ
PCLN,24-Feb-2010,226.0,226.87,221.06,225.02,898400,NASDAQ
PCLN,25-Feb-2010,222.38,224.7,218.5,223.87,1068800,NASDAQ
PCLN,26-Feb-2010,224.0,226.99,221.05,226.71,987500,NASDAQ
PCLN,01-Mar-2010,228.77,238.99,227.64,238.54,1658500,NASDAQ
PCLN,02-Mar-2010,241.04,245.0,238.9,241.34,1836800,NASDAQ
PCLN,03-Mar-2010,241.5,241.5,235.0,235.82,964100,NASDAQ
PCLN,04-Mar-2010,233.0,237.83,229.51,233.12,1594700,NASDAQ
PCLN,05-Mar-2010,236.58,236.99,231.42,235.34,2236600,NASDAQ
PCLN,08-Mar-2010,236.0,240.98,233.7,240.18,1269200,NASDAQ
PCLN,09-Mar-2010,239.17,243.15,236.37,238.33,903700,NASDAQ
PCLN,10-Mar-2010,238.15,243.52,238.0,240.99,792700,NASDAQ
PCLN,11-Mar-2010,240.99,242.41,237.61,242.21,624400,NASDAQ
PCLN,12-Mar-2010,242.59,243.7,237.67,238.91,717900,NASDAQ
PCLN,15-Mar-2010,239.34,240.0,234.36,238.86,443500,NASDAQ
PCLN,16-Mar-2010,239.0,242.25,237.41,241.81,617500,NASDAQ
PCLN,17-Mar-2010,242.79,246.01,239.65,242.92,858700,NASDAQ
PCLN,18-Mar-2010,243.95,244.9,240.37,242.81,528300,NASDAQ
PCLN,19-Mar-2010,244.61,244.61,238.47,239.01,1016000,NASDAQ
PCLN,22-Mar-2010,238.34,243.51,236.67,243.02,603200,NASDAQ
PCLN,23-Mar-2010,244.13,244.8,238.69,244.41,793000,NASDAQ
PCLN,24-Mar-2010,242.52,244.49,241.57,243.8,595800,NASDAQ
PCLN,25-Mar-2010,246.6,262.67,246.51,255.03,2304800,NASDAQ
PCLN,26-Mar-2010,254.95,256.24,250.02,252.11,783300,NASDAQ
PCLN,29-Mar-2010,257.12,259.92,254.39,255.67,1088200,NASDAQ
PCLN,30-Mar-2010,255.5,258.06,253.1,255.99,587800,NASDAQ
PCLN,31-Mar-2010,255.51,258.96,253.01,255.0,862100,NASDAQ
PCLN,01-Apr-2010,257.94,260.28,253.81,257.0,885800,NASDAQ
PCLN,05-Apr-2010,257.98,259.16,255.15,257.65,811300,NASDAQ
PCLN,06-Apr-2010,255.15,262.96,255.15,261.6,808400,NASDAQ
PCLN,07-Apr-2010,262.98,267.02,258.0,259.81,989400,NASDAQ
PCLN,08-Apr-2010,259.09,260.86,256.51,259.31,859800,NASDAQ
PCLN,09-Apr-2010,260.44,260.44,256.31,259.49,492900,NASDAQ
PCLN,12-Apr-2010,260.25,262.92,259.49,260.23,413200,NASDAQ
PCLN,13-Apr-2010,254.33,257.71,251.13,257.6,1159600,NASDAQ
PCLN,14-Apr-2010,256.04,265.65,256.04,265.26,878500,NASDAQ
PCLN,15-Apr-2010,264.06,266.88,262.55,264.98,764100,NASDAQ
PCLN,16-Apr-2010,263.07,263.76,252.78,254.86,1148200,NASDAQ
PCLN,19-Apr-2010,253.66,254.34,244.2,247.58,1158000,NASDAQ
PCLN,20-Apr-2010,251.12,256.95,249.04,255.28,982300,NASDAQ
PCLN,21-Apr-2010,253.49,256.19,250.16,253.15,585800,NASDAQ
PCLN,22-Apr-2010,251.64,258.98,248.64,258.31,733900,NASDAQ
PCLN,23-Apr-2010,259.29,264.0,255.09,261.7,742200,NASDAQ
PCLN,26-Apr-2010,263.52,273.82,262.8,270.36,1215000,NASDAQ
PCLN,27-Apr-2010,268.51,269.95,262.34,264.3,999300,NASDAQ
PCLN,28-Apr-2010,265.55,268.51,258.51,261.78,1135500,NASDAQ
PCLN,29-Apr-2010,263.2,273.93,263.2,273.0,902800,NASDAQ
PCLN,30-Apr-2010,273.84,273.87,261.51,262.05,903100,NASDAQ
PCLN,03-May-2010,264.53,270.49,264.5,269.08,687400,NASDAQ
PCLN,04-May-2010,265.0,265.63,256.28,258.37,1018300,NASDAQ
PCLN,05-May-2010,251.49,256.26,241.02,246.98,1616300,NASDAQ
PCLN,06-May-2010,243.79,248.21,202.69,233.1,2552100,NASDAQ
PCLN,07-May-2010,231.97,236.88,224.4,225.39,1731600,NASDAQ
PCLN,10-May-2010,241.75,249.79,240.15,249.75,3046500,NASDAQ
PCLN,11-May-2010,212.15,222.74,208.89,219.57,7083700,NASDAQ
PCLN,12-May-2010,221.75,221.75,213.46,217.88,2310100,NASDAQ
PCLN,13-May-2010,215.64,221.18,211.86,212.89,1472700,NASDAQ
PCLN,14-May-2010,208.86,210.19,204.0,208.28,1525600,NASDAQ
PCLN,17-May-2010,206.57,206.99,196.01,200.15,2250900,NASDAQ
PCLN,18-May-2010,201.73,206.77,192.6,192.86,2493200,NASDAQ
PCLN,19-May-2010,191.6,196.0,184.21,190.11,2592700,NASDAQ
PCLN,20-May-2010,182.61,188.08,179.1,181.0,2695900,NASDAQ
PCLN,21-May-2010,177.13,191.8,176.0,191.24,2888000,NASDAQ
PCLN,24-May-2010,193.79,197.5,192.68,193.14,2303800,NASDAQ
PCLN,25-May-2010,186.54,194.25,185.13,193.44,1678400,NASDAQ
PCLN,26-May-2010,197.02,200.97,191.77,192.42,2386900,NASDAQ
PCLN,27-May-2010,197.86,198.68,191.39,197.59,1462700,NASDAQ
PCLN,28-May-2010,197.67,197.88,190.5,191.16,1650600,NASDAQ
PCLN,01-Jun-2010,191.12,192.86,184.88,185.01,1474200,NASDAQ
PCLN,02-Jun-2010,185.6,189.83,183.86,189.83,1596200,NASDAQ
PCLN,03-Jun-2010,189.52,189.82,182.18,185.11,1816400,NASDAQ
PCLN,04-Jun-2010,180.36,188.8,177.64,178.54,1829300,NASDAQ
PCLN,07-Jun-2010,179.6,182.68,176.29,176.39,1431400,NASDAQ
PCLN,08-Jun-2010,177.65,180.34,173.32,176.73,1806000,NASDAQ
PCLN,09-Jun-2010,178.35,182.24,174.69,175.19,1523900,NASDAQ
PCLN,10-Jun-2010,178.9,181.61,176.56,181.24,1240500,NASDAQ
PCLN,11-Jun-2010,178.95,184.44,178.38,183.91,921200,NASDAQ
PCLN,14-Jun-2010,186.33,187.6,183.9,184.14,975400,NASDAQ
PCLN,15-Jun-2010,186.49,187.38,184.16,185.77,908600,NASDAQ
PCLN,16-Jun-2010,192.99,198.8,192.72,196.41,2241500,NASDAQ
PCLN,17-Jun-2010,198.87,199.5,193.01,195.26,1328900,NASDAQ
PCLN,18-Jun-2010,195.5,195.63,191.59,193.09,1425900,NASDAQ
PCLN,21-Jun-2010,196.86,197.22,187.62,189.25,1412200,NASDAQ
PCLN,22-Jun-2010,189.86,194.71,188.58,188.95,1200700,NASDAQ
PCLN,23-Jun-2010,189.3,190.41,185.42,188.25,811400,NASDAQ
PCLN,24-Jun-2010,187.96,190.97,184.01,185.11,1209900,NASDAQ
PCLN,25-Jun-2010,184.24,192.99,184.23,191.99,1229900,NASDAQ
PCLN,28-Jun-2010,192.26,193.73,186.67,187.93,976000,NASDAQ
PCLN,29-Jun-2010,184.25,185.53,179.19,180.29,1357200,NASDAQ
PCLN,30-Jun-2010,179.58,183.95,175.66,176.54,1310800,NASDAQ
PCLN,01-Jul-2010,176.66,182.44,173.75,182.03,1463400,NASDAQ
PCLN,02-Jul-2010,181.23,181.23,175.75,176.41,1423000,NASDAQ
PCLN,06-Jul-2010,179.14,183.0,176.99,181.5,1489300,NASDAQ
PCLN,07-Jul-2010,182.27,190.84,181.26,190.73,1473100,NASDAQ
PCLN,08-Jul-2010,193.7,199.95,193.0,199.28,1949300,NASDAQ
PCLN,09-Jul-2010,199.75,204.6,196.7,204.09,1748700,NASDAQ
PCLN,12-Jul-2010,204.14,205.52,201.0,204.0,1006700,NASDAQ
PCLN,13-Jul-2010,207.1,218.99,205.91,216.32,2259800,NASDAQ
PCLN,14-Jul-2010,216.5,216.5,211.14,215.35,1376800,NASDAQ
PCLN,15-Jul-2010,214.34,223.3,212.35,222.61,1743500,NASDAQ
PCLN,16-Jul-2010,223.17,225.0,216.5,218.21,1555700,NASDAQ
PCLN,19-Jul-2010,218.82,222.4,217.55,220.05,984700,NASDAQ
PCLN,20-Jul-2010,216.04,221.85,216.03,221.64,1050000,NASDAQ
PCLN,21-Jul-2010,223.27,224.69,217.62,218.43,917900,NASDAQ
PCLN,22-Jul-2010,221.56,228.5,221.25,227.92,1094600,NASDAQ
PCLN,23-Jul-2010,225.5,228.76,223.7,228.64,1067900,NASDAQ
PCLN,26-Jul-2010,228.8,231.86,226.33,231.55,679800,NASDAQ
PCLN,27-Jul-2010,232.64,234.45,223.88,224.03,1236000,NASDAQ
PCLN,28-Jul-2010,223.95,227.93,221.59,224.07,745300,NASDAQ
PCLN,29-Jul-2010,224.0,226.49,217.72,224.19,921700,NASDAQ
PCLN,30-Jul-2010,222.77,227.35,220.0,224.4,1096700,NASDAQ
PCLN,02-Aug-2010,226.9,230.0,225.34,227.38,851400,NASDAQ
PCLN,03-Aug-2010,227.51,234.4,226.15,230.67,2660100,NASDAQ
PCLN,04-Aug-2010,272.29,286.85,272.24,281.3,6828100,NASDAQ
PCLN,05-Aug-2010,279.49,292.67,277.0,292.67,2906900,NASDAQ
PCLN,06-Aug-2010,289.95,298.99,288.69,295.25,3189000,NASDAQ
PCLN,09-Aug-2010,296.6,296.7,290.01,292.73,1457800,NASDAQ
PCLN,10-Aug-2010,289.25,295.87,287.23,294.01,1495500,NASDAQ
PCLN,11-Aug-2010,289.5,291.82,285.35,289.1,1229700,NASDAQ
PCLN,12-Aug-2010,287.0,300.85,285.69,299.6,1742200,NASDAQ
PCLN,13-Aug-2010,299.5,301.98,294.49,297.19,1158300,NASDAQ
PCLN,16-Aug-2010,295.34,299.2,293.0,294.52,972200,NASDAQ
PCLN,17-Aug-2010,297.95,307.5,296.06,303.57,1983800,NASDAQ
PCLN,18-Aug-2010,302.97,309.46,296.76,297.63,1513500,NASDAQ
PCLN,19-Aug-2010,296.82,308.95,293.88,299.47,1219700,NASDAQ
PCLN,20-Aug-2010,298.55,303.21,296.45,302.36,922900,NASDAQ
PCLN,23-Aug-2010,304.1,306.74,299.51,299.82,908800,NASDAQ
PCLN,24-Aug-2010,295.89,296.11,290.0,291.8,1373600,NASDAQ
PCLN,25-Aug-2010,289.41,296.99,288.3,294.9,1085800,NASDAQ
PCLN,26-Aug-2010,296.29,296.5,285.79,285.79,993300,NASDAQ
PCLN,27-Aug-2010,287.5,298.0,283.11,297.68,1241800,NASDAQ
