name,date,open_price,close_price,high_price,low_price,volume,market
PESI,04-Jan-2010,11.3,11.65,11.1,11.6,107400,NASDAQ
PESI,05-Jan-2010,11.55,11.65,10.95,11.1,81800,NASDAQ
PESI,06-Jan-2010,11.1,11.5,10.5,10.65,85200,NASDAQ
PESI,07-Jan-2010,10.65,11.1,10.65,11.1,57500,NASDAQ
PESI,08-Jan-2010,11.05,11.05,10.5,10.65,109400,NASDAQ
PESI,11-Jan-2010,10.7,10.85,10.5,10.55,88200,NASDAQ
PESI,12-Jan-2010,10.5,10.7,10.1,10.25,90900,NASDAQ
PESI,13-Jan-2010,10.3,10.85,10.3,10.75,75200,NASDAQ
PESI,14-Jan-2010,10.85,10.9,10.85,10.9,21700,NASDAQ
PESI,15-Jan-2010,10.9,10.95,10.15,10.25,366700,NASDAQ
PESI,19-Jan-2010,10.55,10.65,10.0,10.2,200700,NASDAQ
PESI,20-Jan-2010,10.1,10.15,9.9,9.9,132000,NASDAQ
PESI,21-Jan-2010,10.25,10.45,10.0,10.0,161600,NASDAQ
PESI,22-Jan-2010,10.05,10.2,9.75,9.85,94200,NASDAQ
PESI,25-Jan-2010,9.85,9.9,9.5,9.6,114600,NASDAQ
PESI,26-Jan-2010,9.55,9.75,9.5,9.6,102400,NASDAQ
PESI,27-Jan-2010,9.55,9.8,9.05,9.25,146300,NASDAQ
PESI,28-Jan-2010,9.3,9.5,9.0,9.4,175400,NASDAQ
PESI,29-Jan-2010,9.5,9.95,9.05,9.2,263200,NASDAQ
PESI,01-Feb-2010,9.25,9.8,8.95,9.7,138000,NASDAQ
PESI,02-Feb-2010,9.7,10.0,9.25,9.25,91300,NASDAQ
PESI,03-Feb-2010,9.25,9.6,9.05,9.05,72500,NASDAQ
PESI,04-Feb-2010,9.0,9.3,8.75,8.75,116200,NASDAQ
PESI,05-Feb-2010,8.95,9.2,8.8,9.05,58500,NASDAQ
PESI,08-Feb-2010,9.05,9.15,8.8,9.0,85000,NASDAQ
PESI,09-Feb-2010,9.1,9.65,8.75,9.3,326800,NASDAQ
PESI,10-Feb-2010,9.3,9.3,9.0,9.1,48200,NASDAQ
PESI,11-Feb-2010,9.05,9.8,8.6,9.75,208200,NASDAQ
PESI,12-Feb-2010,9.95,9.95,9.3,9.45,64800,NASDAQ
PESI,16-Feb-2010,9.5,9.65,9.25,9.35,48200,NASDAQ
PESI,17-Feb-2010,9.35,9.6,9.25,9.55,86100,NASDAQ
PESI,18-Feb-2010,9.7,9.7,9.45,9.6,45100,NASDAQ
PESI,19-Feb-2010,9.6,9.85,9.45,9.5,106800,NASDAQ
PESI,22-Feb-2010,9.5,9.75,9.4,9.7,42200,NASDAQ
