name,date,open_price,close_price,high_price,low_price,volume,market
QADA,16-Dec-2010,8.6,12.0,8.6,11.5,1700,NASDAQ
QADA,17-Dec-2010,9.65,12.0,9.12,12.0,32200,NASDAQ
QADA,20-Dec-2010,12.5,12.79,9.98,10.51,27600,NASDAQ
QADA,21-Dec-2010,10.64,10.93,9.75,9.8,23600,NASDAQ
QADA,22-Dec-2010,9.3,10.28,9.3,9.84,23000,NASDAQ
QADA,23-Dec-2010,9.85,10.62,9.75,9.8,17200,NASDAQ
QADA,27-Dec-2010,10.48,10.48,9.81,9.83,9700,NASDAQ
QADA,28-Dec-2010,9.82,9.82,9.51,9.77,18000,NASDAQ
QADA,29-Dec-2010,9.75,9.75,9.07,9.43,30600,NASDAQ
QADA,30-Dec-2010,9.26,9.31,9.03,9.23,17000,NASDAQ
QADA,31-Dec-2010,9.06,9.25,9.0,9.1,34900,NASDAQ
QADA,03-Jan-2011,8.44,9.09,8.25,8.73,49500,NASDAQ
QADA,04-Jan-2011,8.75,9.12,8.72,9.12,32100,NASDAQ
QADA,05-Jan-2011,9.06,9.45,8.92,9.4,11900,NASDAQ
QADA,06-Jan-2011,9.1,9.57,9.0,9.17,17100,NASDAQ
QADA,07-Jan-2011,9.56,9.56,9.1,9.33,7800,NASDAQ
QADA,10-Jan-2011,8.57,9.45,8.55,9.18,8300,NASDAQ
QADA,11-Jan-2011,9.17,9.38,9.1,9.17,6400,NASDAQ
QADA,12-Jan-2011,9.16,9.44,9.15,9.42,9700,NASDAQ
QADA,13-Jan-2011,9.12,9.51,9.1,9.51,7500,NASDAQ
QADA,14-Jan-2011,9.33,9.87,9.33,9.78,12200,NASDAQ
QADA,18-Jan-2011,8.5,9.9,8.14,9.4,15900,NASDAQ
QADA,19-Jan-2011,9.49,9.5,9.28,9.44,9600,NASDAQ
QADA,20-Jan-2011,9.45,9.45,8.31,9.14,20400,NASDAQ
QADA,21-Jan-2011,9.13,9.13,8.95,9.05,22000,NASDAQ
QADA,24-Jan-2011,9.2,9.49,8.52,8.91,36200,NASDAQ
QADA,25-Jan-2011,8.75,9.09,8.75,9.06,31600,NASDAQ
QADA,26-Jan-2011,9.13,9.17,8.83,8.96,16500,NASDAQ
QADA,27-Jan-2011,8.75,9.17,8.75,8.93,7900,NASDAQ
QADA,28-Jan-2011,8.8,9.0,8.66,8.75,30900,NASDAQ
QADA,31-Jan-2011,8.73,8.77,8.5,8.58,14500,NASDAQ
QADA,01-Feb-2011,8.47,9.35,8.47,8.58,9300,NASDAQ
QADA,02-Feb-2011,8.65,8.9,8.59,8.75,6900,NASDAQ
QADA,03-Feb-2011,8.75,8.91,8.55,8.59,9200,NASDAQ
QADA,04-Feb-2011,8.55,8.94,8.29,8.88,10800,NASDAQ
QADA,07-Feb-2011,8.72,9.35,8.34,9.04,15800,NASDAQ
QADA,08-Feb-2011,9.08,9.32,8.91,9.18,8600,NASDAQ
QADA,09-Feb-2011,9.09,9.09,8.77,8.84,7300,NASDAQ
QADA,10-Feb-2011,8.81,9.18,8.76,9.14,13500,NASDAQ
QADA,11-Feb-2011,9.15,9.2,8.75,8.76,18900,NASDAQ
QADA,14-Feb-2011,8.85,9.2,8.74,8.75,9900,NASDAQ
QADA,15-Feb-2011,8.79,8.86,8.75,8.85,19900,NASDAQ
QADA,16-Feb-2011,8.85,8.97,8.75,8.9,8300,NASDAQ
QADA,17-Feb-2011,8.94,9.2,8.93,9.0,13600,NASDAQ
QADA,18-Feb-2011,8.79,9.14,8.79,8.86,21100,NASDAQ
QADA,22-Feb-2011,9.0,9.2,8.95,9.05,17400,NASDAQ
QADA,23-Feb-2011,9.05,9.2,8.99,8.99,7000,NASDAQ
QADA,24-Feb-2011,8.98,9.09,8.95,9.03,30400,NASDAQ
QADA,25-Feb-2011,8.89,9.24,8.88,9.09,10600,NASDAQ
