name,date,open_price,close_price,high_price,low_price,volume,market
RCKY,04-Jan-2010,7.58,7.92,7.16,7.75,22600,NASDAQ
RCKY,05-Jan-2010,7.73,7.95,7.41,7.79,13900,NASDAQ
RCKY,06-Jan-2010,7.81,7.93,7.6,7.69,15200,NASDAQ
RCKY,07-Jan-2010,7.7,7.9,7.61,7.9,14700,NASDAQ
RCKY,08-Jan-2010,7.75,7.9,7.62,7.62,7300,NASDAQ
RCKY,11-Jan-2010,7.6,8.07,7.6,7.88,35400,NASDAQ
RCKY,12-Jan-2010,7.69,7.75,7.6,7.62,12300,NASDAQ
RCKY,13-Jan-2010,7.87,8.09,7.82,7.98,17100,NASDAQ
RCKY,14-Jan-2010,7.77,8.3,7.77,8.15,23500,NASDAQ
RCKY,15-Jan-2010,8.15,8.27,7.95,8.22,8700,NASDAQ
RCKY,19-Jan-2010,8.07,8.5,8.0,8.5,30200,NASDAQ
RCKY,20-Jan-2010,8.5,8.5,8.2,8.25,16400,NASDAQ
RCKY,21-Jan-2010,8.38,8.43,8.28,8.36,5400,NASDAQ
RCKY,22-Jan-2010,8.41,8.45,8.32,8.32,2900,NASDAQ
RCKY,25-Jan-2010,8.4,8.75,8.3,8.6,25300,NASDAQ
RCKY,26-Jan-2010,8.67,8.67,8.29,8.44,9500,NASDAQ
RCKY,27-Jan-2010,8.32,8.55,8.25,8.55,6900,NASDAQ
RCKY,28-Jan-2010,8.55,8.99,8.31,8.9,31000,NASDAQ
RCKY,29-Jan-2010,8.94,8.96,8.55,8.59,24100,NASDAQ
RCKY,01-Feb-2010,8.69,8.82,8.6,8.75,4200,NASDAQ
RCKY,02-Feb-2010,8.82,8.94,8.44,8.86,20800,NASDAQ
RCKY,03-Feb-2010,8.9,8.9,8.52,8.64,2200,NASDAQ
RCKY,04-Feb-2010,8.69,8.69,8.28,8.47,10200,NASDAQ
RCKY,05-Feb-2010,8.37,8.74,8.25,8.45,15000,NASDAQ
RCKY,08-Feb-2010,8.29,8.63,7.93,8.32,27100,NASDAQ
RCKY,09-Feb-2010,8.65,8.65,7.88,8.26,1700,NASDAQ
RCKY,10-Feb-2010,8.2,8.49,8.1,8.43,7700,NASDAQ
RCKY,11-Feb-2010,8.37,8.93,8.37,8.81,16400,NASDAQ
RCKY,12-Feb-2010,8.29,9.25,8.29,9.22,14100,NASDAQ
RCKY,16-Feb-2010,9.21,9.48,9.02,9.32,26400,NASDAQ
RCKY,17-Feb-2010,9.25,9.45,8.69,9.31,29000,NASDAQ
RCKY,18-Feb-2010,9.14,9.45,8.93,9.15,41800,NASDAQ
RCKY,19-Feb-2010,8.18,9.0,8.02,9.0,35200,NASDAQ
RCKY,22-Feb-2010,9.07,9.46,8.96,9.18,46000,NASDAQ
RCKY,23-Feb-2010,9.0,9.31,8.64,9.15,32300,NASDAQ
RCKY,24-Feb-2010,9.01,9.35,9.01,9.17,24200,NASDAQ
RCKY,25-Feb-2010,9.23,9.4,9.01,9.2,19400,NASDAQ
RCKY,26-Feb-2010,9.47,9.47,8.32,8.48,24600,NASDAQ
RCKY,01-Mar-2010,8.74,8.91,8.52,8.69,28900,NASDAQ
RCKY,02-Mar-2010,8.72,8.85,8.25,8.35,31000,NASDAQ
RCKY,03-Mar-2010,8.35,8.75,8.21,8.54,52600,NASDAQ
RCKY,04-Mar-2010,8.34,8.75,8.26,8.75,6400,NASDAQ
RCKY,05-Mar-2010,8.79,8.89,8.54,8.76,16500,NASDAQ
RCKY,08-Mar-2010,8.88,9.15,8.88,9.02,18100,NASDAQ
RCKY,09-Mar-2010,9.14,9.24,9.1,9.23,9400,NASDAQ
RCKY,10-Mar-2010,9.23,9.25,9.08,9.21,14600,NASDAQ
RCKY,11-Mar-2010,9.08,9.24,9.08,9.24,5600,NASDAQ
RCKY,12-Mar-2010,9.24,9.24,9.05,9.15,6700,NASDAQ
RCKY,15-Mar-2010,9.11,9.24,9.11,9.14,3100,NASDAQ
RCKY,16-Mar-2010,9.12,9.24,9.12,9.24,2200,NASDAQ
RCKY,17-Mar-2010,9.23,9.25,9.13,9.24,3800,NASDAQ
RCKY,18-Mar-2010,9.25,9.25,9.24,9.25,400,NASDAQ
RCKY,19-Mar-2010,9.25,9.25,9.0,9.2,13200,NASDAQ
RCKY,22-Mar-2010,9.2,9.5,9.2,9.5,16100,NASDAQ
RCKY,23-Mar-2010,9.33,9.75,9.19,9.51,17400,NASDAQ
RCKY,24-Mar-2010,9.55,9.63,9.51,9.51,6100,NASDAQ
RCKY,25-Mar-2010,9.5,9.97,9.5,9.66,10400,NASDAQ
RCKY,26-Mar-2010,9.74,9.88,9.56,9.56,1800,NASDAQ
RCKY,29-Mar-2010,9.94,9.94,9.47,9.67,2500,NASDAQ
RCKY,30-Mar-2010,9.76,9.91,9.67,9.67,2300,NASDAQ
RCKY,31-Mar-2010,9.9,9.9,9.54,9.54,4300,NASDAQ
RCKY,01-Apr-2010,9.57,9.81,9.48,9.79,6100,NASDAQ
RCKY,05-Apr-2010,9.79,9.81,9.69,9.76,2700,NASDAQ
RCKY,06-Apr-2010,9.74,9.88,9.71,9.74,1700,NASDAQ
RCKY,07-Apr-2010,9.63,9.98,9.63,9.96,9600,NASDAQ
RCKY,08-Apr-2010,9.89,9.89,9.64,9.7,2800,NASDAQ
RCKY,09-Apr-2010,9.71,9.71,9.61,9.69,8500,NASDAQ
RCKY,12-Apr-2010,9.75,9.9,9.57,9.57,2900,NASDAQ
RCKY,13-Apr-2010,9.6,9.75,9.52,9.75,13400,NASDAQ
RCKY,14-Apr-2010,9.71,9.77,9.6,9.77,5400,NASDAQ
RCKY,15-Apr-2010,9.74,9.97,9.74,9.97,14100,NASDAQ
RCKY,16-Apr-2010,9.89,10.0,9.71,10.0,14100,NASDAQ
RCKY,19-Apr-2010,10.0,10.2,10.0,10.2,6700,NASDAQ
RCKY,20-Apr-2010,10.25,10.25,10.15,10.15,1700,NASDAQ
RCKY,21-Apr-2010,10.07,10.25,10.07,10.2,5700,NASDAQ
RCKY,22-Apr-2010,10.16,10.38,10.16,10.34,4400,NASDAQ
RCKY,23-Apr-2010,10.4,10.6,10.3,10.57,33600,NASDAQ
RCKY,26-Apr-2010,10.6,10.66,10.33,10.51,7800,NASDAQ
RCKY,27-Apr-2010,10.41,10.41,10.3,10.3,3800,NASDAQ
RCKY,28-Apr-2010,10.32,10.32,10.0,10.09,11600,NASDAQ
RCKY,29-Apr-2010,10.09,10.09,9.88,9.91,11800,NASDAQ
RCKY,30-Apr-2010,9.9,10.0,9.83,9.83,1600,NASDAQ
