name,date,open_price,close_price,high_price,low_price,volume,market
RUTH,04-Jan-2010,2.25,2.44,2.11,2.42,686300,NASDAQ
RUTH,05-Jan-2010,2.42,2.51,2.28,2.43,785600,NASDAQ
RUTH,06-Jan-2010,2.47,2.65,2.42,2.59,614000,NASDAQ
RUTH,07-Jan-2010,2.63,2.63,2.51,2.59,360100,NASDAQ
RUTH,08-Jan-2010,2.59,2.86,2.53,2.77,591300,NASDAQ
RUTH,11-Jan-2010,3.12,3.16,2.75,2.75,910500,NASDAQ
RUTH,12-Jan-2010,2.71,2.89,2.71,2.8,348900,NASDAQ
RUTH,13-Jan-2010,2.84,2.98,2.79,2.96,1004900,NASDAQ
RUTH,14-Jan-2010,2.94,3.11,2.93,3.0,629900,NASDAQ
RUTH,15-Jan-2010,2.97,3.15,2.8,3.03,1106400,NASDAQ
RUTH,19-Jan-2010,2.99,3.14,2.91,3.14,736700,NASDAQ
RUTH,20-Jan-2010,3.09,3.17,2.98,3.11,501100,NASDAQ
RUTH,21-Jan-2010,3.13,3.17,3.04,3.08,376000,NASDAQ
RUTH,22-Jan-2010,3.06,3.12,3.02,3.03,286200,NASDAQ
RUTH,25-Jan-2010,3.07,3.13,2.91,2.93,724900,NASDAQ
RUTH,26-Jan-2010,2.9,2.91,2.77,2.79,576200,NASDAQ
RUTH,27-Jan-2010,2.78,2.88,2.78,2.88,412600,NASDAQ
RUTH,28-Jan-2010,2.89,2.89,2.71,2.76,491300,NASDAQ
RUTH,29-Jan-2010,2.77,2.83,2.72,2.79,613400,NASDAQ
RUTH,01-Feb-2010,2.8,2.8,2.65,2.7,312800,NASDAQ
RUTH,02-Feb-2010,2.69,2.73,2.61,2.66,558000,NASDAQ
RUTH,03-Feb-2010,2.65,2.82,2.65,2.74,518800,NASDAQ
RUTH,04-Feb-2010,2.71,2.73,2.64,2.66,413800,NASDAQ
RUTH,05-Feb-2010,2.61,2.7,2.57,2.66,518700,NASDAQ
RUTH,08-Feb-2010,2.66,2.66,2.62,2.63,397200,NASDAQ
RUTH,09-Feb-2010,2.7,2.86,2.66,2.77,1325200,NASDAQ
RUTH,10-Feb-2010,2.77,3.1,2.77,3.08,1534000,NASDAQ
RUTH,11-Feb-2010,3.06,3.08,2.9,3.05,358700,NASDAQ
RUTH,12-Feb-2010,3.01,3.13,2.97,3.13,430600,NASDAQ
RUTH,16-Feb-2010,3.15,3.2,3.01,3.2,616400,NASDAQ
RUTH,17-Feb-2010,3.22,3.38,3.2,3.29,532900,NASDAQ
RUTH,18-Feb-2010,3.38,3.76,3.25,3.76,1086800,NASDAQ
RUTH,19-Feb-2010,3.75,4.1,3.34,3.82,1845600,NASDAQ
RUTH,22-Feb-2010,3.85,3.92,3.6,3.62,544500,NASDAQ
RUTH,23-Feb-2010,3.63,3.71,3.55,3.7,396000,NASDAQ
RUTH,24-Feb-2010,3.71,3.76,3.48,3.55,524700,NASDAQ
RUTH,25-Feb-2010,3.49,3.5,3.39,3.5,309300,NASDAQ
RUTH,26-Feb-2010,3.51,3.63,3.35,3.62,531900,NASDAQ
RUTH,01-Mar-2010,3.64,3.88,3.63,3.88,458900,NASDAQ
RUTH,02-Mar-2010,3.87,3.98,3.74,3.8,404000,NASDAQ
RUTH,03-Mar-2010,3.82,3.92,3.7,3.87,366000,NASDAQ
RUTH,04-Mar-2010,3.86,4.53,3.78,4.13,986800,NASDAQ
RUTH,05-Mar-2010,4.18,4.2,4.03,4.17,320500,NASDAQ
RUTH,08-Mar-2010,4.24,4.59,4.2,4.5,551300,NASDAQ
RUTH,09-Mar-2010,4.49,4.59,4.28,4.34,434900,NASDAQ
RUTH,10-Mar-2010,4.33,4.59,4.33,4.51,446400,NASDAQ
RUTH,11-Mar-2010,4.51,4.64,4.43,4.49,230600,NASDAQ
RUTH,12-Mar-2010,4.5,4.53,4.4,4.5,180800,NASDAQ
RUTH,15-Mar-2010,4.48,4.48,4.18,4.27,403600,NASDAQ
RUTH,16-Mar-2010,4.27,4.36,4.19,4.24,170400,NASDAQ
RUTH,17-Mar-2010,4.24,4.39,4.24,4.29,168500,NASDAQ
RUTH,18-Mar-2010,4.32,4.52,4.31,4.43,209500,NASDAQ
RUTH,19-Mar-2010,4.46,4.48,4.21,4.24,623600,NASDAQ
RUTH,22-Mar-2010,4.25,4.93,4.25,4.84,491400,NASDAQ
RUTH,23-Mar-2010,4.88,5.0,4.7,4.76,557100,NASDAQ
RUTH,24-Mar-2010,4.76,5.08,4.73,5.0,576200,NASDAQ
RUTH,25-Mar-2010,5.07,5.33,5.05,5.18,753100,NASDAQ
RUTH,26-Mar-2010,5.23,5.4,5.19,5.25,422300,NASDAQ
RUTH,29-Mar-2010,5.28,5.4,5.25,5.28,259600,NASDAQ
RUTH,30-Mar-2010,5.31,5.35,5.18,5.27,298200,NASDAQ
RUTH,31-Mar-2010,5.21,5.39,5.17,5.3,596900,NASDAQ
RUTH,01-Apr-2010,5.34,5.4,5.27,5.33,683100,NASDAQ
RUTH,05-Apr-2010,5.39,5.83,5.32,5.8,1446900,NASDAQ
RUTH,06-Apr-2010,5.8,5.95,5.66,5.69,711200,NASDAQ
RUTH,07-Apr-2010,5.7,5.82,5.64,5.75,629500,NASDAQ
RUTH,08-Apr-2010,5.74,5.95,5.65,5.94,369200,NASDAQ
RUTH,09-Apr-2010,5.97,6.05,5.86,5.99,470400,NASDAQ
RUTH,12-Apr-2010,6.08,6.23,5.83,6.22,547700,NASDAQ
RUTH,13-Apr-2010,6.23,6.31,6.07,6.31,382700,NASDAQ
RUTH,14-Apr-2010,6.35,6.4,6.21,6.33,396600,NASDAQ
RUTH,15-Apr-2010,6.3,6.38,5.83,5.99,548900,NASDAQ
RUTH,16-Apr-2010,5.92,6.14,5.5,5.7,645300,NASDAQ
RUTH,19-Apr-2010,5.65,5.86,5.3,5.5,565900,NASDAQ
RUTH,20-Apr-2010,5.51,5.78,5.51,5.77,394400,NASDAQ
RUTH,21-Apr-2010,5.79,5.97,5.68,5.75,355200,NASDAQ
RUTH,22-Apr-2010,5.64,6.1,5.61,6.01,436200,NASDAQ
RUTH,23-Apr-2010,6.05,6.33,5.95,6.29,631600,NASDAQ
RUTH,26-Apr-2010,6.33,6.6,6.33,6.34,666400,NASDAQ
RUTH,27-Apr-2010,6.34,6.34,5.8,5.84,480400,NASDAQ
RUTH,28-Apr-2010,5.88,6.04,5.52,5.61,539900,NASDAQ
RUTH,29-Apr-2010,5.62,5.98,5.58,5.91,392900,NASDAQ
RUTH,30-Apr-2010,6.11,6.13,5.43,5.43,855100,NASDAQ
RUTH,03-May-2010,5.45,5.56,5.35,5.41,337400,NASDAQ
RUTH,04-May-2010,5.3,5.3,4.89,4.97,987900,NASDAQ
RUTH,05-May-2010,4.95,5.09,4.77,4.95,434000,NASDAQ
RUTH,06-May-2010,4.92,4.98,4.07,4.61,534400,NASDAQ
RUTH,07-May-2010,4.59,4.68,4.0,4.36,562900,NASDAQ
RUTH,10-May-2010,4.67,4.92,4.64,4.77,478800,NASDAQ
RUTH,11-May-2010,4.65,4.93,4.6,4.86,374900,NASDAQ
RUTH,12-May-2010,4.87,5.28,4.87,5.27,458700,NASDAQ
RUTH,13-May-2010,5.23,5.34,5.08,5.14,293300,NASDAQ
RUTH,14-May-2010,5.07,5.07,4.71,4.79,281400,NASDAQ
RUTH,17-May-2010,4.84,4.93,4.45,4.62,435900,NASDAQ
RUTH,18-May-2010,4.71,4.8,4.37,4.46,366700,NASDAQ
RUTH,19-May-2010,4.42,4.75,4.33,4.71,578200,NASDAQ
RUTH,20-May-2010,4.63,4.79,4.47,4.6,531200,NASDAQ
RUTH,21-May-2010,4.49,4.78,4.39,4.65,546800,NASDAQ
RUTH,24-May-2010,4.66,4.79,4.47,4.47,395100,NASDAQ
RUTH,25-May-2010,4.31,4.34,4.15,4.31,507200,NASDAQ
RUTH,26-May-2010,4.4,4.67,4.4,4.5,480200,NASDAQ
RUTH,27-May-2010,4.64,4.85,4.48,4.84,264000,NASDAQ
RUTH,28-May-2010,4.81,4.97,4.75,4.84,238700,NASDAQ
RUTH,01-Jun-2010,4.73,4.81,4.54,4.78,273800,NASDAQ
RUTH,02-Jun-2010,4.8,5.03,4.76,4.95,331400,NASDAQ
RUTH,03-Jun-2010,4.99,5.08,4.9,4.98,184500,NASDAQ
RUTH,04-Jun-2010,4.76,4.91,4.44,4.49,311500,NASDAQ
RUTH,07-Jun-2010,4.51,4.53,4.13,4.18,419100,NASDAQ
RUTH,08-Jun-2010,4.19,4.2,3.85,4.01,685000,NASDAQ
