name,date,open_price,close_price,high_price,low_price,volume,market
SCMP,04-Jan-2010,4.19,4.37,4.1,4.33,40600,NASDAQ
SCMP,05-Jan-2010,4.34,4.34,4.24,4.27,24500,NASDAQ
SCMP,06-Jan-2010,4.28,4.4,4.08,4.09,77900,NASDAQ
SCMP,07-Jan-2010,4.16,4.31,4.02,4.21,27100,NASDAQ
SCMP,08-Jan-2010,4.21,4.36,4.08,4.13,20400,NASDAQ
SCMP,11-Jan-2010,4.33,4.35,4.14,4.21,30800,NASDAQ
SCMP,12-Jan-2010,4.21,4.35,4.2,4.21,34000,NASDAQ
SCMP,13-Jan-2010,4.24,4.24,4.01,4.06,34100,NASDAQ
SCMP,14-Jan-2010,4.03,4.16,4.03,4.05,19800,NASDAQ
SCMP,15-Jan-2010,4.08,4.08,3.85,3.85,42500,NASDAQ
SCMP,19-Jan-2010,3.88,3.9,3.6,3.61,216300,NASDAQ
SCMP,20-Jan-2010,3.61,3.93,3.61,3.64,78700,NASDAQ
SCMP,21-Jan-2010,3.66,3.8,3.59,3.61,59800,NASDAQ
SCMP,22-Jan-2010,3.62,3.68,3.53,3.61,61000,NASDAQ
SCMP,25-Jan-2010,3.65,3.69,3.58,3.61,26400,NASDAQ
SCMP,26-Jan-2010,3.61,3.66,3.59,3.6,49400,NASDAQ
SCMP,27-Jan-2010,3.6,3.65,3.6,3.62,19000,NASDAQ
SCMP,28-Jan-2010,3.64,3.65,3.56,3.6,49100,NASDAQ
SCMP,29-Jan-2010,3.62,3.62,3.53,3.6,24400,NASDAQ
SCMP,01-Feb-2010,3.63,3.88,3.55,3.88,65800,NASDAQ
SCMP,02-Feb-2010,3.9,3.99,3.63,3.65,36700,NASDAQ
SCMP,03-Feb-2010,3.65,3.75,3.56,3.58,36600,NASDAQ
SCMP,04-Feb-2010,3.58,3.64,3.51,3.51,38300,NASDAQ
SCMP,05-Feb-2010,3.52,3.52,3.32,3.41,43200,NASDAQ
SCMP,08-Feb-2010,3.38,3.41,3.35,3.39,20200,NASDAQ
SCMP,09-Feb-2010,3.36,3.51,3.35,3.44,32500,NASDAQ
SCMP,10-Feb-2010,3.42,3.45,3.37,3.4,32200,NASDAQ
SCMP,11-Feb-2010,3.38,3.46,3.31,3.44,16000,NASDAQ
SCMP,12-Feb-2010,3.4,3.59,3.4,3.58,49000,NASDAQ
SCMP,16-Feb-2010,3.63,3.75,3.46,3.54,27200,NASDAQ
SCMP,17-Feb-2010,3.56,3.57,3.47,3.57,33100,NASDAQ
SCMP,18-Feb-2010,3.56,3.56,3.44,3.51,18400,NASDAQ
SCMP,19-Feb-2010,3.48,3.53,3.4,3.49,72100,NASDAQ
SCMP,22-Feb-2010,3.47,3.49,3.42,3.46,60600,NASDAQ
SCMP,23-Feb-2010,3.44,3.5,3.41,3.46,74800,NASDAQ
SCMP,24-Feb-2010,3.46,3.52,3.4,3.46,98100,NASDAQ
