name,date,open_price,close_price,high_price,low_price,volume,market
SCON,04-Jan-2010,448.2,448.2,423.0,448.2,38000,NASDAQ
SCON,05-Jan-2010,433.8,563.4,433.8,529.2,548400,NASDAQ
SCON,06-Jan-2010,525.6,540.0,505.8,527.4,117600,NASDAQ
SCON,07-Jan-2010,556.2,556.2,529.2,538.2,134400,NASDAQ
SCON,08-Jan-2010,547.2,608.4,547.2,601.2,230900,NASDAQ
SCON,11-Jan-2010,594.0,684.0,594.0,655.2,210600,NASDAQ
SCON,12-Jan-2010,676.8,682.2,639.0,649.8,140800,NASDAQ
SCON,13-Jan-2010,651.6,662.4,648.0,657.0,86000,NASDAQ
SCON,14-Jan-2010,669.6,691.2,669.6,675.0,113200,NASDAQ
SCON,15-Jan-2010,675.0,687.6,637.2,637.2,95200,NASDAQ
SCON,19-Jan-2010,633.6,646.2,633.6,637.2,25300,NASDAQ
SCON,20-Jan-2010,631.8,653.4,561.6,567.0,121100,NASDAQ
SCON,21-Jan-2010,567.0,570.6,525.6,529.2,65400,NASDAQ
SCON,22-Jan-2010,523.8,567.0,518.4,532.8,46500,NASDAQ
SCON,25-Jan-2010,523.8,556.2,520.2,540.0,22200,NASDAQ
SCON,26-Jan-2010,531.0,567.0,516.6,540.0,36600,NASDAQ
SCON,27-Jan-2010,532.8,538.2,514.8,522.0,130800,NASDAQ
SCON,28-Jan-2010,523.8,543.6,513.0,518.4,86500,NASDAQ
SCON,29-Jan-2010,536.4,536.4,509.4,509.4,26400,NASDAQ
SCON,01-Feb-2010,516.6,538.2,487.8,509.4,47600,NASDAQ
SCON,02-Feb-2010,496.8,516.6,495.0,509.4,19600,NASDAQ
SCON,03-Feb-2010,509.4,514.8,505.8,509.4,10600,NASDAQ
SCON,04-Feb-2010,514.8,514.8,495.0,500.4,17700,NASDAQ
SCON,05-Feb-2010,489.6,502.2,489.6,500.4,34500,NASDAQ
SCON,08-Feb-2010,500.4,520.2,495.0,504.0,16700,NASDAQ
SCON,09-Feb-2010,507.6,534.6,498.6,518.4,67600,NASDAQ
SCON,10-Feb-2010,523.8,603.0,516.6,567.0,128500,NASDAQ
SCON,11-Feb-2010,574.2,597.6,567.0,583.2,36700,NASDAQ
SCON,12-Feb-2010,583.2,610.2,567.0,610.2,37400,NASDAQ
SCON,16-Feb-2010,612.0,630.0,583.2,590.4,102800,NASDAQ
SCON,17-Feb-2010,590.4,590.4,558.0,559.8,56500,NASDAQ
SCON,18-Feb-2010,568.8,568.8,543.6,558.0,22200,NASDAQ
SCON,19-Feb-2010,549.0,567.0,549.0,556.2,2100,NASDAQ
SCON,22-Feb-2010,570.6,570.6,554.4,561.6,16700,NASDAQ
SCON,23-Feb-2010,561.6,585.0,549.0,563.4,11500,NASDAQ
SCON,24-Feb-2010,563.4,567.0,541.8,549.0,22000,NASDAQ
SCON,25-Feb-2010,531.0,545.4,513.0,531.0,30300,NASDAQ
SCON,26-Feb-2010,522.0,540.0,505.8,527.4,48100,NASDAQ
SCON,01-Mar-2010,523.8,527.4,511.2,518.4,62500,NASDAQ
SCON,02-Mar-2010,518.4,693.0,516.6,599.4,957500,NASDAQ
SCON,03-Mar-2010,595.8,595.8,552.6,559.8,123300,NASDAQ
SCON,04-Mar-2010,556.2,576.0,554.4,554.4,32100,NASDAQ
SCON,05-Mar-2010,552.6,572.4,550.8,558.0,33800,NASDAQ
SCON,08-Mar-2010,568.8,581.4,567.0,570.6,88900,NASDAQ
SCON,09-Mar-2010,559.8,588.6,552.6,565.2,40400,NASDAQ
SCON,10-Mar-2010,559.8,588.6,556.2,576.0,20900,NASDAQ
SCON,11-Mar-2010,576.0,576.0,556.2,568.8,22500,NASDAQ
SCON,12-Mar-2010,567.0,576.0,567.0,567.0,25100,NASDAQ
SCON,15-Mar-2010,559.8,577.8,558.0,570.6,16300,NASDAQ
SCON,16-Mar-2010,565.2,567.0,534.6,565.2,79900,NASDAQ
SCON,17-Mar-2010,565.2,567.0,547.2,559.8,20500,NASDAQ
SCON,18-Mar-2010,554.4,561.6,529.2,549.0,26200,NASDAQ
SCON,19-Mar-2010,554.4,554.4,531.0,534.6,28100,NASDAQ
SCON,22-Mar-2010,531.0,540.0,522.0,540.0,15100,NASDAQ
SCON,23-Mar-2010,532.8,540.0,532.8,540.0,76800,NASDAQ
SCON,24-Mar-2010,540.0,540.0,532.8,534.6,9800,NASDAQ
SCON,25-Mar-2010,540.0,540.0,534.6,536.4,10700,NASDAQ
SCON,26-Mar-2010,536.4,545.4,532.8,538.2,47900,NASDAQ
SCON,29-Mar-2010,545.4,550.8,534.6,545.4,28200,NASDAQ
SCON,30-Mar-2010,545.4,550.8,529.2,532.8,21000,NASDAQ
SCON,31-Mar-2010,540.0,540.0,523.8,529.2,16600,NASDAQ
SCON,01-Apr-2010,527.4,531.0,520.2,522.0,28200,NASDAQ
SCON,05-Apr-2010,532.8,532.8,523.8,527.4,22300,NASDAQ
SCON,06-Apr-2010,525.6,531.0,525.6,529.2,17000,NASDAQ
SCON,07-Apr-2010,525.6,529.2,525.6,527.4,12400,NASDAQ
SCON,08-Apr-2010,529.2,540.0,523.8,527.4,25200,NASDAQ
SCON,09-Apr-2010,527.4,538.2,513.0,518.4,61500,NASDAQ
SCON,12-Apr-2010,514.8,529.2,514.8,518.4,21200,NASDAQ
SCON,13-Apr-2010,518.4,520.2,513.0,513.0,20100,NASDAQ
SCON,14-Apr-2010,513.0,529.2,504.0,504.0,65000,NASDAQ
SCON,15-Apr-2010,505.8,514.8,504.0,505.8,40800,NASDAQ
SCON,16-Apr-2010,514.8,514.8,502.2,504.0,9700,NASDAQ
SCON,19-Apr-2010,504.0,520.2,495.0,511.2,36100,NASDAQ
SCON,20-Apr-2010,507.6,513.0,507.6,509.4,18100,NASDAQ
SCON,21-Apr-2010,504.0,511.2,504.0,507.6,36700,NASDAQ
SCON,22-Apr-2010,504.0,505.8,504.0,505.8,28900,NASDAQ
SCON,23-Apr-2010,504.0,523.8,504.0,514.8,23600,NASDAQ
SCON,26-Apr-2010,511.2,534.6,504.0,505.8,27900,NASDAQ
SCON,27-Apr-2010,500.4,516.6,496.8,500.4,15500,NASDAQ
SCON,28-Apr-2010,498.6,504.0,498.6,504.0,18400,NASDAQ
SCON,29-Apr-2010,511.2,513.0,495.0,502.2,9600,NASDAQ
SCON,30-Apr-2010,496.8,518.4,493.2,493.2,15100,NASDAQ
SCON,03-May-2010,495.0,509.4,495.0,504.0,14800,NASDAQ
SCON,04-May-2010,504.0,504.0,478.8,489.6,51000,NASDAQ
SCON,05-May-2010,478.8,489.6,477.0,482.4,25400,NASDAQ
SCON,06-May-2010,469.8,478.8,450.0,471.6,91900,NASDAQ
SCON,07-May-2010,450.0,464.4,450.0,455.4,60000,NASDAQ
SCON,10-May-2010,455.4,466.2,455.4,455.4,31400,NASDAQ
SCON,11-May-2010,451.8,478.8,450.0,464.4,7200,NASDAQ
SCON,12-May-2010,462.6,468.0,450.0,453.6,25500,NASDAQ
SCON,13-May-2010,450.0,464.4,446.4,451.8,77700,NASDAQ
SCON,14-May-2010,450.0,450.0,432.0,450.0,26300,NASDAQ
SCON,17-May-2010,446.4,446.4,432.0,432.0,24300,NASDAQ
SCON,18-May-2010,450.0,450.0,433.8,442.8,32100,NASDAQ
SCON,19-May-2010,451.8,451.8,441.0,442.8,9500,NASDAQ
