name,date,open_price,close_price,high_price,low_price,volume,market
SPTN,04-Jan-2010,14.44,14.45,13.95,14.41,90600,NASDAQ
SPTN,05-Jan-2010,14.25,14.25,12.5,12.96,681600,NASDAQ
SPTN,06-Jan-2010,13.06,13.06,12.23,12.48,477600,NASDAQ
SPTN,07-Jan-2010,12.35,12.4,12.08,12.27,421300,NASDAQ
SPTN,08-Jan-2010,12.3,12.92,12.26,12.52,301100,NASDAQ
SPTN,11-Jan-2010,12.66,12.88,12.59,12.78,118400,NASDAQ
SPTN,12-Jan-2010,12.77,13.17,12.77,13.06,222400,NASDAQ
SPTN,13-Jan-2010,13.15,13.56,13.11,13.55,138200,NASDAQ
SPTN,14-Jan-2010,13.45,13.62,13.26,13.56,143000,NASDAQ
SPTN,15-Jan-2010,13.6,13.6,13.32,13.48,176700,NASDAQ
SPTN,19-Jan-2010,13.46,13.88,13.4,13.87,150600,NASDAQ
SPTN,20-Jan-2010,13.87,13.96,13.34,13.61,165000,NASDAQ
SPTN,21-Jan-2010,13.69,13.8,13.38,13.53,186600,NASDAQ
SPTN,22-Jan-2010,13.48,13.61,13.33,13.35,133400,NASDAQ
SPTN,25-Jan-2010,13.38,13.38,13.1,13.11,120700,NASDAQ
SPTN,26-Jan-2010,13.05,13.11,12.9,12.98,50300,NASDAQ
SPTN,27-Jan-2010,13.97,14.0,13.44,13.75,180300,NASDAQ
SPTN,28-Jan-2010,13.73,13.76,13.34,13.43,85500,NASDAQ
SPTN,29-Jan-2010,13.47,13.7,13.32,13.54,195800,NASDAQ
SPTN,01-Feb-2010,13.54,13.83,13.46,13.81,146400,NASDAQ
SPTN,02-Feb-2010,13.8,13.91,13.66,13.79,137000,NASDAQ
SPTN,03-Feb-2010,13.79,13.9,13.56,13.87,130900,NASDAQ
SPTN,04-Feb-2010,13.84,13.89,13.22,13.3,167000,NASDAQ
SPTN,05-Feb-2010,13.28,13.61,13.28,13.58,98400,NASDAQ
SPTN,08-Feb-2010,13.53,13.65,13.28,13.32,149300,NASDAQ
SPTN,09-Feb-2010,13.42,13.45,13.11,13.36,223800,NASDAQ
SPTN,10-Feb-2010,13.29,13.39,13.1,13.14,107900,NASDAQ
SPTN,11-Feb-2010,13.08,13.28,12.96,13.26,95300,NASDAQ
SPTN,12-Feb-2010,12.75,12.81,12.13,12.18,468200,NASDAQ
SPTN,16-Feb-2010,12.33,12.45,12.18,12.43,169400,NASDAQ
SPTN,17-Feb-2010,12.52,12.55,12.32,12.53,286200,NASDAQ
SPTN,18-Feb-2010,12.56,12.83,12.54,12.79,408300,NASDAQ
SPTN,19-Feb-2010,12.82,13.32,12.8,13.3,346700,NASDAQ
SPTN,22-Feb-2010,13.37,13.75,13.37,13.64,189600,NASDAQ
SPTN,23-Feb-2010,13.64,13.73,13.5,13.71,209100,NASDAQ
SPTN,24-Feb-2010,13.67,14.03,13.49,14.0,169400,NASDAQ
SPTN,25-Feb-2010,13.78,14.0,13.55,14.0,120200,NASDAQ
SPTN,26-Feb-2010,14.03,14.13,13.92,14.02,124000,NASDAQ
SPTN,01-Mar-2010,14.1,14.49,13.96,14.46,181600,NASDAQ
SPTN,02-Mar-2010,14.43,14.45,14.23,14.25,171200,NASDAQ
SPTN,03-Mar-2010,14.3,14.45,14.15,14.33,256400,NASDAQ
SPTN,04-Mar-2010,14.28,14.29,14.01,14.17,136200,NASDAQ
SPTN,05-Mar-2010,14.17,14.63,14.12,14.39,227700,NASDAQ
SPTN,08-Mar-2010,14.43,14.55,14.05,14.13,165500,NASDAQ
SPTN,09-Mar-2010,14.06,14.42,14.0,14.16,381500,NASDAQ
SPTN,10-Mar-2010,14.12,14.21,14.02,14.06,343100,NASDAQ
SPTN,11-Mar-2010,14.05,14.08,13.85,13.99,337000,NASDAQ
SPTN,12-Mar-2010,14.0,14.38,13.8,14.25,313100,NASDAQ
SPTN,15-Mar-2010,14.26,14.28,14.02,14.26,52500,NASDAQ
SPTN,16-Mar-2010,14.33,14.43,13.99,14.35,70000,NASDAQ
SPTN,17-Mar-2010,14.41,14.64,14.3,14.51,33400,NASDAQ
SPTN,18-Mar-2010,14.43,14.63,14.18,14.59,41500,NASDAQ
SPTN,19-Mar-2010,14.66,14.66,14.3,14.6,284100,NASDAQ
SPTN,22-Mar-2010,14.54,14.94,14.39,14.92,79800,NASDAQ
SPTN,23-Mar-2010,14.95,15.01,14.68,14.98,53000,NASDAQ
SPTN,24-Mar-2010,14.98,15.03,14.71,14.74,68500,NASDAQ
SPTN,25-Mar-2010,14.78,14.92,14.58,14.71,75100,NASDAQ
SPTN,26-Mar-2010,14.79,14.82,14.45,14.5,51200,NASDAQ
SPTN,29-Mar-2010,14.57,14.83,14.34,14.51,66900,NASDAQ
SPTN,30-Mar-2010,14.57,14.62,14.25,14.59,187800,NASDAQ
SPTN,31-Mar-2010,14.51,14.59,14.39,14.42,113600,NASDAQ
SPTN,01-Apr-2010,14.51,14.73,14.48,14.61,61300,NASDAQ
SPTN,05-Apr-2010,14.7,15.11,14.54,15.11,100400,NASDAQ
SPTN,06-Apr-2010,15.01,15.32,14.99,15.24,135500,NASDAQ
SPTN,07-Apr-2010,15.14,15.44,15.14,15.32,123200,NASDAQ
