name,date,open_price,close_price,high_price,low_price,volume,market
STKL,04-Jan-2010,3.41,3.43,3.34,3.36,108600,NASDAQ
STKL,05-Jan-2010,3.35,3.37,3.3,3.34,204700,NASDAQ
STKL,06-Jan-2010,3.31,3.34,3.2,3.21,229400,NASDAQ
STKL,07-Jan-2010,3.21,3.24,3.08,3.16,458000,NASDAQ
STKL,08-Jan-2010,3.18,3.23,3.08,3.14,354600,NASDAQ
STKL,11-Jan-2010,3.16,3.22,3.13,3.15,204500,NASDAQ
STKL,12-Jan-2010,3.14,3.16,3.07,3.07,167800,NASDAQ
STKL,13-Jan-2010,3.12,3.27,3.12,3.21,432500,NASDAQ
STKL,14-Jan-2010,3.23,3.24,3.15,3.17,101900,NASDAQ
STKL,15-Jan-2010,3.16,3.25,3.14,3.19,212700,NASDAQ
STKL,19-Jan-2010,3.17,3.27,3.11,3.15,167400,NASDAQ
STKL,20-Jan-2010,3.17,3.19,3.07,3.1,201200,NASDAQ
STKL,21-Jan-2010,3.25,3.28,3.14,3.15,201000,NASDAQ
STKL,22-Jan-2010,3.1,3.28,3.07,3.23,343100,NASDAQ
STKL,25-Jan-2010,3.22,3.23,3.05,3.13,202200,NASDAQ
STKL,26-Jan-2010,3.12,3.16,3.06,3.06,503500,NASDAQ
STKL,27-Jan-2010,3.04,3.14,2.93,3.13,203400,NASDAQ
STKL,28-Jan-2010,3.13,3.17,2.95,2.99,959500,NASDAQ
STKL,29-Jan-2010,3.0,3.03,2.86,2.91,272500,NASDAQ
STKL,01-Feb-2010,2.92,3.03,2.9,2.95,478900,NASDAQ
STKL,02-Feb-2010,2.94,2.99,2.92,2.95,112700,NASDAQ
STKL,03-Feb-2010,2.95,2.95,2.88,2.9,245800,NASDAQ
STKL,04-Feb-2010,2.85,2.88,2.71,2.75,337900,NASDAQ
STKL,05-Feb-2010,2.76,2.8,2.71,2.78,212100,NASDAQ
STKL,08-Feb-2010,2.78,2.82,2.74,2.77,159000,NASDAQ
STKL,09-Feb-2010,2.77,2.8,2.73,2.75,154700,NASDAQ
STKL,10-Feb-2010,2.75,2.77,2.65,2.71,313800,NASDAQ
STKL,11-Feb-2010,2.71,2.9,2.69,2.9,95300,NASDAQ
STKL,12-Feb-2010,2.81,2.86,2.74,2.81,158300,NASDAQ
STKL,16-Feb-2010,2.85,2.88,2.75,2.84,143400,NASDAQ
STKL,17-Feb-2010,2.81,2.9,2.75,2.88,98200,NASDAQ
STKL,18-Feb-2010,2.9,3.0,2.88,3.0,79300,NASDAQ
STKL,19-Feb-2010,2.99,3.01,2.87,2.87,103700,NASDAQ
STKL,22-Feb-2010,2.91,3.02,2.88,2.98,109000,NASDAQ
STKL,23-Feb-2010,3.0,3.04,2.96,3.04,69800,NASDAQ
STKL,24-Feb-2010,3.04,3.11,3.01,3.1,133000,NASDAQ
STKL,25-Feb-2010,3.09,3.14,2.94,3.05,141100,NASDAQ
STKL,26-Feb-2010,3.09,3.09,2.95,3.0,163900,NASDAQ
STKL,01-Mar-2010,3.0,3.07,3.0,3.05,89100,NASDAQ
STKL,02-Mar-2010,3.05,3.16,3.04,3.16,114700,NASDAQ
STKL,03-Mar-2010,3.14,3.28,3.14,3.15,194300,NASDAQ
