name,date,open_price,close_price,high_price,low_price,volume,market
SVVC,19-Apr-2011,22.5,22.5,12.5,12.6,500,NASDAQ
SVVC,20-Apr-2011,18.0,23.41,18.0,18.5,3000,NASDAQ
SVVC,21-Apr-2011,22.0,27.99,20.0,26.3,6300,NASDAQ
SVVC,25-Apr-2011,23.5,26.25,22.0,22.0,5600,NASDAQ
SVVC,26-Apr-2011,22.04,22.62,20.01,21.15,7100,NASDAQ
SVVC,27-Apr-2011,22.99,22.99,20.0,20.0,17300,NASDAQ
SVVC,28-Apr-2011,19.52,20.24,19.52,20.0,8900,NASDAQ
SVVC,29-Apr-2011,19.9,20.19,19.11,19.89,14500,NASDAQ
SVVC,02-May-2011,19.06,19.27,17.71,18.07,10700,NASDAQ
SVVC,03-May-2011,15.53,18.07,15.33,16.99,29100,NASDAQ
SVVC,04-May-2011,17.0,20.0,16.8,18.98,14600,NASDAQ
SVVC,05-May-2011,20.0,20.0,17.0,18.75,3300,NASDAQ
SVVC,06-May-2011,18.6,19.75,18.0,18.0,7000,NASDAQ
SVVC,09-May-2011,18.5,19.59,18.0,18.0,7800,NASDAQ
SVVC,10-May-2011,18.02,18.12,17.16,17.17,4700,NASDAQ
SVVC,11-May-2011,17.16,18.51,17.01,17.02,14100,NASDAQ
SVVC,12-May-2011,17.01,17.45,16.6,17.24,5800,NASDAQ
SVVC,13-May-2011,16.95,17.21,16.6,16.68,6400,NASDAQ
SVVC,16-May-2011,16.26,17.1,16.0,16.0,19300,NASDAQ
SVVC,17-May-2011,16.0,16.6,15.98,16.57,3800,NASDAQ
SVVC,18-May-2011,16.5,17.0,16.5,17.0,2600,NASDAQ
SVVC,19-May-2011,17.09,17.73,16.4,16.62,7300,NASDAQ
SVVC,20-May-2011,16.63,17.14,16.6,16.64,7200,NASDAQ
SVVC,23-May-2011,16.3,16.9,16.3,16.75,2500,NASDAQ
SVVC,24-May-2011,16.61,16.74,16.6,16.74,900,NASDAQ
SVVC,25-May-2011,16.63,17.8,16.6,16.65,2400,NASDAQ
SVVC,26-May-2011,16.65,16.88,16.65,16.88,800,NASDAQ
SVVC,27-May-2011,16.65,17.79,16.6,16.63,2500,NASDAQ
SVVC,31-May-2011,16.3,17.5,16.3,17.0,7100,NASDAQ
SVVC,01-Jun-2011,16.36,16.56,16.34,16.5,600,NASDAQ
SVVC,02-Jun-2011,16.5,16.5,16.3,16.3,3200,NASDAQ
SVVC,03-Jun-2011,16.3,16.3,16.11,16.27,800,NASDAQ
SVVC,06-Jun-2011,16.1,16.19,16.1,16.1,1300,NASDAQ
SVVC,07-Jun-2011,16.1,16.28,16.06,16.1,1200,NASDAQ
SVVC,08-Jun-2011,16.06,16.3,16.06,16.3,1800,NASDAQ
SVVC,09-Jun-2011,16.06,16.08,16.03,16.03,1900,NASDAQ
SVVC,10-Jun-2011,16.06,16.27,15.78,16.09,1000,NASDAQ
SVVC,13-Jun-2011,15.78,15.78,14.65,15.09,10900,NASDAQ
SVVC,14-Jun-2011,14.12,16.11,14.12,15.43,8700,NASDAQ
SVVC,15-Jun-2011,15.13,15.13,14.63,15.01,400,NASDAQ
SVVC,16-Jun-2011,14.94,15.07,14.67,14.75,3100,NASDAQ
SVVC,17-Jun-2011,14.72,16.59,14.62,14.99,1100,NASDAQ
SVVC,20-Jun-2011,14.6,14.69,14.6,14.65,1700,NASDAQ
SVVC,21-Jun-2011,14.6,15.0,14.6,15.0,600,NASDAQ
SVVC,22-Jun-2011,15.0,15.0,14.67,14.67,900,NASDAQ
SVVC,23-Jun-2011,14.6,14.6,14.25,14.38,3900,NASDAQ
SVVC,24-Jun-2011,15.39,15.4,14.36,14.36,400,NASDAQ
SVVC,27-Jun-2011,14.44,14.5,14.41,14.5,1400,NASDAQ
SVVC,28-Jun-2011,14.42,15.48,14.42,14.46,1200,NASDAQ
SVVC,29-Jun-2011,14.4,14.54,14.38,14.54,1000,NASDAQ
SVVC,30-Jun-2011,15.4,16.19,15.01,15.2,7800,NASDAQ
SVVC,01-Jul-2011,14.58,16.0,14.58,15.24,3300,NASDAQ
SVVC,05-Jul-2011,14.51,15.52,14.51,14.86,2000,NASDAQ
SVVC,06-Jul-2011,14.55,15.75,14.55,15.56,2500,NASDAQ
SVVC,07-Jul-2011,14.56,15.87,14.56,15.16,8300,NASDAQ
SVVC,08-Jul-2011,15.05,16.08,15.01,15.17,1800,NASDAQ
SVVC,11-Jul-2011,14.76,15.26,14.76,15.24,3700,NASDAQ
SVVC,12-Jul-2011,15.06,15.8,15.06,15.55,2000,NASDAQ
SVVC,13-Jul-2011,15.51,15.75,15.18,15.75,3400,NASDAQ
SVVC,14-Jul-2011,15.5,16.45,15.18,16.06,3800,NASDAQ
SVVC,15-Jul-2011,15.8,16.0,15.8,16.0,400,NASDAQ
SVVC,18-Jul-2011,16.95,16.95,15.55,16.55,8000,NASDAQ
SVVC,19-Jul-2011,16.01,17.0,16.01,16.62,8100,NASDAQ
SVVC,20-Jul-2011,16.59,16.59,15.31,16.09,9300,NASDAQ
SVVC,21-Jul-2011,15.31,16.49,15.31,16.02,1700,NASDAQ
SVVC,22-Jul-2011,15.62,15.68,15.38,15.6,1500,NASDAQ
SVVC,25-Jul-2011,15.31,16.59,15.31,16.26,5200,NASDAQ
SVVC,26-Jul-2011,15.76,16.55,15.76,16.27,1900,NASDAQ
SVVC,27-Jul-2011,16.15,16.2,15.75,16.02,7600,NASDAQ
SVVC,28-Jul-2011,15.85,16.53,15.8,15.92,6400,NASDAQ
SVVC,29-Jul-2011,15.5,16.14,15.4,15.63,5700,NASDAQ
SVVC,01-Aug-2011,15.79,16.2,15.3,15.71,3900,NASDAQ
SVVC,02-Aug-2011,15.64,16.24,15.3,15.52,14100,NASDAQ
SVVC,03-Aug-2011,15.35,15.9,15.35,15.6,3400,NASDAQ
SVVC,04-Aug-2011,16.52,16.52,15.33,15.73,6800,NASDAQ
SVVC,05-Aug-2011,15.3,15.75,15.3,15.75,2200,NASDAQ
SVVC,08-Aug-2011,15.31,15.75,14.53,14.53,10000,NASDAQ
SVVC,09-Aug-2011,14.75,14.75,14.51,14.51,2100,NASDAQ
SVVC,10-Aug-2011,14.51,16.5,14.51,16.5,7700,NASDAQ
SVVC,11-Aug-2011,17.93,19.0,16.6,18.26,32900,NASDAQ
SVVC,12-Aug-2011,18.4,18.4,18.06,18.07,1700,NASDAQ
SVVC,15-Aug-2011,17.95,17.95,16.97,17.66,6500,NASDAQ
SVVC,16-Aug-2011,16.86,16.86,16.01,16.7,1100,NASDAQ
SVVC,17-Aug-2011,16.35,17.24,16.32,16.62,1900,NASDAQ
SVVC,18-Aug-2011,16.32,16.75,16.31,16.75,1400,NASDAQ
SVVC,19-Aug-2011,16.2,16.63,16.2,16.6,2100,NASDAQ
SVVC,22-Aug-2011,16.2,17.25,16.2,16.21,1500,NASDAQ
SVVC,23-Aug-2011,16.2,16.55,16.2,16.55,700,NASDAQ
SVVC,24-Aug-2011,16.3,16.44,16.25,16.3,2800,NASDAQ
SVVC,25-Aug-2011,16.71,16.71,16.2,16.45,3700,NASDAQ
SVVC,26-Aug-2011,16.2,16.33,16.2,16.2,2300,NASDAQ
SVVC,29-Aug-2011,16.15,16.15,16.02,16.02,900,NASDAQ
SVVC,30-Aug-2011,15.57,16.0,15.5,15.86,3000,NASDAQ
SVVC,31-Aug-2011,15.6,15.99,15.1,15.51,18600,NASDAQ
SVVC,01-Sep-2011,15.55,15.75,15.55,15.75,1800,NASDAQ
SVVC,02-Sep-2011,15.65,15.65,15.65,15.65,100,NASDAQ
SVVC,06-Sep-2011,15.1,16.03,15.1,15.76,9300,NASDAQ
SVVC,07-Sep-2011,16.07,16.23,15.84,16.06,3400,NASDAQ
SVVC,08-Sep-2011,15.89,16.23,15.85,15.85,4100,NASDAQ
SVVC,09-Sep-2011,15.73,15.73,15.1,15.1,2200,NASDAQ
SVVC,12-Sep-2011,15.0,15.05,15.0,15.02,600,NASDAQ
SVVC,13-Sep-2011,16.11,16.98,15.72,16.19,3100,NASDAQ
SVVC,14-Sep-2011,16.21,16.94,16.0,16.57,9000,NASDAQ
SVVC,15-Sep-2011,16.51,16.6,16.41,16.41,5200,NASDAQ
SVVC,16-Sep-2011,16.4,16.6,15.99,16.36,3400,NASDAQ
SVVC,19-Sep-2011,16.19,16.59,16.01,16.01,2100,NASDAQ
SVVC,20-Sep-2011,16.3,16.6,15.49,15.7,8400,NASDAQ
SVVC,21-Sep-2011,15.46,16.28,15.46,15.8,1900,NASDAQ
SVVC,22-Sep-2011,15.61,16.48,15.45,15.61,4700,NASDAQ
SVVC,23-Sep-2011,15.71,15.72,14.5,14.67,26800,NASDAQ
SVVC,26-Sep-2011,14.34,14.96,14.3,14.65,7900,NASDAQ
SVVC,27-Sep-2011,14.77,15.1,14.77,15.07,5500,NASDAQ
SVVC,28-Sep-2011,14.89,14.92,14.83,14.91,500,NASDAQ
SVVC,29-Sep-2011,15.09,15.69,14.75,14.99,4900,NASDAQ
SVVC,30-Sep-2011,14.89,14.98,14.65,14.65,1500,NASDAQ
SVVC,03-Oct-2011,14.52,14.92,14.52,14.75,4700,NASDAQ
SVVC,04-Oct-2011,14.76,14.81,14.6,14.6,2500,NASDAQ
SVVC,05-Oct-2011,14.49,14.75,14.4,14.4,7500,NASDAQ
SVVC,06-Oct-2011,14.3,14.5,14.3,14.49,6100,NASDAQ
SVVC,07-Oct-2011,14.5,14.9,14.34,14.67,3500,NASDAQ
SVVC,10-Oct-2011,14.89,15.39,14.6,15.39,5000,NASDAQ
SVVC,11-Oct-2011,15.3,15.44,14.94,15.0,4900,NASDAQ
SVVC,12-Oct-2011,15.85,15.85,15.0,15.16,6600,NASDAQ
SVVC,13-Oct-2011,15.05,15.25,14.9,14.95,6900,NASDAQ
SVVC,14-Oct-2011,14.7,15.18,14.6,15.0,13000,NASDAQ
SVVC,17-Oct-2011,14.89,14.99,14.5,14.63,3000,NASDAQ
SVVC,18-Oct-2011,14.85,15.0,14.85,14.95,1000,NASDAQ
SVVC,19-Oct-2011,14.88,16.31,14.84,15.91,18000,NASDAQ
SVVC,20-Oct-2011,15.9,16.6,15.9,16.44,10100,NASDAQ
SVVC,21-Oct-2011,16.33,16.54,16.1,16.28,3000,NASDAQ
SVVC,24-Oct-2011,16.4,16.57,16.01,16.34,13500,NASDAQ
SVVC,25-Oct-2011,16.29,16.31,16.1,16.3,3700,NASDAQ
SVVC,26-Oct-2011,16.12,16.37,16.11,16.2,6100,NASDAQ
SVVC,27-Oct-2011,15.78,16.09,15.66,15.96,5500,NASDAQ
SVVC,28-Oct-2011,15.76,15.87,15.35,15.35,8000,NASDAQ
SVVC,31-Oct-2011,15.03,15.99,15.01,15.02,4900,NASDAQ
SVVC,01-Nov-2011,15.02,15.13,14.79,14.82,4200,NASDAQ
SVVC,02-Nov-2011,14.86,14.86,14.86,14.86,100,NASDAQ
SVVC,03-Nov-2011,14.86,15.08,14.76,15.08,1200,NASDAQ
SVVC,04-Nov-2011,15.05,15.05,14.36,15.0,1900,NASDAQ
