name,date,open_price,close_price,high_price,low_price,volume,market
TAST,04-Jan-2010,7.12,7.41,7.12,7.32,74400,NASDAQ
TAST,05-Jan-2010,7.34,7.34,7.04,7.07,98200,NASDAQ
TAST,06-Jan-2010,7.04,7.1,6.76,6.77,80700,NASDAQ
TAST,07-Jan-2010,6.83,6.87,6.76,6.8,50000,NASDAQ
TAST,08-Jan-2010,6.78,7.02,6.6,6.68,63100,NASDAQ
TAST,11-Jan-2010,6.67,6.71,6.51,6.52,97500,NASDAQ
TAST,12-Jan-2010,6.54,6.55,6.41,6.41,85900,NASDAQ
TAST,13-Jan-2010,6.46,6.56,6.46,6.49,36200,NASDAQ
TAST,14-Jan-2010,6.5,6.58,6.48,6.48,265700,NASDAQ
TAST,15-Jan-2010,6.53,6.65,6.52,6.54,38500,NASDAQ
TAST,19-Jan-2010,6.53,6.66,6.47,6.64,31900,NASDAQ
TAST,20-Jan-2010,6.61,6.8,6.61,6.67,44900,NASDAQ
TAST,21-Jan-2010,6.7,6.78,6.55,6.56,146900,NASDAQ
TAST,22-Jan-2010,6.58,6.61,6.49,6.5,131900,NASDAQ
TAST,25-Jan-2010,6.54,6.57,6.47,6.49,66100,NASDAQ
TAST,26-Jan-2010,6.45,6.62,6.45,6.5,84400,NASDAQ
TAST,27-Jan-2010,6.51,6.63,6.51,6.54,23000,NASDAQ
TAST,28-Jan-2010,6.57,6.6,6.43,6.43,71500,NASDAQ
TAST,29-Jan-2010,6.46,6.47,6.26,6.31,99900,NASDAQ
TAST,01-Feb-2010,6.31,6.35,6.25,6.3,98400,NASDAQ
TAST,02-Feb-2010,6.28,6.34,6.23,6.25,67300,NASDAQ
TAST,03-Feb-2010,6.23,6.71,6.06,6.51,69100,NASDAQ
TAST,04-Feb-2010,6.46,6.58,6.36,6.4,31700,NASDAQ
TAST,05-Feb-2010,6.84,6.84,6.24,6.43,59900,NASDAQ
TAST,08-Feb-2010,6.48,6.48,6.32,6.32,33300,NASDAQ
TAST,09-Feb-2010,6.38,6.5,6.32,6.38,19700,NASDAQ
TAST,10-Feb-2010,6.36,6.53,6.33,6.41,19300,NASDAQ
TAST,11-Feb-2010,6.42,6.56,6.41,6.53,28300,NASDAQ
TAST,12-Feb-2010,6.47,6.55,6.45,6.46,49600,NASDAQ
TAST,16-Feb-2010,6.49,6.63,6.44,6.6,36600,NASDAQ
TAST,17-Feb-2010,6.6,6.82,6.58,6.72,45400,NASDAQ
TAST,18-Feb-2010,6.71,7.01,6.7,7.0,51100,NASDAQ
TAST,19-Feb-2010,7.01,7.01,6.66,6.78,49300,NASDAQ
TAST,22-Feb-2010,6.83,6.83,6.64,6.7,35000,NASDAQ
TAST,23-Feb-2010,6.71,6.78,6.62,6.71,26900,NASDAQ
TAST,24-Feb-2010,6.72,6.82,6.7,6.78,42900,NASDAQ
TAST,25-Feb-2010,6.69,6.74,6.45,6.53,132400,NASDAQ
TAST,26-Feb-2010,6.45,6.48,6.33,6.35,68600,NASDAQ
TAST,01-Mar-2010,6.35,6.47,6.33,6.4,109600,NASDAQ
TAST,02-Mar-2010,6.39,6.4,6.29,6.34,55500,NASDAQ
TAST,03-Mar-2010,6.37,6.38,6.22,6.24,78000,NASDAQ
TAST,04-Mar-2010,6.23,6.28,6.14,6.16,63800,NASDAQ
TAST,05-Mar-2010,6.15,6.16,6.06,6.1,127100,NASDAQ
TAST,08-Mar-2010,6.07,6.16,6.01,6.12,85100,NASDAQ
TAST,09-Mar-2010,6.09,6.3,6.03,6.21,53400,NASDAQ
TAST,10-Mar-2010,6.18,6.51,6.18,6.46,125800,NASDAQ
TAST,11-Mar-2010,6.42,6.49,6.35,6.46,24800,NASDAQ
TAST,12-Mar-2010,6.45,6.52,6.23,6.25,68600,NASDAQ
TAST,15-Mar-2010,6.24,6.31,6.12,6.14,49400,NASDAQ
TAST,16-Mar-2010,6.13,6.25,6.11,6.22,21300,NASDAQ
TAST,17-Mar-2010,6.25,6.34,6.21,6.27,30700,NASDAQ
TAST,18-Mar-2010,6.32,6.47,6.31,6.39,70100,NASDAQ
TAST,19-Mar-2010,6.43,6.54,6.42,6.51,78900,NASDAQ
TAST,22-Mar-2010,6.45,6.52,6.3,6.52,72800,NASDAQ
TAST,23-Mar-2010,6.5,6.57,6.44,6.53,71800,NASDAQ
TAST,24-Mar-2010,6.51,6.57,6.5,6.52,90100,NASDAQ
TAST,25-Mar-2010,6.53,6.7,6.53,6.65,68800,NASDAQ
TAST,26-Mar-2010,6.68,6.7,6.61,6.69,34100,NASDAQ
TAST,29-Mar-2010,6.69,6.73,6.65,6.71,41900,NASDAQ
TAST,30-Mar-2010,6.76,6.89,6.73,6.81,67300,NASDAQ
TAST,31-Mar-2010,6.8,6.84,6.77,6.8,89900,NASDAQ
TAST,01-Apr-2010,6.8,6.85,6.66,6.68,96300,NASDAQ
TAST,05-Apr-2010,6.68,6.91,6.66,6.78,87400,NASDAQ
TAST,06-Apr-2010,6.57,6.84,6.57,6.83,45200,NASDAQ
TAST,07-Apr-2010,6.8,6.93,6.78,6.83,167000,NASDAQ
