name,date,open_price,close_price,high_price,low_price,volume,market
UBNT,14-Oct-2011,16.5,19.0,16.25,17.5,2954300,NASDAQ
UBNT,17-Oct-2011,17.72,18.95,17.5,18.6,354500,NASDAQ
UBNT,18-Oct-2011,18.77,19.0,18.21,19.0,136100,NASDAQ
UBNT,19-Oct-2011,19.0,19.42,17.48,17.65,144900,NASDAQ
UBNT,20-Oct-2011,17.6,18.3,17.58,17.88,260200,NASDAQ
UBNT,21-Oct-2011,18.03,19.8,17.81,19.56,644300,NASDAQ
UBNT,24-Oct-2011,19.75,21.5,19.57,20.23,193900,NASDAQ
UBNT,25-Oct-2011,19.97,20.43,19.06,19.39,125100,NASDAQ
UBNT,26-Oct-2011,19.77,20.2,18.71,19.04,59600,NASDAQ
UBNT,27-Oct-2011,19.7,20.0,18.75,19.12,60400,NASDAQ
UBNT,28-Oct-2011,19.44,20.39,19.01,20.39,69500,NASDAQ
UBNT,31-Oct-2011,20.31,21.25,19.48,20.99,123300,NASDAQ
UBNT,01-Nov-2011,20.27,20.94,19.76,20.46,270900,NASDAQ
UBNT,02-Nov-2011,20.89,21.2,19.8,20.75,56100,NASDAQ
UBNT,03-Nov-2011,20.9,21.15,20.12,20.17,79600,NASDAQ
UBNT,04-Nov-2011,20.03,20.26,19.08,19.27,97200,NASDAQ
UBNT,07-Nov-2011,19.01,19.75,18.85,18.86,48200,NASDAQ
UBNT,08-Nov-2011,19.18,19.33,18.5,18.71,55200,NASDAQ
UBNT,09-Nov-2011,18.5,19.0,18.5,18.72,75900,NASDAQ
UBNT,10-Nov-2011,18.96,19.35,18.51,18.6,40200,NASDAQ
UBNT,11-Nov-2011,21.4,21.5,19.33,19.46,215400,NASDAQ
UBNT,14-Nov-2011,20.34,20.63,19.15,19.71,58900,NASDAQ
UBNT,15-Nov-2011,19.51,19.95,19.41,19.85,60200,NASDAQ
UBNT,16-Nov-2011,19.54,20.26,19.4,20.05,30900,NASDAQ
UBNT,17-Nov-2011,20.08,22.26,19.86,22.01,332800,NASDAQ
UBNT,18-Nov-2011,22.31,23.04,22.24,22.36,223000,NASDAQ
UBNT,21-Nov-2011,22.02,22.31,20.2,20.47,520300,NASDAQ
UBNT,22-Nov-2011,20.29,20.62,19.61,20.54,67800,NASDAQ
UBNT,23-Nov-2011,20.71,20.98,19.32,19.67,251500,NASDAQ
UBNT,25-Nov-2011,19.69,20.5,19.36,19.36,54300,NASDAQ
UBNT,28-Nov-2011,19.88,20.32,19.3,19.37,99700,NASDAQ
UBNT,29-Nov-2011,19.43,19.65,18.75,18.88,99300,NASDAQ
UBNT,30-Nov-2011,19.69,19.83,19.06,19.76,124600,NASDAQ
UBNT,01-Dec-2011,19.68,20.27,19.5,19.99,110500,NASDAQ
UBNT,02-Dec-2011,20.27,20.4,19.55,20.25,98700,NASDAQ
UBNT,05-Dec-2011,20.48,20.65,19.75,19.93,75300,NASDAQ
UBNT,06-Dec-2011,19.94,20.25,19.45,19.5,100100,NASDAQ
UBNT,07-Dec-2011,19.11,19.99,19.11,19.84,196000,NASDAQ
UBNT,08-Dec-2011,19.6,20.43,19.6,20.11,68900,NASDAQ
UBNT,09-Dec-2011,20.31,20.57,20.02,20.14,29800,NASDAQ
UBNT,12-Dec-2011,20.0,20.29,19.46,19.86,35800,NASDAQ
UBNT,13-Dec-2011,20.02,21.14,19.7,20.82,282700,NASDAQ
UBNT,14-Dec-2011,20.63,21.06,20.0,21.03,108900,NASDAQ
UBNT,15-Dec-2011,21.14,21.45,20.51,20.55,194300,NASDAQ
UBNT,16-Dec-2011,20.9,21.08,20.56,20.9,1195100,NASDAQ
UBNT,19-Dec-2011,20.94,20.95,20.4,20.54,401800,NASDAQ
UBNT,20-Dec-2011,20.92,20.93,19.84,19.88,248300,NASDAQ
UBNT,21-Dec-2011,19.71,20.0,19.3,19.36,175900,NASDAQ
UBNT,22-Dec-2011,19.09,19.67,19.0,19.21,101400,NASDAQ
UBNT,23-Dec-2011,19.02,20.03,19.02,19.26,81200,NASDAQ
UBNT,27-Dec-2011,19.27,19.5,18.8,18.84,54600,NASDAQ
UBNT,28-Dec-2011,18.78,18.82,18.28,18.43,81600,NASDAQ
UBNT,29-Dec-2011,18.49,18.83,18.26,18.56,38100,NASDAQ
UBNT,30-Dec-2011,18.49,18.5,17.93,18.23,136800,NASDAQ
