name,date,open_price,close_price,high_price,low_price,volume,market
UBOH,04-Jan-2010,9.02,9.27,9.02,9.27,2500,NASDAQ
UBOH,05-Jan-2010,9.07,9.25,9.07,9.25,1500,NASDAQ
UBOH,06-Jan-2010,9.11,9.11,9.01,9.01,5400,NASDAQ
UBOH,07-Jan-2010,9.11,9.11,8.81,8.85,5700,NASDAQ
UBOH,08-Jan-2010,9.41,9.41,9.25,9.4,2200,NASDAQ
UBOH,11-Jan-2010,9.35,9.35,9.35,9.35,100,NASDAQ
UBOH,12-Jan-2010,9.31,9.45,9.31,9.45,1200,NASDAQ
UBOH,13-Jan-2010,9.29,9.3,9.29,9.3,500,NASDAQ
UBOH,14-Jan-2010,9.1,9.17,9.1,9.17,400,NASDAQ
UBOH,15-Jan-2010,9.15,9.2,9.11,9.2,2100,NASDAQ
UBOH,19-Jan-2010,9.2,9.2,9.2,9.2,0,NASDAQ
UBOH,20-Jan-2010,9.27,9.27,9.27,9.27,100,NASDAQ
UBOH,21-Jan-2010,9.3,9.3,9.2,9.2,1800,NASDAQ
UBOH,22-Jan-2010,9.1,9.1,9.0,9.1,3800,NASDAQ
UBOH,25-Jan-2010,9.05,9.1,8.96,8.96,5700,NASDAQ
UBOH,26-Jan-2010,9.23,9.24,9.19,9.2,1900,NASDAQ
UBOH,27-Jan-2010,9.25,9.25,9.25,9.25,100,NASDAQ
UBOH,28-Jan-2010,9.01,9.01,9.01,9.01,500,NASDAQ
UBOH,29-Jan-2010,9.27,9.27,9.02,9.07,1100,NASDAQ
UBOH,01-Feb-2010,9.1,9.1,9.1,9.1,700,NASDAQ
UBOH,02-Feb-2010,9.03,9.27,9.03,9.2,4400,NASDAQ
UBOH,03-Feb-2010,9.2,9.2,9.2,9.2,0,NASDAQ
UBOH,04-Feb-2010,9.45,9.45,9.32,9.32,800,NASDAQ
UBOH,05-Feb-2010,9.32,9.32,9.32,9.32,0,NASDAQ
UBOH,08-Feb-2010,9.27,9.42,9.27,9.28,3900,NASDAQ
UBOH,09-Feb-2010,9.3,9.3,9.3,9.3,500,NASDAQ
UBOH,10-Feb-2010,9.3,9.3,9.3,9.3,700,NASDAQ
UBOH,11-Feb-2010,9.43,9.43,9.03,9.03,1600,NASDAQ
UBOH,12-Feb-2010,9.43,9.43,9.07,9.07,3700,NASDAQ
UBOH,16-Feb-2010,9.07,9.13,9.07,9.13,500,NASDAQ
UBOH,17-Feb-2010,9.03,9.04,9.02,9.03,5400,NASDAQ
UBOH,18-Feb-2010,9.41,9.41,9.35,9.36,400,NASDAQ
UBOH,19-Feb-2010,9.38,9.38,9.0,9.0,4300,NASDAQ
UBOH,22-Feb-2010,9.09,9.4,9.09,9.23,1100,NASDAQ
UBOH,23-Feb-2010,9.23,9.23,9.23,9.23,0,NASDAQ
UBOH,24-Feb-2010,9.3,9.37,9.2,9.28,5300,NASDAQ
UBOH,25-Feb-2010,9.27,9.27,9.02,9.09,800,NASDAQ
UBOH,26-Feb-2010,9.15,9.16,9.15,9.15,1300,NASDAQ
UBOH,01-Mar-2010,9.05,9.15,9.05,9.06,3400,NASDAQ
UBOH,02-Mar-2010,9.06,9.06,9.06,9.06,0,NASDAQ
UBOH,03-Mar-2010,9.06,9.06,9.06,9.06,0,NASDAQ
UBOH,04-Mar-2010,9.38,9.38,9.1,9.1,800,NASDAQ
UBOH,05-Mar-2010,9.15,9.15,9.15,9.15,2700,NASDAQ
UBOH,08-Mar-2010,9.17,9.41,9.17,9.34,1700,NASDAQ
UBOH,09-Mar-2010,9.34,9.34,9.34,9.34,0,NASDAQ
UBOH,10-Mar-2010,9.35,9.35,9.31,9.32,2900,NASDAQ
UBOH,11-Mar-2010,9.18,9.18,9.17,9.17,1100,NASDAQ
UBOH,12-Mar-2010,9.38,9.39,9.37,9.39,1700,NASDAQ
UBOH,15-Mar-2010,9.2,9.5,9.2,9.49,4400,NASDAQ
UBOH,16-Mar-2010,9.5,9.95,9.5,9.82,6400,NASDAQ
UBOH,17-Mar-2010,9.82,9.82,9.82,9.82,0,NASDAQ
UBOH,18-Mar-2010,9.6,9.6,9.57,9.57,800,NASDAQ
UBOH,19-Mar-2010,9.84,10.0,9.83,10.0,4300,NASDAQ
UBOH,22-Mar-2010,10.0,10.0,10.0,10.0,1600,NASDAQ
UBOH,23-Mar-2010,10.0,10.46,10.0,10.07,500,NASDAQ
UBOH,24-Mar-2010,10.0,10.07,10.0,10.07,600,NASDAQ
UBOH,25-Mar-2010,10.07,10.07,10.07,10.07,0,NASDAQ
UBOH,26-Mar-2010,10.07,10.07,10.07,10.07,0,NASDAQ
UBOH,29-Mar-2010,10.35,10.5,10.1,10.5,1100,NASDAQ
UBOH,30-Mar-2010,10.37,10.37,10.1,10.21,300,NASDAQ
UBOH,31-Mar-2010,10.09,10.6,10.08,10.6,6500,NASDAQ
UBOH,01-Apr-2010,10.4,10.4,10.37,10.37,1900,NASDAQ
UBOH,05-Apr-2010,10.26,10.31,10.26,10.31,800,NASDAQ
UBOH,06-Apr-2010,10.55,10.55,10.11,10.11,1800,NASDAQ
UBOH,07-Apr-2010,10.15,10.15,10.1,10.1,1300,NASDAQ
UBOH,08-Apr-2010,10.07,10.15,10.05,10.05,4200,NASDAQ
UBOH,09-Apr-2010,9.87,9.87,9.87,9.87,1000,NASDAQ
UBOH,12-Apr-2010,10.5,10.5,9.93,9.93,700,NASDAQ
UBOH,13-Apr-2010,9.93,10.43,9.93,10.15,1400,NASDAQ
UBOH,14-Apr-2010,10.1,10.39,10.1,10.32,1300,NASDAQ
UBOH,15-Apr-2010,10.01,10.49,9.9,10.34,1600,NASDAQ
UBOH,16-Apr-2010,10.46,10.46,10.32,10.32,300,NASDAQ
UBOH,19-Apr-2010,9.95,10.35,9.95,10.35,1400,NASDAQ
UBOH,20-Apr-2010,10.46,10.47,10.43,10.47,300,NASDAQ
UBOH,21-Apr-2010,10.07,10.17,10.07,10.15,500,NASDAQ
