name,date,open_price,close_price,high_price,low_price,volume,market
ULTI,04-Jan-2010,29.62,30.16,29.62,30.0,103900,NASDAQ
ULTI,05-Jan-2010,30.0,30.13,29.8,29.84,62000,NASDAQ
ULTI,06-Jan-2010,29.86,30.19,29.46,29.52,79500,NASDAQ
ULTI,07-Jan-2010,29.58,29.72,29.12,29.4,39800,NASDAQ
ULTI,08-Jan-2010,29.4,29.73,29.0,29.72,63600,NASDAQ
ULTI,11-Jan-2010,29.89,29.89,29.33,29.77,64500,NASDAQ
ULTI,12-Jan-2010,29.47,29.56,28.82,29.45,252700,NASDAQ
ULTI,13-Jan-2010,29.41,29.83,29.39,29.66,90900,NASDAQ
ULTI,14-Jan-2010,29.68,30.83,29.68,30.52,204700,NASDAQ
ULTI,15-Jan-2010,30.67,30.94,30.14,30.55,200700,NASDAQ
ULTI,19-Jan-2010,30.5,31.78,30.0,31.65,154400,NASDAQ
ULTI,20-Jan-2010,31.52,31.76,30.63,31.0,128300,NASDAQ
ULTI,21-Jan-2010,30.94,31.4,30.38,30.7,193100,NASDAQ
ULTI,22-Jan-2010,30.69,30.93,30.05,30.1,475200,NASDAQ
ULTI,25-Jan-2010,30.57,30.57,29.81,29.92,227300,NASDAQ
ULTI,26-Jan-2010,29.81,30.1,29.43,29.96,239100,NASDAQ
ULTI,27-Jan-2010,29.76,30.57,29.76,30.43,139500,NASDAQ
ULTI,28-Jan-2010,30.39,30.45,29.45,30.08,156400,NASDAQ
ULTI,29-Jan-2010,30.28,30.51,29.87,29.9,275900,NASDAQ
ULTI,01-Feb-2010,30.0,30.21,29.73,30.08,158000,NASDAQ
ULTI,02-Feb-2010,30.01,30.39,29.72,30.0,127500,NASDAQ
ULTI,03-Feb-2010,29.83,30.33,29.68,29.69,163700,NASDAQ
ULTI,04-Feb-2010,29.56,29.56,28.41,28.45,185000,NASDAQ
ULTI,05-Feb-2010,28.6,28.7,27.76,28.68,245700,NASDAQ
ULTI,08-Feb-2010,28.33,29.08,28.08,28.54,171300,NASDAQ
ULTI,09-Feb-2010,28.96,29.08,28.25,28.84,277600,NASDAQ
ULTI,10-Feb-2010,26.85,28.42,26.81,28.18,1221500,NASDAQ
ULTI,11-Feb-2010,27.95,28.15,27.4,27.69,440700,NASDAQ
ULTI,12-Feb-2010,27.5,28.67,27.19,28.67,267900,NASDAQ
ULTI,16-Feb-2010,28.74,29.19,28.74,29.02,135300,NASDAQ
ULTI,17-Feb-2010,29.2,30.0,28.99,29.84,192500,NASDAQ
ULTI,18-Feb-2010,29.85,30.08,29.72,30.0,81500,NASDAQ
ULTI,19-Feb-2010,30.01,30.39,29.9,30.29,226300,NASDAQ
ULTI,22-Feb-2010,30.47,30.93,30.2,30.25,272500,NASDAQ
ULTI,23-Feb-2010,30.26,30.33,29.78,30.3,210300,NASDAQ
ULTI,24-Feb-2010,30.74,31.15,30.4,31.07,116900,NASDAQ
ULTI,25-Feb-2010,30.59,31.31,30.42,31.24,95800,NASDAQ
ULTI,26-Feb-2010,31.17,31.42,30.91,30.92,61300,NASDAQ
ULTI,01-Mar-2010,30.99,31.81,30.99,31.39,110900,NASDAQ
ULTI,02-Mar-2010,31.4,31.64,31.38,31.59,96900,NASDAQ
ULTI,03-Mar-2010,31.74,31.98,31.37,31.37,127300,NASDAQ
ULTI,04-Mar-2010,31.53,31.64,31.28,31.56,45800,NASDAQ
ULTI,05-Mar-2010,31.64,32.62,31.64,32.43,196600,NASDAQ
ULTI,08-Mar-2010,32.34,32.47,32.1,32.25,63500,NASDAQ
ULTI,09-Mar-2010,32.09,32.76,31.6,32.66,122700,NASDAQ
ULTI,10-Mar-2010,32.56,33.07,32.46,32.81,199300,NASDAQ
ULTI,11-Mar-2010,32.57,32.57,32.0,32.28,95700,NASDAQ
ULTI,12-Mar-2010,33.24,34.66,32.72,33.93,572000,NASDAQ
ULTI,15-Mar-2010,33.81,34.22,33.76,34.11,317500,NASDAQ
ULTI,16-Mar-2010,34.32,34.32,34.0,34.22,113600,NASDAQ
ULTI,17-Mar-2010,34.18,34.94,34.18,34.55,107700,NASDAQ
ULTI,18-Mar-2010,34.61,34.61,33.97,34.03,174600,NASDAQ
ULTI,19-Mar-2010,34.24,34.32,33.5,34.31,223100,NASDAQ
ULTI,22-Mar-2010,34.02,34.48,33.94,34.35,75500,NASDAQ
ULTI,23-Mar-2010,34.11,34.81,34.11,34.68,86100,NASDAQ
ULTI,24-Mar-2010,34.63,34.63,33.85,33.92,69700,NASDAQ
ULTI,25-Mar-2010,34.24,34.43,33.41,33.45,66000,NASDAQ
ULTI,26-Mar-2010,33.47,33.71,32.49,32.75,104900,NASDAQ
ULTI,29-Mar-2010,32.92,33.2,32.68,33.15,112000,NASDAQ
