name,date,open_price,close_price,high_price,low_price,volume,market
UMBF,04-Jan-2010,39.74,39.85,39.13,39.42,115000,NASDAQ
UMBF,05-Jan-2010,39.39,39.63,38.5,38.67,98600,NASDAQ
UMBF,06-Jan-2010,38.6,38.75,38.25,38.34,103200,NASDAQ
UMBF,07-Jan-2010,38.35,39.27,37.95,39.17,116100,NASDAQ
UMBF,08-Jan-2010,39.13,39.66,38.15,39.34,60700,NASDAQ
UMBF,11-Jan-2010,39.2,39.4,38.56,39.26,84500,NASDAQ
UMBF,12-Jan-2010,38.88,39.34,38.63,39.21,86600,NASDAQ
UMBF,13-Jan-2010,39.3,39.59,38.68,39.31,48200,NASDAQ
UMBF,14-Jan-2010,39.32,40.5,39.26,40.33,139200,NASDAQ
UMBF,15-Jan-2010,40.45,40.45,39.09,39.82,204600,NASDAQ
UMBF,19-Jan-2010,39.79,40.92,39.07,40.77,165000,NASDAQ
UMBF,20-Jan-2010,40.59,40.84,39.36,40.48,149200,NASDAQ
UMBF,21-Jan-2010,40.43,41.8,40.16,41.5,163300,NASDAQ
UMBF,22-Jan-2010,41.34,41.93,40.6,40.93,168100,NASDAQ
UMBF,25-Jan-2010,41.2,41.33,40.2,41.09,152700,NASDAQ
UMBF,26-Jan-2010,41.06,41.74,40.03,40.45,238500,NASDAQ
UMBF,27-Jan-2010,40.34,41.54,40.17,40.9,264700,NASDAQ
UMBF,28-Jan-2010,40.9,41.11,39.9,40.2,159000,NASDAQ
UMBF,29-Jan-2010,40.24,40.67,39.48,39.51,264600,NASDAQ
UMBF,01-Feb-2010,39.58,39.88,38.6,38.76,216900,NASDAQ
UMBF,02-Feb-2010,38.72,38.81,38.3,38.38,271500,NASDAQ
UMBF,03-Feb-2010,38.32,38.71,37.34,37.83,193400,NASDAQ
UMBF,04-Feb-2010,37.63,37.72,36.75,37.24,217800,NASDAQ
UMBF,05-Feb-2010,37.23,37.99,37.01,37.6,169000,NASDAQ
UMBF,08-Feb-2010,37.46,37.73,37.01,37.6,243800,NASDAQ
UMBF,09-Feb-2010,37.89,38.25,37.55,37.85,287900,NASDAQ
UMBF,10-Feb-2010,37.61,38.22,37.49,38.04,109300,NASDAQ
UMBF,11-Feb-2010,37.81,38.18,37.31,37.91,317200,NASDAQ
UMBF,12-Feb-2010,37.61,37.96,37.34,37.86,165200,NASDAQ
UMBF,16-Feb-2010,38.12,38.53,37.63,38.53,114300,NASDAQ
UMBF,17-Feb-2010,38.77,38.77,37.91,38.13,131300,NASDAQ
UMBF,18-Feb-2010,37.98,38.17,37.67,37.84,91400,NASDAQ
UMBF,19-Feb-2010,37.84,38.08,37.58,37.88,159900,NASDAQ
UMBF,22-Feb-2010,38.11,38.15,37.81,38.08,240900,NASDAQ
UMBF,23-Feb-2010,38.0,38.37,37.64,38.03,298500,NASDAQ
UMBF,24-Feb-2010,37.99,38.89,37.99,38.7,242200,NASDAQ
UMBF,25-Feb-2010,38.28,38.6,38.08,38.43,279600,NASDAQ
UMBF,26-Feb-2010,38.43,38.46,37.92,38.31,224600,NASDAQ
UMBF,01-Mar-2010,38.56,39.01,38.22,38.91,417500,NASDAQ
UMBF,02-Mar-2010,38.86,39.31,38.85,39.1,373300,NASDAQ
UMBF,03-Mar-2010,39.23,39.58,39.09,39.21,367700,NASDAQ
UMBF,04-Mar-2010,39.33,39.83,39.18,39.79,237400,NASDAQ
UMBF,05-Mar-2010,39.82,40.86,39.78,40.86,208300,NASDAQ
UMBF,08-Mar-2010,40.73,40.98,40.62,40.67,150500,NASDAQ
UMBF,09-Mar-2010,40.47,40.5,40.05,40.28,121900,NASDAQ
UMBF,10-Mar-2010,40.17,40.82,39.95,40.23,133100,NASDAQ
UMBF,11-Mar-2010,39.96,40.48,39.9,40.48,74300,NASDAQ
UMBF,12-Mar-2010,40.76,40.76,40.17,40.48,125000,NASDAQ
UMBF,15-Mar-2010,40.42,40.49,39.76,39.93,146700,NASDAQ
UMBF,16-Mar-2010,39.93,40.18,39.65,40.18,116200,NASDAQ
UMBF,17-Mar-2010,40.28,41.07,40.24,41.03,113600,NASDAQ
UMBF,18-Mar-2010,40.77,41.36,40.77,40.94,104000,NASDAQ
UMBF,19-Mar-2010,41.02,41.24,40.72,41.18,209400,NASDAQ
UMBF,22-Mar-2010,41.03,41.66,40.71,41.6,116300,NASDAQ
UMBF,23-Mar-2010,41.65,42.01,41.14,41.96,103800,NASDAQ
UMBF,24-Mar-2010,41.77,41.96,41.23,41.37,147400,NASDAQ
UMBF,25-Mar-2010,41.55,42.04,41.09,41.13,122700,NASDAQ
UMBF,26-Mar-2010,41.47,41.54,40.55,40.69,89800,NASDAQ
UMBF,29-Mar-2010,40.9,40.9,40.33,40.67,137000,NASDAQ
UMBF,30-Mar-2010,40.61,41.32,40.61,40.81,114900,NASDAQ
UMBF,31-Mar-2010,40.53,41.44,40.53,40.6,157900,NASDAQ
UMBF,01-Apr-2010,40.65,41.02,40.01,40.41,92200,NASDAQ
UMBF,05-Apr-2010,40.64,41.0,40.25,41.0,108600,NASDAQ
UMBF,06-Apr-2010,40.79,41.66,40.5,41.47,93200,NASDAQ
UMBF,07-Apr-2010,41.47,41.86,41.3,41.84,194900,NASDAQ
UMBF,08-Apr-2010,41.75,42.37,41.6,42.24,122700,NASDAQ
UMBF,09-Apr-2010,42.25,42.5,42.08,42.15,98100,NASDAQ
UMBF,12-Apr-2010,42.06,42.6,42.05,42.39,114800,NASDAQ
UMBF,13-Apr-2010,42.16,42.16,41.17,41.4,117300,NASDAQ
UMBF,14-Apr-2010,41.58,42.19,41.44,42.03,141000,NASDAQ
UMBF,15-Apr-2010,42.1,42.49,42.01,42.23,106900,NASDAQ
UMBF,16-Apr-2010,42.22,42.42,41.34,42.09,126500,NASDAQ
UMBF,19-Apr-2010,41.81,42.19,41.0,41.94,105500,NASDAQ
UMBF,20-Apr-2010,42.23,42.7,41.93,42.44,68900,NASDAQ
UMBF,21-Apr-2010,42.32,43.58,42.21,43.55,141600,NASDAQ
UMBF,22-Apr-2010,43.09,44.22,43.09,44.22,133000,NASDAQ
UMBF,23-Apr-2010,44.12,44.68,44.02,44.51,97700,NASDAQ
UMBF,26-Apr-2010,44.4,44.4,42.96,43.0,71900,NASDAQ
UMBF,27-Apr-2010,42.75,43.41,41.98,42.28,123600,NASDAQ
UMBF,28-Apr-2010,42.45,43.15,41.82,42.69,155900,NASDAQ
UMBF,29-Apr-2010,42.93,43.27,42.27,43.1,164300,NASDAQ
UMBF,30-Apr-2010,42.91,42.91,41.9,42.12,302300,NASDAQ
UMBF,03-May-2010,42.13,42.41,41.89,42.16,200000,NASDAQ
UMBF,04-May-2010,41.71,41.71,40.84,41.08,262000,NASDAQ
UMBF,05-May-2010,40.76,41.37,40.26,40.58,172800,NASDAQ
UMBF,06-May-2010,40.42,41.05,38.12,40.29,398000,NASDAQ
UMBF,07-May-2010,40.26,41.55,39.83,40.36,431600,NASDAQ
UMBF,10-May-2010,41.87,42.54,41.25,42.04,242900,NASDAQ
UMBF,11-May-2010,41.48,43.2,41.44,42.61,162400,NASDAQ
UMBF,12-May-2010,42.78,43.09,42.1,43.06,144500,NASDAQ
UMBF,13-May-2010,42.8,43.2,42.46,42.86,101500,NASDAQ
UMBF,14-May-2010,42.5,42.5,41.36,41.66,204300,NASDAQ
UMBF,17-May-2010,41.78,42.38,40.92,41.75,167100,NASDAQ
UMBF,18-May-2010,42.18,42.18,40.24,40.33,219100,NASDAQ
UMBF,19-May-2010,40.29,41.33,39.87,39.93,148900,NASDAQ
UMBF,20-May-2010,39.29,40.05,38.94,38.96,269600,NASDAQ
UMBF,21-May-2010,38.35,39.79,38.14,39.33,382200,NASDAQ
UMBF,24-May-2010,39.35,39.56,38.36,38.39,225800,NASDAQ
UMBF,25-May-2010,38.1,38.59,37.56,38.55,237600,NASDAQ
UMBF,26-May-2010,38.74,39.25,38.41,38.69,184900,NASDAQ
