name,date,open_price,close_price,high_price,low_price,volume,market
USCR,01-Feb-2011,8.8,9.48,8.8,9.48,15700,NASDAQ
USCR,02-Feb-2011,9.2,9.21,8.81,8.93,23100,NASDAQ
USCR,03-Feb-2011,8.81,8.81,8.81,8.81,100,NASDAQ
USCR,04-Feb-2011,8.97,9.0,8.79,8.98,4500,NASDAQ
USCR,07-Feb-2011,9.15,9.46,9.15,9.43,18200,NASDAQ
USCR,08-Feb-2011,9.46,9.47,9.46,9.47,3400,NASDAQ
USCR,09-Feb-2011,9.52,9.52,9.27,9.4,2100,NASDAQ
USCR,10-Feb-2011,9.51,9.54,9.44,9.54,3700,NASDAQ
USCR,11-Feb-2011,9.63,9.74,9.5,9.65,7200,NASDAQ
USCR,14-Feb-2011,9.85,10.7,9.65,10.46,38900,NASDAQ
USCR,15-Feb-2011,10.25,10.35,9.93,10.02,74600,NASDAQ
USCR,16-Feb-2011,10.3,12.03,10.3,11.03,17200,NASDAQ
USCR,17-Feb-2011,10.09,10.94,10.09,10.74,29500,NASDAQ
USCR,18-Feb-2011,11.0,11.0,9.51,9.64,108300,NASDAQ
USCR,22-Feb-2011,9.51,9.92,9.5,9.6,9100,NASDAQ
USCR,23-Feb-2011,9.91,9.91,9.58,9.64,7400,NASDAQ
USCR,24-Feb-2011,9.3,9.83,9.3,9.82,4000,NASDAQ
USCR,25-Feb-2011,9.85,9.99,9.62,9.93,17300,NASDAQ
USCR,28-Feb-2011,10.0,10.09,9.76,10.0,7900,NASDAQ
USCR,01-Mar-2011,9.8,10.76,9.8,10.57,23100,NASDAQ
USCR,02-Mar-2011,10.5,10.51,10.0,10.29,270800,NASDAQ
USCR,03-Mar-2011,10.32,10.32,9.59,10.07,95000,NASDAQ
USCR,04-Mar-2011,10.01,10.05,9.85,9.86,18000,NASDAQ
USCR,07-Mar-2011,9.75,10.0,9.75,9.93,4500,NASDAQ
USCR,08-Mar-2011,9.85,9.89,9.85,9.86,3000,NASDAQ
USCR,09-Mar-2011,9.48,10.0,9.48,9.93,2000,NASDAQ
USCR,10-Mar-2011,9.82,9.85,9.7,9.75,51300,NASDAQ
USCR,11-Mar-2011,9.75,9.75,9.4,9.68,22400,NASDAQ
USCR,14-Mar-2011,9.8,10.0,9.66,9.75,8500,NASDAQ
USCR,15-Mar-2011,9.72,9.82,9.72,9.75,69900,NASDAQ
USCR,16-Mar-2011,9.75,10.77,9.73,10.07,85000,NASDAQ
USCR,17-Mar-2011,10.01,10.15,10.0,10.14,61400,NASDAQ
