name,date,open_price,close_price,high_price,low_price,volume,market
VIRC,04-Jan-2010,3.7,3.99,3.7,3.99,3900,NASDAQ
VIRC,05-Jan-2010,3.88,3.88,3.76,3.76,800,NASDAQ
VIRC,06-Jan-2010,3.76,3.76,3.62,3.67,5500,NASDAQ
VIRC,07-Jan-2010,3.67,3.74,3.61,3.61,8300,NASDAQ
VIRC,08-Jan-2010,3.62,3.62,3.62,3.62,300,NASDAQ
VIRC,11-Jan-2010,3.62,3.62,3.31,3.5,7900,NASDAQ
VIRC,12-Jan-2010,3.39,3.65,3.35,3.65,17900,NASDAQ
VIRC,13-Jan-2010,3.75,3.84,3.5,3.63,27600,NASDAQ
VIRC,14-Jan-2010,3.62,3.67,3.62,3.67,7500,NASDAQ
VIRC,15-Jan-2010,3.67,3.85,3.62,3.77,7700,NASDAQ
VIRC,19-Jan-2010,3.7,3.77,3.66,3.73,13000,NASDAQ
VIRC,20-Jan-2010,3.72,3.8,3.44,3.49,27300,NASDAQ
VIRC,21-Jan-2010,3.7,3.7,3.44,3.54,2800,NASDAQ
VIRC,22-Jan-2010,3.35,3.4,3.35,3.37,1600,NASDAQ
VIRC,25-Jan-2010,3.51,3.51,3.48,3.5,5800,NASDAQ
VIRC,26-Jan-2010,3.45,3.5,3.45,3.5,2600,NASDAQ
VIRC,27-Jan-2010,3.5,3.57,3.43,3.43,6300,NASDAQ
VIRC,28-Jan-2010,3.4,3.45,3.4,3.45,2300,NASDAQ
VIRC,29-Jan-2010,3.5,3.53,3.5,3.53,2500,NASDAQ
VIRC,01-Feb-2010,3.51,3.87,3.37,3.49,37600,NASDAQ
VIRC,02-Feb-2010,3.37,3.54,3.37,3.49,8500,NASDAQ
VIRC,03-Feb-2010,3.4,3.49,3.4,3.49,3100,NASDAQ
VIRC,04-Feb-2010,3.5,3.6,3.5,3.6,10900,NASDAQ
VIRC,05-Feb-2010,3.6,3.69,3.6,3.69,53600,NASDAQ
VIRC,08-Feb-2010,3.71,3.71,3.67,3.7,400,NASDAQ
VIRC,09-Feb-2010,3.77,4.03,3.71,3.71,18500,NASDAQ
VIRC,10-Feb-2010,3.71,3.71,3.71,3.71,0,NASDAQ
VIRC,11-Feb-2010,3.64,3.64,3.64,3.64,300,NASDAQ
VIRC,12-Feb-2010,3.51,3.51,3.5,3.5,3800,NASDAQ
VIRC,16-Feb-2010,3.69,3.69,3.61,3.61,900,NASDAQ
VIRC,17-Feb-2010,3.61,3.65,3.54,3.65,3000,NASDAQ
VIRC,18-Feb-2010,3.65,3.65,3.65,3.65,0,NASDAQ
VIRC,19-Feb-2010,3.69,3.74,3.69,3.71,2200,NASDAQ
VIRC,22-Feb-2010,3.63,3.64,3.5,3.63,2100,NASDAQ
