name,date,open_price,close_price,high_price,low_price,volume,market
VNDA,04-Jan-2010,11.34,11.72,11.24,11.67,598900,NASDAQ
VNDA,05-Jan-2010,11.7,11.7,11.21,11.28,571800,NASDAQ
VNDA,06-Jan-2010,11.31,11.35,10.95,10.99,599100,NASDAQ
VNDA,07-Jan-2010,11.02,11.1,10.86,10.94,327800,NASDAQ
VNDA,08-Jan-2010,10.97,11.04,10.87,10.89,236400,NASDAQ
VNDA,11-Jan-2010,10.89,11.2,10.82,10.85,485200,NASDAQ
VNDA,12-Jan-2010,10.83,11.33,10.49,10.52,740400,NASDAQ
VNDA,13-Jan-2010,10.69,10.77,10.42,10.61,386400,NASDAQ
VNDA,14-Jan-2010,10.63,11.03,10.49,10.65,443000,NASDAQ
VNDA,15-Jan-2010,10.7,10.78,10.34,10.44,457600,NASDAQ
VNDA,19-Jan-2010,10.54,10.71,10.31,10.66,513500,NASDAQ
VNDA,20-Jan-2010,10.63,10.93,10.5,10.67,417500,NASDAQ
VNDA,21-Jan-2010,10.64,10.86,10.21,10.26,714100,NASDAQ
VNDA,22-Jan-2010,10.31,10.47,10.12,10.26,312700,NASDAQ
VNDA,25-Jan-2010,10.28,10.37,10.15,10.18,312000,NASDAQ
VNDA,26-Jan-2010,10.17,10.27,10.1,10.21,250700,NASDAQ
VNDA,27-Jan-2010,10.15,10.27,10.05,10.22,378700,NASDAQ
VNDA,28-Jan-2010,10.25,10.27,10.05,10.2,463100,NASDAQ
VNDA,29-Jan-2010,10.21,10.21,9.97,10.01,405000,NASDAQ
VNDA,01-Feb-2010,10.1,10.42,10.04,10.31,346900,NASDAQ
VNDA,02-Feb-2010,10.4,10.99,10.3,10.82,658200,NASDAQ
VNDA,03-Feb-2010,10.8,11.18,10.7,10.74,331400,NASDAQ
VNDA,04-Feb-2010,10.74,10.74,10.27,10.27,300700,NASDAQ
VNDA,05-Feb-2010,10.33,10.49,10.05,10.33,340700,NASDAQ
VNDA,08-Feb-2010,10.3,10.5,10.2,10.2,248800,NASDAQ
VNDA,09-Feb-2010,10.32,10.66,10.24,10.6,269300,NASDAQ
VNDA,10-Feb-2010,10.56,10.64,10.34,10.63,166700,NASDAQ
VNDA,11-Feb-2010,10.59,10.9,10.54,10.64,849200,NASDAQ
VNDA,12-Feb-2010,10.59,10.72,10.56,10.63,563800,NASDAQ
VNDA,16-Feb-2010,10.66,10.72,10.29,10.52,408600,NASDAQ
VNDA,17-Feb-2010,10.52,10.94,10.3,10.9,1051400,NASDAQ
VNDA,18-Feb-2010,10.86,11.0,10.69,10.86,771500,NASDAQ
VNDA,19-Feb-2010,10.88,10.91,10.42,10.62,1079700,NASDAQ
VNDA,22-Feb-2010,10.66,10.94,10.62,10.67,499600,NASDAQ
VNDA,23-Feb-2010,10.64,10.79,10.23,10.3,809600,NASDAQ
VNDA,24-Feb-2010,10.26,10.39,10.18,10.37,354800,NASDAQ
VNDA,25-Feb-2010,10.27,10.37,10.18,10.29,486700,NASDAQ
VNDA,26-Feb-2010,10.31,10.38,10.18,10.27,699000,NASDAQ
VNDA,01-Mar-2010,10.31,11.24,10.28,11.09,2128200,NASDAQ
VNDA,02-Mar-2010,11.15,11.33,10.88,10.9,717300,NASDAQ
VNDA,03-Mar-2010,10.89,11.21,10.75,10.85,761300,NASDAQ
VNDA,04-Mar-2010,10.85,11.04,10.51,10.57,606000,NASDAQ
VNDA,05-Mar-2010,10.61,10.78,10.61,10.65,593300,NASDAQ
VNDA,08-Mar-2010,10.66,10.93,10.49,10.5,525200,NASDAQ
VNDA,09-Mar-2010,10.46,10.6,10.34,10.35,386200,NASDAQ
VNDA,10-Mar-2010,10.7,11.57,10.65,11.52,3718900,NASDAQ
VNDA,11-Mar-2010,11.54,12.27,11.29,12.19,1752200,NASDAQ
VNDA,12-Mar-2010,12.19,12.29,11.69,11.99,949900,NASDAQ
VNDA,15-Mar-2010,12.0,12.5,11.75,12.38,1495500,NASDAQ
VNDA,16-Mar-2010,12.4,12.62,12.11,12.14,1063500,NASDAQ
