name,date,open_price,close_price,high_price,low_price,volume,market
VONE,22-Sep-2010,51.84,51.86,51.48,51.48,50200,NASDAQ
VONE,23-Sep-2010,51.06,51.47,50.95,50.95,13700,NASDAQ
VONE,24-Sep-2010,51.54,52.03,51.54,52.01,22900,NASDAQ
VONE,27-Sep-2010,52.09,52.1,51.85,52.1,24400,NASDAQ
VONE,28-Sep-2010,51.6,51.89,51.6,51.82,6000,NASDAQ
VONE,29-Sep-2010,51.85,51.95,51.85,51.95,17000,NASDAQ
VONE,30-Sep-2010,52.25,52.37,51.79,51.79,2300,NASDAQ
VONE,01-Oct-2010,52.28,52.28,52.01,52.02,1900,NASDAQ
VONE,04-Oct-2010,51.92,51.95,51.54,51.59,4400,NASDAQ
VONE,05-Oct-2010,52.12,52.64,52.12,52.64,2400,NASDAQ
VONE,06-Oct-2010,52.57,52.57,52.57,52.57,1000,NASDAQ
VONE,07-Oct-2010,52.85,52.85,52.3,52.55,31100,NASDAQ
VONE,08-Oct-2010,52.58,52.9,52.55,52.9,19600,NASDAQ
VONE,11-Oct-2010,52.92,53.04,52.92,53.04,6500,NASDAQ
VONE,12-Oct-2010,52.7,53.18,52.5,53.18,25900,NASDAQ
VONE,13-Oct-2010,53.46,53.73,53.37,53.63,8600,NASDAQ
VONE,14-Oct-2010,53.45,53.45,53.1,53.21,9600,NASDAQ
VONE,15-Oct-2010,53.04,53.39,53.04,53.39,7700,NASDAQ
VONE,18-Oct-2010,53.39,53.39,53.39,53.39,0,NASDAQ
VONE,19-Oct-2010,53.33,53.39,52.72,52.72,600,NASDAQ
VONE,20-Oct-2010,53.37,53.72,53.37,53.62,1700,NASDAQ
VONE,21-Oct-2010,53.88,53.88,53.25,53.25,2100,NASDAQ
VONE,22-Oct-2010,53.66,53.67,53.64,53.64,1500,NASDAQ
VONE,25-Oct-2010,54.02,54.06,53.9,53.9,2300,NASDAQ
VONE,26-Oct-2010,53.53,53.94,53.53,53.87,36900,NASDAQ
VONE,27-Oct-2010,53.56,53.69,53.35,53.59,5800,NASDAQ
VONE,28-Oct-2010,53.91,53.92,53.58,53.81,6600,NASDAQ
VONE,29-Oct-2010,53.78,53.91,53.69,53.91,2400,NASDAQ
VONE,01-Nov-2010,54.25,54.25,53.63,53.63,3600,NASDAQ
VONE,02-Nov-2010,54.32,54.41,54.15,54.31,60300,NASDAQ
VONE,03-Nov-2010,54.16,54.43,54.09,54.43,1100,NASDAQ
VONE,04-Nov-2010,55.18,55.34,55.18,55.32,2300,NASDAQ
VONE,05-Nov-2010,55.64,55.68,55.64,55.68,1200,NASDAQ
VONE,08-Nov-2010,55.64,55.7,55.61,55.62,7000,NASDAQ
VONE,09-Nov-2010,55.73,55.73,55.12,55.12,3700,NASDAQ
VONE,10-Nov-2010,55.0,55.44,55.0,55.41,8700,NASDAQ
VONE,11-Nov-2010,54.97,55.37,54.97,55.28,10800,NASDAQ
VONE,12-Nov-2010,54.93,55.11,54.48,54.51,5000,NASDAQ
VONE,15-Nov-2010,54.96,54.96,54.68,54.68,900,NASDAQ
VONE,16-Nov-2010,54.28,54.28,53.61,53.64,5800,NASDAQ
VONE,17-Nov-2010,53.72,53.95,53.71,53.86,2900,NASDAQ
VONE,18-Nov-2010,54.45,54.7,54.45,54.53,5800,NASDAQ
VONE,19-Nov-2010,54.41,54.75,54.31,54.75,6500,NASDAQ
VONE,22-Nov-2010,54.56,54.7,54.2,54.6,9600,NASDAQ
VONE,23-Nov-2010,54.09,54.11,53.81,53.92,11000,NASDAQ
VONE,24-Nov-2010,54.49,54.75,54.43,54.72,5000,NASDAQ
VONE,26-Nov-2010,54.28,54.53,54.27,54.48,10900,NASDAQ
VONE,29-Nov-2010,53.99,54.45,53.73,54.33,67400,NASDAQ
VONE,30-Nov-2010,53.79,54.28,53.73,54.05,21500,NASDAQ
VONE,01-Dec-2010,54.91,55.21,54.89,55.13,7700,NASDAQ
VONE,02-Dec-2010,55.25,55.78,55.25,55.73,4500,NASDAQ
VONE,03-Dec-2010,55.74,55.88,55.71,55.79,8200,NASDAQ
VONE,06-Dec-2010,55.96,56.1,55.92,56.06,5800,NASDAQ
VONE,07-Dec-2010,56.51,56.51,56.12,56.12,26300,NASDAQ
VONE,08-Dec-2010,56.09,56.21,55.82,56.16,20400,NASDAQ
VONE,09-Dec-2010,56.35,56.35,56.15,56.31,6100,NASDAQ
VONE,10-Dec-2010,56.59,56.75,56.4,56.73,82600,NASDAQ
VONE,13-Dec-2010,56.92,57.0,56.73,56.73,12000,NASDAQ
VONE,14-Dec-2010,56.79,56.91,56.64,56.74,8100,NASDAQ
VONE,15-Dec-2010,56.53,56.8,56.53,56.58,5400,NASDAQ
VONE,16-Dec-2010,56.47,56.89,56.43,56.82,9500,NASDAQ
VONE,17-Dec-2010,56.84,57.03,56.74,56.96,35100,NASDAQ
VONE,20-Dec-2010,57.03,57.14,57.03,57.08,2300,NASDAQ
VONE,21-Dec-2010,57.29,57.48,57.26,57.48,6900,NASDAQ
VONE,22-Dec-2010,57.35,57.47,57.33,57.43,6500,NASDAQ
VONE,23-Dec-2010,57.43,57.43,57.26,57.31,6200,NASDAQ
VONE,27-Dec-2010,57.24,57.43,57.21,57.4,2500,NASDAQ
VONE,28-Dec-2010,57.39,57.46,57.32,57.46,11000,NASDAQ
VONE,29-Dec-2010,57.51,57.63,57.51,57.59,9300,NASDAQ
VONE,30-Dec-2010,57.5,57.52,57.41,57.46,9200,NASDAQ
VONE,31-Dec-2010,57.41,57.49,57.4,57.4,17600,NASDAQ
VONE,03-Jan-2011,57.94,58.27,57.92,58.12,8800,NASDAQ
VONE,04-Jan-2011,57.75,57.88,57.75,57.88,1200,NASDAQ
VONE,05-Jan-2011,57.83,58.22,57.74,58.22,6400,NASDAQ
VONE,06-Jan-2011,58.35,58.35,58.35,58.35,300,NASDAQ
VONE,07-Jan-2011,58.3,58.3,58.24,58.24,600,NASDAQ
VONE,10-Jan-2011,57.89,58.11,57.89,58.09,300,NASDAQ
VONE,11-Jan-2011,58.25,58.33,58.2,58.3,500,NASDAQ
VONE,12-Jan-2011,58.54,58.76,58.53,58.67,1400,NASDAQ
VONE,13-Jan-2011,58.64,58.66,58.54,58.54,1100,NASDAQ
VONE,14-Jan-2011,58.59,58.73,58.59,58.69,700,NASDAQ
VONE,18-Jan-2011,59.11,59.16,59.11,59.16,800,NASDAQ
VONE,19-Jan-2011,58.55,58.55,58.55,58.55,100,NASDAQ
VONE,20-Jan-2011,58.33,58.37,58.32,58.37,1200,NASDAQ
VONE,21-Jan-2011,58.75,58.82,58.56,58.56,1800,NASDAQ
VONE,24-Jan-2011,58.56,58.56,58.56,58.56,0,NASDAQ
VONE,25-Jan-2011,58.81,58.9,58.61,58.61,1900,NASDAQ
VONE,26-Jan-2011,59.15,59.15,59.15,59.15,1000,NASDAQ
VONE,27-Jan-2011,59.37,59.4,59.37,59.4,600,NASDAQ
VONE,28-Jan-2011,58.56,58.56,58.34,58.4,2900,NASDAQ
VONE,31-Jan-2011,58.53,58.84,58.53,58.71,5400,NASDAQ
VONE,01-Feb-2011,59.29,59.8,59.29,59.78,1000,NASDAQ
VONE,02-Feb-2011,59.62,59.71,59.62,59.71,400,NASDAQ
VONE,03-Feb-2011,59.62,59.62,59.62,59.62,300,NASDAQ
VONE,04-Feb-2011,59.83,59.92,59.83,59.86,6000,NASDAQ
VONE,07-Feb-2011,60.32,60.32,60.32,60.32,300,NASDAQ
VONE,08-Feb-2011,60.32,60.32,60.32,60.32,0,NASDAQ
