name,date,open_price,close_price,high_price,low_price,volume,market
VOXX,04-Jan-2010,7.21,7.36,6.91,7.36,47100,NASDAQ
VOXX,05-Jan-2010,7.36,7.36,6.9,6.96,34400,NASDAQ
VOXX,06-Jan-2010,6.92,7.05,6.59,6.71,71200,NASDAQ
VOXX,07-Jan-2010,6.72,6.89,6.55,6.71,41800,NASDAQ
VOXX,08-Jan-2010,6.69,7.02,6.68,7.02,27600,NASDAQ
VOXX,11-Jan-2010,7.12,7.75,7.02,7.46,175500,NASDAQ
VOXX,12-Jan-2010,7.28,7.35,6.96,7.1,79000,NASDAQ
VOXX,13-Jan-2010,7.13,7.21,6.79,6.91,65300,NASDAQ
VOXX,14-Jan-2010,6.85,7.1,6.78,7.06,37500,NASDAQ
VOXX,15-Jan-2010,7.1,7.1,6.78,6.81,86300,NASDAQ
VOXX,19-Jan-2010,6.81,6.95,6.81,6.88,50400,NASDAQ
VOXX,20-Jan-2010,6.76,7.04,6.51,7.0,81000,NASDAQ
VOXX,21-Jan-2010,7.04,7.04,6.76,7.0,68500,NASDAQ
VOXX,22-Jan-2010,7.0,7.04,6.8,7.03,56700,NASDAQ
VOXX,25-Jan-2010,7.11,7.11,6.53,6.54,71800,NASDAQ
VOXX,26-Jan-2010,6.54,6.86,6.51,6.61,59500,NASDAQ
VOXX,27-Jan-2010,6.58,6.86,6.55,6.85,40700,NASDAQ
VOXX,28-Jan-2010,6.85,6.89,6.52,6.75,52500,NASDAQ
VOXX,29-Jan-2010,6.77,6.84,6.64,6.65,67700,NASDAQ
VOXX,01-Feb-2010,6.69,6.74,6.4,6.44,66300,NASDAQ
VOXX,02-Feb-2010,6.46,6.59,6.42,6.49,61400,NASDAQ
VOXX,03-Feb-2010,6.47,6.58,6.47,6.5,34600,NASDAQ
VOXX,04-Feb-2010,6.44,6.65,6.44,6.46,77300,NASDAQ
VOXX,05-Feb-2010,6.5,6.99,6.44,6.95,80700,NASDAQ
VOXX,08-Feb-2010,6.91,6.91,6.52,6.52,75700,NASDAQ
VOXX,09-Feb-2010,6.64,6.7,6.49,6.6,43400,NASDAQ
VOXX,10-Feb-2010,6.56,6.68,6.5,6.61,30600,NASDAQ
VOXX,11-Feb-2010,6.56,6.81,6.48,6.81,37500,NASDAQ
VOXX,12-Feb-2010,6.69,6.97,6.56,6.86,44700,NASDAQ
VOXX,16-Feb-2010,6.94,7.16,6.92,7.13,34400,NASDAQ
VOXX,17-Feb-2010,7.15,7.41,7.12,7.41,48500,NASDAQ
VOXX,18-Feb-2010,7.38,7.44,7.06,7.1,50000,NASDAQ
VOXX,19-Feb-2010,7.09,7.49,6.89,7.48,160500,NASDAQ
VOXX,22-Feb-2010,7.47,7.47,7.27,7.37,35000,NASDAQ
VOXX,23-Feb-2010,7.37,7.62,7.19,7.49,189400,NASDAQ
VOXX,24-Feb-2010,7.52,7.59,7.21,7.27,57800,NASDAQ
VOXX,25-Feb-2010,7.14,7.4,7.1,7.39,60500,NASDAQ
VOXX,26-Feb-2010,7.4,7.4,7.16,7.22,44200,NASDAQ
VOXX,01-Mar-2010,7.3,7.58,7.21,7.57,54400,NASDAQ
VOXX,02-Mar-2010,7.57,7.96,7.11,7.95,68000,NASDAQ
VOXX,03-Mar-2010,7.95,8.1,7.79,8.01,97700,NASDAQ
VOXX,04-Mar-2010,8.05,8.08,7.93,8.08,29600,NASDAQ
VOXX,05-Mar-2010,8.11,8.39,8.08,8.16,106500,NASDAQ
VOXX,08-Mar-2010,8.1,8.1,7.8,7.94,31800,NASDAQ
VOXX,09-Mar-2010,7.86,7.86,7.65,7.82,71500,NASDAQ
VOXX,10-Mar-2010,7.8,8.15,7.74,8.12,46000,NASDAQ
VOXX,11-Mar-2010,8.04,8.29,8.04,8.23,32200,NASDAQ
VOXX,12-Mar-2010,8.25,8.31,8.05,8.1,22700,NASDAQ
VOXX,15-Mar-2010,8.05,8.26,8.03,8.12,30300,NASDAQ
VOXX,16-Mar-2010,8.15,8.15,7.92,8.15,20500,NASDAQ
VOXX,17-Mar-2010,8.19,8.19,7.94,8.07,44200,NASDAQ
VOXX,18-Mar-2010,7.9,8.1,7.75,7.99,21300,NASDAQ
VOXX,19-Mar-2010,8.0,8.0,7.61,7.65,63300,NASDAQ
VOXX,22-Mar-2010,7.56,7.74,7.4,7.74,42800,NASDAQ
VOXX,23-Mar-2010,7.72,8.19,7.55,8.07,30000,NASDAQ
VOXX,24-Mar-2010,8.01,8.03,7.85,7.86,31900,NASDAQ
VOXX,25-Mar-2010,7.91,8.06,7.75,7.76,25500,NASDAQ
VOXX,26-Mar-2010,7.74,7.97,7.7,7.84,16200,NASDAQ
VOXX,29-Mar-2010,7.85,7.92,7.69,7.73,21500,NASDAQ
VOXX,30-Mar-2010,7.73,7.98,7.73,7.93,23700,NASDAQ
VOXX,31-Mar-2010,7.86,8.22,7.73,7.78,104100,NASDAQ
VOXX,01-Apr-2010,7.84,7.97,7.38,7.46,41500,NASDAQ
VOXX,05-Apr-2010,7.52,8.07,7.52,8.04,126900,NASDAQ
VOXX,06-Apr-2010,7.95,8.14,7.95,8.11,256400,NASDAQ
VOXX,07-Apr-2010,8.01,8.07,7.85,7.96,42500,NASDAQ
VOXX,08-Apr-2010,7.9,8.02,7.8,7.97,33200,NASDAQ
VOXX,09-Apr-2010,7.98,8.01,7.87,7.95,22100,NASDAQ
VOXX,12-Apr-2010,7.92,8.25,7.88,7.94,302900,NASDAQ
VOXX,13-Apr-2010,7.97,8.01,7.94,8.0,60800,NASDAQ
VOXX,14-Apr-2010,8.0,8.07,7.89,8.07,67700,NASDAQ
