name,date,open_price,close_price,high_price,low_price,volume,market
WEYS,04-Jan-2010,24.01,24.01,23.55,24.0,3700,NASDAQ
WEYS,05-Jan-2010,23.51,23.98,23.51,23.84,5900,NASDAQ
WEYS,06-Jan-2010,23.74,24.0,23.63,23.91,18600,NASDAQ
WEYS,07-Jan-2010,23.99,23.99,23.29,23.5,7400,NASDAQ
WEYS,08-Jan-2010,23.27,23.46,22.88,23.04,5400,NASDAQ
WEYS,11-Jan-2010,23.3,23.3,23.04,23.29,3000,NASDAQ
WEYS,12-Jan-2010,23.09,23.46,23.04,23.18,10000,NASDAQ
WEYS,13-Jan-2010,23.22,23.39,22.85,23.19,8100,NASDAQ
WEYS,14-Jan-2010,23.17,23.39,22.88,23.26,4100,NASDAQ
WEYS,15-Jan-2010,23.4,23.72,22.89,22.89,15100,NASDAQ
WEYS,19-Jan-2010,22.94,23.0,20.82,22.66,26700,NASDAQ
WEYS,20-Jan-2010,22.52,22.93,22.48,22.59,5000,NASDAQ
WEYS,21-Jan-2010,22.21,22.43,22.12,22.32,12300,NASDAQ
WEYS,22-Jan-2010,22.49,22.68,22.4,22.58,11400,NASDAQ
WEYS,25-Jan-2010,22.73,22.73,22.28,22.55,6800,NASDAQ
WEYS,26-Jan-2010,22.5,22.63,22.3,22.5,7600,NASDAQ
WEYS,27-Jan-2010,22.44,22.91,22.44,22.83,4000,NASDAQ
WEYS,28-Jan-2010,22.81,23.0,22.31,22.5,16700,NASDAQ
WEYS,29-Jan-2010,22.48,22.92,22.11,22.56,22200,NASDAQ
WEYS,01-Feb-2010,22.32,22.7,22.32,22.7,4500,NASDAQ
WEYS,02-Feb-2010,22.56,22.62,22.5,22.5,8200,NASDAQ
WEYS,03-Feb-2010,22.36,22.9,22.34,22.45,10600,NASDAQ
WEYS,04-Feb-2010,22.4,22.76,22.4,22.51,12200,NASDAQ
WEYS,05-Feb-2010,22.62,22.74,22.61,22.61,2500,NASDAQ
WEYS,08-Feb-2010,22.55,22.82,22.4,22.55,16300,NASDAQ
WEYS,09-Feb-2010,22.73,22.73,22.41,22.52,5700,NASDAQ
WEYS,10-Feb-2010,22.4,22.5,22.4,22.47,6100,NASDAQ
WEYS,11-Feb-2010,22.44,22.65,22.41,22.52,6000,NASDAQ
WEYS,12-Feb-2010,22.4,22.82,22.4,22.82,9400,NASDAQ
WEYS,16-Feb-2010,22.92,23.0,22.48,22.94,6300,NASDAQ
WEYS,17-Feb-2010,23.08,23.14,22.55,22.61,8200,NASDAQ
WEYS,18-Feb-2010,22.52,22.82,22.45,22.56,10100,NASDAQ
WEYS,19-Feb-2010,22.5,22.59,22.17,22.19,20200,NASDAQ
WEYS,22-Feb-2010,22.2,22.39,22.15,22.26,11500,NASDAQ
WEYS,23-Feb-2010,22.22,22.95,22.16,22.59,13600,NASDAQ
WEYS,24-Feb-2010,22.9,23.56,22.51,23.47,14300,NASDAQ
WEYS,25-Feb-2010,23.07,23.76,22.93,23.4,12900,NASDAQ
WEYS,26-Feb-2010,23.4,23.68,23.02,23.02,17500,NASDAQ
WEYS,01-Mar-2010,23.24,23.57,23.24,23.56,6000,NASDAQ
WEYS,02-Mar-2010,23.55,23.76,23.52,23.57,9400,NASDAQ
WEYS,03-Mar-2010,23.68,23.84,23.16,23.65,13300,NASDAQ
WEYS,04-Mar-2010,23.59,23.64,23.22,23.54,4700,NASDAQ
WEYS,05-Mar-2010,23.56,24.89,23.26,24.45,44900,NASDAQ
WEYS,08-Mar-2010,24.42,24.42,22.96,23.54,62500,NASDAQ
WEYS,09-Mar-2010,23.52,24.0,23.25,23.97,18500,NASDAQ
WEYS,10-Mar-2010,23.9,24.04,23.66,24.0,8800,NASDAQ
WEYS,11-Mar-2010,23.88,24.0,23.88,24.0,15100,NASDAQ
WEYS,12-Mar-2010,23.97,24.0,23.94,23.95,4200,NASDAQ
WEYS,15-Mar-2010,23.91,23.91,23.48,23.5,8300,NASDAQ
WEYS,16-Mar-2010,23.48,23.74,22.94,23.57,97000,NASDAQ
WEYS,17-Mar-2010,23.65,23.72,23.16,23.32,18100,NASDAQ
WEYS,18-Mar-2010,23.21,23.56,23.16,23.22,4700,NASDAQ
WEYS,19-Mar-2010,23.39,23.75,23.0,23.62,54100,NASDAQ
WEYS,22-Mar-2010,23.42,23.87,23.07,23.8,12300,NASDAQ
WEYS,23-Mar-2010,23.79,23.8,23.59,23.65,31300,NASDAQ
WEYS,24-Mar-2010,23.61,23.72,23.44,23.5,20300,NASDAQ
WEYS,25-Mar-2010,23.6,23.75,23.17,23.26,4500,NASDAQ
WEYS,26-Mar-2010,23.28,23.67,23.2,23.6,16700,NASDAQ
