name,date,open_price,close_price,high_price,low_price,volume,market
WILC,04-Jan-2010,6.34,6.5,6.32,6.4,40400,NASDAQ
WILC,05-Jan-2010,6.38,6.45,6.2,6.2,20300,NASDAQ
WILC,06-Jan-2010,6.22,6.22,5.88,6.06,33000,NASDAQ
WILC,07-Jan-2010,6.32,6.41,6.08,6.2,34100,NASDAQ
WILC,08-Jan-2010,6.26,6.36,6.2,6.3,39200,NASDAQ
WILC,11-Jan-2010,6.43,6.48,6.21,6.36,26500,NASDAQ
WILC,12-Jan-2010,6.37,6.5,6.22,6.5,19800,NASDAQ
WILC,13-Jan-2010,6.46,6.57,6.42,6.5,29500,NASDAQ
WILC,14-Jan-2010,6.49,6.6,6.48,6.59,18000,NASDAQ
WILC,15-Jan-2010,6.58,6.6,6.51,6.56,8700,NASDAQ
WILC,19-Jan-2010,6.6,6.92,6.58,6.87,52400,NASDAQ
WILC,20-Jan-2010,6.79,7.38,6.78,7.1,85900,NASDAQ
WILC,21-Jan-2010,7.2,7.2,6.83,6.95,24300,NASDAQ
WILC,22-Jan-2010,6.75,7.03,6.68,6.73,39000,NASDAQ
WILC,25-Jan-2010,7.04,7.04,6.37,6.79,22600,NASDAQ
WILC,26-Jan-2010,6.62,6.93,6.31,6.84,20500,NASDAQ
WILC,27-Jan-2010,6.9,6.9,6.34,6.58,22000,NASDAQ
WILC,28-Jan-2010,6.69,6.88,6.48,6.78,25800,NASDAQ
WILC,29-Jan-2010,6.75,6.75,5.66,6.16,37300,NASDAQ
WILC,01-Feb-2010,6.2,6.79,6.2,6.5,31900,NASDAQ
WILC,02-Feb-2010,6.5,6.73,6.5,6.68,12500,NASDAQ
WILC,03-Feb-2010,6.69,6.82,6.57,6.79,34400,NASDAQ
WILC,04-Feb-2010,6.8,6.85,6.56,6.67,26500,NASDAQ
WILC,05-Feb-2010,6.51,6.7,6.5,6.64,17900,NASDAQ
WILC,08-Feb-2010,6.71,6.82,6.51,6.66,9100,NASDAQ
WILC,09-Feb-2010,6.75,6.83,6.71,6.83,23400,NASDAQ
WILC,10-Feb-2010,6.84,6.89,6.84,6.85,39300,NASDAQ
WILC,11-Feb-2010,6.9,6.91,6.87,6.89,8600,NASDAQ
WILC,12-Feb-2010,6.89,6.95,6.89,6.92,7000,NASDAQ
WILC,16-Feb-2010,6.98,7.02,6.93,6.93,8000,NASDAQ
WILC,17-Feb-2010,7.08,7.15,6.95,6.96,31300,NASDAQ
WILC,18-Feb-2010,7.04,7.05,6.2,6.27,68500,NASDAQ
WILC,19-Feb-2010,6.27,6.6,6.26,6.26,47600,NASDAQ
WILC,22-Feb-2010,6.35,6.55,6.35,6.5,30700,NASDAQ
WILC,23-Feb-2010,6.59,6.7,6.31,6.33,37800,NASDAQ
WILC,24-Feb-2010,6.5,6.86,5.88,5.9,148600,NASDAQ
WILC,25-Feb-2010,6.35,7.0,6.26,6.8,89600,NASDAQ
WILC,26-Feb-2010,6.61,7.18,6.61,6.82,63400,NASDAQ
WILC,01-Mar-2010,6.9,7.14,6.87,6.9,33200,NASDAQ
WILC,02-Mar-2010,7.14,7.14,6.87,7.0,62700,NASDAQ
WILC,03-Mar-2010,7.07,7.07,6.67,6.75,60400,NASDAQ
WILC,04-Mar-2010,7.09,7.09,6.53,6.56,26100,NASDAQ
WILC,05-Mar-2010,6.81,7.0,6.59,6.98,24000,NASDAQ
WILC,08-Mar-2010,7.1,7.1,6.65,6.69,37500,NASDAQ
WILC,09-Mar-2010,7.23,7.33,7.05,7.06,243600,NASDAQ
WILC,10-Mar-2010,7.06,7.18,6.9,6.96,110300,NASDAQ
WILC,11-Mar-2010,6.85,6.96,6.72,6.95,138600,NASDAQ
WILC,12-Mar-2010,6.08,6.09,6.02,6.07,2711600,NASDAQ
WILC,15-Mar-2010,6.08,6.13,6.05,6.05,327700,NASDAQ
WILC,16-Mar-2010,6.08,6.12,6.06,6.06,76400,NASDAQ
WILC,17-Mar-2010,6.06,6.08,6.03,6.04,236300,NASDAQ
WILC,18-Mar-2010,6.04,6.05,5.88,5.88,103500,NASDAQ
WILC,19-Mar-2010,5.84,5.97,5.72,5.76,142900,NASDAQ
WILC,22-Mar-2010,5.79,5.85,5.71,5.8,44200,NASDAQ
WILC,23-Mar-2010,5.84,6.02,5.8,5.9,81700,NASDAQ
WILC,24-Mar-2010,5.93,6.02,5.83,5.83,37200,NASDAQ
WILC,25-Mar-2010,5.82,6.0,5.82,5.83,62500,NASDAQ
WILC,26-Mar-2010,5.82,5.83,5.6,5.83,132700,NASDAQ
WILC,29-Mar-2010,5.8,5.89,5.68,5.85,93400,NASDAQ
WILC,30-Mar-2010,5.74,5.96,5.74,5.86,48100,NASDAQ
WILC,31-Mar-2010,5.85,5.99,5.76,5.96,73400,NASDAQ
WILC,01-Apr-2010,5.86,6.03,5.86,5.9,89200,NASDAQ
WILC,05-Apr-2010,5.88,6.04,5.85,5.94,85400,NASDAQ
WILC,06-Apr-2010,6.05,6.05,5.87,5.91,56600,NASDAQ
WILC,07-Apr-2010,6.03,6.03,5.7,5.71,62800,NASDAQ
WILC,08-Apr-2010,5.75,5.88,5.72,5.83,53800,NASDAQ
WILC,09-Apr-2010,5.82,5.88,5.72,5.85,45100,NASDAQ
WILC,12-Apr-2010,5.9,5.98,5.73,5.87,116400,NASDAQ
WILC,13-Apr-2010,6.15,6.22,5.9,5.97,506600,NASDAQ
WILC,14-Apr-2010,6.03,6.03,5.9,5.95,109200,NASDAQ
WILC,15-Apr-2010,5.98,6.06,5.9,6.0,80900,NASDAQ
WILC,16-Apr-2010,6.02,6.07,5.97,6.03,81800,NASDAQ
WILC,19-Apr-2010,5.95,6.02,5.83,5.97,53900,NASDAQ
WILC,20-Apr-2010,5.96,5.97,5.81,5.96,26800,NASDAQ
WILC,21-Apr-2010,5.97,6.03,5.91,5.92,47800,NASDAQ
WILC,22-Apr-2010,5.91,5.97,5.91,5.96,7200,NASDAQ
WILC,23-Apr-2010,5.97,5.97,5.84,5.84,14700,NASDAQ
WILC,26-Apr-2010,5.88,5.91,5.85,5.91,10900,NASDAQ
WILC,27-Apr-2010,5.92,6.05,5.91,6.03,108500,NASDAQ
WILC,28-Apr-2010,6.02,6.04,5.83,5.95,46100,NASDAQ
WILC,29-Apr-2010,6.0,6.06,5.94,5.98,143300,NASDAQ
WILC,30-Apr-2010,6.0,6.07,5.97,6.07,39900,NASDAQ
WILC,03-May-2010,6.06,6.06,5.92,6.03,18600,NASDAQ
WILC,04-May-2010,5.96,6.03,5.75,5.82,89700,NASDAQ
WILC,05-May-2010,5.71,5.93,5.67,5.82,73900,NASDAQ
WILC,06-May-2010,5.77,5.77,5.2,5.5,104000,NASDAQ
WILC,07-May-2010,5.55,5.65,5.41,5.42,38000,NASDAQ
WILC,10-May-2010,5.71,5.72,5.52,5.6,51900,NASDAQ
WILC,11-May-2010,5.52,5.77,5.52,5.72,51700,NASDAQ
WILC,12-May-2010,5.79,5.84,5.75,5.76,25400,NASDAQ
WILC,13-May-2010,5.8,5.9,5.8,5.88,35200,NASDAQ
WILC,14-May-2010,5.76,5.9,5.66,5.81,26500,NASDAQ
WILC,17-May-2010,5.81,6.05,5.66,5.91,117100,NASDAQ
WILC,18-May-2010,5.95,6.0,5.91,5.91,20800,NASDAQ
WILC,19-May-2010,5.71,5.89,5.7,5.89,37500,NASDAQ
WILC,20-May-2010,5.74,5.78,5.53,5.63,86200,NASDAQ
WILC,21-May-2010,5.58,6.0,5.57,5.74,26900,NASDAQ
WILC,24-May-2010,5.85,5.93,5.77,5.81,58900,NASDAQ
WILC,25-May-2010,5.78,5.93,5.62,5.93,65000,NASDAQ
WILC,26-May-2010,5.92,6.0,5.75,5.87,46200,NASDAQ
WILC,27-May-2010,5.95,5.95,5.75,5.88,61700,NASDAQ
WILC,28-May-2010,5.8,5.89,5.8,5.88,13700,NASDAQ
WILC,01-Jun-2010,5.83,5.93,5.75,5.84,25300,NASDAQ
WILC,02-Jun-2010,5.85,5.85,5.82,5.82,20500,NASDAQ
WILC,03-Jun-2010,5.79,5.83,5.75,5.83,36600,NASDAQ
WILC,04-Jun-2010,5.74,5.82,5.7,5.71,18700,NASDAQ
WILC,07-Jun-2010,5.74,5.77,5.67,5.72,11700,NASDAQ
WILC,08-Jun-2010,5.71,5.91,5.57,5.8,24300,NASDAQ
WILC,09-Jun-2010,5.72,5.88,5.72,5.82,13200,NASDAQ
WILC,10-Jun-2010,5.86,5.86,5.69,5.78,27500,NASDAQ
WILC,11-Jun-2010,5.79,5.8,5.75,5.76,8600,NASDAQ
WILC,14-Jun-2010,5.85,5.9,5.79,5.86,42300,NASDAQ
WILC,15-Jun-2010,5.88,5.9,5.85,5.88,25400,NASDAQ
WILC,16-Jun-2010,5.75,5.91,5.74,5.8,3000,NASDAQ
WILC,17-Jun-2010,5.78,5.88,5.71,5.78,6000,NASDAQ
WILC,18-Jun-2010,5.71,5.79,5.71,5.71,7400,NASDAQ
WILC,21-Jun-2010,5.71,5.89,5.69,5.74,42500,NASDAQ
WILC,22-Jun-2010,5.79,5.88,5.68,5.83,24900,NASDAQ
WILC,23-Jun-2010,5.86,5.95,5.85,5.87,14200,NASDAQ
WILC,24-Jun-2010,5.83,5.85,5.81,5.82,14300,NASDAQ
WILC,25-Jun-2010,5.82,5.82,5.63,5.63,20000,NASDAQ
WILC,28-Jun-2010,5.61,5.78,5.61,5.73,6600,NASDAQ
WILC,29-Jun-2010,5.67,5.75,5.65,5.66,23300,NASDAQ
WILC,30-Jun-2010,5.66,5.89,5.65,5.84,30700,NASDAQ
WILC,01-Jul-2010,5.68,5.86,5.66,5.8,12200,NASDAQ
WILC,02-Jul-2010,5.8,5.8,5.6,5.71,43100,NASDAQ
WILC,06-Jul-2010,5.61,5.74,5.55,5.6,21800,NASDAQ
WILC,07-Jul-2010,5.6,5.68,5.51,5.68,13200,NASDAQ
WILC,08-Jul-2010,5.7,5.74,5.6,5.74,14100,NASDAQ
WILC,09-Jul-2010,5.69,5.89,5.69,5.77,5200,NASDAQ
WILC,12-Jul-2010,5.68,5.86,5.58,5.8,14300,NASDAQ
WILC,13-Jul-2010,5.66,5.81,5.65,5.68,12800,NASDAQ
WILC,14-Jul-2010,5.75,5.84,5.66,5.71,21200,NASDAQ
WILC,15-Jul-2010,5.67,5.77,5.6,5.69,12600,NASDAQ
WILC,16-Jul-2010,5.66,5.79,5.66,5.79,10000,NASDAQ
WILC,19-Jul-2010,5.72,5.79,5.66,5.66,19900,NASDAQ
WILC,20-Jul-2010,5.66,5.79,5.65,5.79,19300,NASDAQ
WILC,21-Jul-2010,5.78,5.85,5.77,5.79,46500,NASDAQ
WILC,22-Jul-2010,5.82,5.94,5.49,5.92,36500,NASDAQ
WILC,23-Jul-2010,5.93,5.99,5.85,5.9,4600,NASDAQ
WILC,26-Jul-2010,5.85,5.94,5.73,5.92,23100,NASDAQ
WILC,27-Jul-2010,5.92,5.92,5.75,5.75,9100,NASDAQ
WILC,28-Jul-2010,5.74,5.86,5.7,5.8,25400,NASDAQ
WILC,29-Jul-2010,5.77,5.83,5.75,5.79,24000,NASDAQ
WILC,30-Jul-2010,5.82,5.86,5.75,5.83,15900,NASDAQ
WILC,02-Aug-2010,5.85,6.01,5.8,6.01,50400,NASDAQ
WILC,03-Aug-2010,5.95,6.04,5.8,5.98,17600,NASDAQ
WILC,04-Aug-2010,5.96,6.0,5.87,5.9,19300,NASDAQ
WILC,05-Aug-2010,5.9,5.98,5.86,5.87,21600,NASDAQ
WILC,06-Aug-2010,5.88,6.03,5.86,5.95,31800,NASDAQ
WILC,09-Aug-2010,5.95,6.01,5.71,5.71,45000,NASDAQ
WILC,10-Aug-2010,5.8,6.02,5.8,5.99,54000,NASDAQ
WILC,11-Aug-2010,5.97,6.02,5.95,5.98,32100,NASDAQ
WILC,12-Aug-2010,6.06,6.15,5.8,6.1,60100,NASDAQ
WILC,13-Aug-2010,6.1,6.14,5.99,5.99,126600,NASDAQ
WILC,16-Aug-2010,6.05,6.22,6.05,6.2,35800,NASDAQ
WILC,17-Aug-2010,6.19,6.3,6.19,6.25,41100,NASDAQ
WILC,18-Aug-2010,6.21,6.44,6.21,6.35,51300,NASDAQ
WILC,19-Aug-2010,6.32,6.38,6.21,6.24,18100,NASDAQ
WILC,20-Aug-2010,6.24,6.4,6.18,6.25,19000,NASDAQ
WILC,23-Aug-2010,6.25,6.25,5.96,6.22,26900,NASDAQ
WILC,24-Aug-2010,5.98,6.21,5.98,6.14,13300,NASDAQ
WILC,25-Aug-2010,6.08,6.26,5.98,6.26,12800,NASDAQ
WILC,26-Aug-2010,6.39,6.39,6.01,6.11,13900,NASDAQ
WILC,27-Aug-2010,6.16,6.32,6.08,6.19,30200,NASDAQ
WILC,30-Aug-2010,6.23,6.28,6.01,6.02,30500,NASDAQ
WILC,31-Aug-2010,5.72,5.89,5.55,5.81,148300,NASDAQ
WILC,01-Sep-2010,5.8,5.8,5.6,5.76,29300,NASDAQ
WILC,02-Sep-2010,5.79,6.08,5.71,6.03,92000,NASDAQ
