name,date,open_price,close_price,high_price,low_price,volume,market
ZIXI,04-Jan-2010,1.7,1.79,1.69,1.78,248000,NASDAQ
ZIXI,05-Jan-2010,1.78,1.78,1.7,1.7,152200,NASDAQ
ZIXI,06-Jan-2010,1.7,1.79,1.69,1.7,394200,NASDAQ
ZIXI,07-Jan-2010,1.8,2.35,1.8,2.22,3830600,NASDAQ
ZIXI,08-Jan-2010,2.3,2.3,2.03,2.12,1408900,NASDAQ
ZIXI,11-Jan-2010,2.15,2.15,2.05,2.08,458300,NASDAQ
ZIXI,12-Jan-2010,2.08,2.09,2.02,2.05,511500,NASDAQ
ZIXI,13-Jan-2010,2.11,2.15,2.05,2.1,527800,NASDAQ
ZIXI,14-Jan-2010,2.11,2.13,2.06,2.11,443400,NASDAQ
ZIXI,15-Jan-2010,2.13,2.13,2.03,2.06,470300,NASDAQ
ZIXI,19-Jan-2010,2.06,2.13,2.05,2.12,521100,NASDAQ
ZIXI,20-Jan-2010,2.12,2.12,2.02,2.05,434200,NASDAQ
ZIXI,21-Jan-2010,2.05,2.08,1.95,1.99,507600,NASDAQ
ZIXI,22-Jan-2010,1.98,1.99,1.94,1.94,394600,NASDAQ
ZIXI,25-Jan-2010,1.95,1.99,1.94,1.97,488800,NASDAQ
ZIXI,26-Jan-2010,1.97,1.98,1.9,1.9,602400,NASDAQ
ZIXI,27-Jan-2010,1.89,1.91,1.87,1.87,410100,NASDAQ
ZIXI,28-Jan-2010,1.88,1.91,1.87,1.88,269800,NASDAQ
ZIXI,29-Jan-2010,1.88,1.92,1.82,1.88,510000,NASDAQ
ZIXI,01-Feb-2010,1.88,1.88,1.82,1.85,172300,NASDAQ
ZIXI,02-Feb-2010,1.85,1.86,1.81,1.84,271100,NASDAQ
ZIXI,03-Feb-2010,1.85,1.86,1.81,1.82,222000,NASDAQ
ZIXI,04-Feb-2010,1.81,1.84,1.81,1.82,410500,NASDAQ
ZIXI,05-Feb-2010,1.82,1.83,1.8,1.83,390100,NASDAQ
ZIXI,08-Feb-2010,1.83,1.84,1.81,1.82,163600,NASDAQ
ZIXI,09-Feb-2010,1.85,1.91,1.84,1.89,172100,NASDAQ
ZIXI,10-Feb-2010,1.89,1.95,1.88,1.91,427400,NASDAQ
ZIXI,11-Feb-2010,1.9,2.08,1.89,2.06,409200,NASDAQ
ZIXI,12-Feb-2010,2.05,2.1,1.97,2.1,406400,NASDAQ
ZIXI,16-Feb-2010,2.13,2.2,2.1,2.18,657000,NASDAQ
ZIXI,17-Feb-2010,2.19,2.19,1.99,2.06,790600,NASDAQ
ZIXI,18-Feb-2010,2.05,2.06,2.0,2.05,194300,NASDAQ
ZIXI,19-Feb-2010,2.04,2.04,2.0,2.02,297500,NASDAQ
ZIXI,22-Feb-2010,2.02,2.03,1.96,2.0,335300,NASDAQ
ZIXI,23-Feb-2010,2.0,2.03,1.95,2.02,347600,NASDAQ
ZIXI,24-Feb-2010,2.02,2.02,1.82,1.93,572300,NASDAQ
ZIXI,25-Feb-2010,1.9,1.96,1.89,1.96,220800,NASDAQ
ZIXI,26-Feb-2010,1.95,1.99,1.88,1.93,297700,NASDAQ
ZIXI,01-Mar-2010,1.95,2.15,1.94,2.14,1109900,NASDAQ
ZIXI,02-Mar-2010,2.14,2.19,2.1,2.14,479800,NASDAQ
ZIXI,03-Mar-2010,2.11,2.18,2.11,2.18,496500,NASDAQ
ZIXI,04-Mar-2010,2.18,2.18,2.1,2.15,183900,NASDAQ
ZIXI,05-Mar-2010,2.16,2.19,2.15,2.19,343600,NASDAQ
ZIXI,08-Mar-2010,2.2,2.27,2.19,2.27,403300,NASDAQ
ZIXI,09-Mar-2010,2.27,2.33,2.16,2.19,771700,NASDAQ
ZIXI,10-Mar-2010,2.18,2.25,2.15,2.19,344500,NASDAQ
ZIXI,11-Mar-2010,2.19,2.24,2.15,2.23,392900,NASDAQ
ZIXI,12-Mar-2010,2.24,2.25,2.15,2.19,429400,NASDAQ
ZIXI,15-Mar-2010,2.26,2.3,2.24,2.29,614000,NASDAQ
ZIXI,16-Mar-2010,2.29,2.41,2.26,2.39,835200,NASDAQ
ZIXI,17-Mar-2010,2.43,2.51,2.4,2.4,892900,NASDAQ
ZIXI,18-Mar-2010,2.44,2.47,2.34,2.36,466500,NASDAQ
ZIXI,19-Mar-2010,2.36,2.36,2.0,2.21,1102200,NASDAQ
ZIXI,22-Mar-2010,2.11,2.25,2.08,2.25,478300,NASDAQ
ZIXI,23-Mar-2010,2.26,2.29,2.21,2.27,371300,NASDAQ
ZIXI,24-Mar-2010,2.27,2.27,2.19,2.21,272200,NASDAQ
ZIXI,25-Mar-2010,2.23,2.24,2.15,2.15,248200,NASDAQ
ZIXI,26-Mar-2010,2.14,2.22,2.14,2.16,296200,NASDAQ
ZIXI,29-Mar-2010,2.16,2.21,2.11,2.13,242300,NASDAQ
ZIXI,30-Mar-2010,2.15,2.18,2.1,2.17,391900,NASDAQ
ZIXI,31-Mar-2010,2.13,2.32,2.12,2.31,745400,NASDAQ
ZIXI,01-Apr-2010,2.32,2.38,2.25,2.29,548700,NASDAQ
ZIXI,05-Apr-2010,2.27,2.38,2.27,2.36,318200,NASDAQ
ZIXI,06-Apr-2010,2.34,2.37,2.3,2.34,308500,NASDAQ
ZIXI,07-Apr-2010,2.46,2.66,2.41,2.45,1964800,NASDAQ
ZIXI,08-Apr-2010,2.46,2.48,2.41,2.41,399800,NASDAQ
ZIXI,09-Apr-2010,2.48,2.48,2.42,2.46,449100,NASDAQ
ZIXI,12-Apr-2010,2.49,2.55,2.48,2.5,436500,NASDAQ
ZIXI,13-Apr-2010,2.5,2.57,2.37,2.44,565900,NASDAQ
ZIXI,14-Apr-2010,2.45,2.63,2.45,2.6,692100,NASDAQ
ZIXI,15-Apr-2010,2.61,2.67,2.53,2.6,557900,NASDAQ
ZIXI,16-Apr-2010,2.6,2.6,2.49,2.52,714300,NASDAQ
ZIXI,19-Apr-2010,2.5,2.56,2.48,2.52,369700,NASDAQ
ZIXI,20-Apr-2010,2.51,2.57,2.5,2.52,302700,NASDAQ
ZIXI,21-Apr-2010,2.57,2.57,2.47,2.51,365400,NASDAQ
ZIXI,22-Apr-2010,2.47,2.64,2.42,2.64,681600,NASDAQ
ZIXI,23-Apr-2010,2.64,2.64,2.52,2.6,493900,NASDAQ
ZIXI,26-Apr-2010,2.64,2.65,2.55,2.55,360400,NASDAQ
ZIXI,27-Apr-2010,2.53,2.69,2.53,2.57,799700,NASDAQ
ZIXI,28-Apr-2010,2.68,2.7,2.48,2.54,667200,NASDAQ
ZIXI,29-Apr-2010,2.57,2.59,2.43,2.57,640400,NASDAQ
ZIXI,30-Apr-2010,2.59,2.6,2.46,2.47,558000,NASDAQ
ZIXI,03-May-2010,2.47,2.59,2.47,2.59,424200,NASDAQ
ZIXI,04-May-2010,2.54,2.54,2.44,2.46,452900,NASDAQ
ZIXI,05-May-2010,2.43,2.49,2.22,2.42,522400,NASDAQ
ZIXI,06-May-2010,2.42,2.46,2.28,2.31,542600,NASDAQ
ZIXI,07-May-2010,2.31,2.44,2.19,2.25,894200,NASDAQ
ZIXI,10-May-2010,2.35,2.48,2.31,2.46,649100,NASDAQ
ZIXI,11-May-2010,2.43,2.46,2.34,2.43,262400,NASDAQ
ZIXI,12-May-2010,2.4,2.49,2.4,2.48,416600,NASDAQ
ZIXI,13-May-2010,2.5,2.52,2.46,2.5,353200,NASDAQ
ZIXI,14-May-2010,2.48,2.48,2.37,2.39,282600,NASDAQ
ZIXI,17-May-2010,2.39,2.43,2.34,2.42,217100,NASDAQ
ZIXI,18-May-2010,2.42,2.42,2.35,2.36,243000,NASDAQ
ZIXI,19-May-2010,2.34,2.36,2.27,2.29,520300,NASDAQ
ZIXI,20-May-2010,2.25,2.3,2.2,2.2,521900,NASDAQ
ZIXI,21-May-2010,2.16,2.26,2.11,2.22,473100,NASDAQ
ZIXI,24-May-2010,2.23,2.33,2.23,2.27,203200,NASDAQ
ZIXI,25-May-2010,2.15,2.24,2.09,2.21,305700,NASDAQ
ZIXI,26-May-2010,2.22,2.32,2.15,2.15,170700,NASDAQ
ZIXI,27-May-2010,2.23,2.4,2.22,2.4,600000,NASDAQ
ZIXI,28-May-2010,2.37,2.42,2.32,2.35,265700,NASDAQ
ZIXI,01-Jun-2010,2.31,2.36,2.31,2.33,208300,NASDAQ
ZIXI,02-Jun-2010,2.32,2.43,2.32,2.43,360900,NASDAQ
ZIXI,03-Jun-2010,2.45,2.52,2.41,2.5,448200,NASDAQ
ZIXI,04-Jun-2010,2.44,2.47,2.38,2.4,410600,NASDAQ
ZIXI,07-Jun-2010,2.41,2.44,2.37,2.4,377700,NASDAQ
ZIXI,08-Jun-2010,2.42,2.45,2.28,2.31,340300,NASDAQ
ZIXI,09-Jun-2010,2.34,2.34,2.2,2.24,295800,NASDAQ
ZIXI,10-Jun-2010,2.31,2.34,2.26,2.34,268800,NASDAQ
ZIXI,11-Jun-2010,2.3,2.37,2.26,2.28,189600,NASDAQ
ZIXI,14-Jun-2010,2.32,2.35,2.27,2.31,331900,NASDAQ
ZIXI,15-Jun-2010,2.38,2.5,2.28,2.5,434600,NASDAQ
ZIXI,16-Jun-2010,2.46,2.5,2.39,2.43,437700,NASDAQ
ZIXI,17-Jun-2010,2.46,2.46,2.33,2.36,545100,NASDAQ
ZIXI,18-Jun-2010,2.38,2.38,2.27,2.29,638700,NASDAQ
ZIXI,21-Jun-2010,2.32,2.35,2.23,2.24,358800,NASDAQ
ZIXI,22-Jun-2010,2.26,2.28,2.16,2.17,508200,NASDAQ
ZIXI,23-Jun-2010,2.18,2.3,2.16,2.21,168800,NASDAQ
ZIXI,24-Jun-2010,2.2,2.23,2.17,2.2,200900,NASDAQ
ZIXI,25-Jun-2010,2.22,2.35,2.18,2.35,1546300,NASDAQ
ZIXI,28-Jun-2010,2.32,2.4,2.28,2.36,248500,NASDAQ
ZIXI,29-Jun-2010,2.31,2.34,2.23,2.25,577400,NASDAQ
ZIXI,30-Jun-2010,2.25,2.32,2.23,2.26,221600,NASDAQ
ZIXI,01-Jul-2010,2.25,2.26,2.17,2.25,410500,NASDAQ
ZIXI,02-Jul-2010,2.27,2.3,2.21,2.24,150600,NASDAQ
ZIXI,06-Jul-2010,2.27,2.27,2.1,2.13,242200,NASDAQ
ZIXI,07-Jul-2010,2.15,2.26,2.14,2.22,242100,NASDAQ
ZIXI,08-Jul-2010,2.25,2.26,2.17,2.24,161400,NASDAQ
ZIXI,09-Jul-2010,2.22,2.26,2.15,2.26,145100,NASDAQ
ZIXI,12-Jul-2010,2.15,2.26,2.15,2.18,85200,NASDAQ
ZIXI,13-Jul-2010,2.23,2.28,2.17,2.2,309400,NASDAQ
ZIXI,14-Jul-2010,2.21,2.29,2.21,2.26,194000,NASDAQ
ZIXI,15-Jul-2010,2.28,2.28,2.2,2.22,115200,NASDAQ
ZIXI,16-Jul-2010,2.19,2.23,2.15,2.2,274200,NASDAQ
ZIXI,19-Jul-2010,2.18,2.21,2.18,2.19,188300,NASDAQ
ZIXI,20-Jul-2010,2.18,2.24,2.18,2.23,134900,NASDAQ
ZIXI,21-Jul-2010,2.23,2.25,2.19,2.2,123700,NASDAQ
ZIXI,22-Jul-2010,2.24,2.31,2.2,2.31,238900,NASDAQ
ZIXI,23-Jul-2010,2.33,2.38,2.29,2.38,211800,NASDAQ
ZIXI,26-Jul-2010,2.39,2.39,2.36,2.39,244000,NASDAQ
ZIXI,27-Jul-2010,2.4,2.44,2.32,2.34,385100,NASDAQ
ZIXI,28-Jul-2010,2.33,2.45,2.27,2.34,377400,NASDAQ
ZIXI,29-Jul-2010,2.34,2.37,2.23,2.23,414000,NASDAQ
ZIXI,30-Jul-2010,2.21,2.29,2.2,2.28,273400,NASDAQ
ZIXI,02-Aug-2010,2.33,2.37,2.31,2.36,360400,NASDAQ
ZIXI,03-Aug-2010,2.34,2.37,2.32,2.34,171300,NASDAQ
ZIXI,04-Aug-2010,2.37,2.44,2.36,2.43,391800,NASDAQ
ZIXI,05-Aug-2010,2.37,2.45,2.37,2.43,227700,NASDAQ
ZIXI,06-Aug-2010,2.38,2.42,2.37,2.38,334600,NASDAQ
ZIXI,09-Aug-2010,2.38,2.4,2.3,2.32,328800,NASDAQ
ZIXI,10-Aug-2010,2.29,2.33,2.23,2.27,318700,NASDAQ
ZIXI,11-Aug-2010,2.21,2.25,2.15,2.17,473800,NASDAQ
ZIXI,12-Aug-2010,2.19,2.24,2.15,2.23,298600,NASDAQ
ZIXI,13-Aug-2010,2.21,2.27,2.13,2.26,471800,NASDAQ
ZIXI,16-Aug-2010,2.24,2.27,2.22,2.27,172600,NASDAQ
ZIXI,17-Aug-2010,2.28,2.37,2.27,2.33,471600,NASDAQ
ZIXI,18-Aug-2010,2.31,2.37,2.29,2.36,261700,NASDAQ
ZIXI,19-Aug-2010,2.33,2.36,2.28,2.36,411000,NASDAQ
ZIXI,20-Aug-2010,2.32,2.35,2.25,2.35,400100,NASDAQ
ZIXI,23-Aug-2010,2.35,2.37,2.29,2.36,322500,NASDAQ
ZIXI,24-Aug-2010,2.27,2.34,2.25,2.33,318300,NASDAQ
ZIXI,25-Aug-2010,2.29,2.35,2.28,2.33,171100,NASDAQ
ZIXI,26-Aug-2010,2.33,2.38,2.3,2.36,236600,NASDAQ
ZIXI,27-Aug-2010,2.37,2.45,2.35,2.45,726900,NASDAQ
ZIXI,30-Aug-2010,2.43,2.78,2.41,2.76,2144200,NASDAQ
ZIXI,31-Aug-2010,2.72,2.83,2.63,2.67,1183500,NASDAQ
ZIXI,01-Sep-2010,2.73,2.78,2.6,2.77,856100,NASDAQ
ZIXI,02-Sep-2010,2.77,2.84,2.68,2.73,989100,NASDAQ
ZIXI,03-Sep-2010,2.68,2.82,2.64,2.76,1480100,NASDAQ
ZIXI,07-Sep-2010,2.74,2.94,2.71,2.73,975500,NASDAQ
ZIXI,08-Sep-2010,2.85,2.85,2.69,2.73,380300,NASDAQ
ZIXI,09-Sep-2010,2.75,2.78,2.7,2.71,215900,NASDAQ
ZIXI,10-Sep-2010,2.73,2.77,2.65,2.74,485800,NASDAQ
ZIXI,13-Sep-2010,2.78,2.92,2.76,2.86,746300,NASDAQ
ZIXI,14-Sep-2010,2.85,2.88,2.79,2.81,715600,NASDAQ
ZIXI,15-Sep-2010,2.78,2.85,2.77,2.8,212800,NASDAQ
ZIXI,16-Sep-2010,2.78,2.92,2.75,2.77,521400,NASDAQ
ZIXI,17-Sep-2010,2.81,2.82,2.77,2.78,326100,NASDAQ
ZIXI,20-Sep-2010,2.78,2.84,2.76,2.82,243300,NASDAQ
ZIXI,21-Sep-2010,2.83,2.94,2.83,2.87,424300,NASDAQ
ZIXI,22-Sep-2010,2.88,2.92,2.8,2.82,215900,NASDAQ
ZIXI,23-Sep-2010,2.79,2.85,2.76,2.85,402500,NASDAQ
ZIXI,24-Sep-2010,2.87,2.94,2.82,2.92,584700,NASDAQ
ZIXI,27-Sep-2010,2.93,2.94,2.85,2.88,336500,NASDAQ
ZIXI,28-Sep-2010,2.88,2.9,2.81,2.86,432800,NASDAQ
ZIXI,29-Sep-2010,2.85,2.86,2.8,2.8,201400,NASDAQ
ZIXI,30-Sep-2010,2.83,2.86,2.77,2.84,377600,NASDAQ
ZIXI,01-Oct-2010,2.85,2.85,2.78,2.82,130800,NASDAQ
ZIXI,04-Oct-2010,2.8,2.85,2.7,2.77,343400,NASDAQ
