name,date,open_price,close_price,high_price,low_price,volume,market
ABM,04-Jan-2010,20.96,21.33,20.95,21.26,169200,NYSE
ABM,05-Jan-2010,21.12,21.2,20.75,20.97,184000,NYSE
ABM,06-Jan-2010,20.91,21.24,20.89,20.97,152000,NYSE
ABM,07-Jan-2010,20.89,21.24,20.64,21.24,107000,NYSE
ABM,08-Jan-2010,21.12,21.26,21.01,21.22,137900,NYSE
ABM,11-Jan-2010,21.25,21.3,21.14,21.17,96800,NYSE
ABM,12-Jan-2010,20.98,21.16,20.81,20.94,86600,NYSE
ABM,13-Jan-2010,20.46,21.02,20.41,20.96,80700,NYSE
ABM,14-Jan-2010,20.82,20.99,20.75,20.87,241200,NYSE
ABM,15-Jan-2010,20.95,20.95,20.13,20.49,166700,NYSE
ABM,19-Jan-2010,20.44,20.71,20.31,20.71,148200,NYSE
ABM,20-Jan-2010,20.47,20.47,20.0,20.2,135700,NYSE
ABM,21-Jan-2010,20.29,20.34,19.59,19.61,230700,NYSE
ABM,22-Jan-2010,19.54,19.89,19.45,19.51,125500,NYSE
ABM,25-Jan-2010,19.6,19.66,19.42,19.52,112400,NYSE
ABM,26-Jan-2010,19.41,19.68,19.38,19.41,128000,NYSE
ABM,27-Jan-2010,19.23,19.71,19.23,19.66,127600,NYSE
ABM,28-Jan-2010,19.63,19.64,19.31,19.51,138800,NYSE
ABM,29-Jan-2010,19.55,19.9,19.42,19.42,135400,NYSE
ABM,01-Feb-2010,19.51,19.76,19.42,19.6,93400,NYSE
ABM,02-Feb-2010,19.55,19.7,19.44,19.51,132100,NYSE
ABM,03-Feb-2010,19.4,19.79,19.38,19.55,89100,NYSE
ABM,04-Feb-2010,19.48,19.55,19.13,19.37,181900,NYSE
ABM,05-Feb-2010,19.36,19.67,19.25,19.65,167200,NYSE
ABM,08-Feb-2010,19.69,19.69,19.23,19.25,94600,NYSE
ABM,09-Feb-2010,19.44,19.6,19.25,19.36,956800,NYSE
ABM,10-Feb-2010,19.24,19.4,18.96,19.34,116600,NYSE
ABM,11-Feb-2010,19.25,19.63,18.98,19.61,132600,NYSE
ABM,12-Feb-2010,19.45,19.79,19.44,19.79,117600,NYSE
ABM,16-Feb-2010,19.96,19.98,19.73,19.88,118700,NYSE
ABM,17-Feb-2010,19.9,19.93,19.63,19.92,90500,NYSE
ABM,18-Feb-2010,19.95,20.42,19.81,20.37,104500,NYSE
ABM,19-Feb-2010,20.37,20.75,20.22,20.65,159400,NYSE
ABM,22-Feb-2010,20.76,20.86,20.54,20.75,71900,NYSE
ABM,23-Feb-2010,20.67,20.8,20.38,20.56,108200,NYSE
ABM,24-Feb-2010,20.66,20.97,20.61,20.75,90800,NYSE
ABM,25-Feb-2010,20.46,20.81,20.46,20.76,105000,NYSE
ABM,26-Feb-2010,20.74,20.8,20.41,20.48,156100,NYSE
ABM,01-Mar-2010,20.73,21.21,20.6,21.16,248700,NYSE
ABM,02-Mar-2010,20.6,20.6,19.21,19.7,557900,NYSE
ABM,03-Mar-2010,19.68,19.92,19.55,19.67,291900,NYSE
ABM,04-Mar-2010,19.77,19.81,19.46,19.75,242400,NYSE
ABM,05-Mar-2010,19.82,20.13,19.67,20.02,561000,NYSE
ABM,08-Mar-2010,20.05,20.13,19.76,19.93,239000,NYSE
ABM,09-Mar-2010,19.81,20.0,19.73,19.89,307600,NYSE
ABM,10-Mar-2010,19.83,20.07,19.8,19.93,161100,NYSE
ABM,11-Mar-2010,19.87,20.02,19.84,19.95,180700,NYSE
ABM,12-Mar-2010,20.0,20.0,19.74,19.98,229500,NYSE
ABM,15-Mar-2010,20.0,20.0,19.8,19.9,218400,NYSE
ABM,16-Mar-2010,19.95,19.95,19.48,19.71,360500,NYSE
ABM,17-Mar-2010,19.7,20.21,19.7,20.09,209200,NYSE
ABM,18-Mar-2010,20.13,20.36,20.13,20.21,234500,NYSE
ABM,19-Mar-2010,20.33,20.42,20.03,20.26,443300,NYSE
ABM,22-Mar-2010,20.15,20.8,20.15,20.66,227700,NYSE
ABM,23-Mar-2010,20.65,20.95,20.54,20.91,198000,NYSE
ABM,24-Mar-2010,20.88,20.99,20.68,20.82,297000,NYSE
ABM,25-Mar-2010,20.97,21.09,20.76,20.86,426700,NYSE
ABM,26-Mar-2010,20.86,21.22,20.82,20.92,397200,NYSE
ABM,29-Mar-2010,20.9,20.97,20.55,20.75,608200,NYSE
ABM,30-Mar-2010,20.83,21.04,20.75,20.96,436100,NYSE
ABM,31-Mar-2010,20.93,21.31,20.75,21.2,472600,NYSE
ABM,01-Apr-2010,21.37,21.45,20.86,20.98,223600,NYSE
ABM,05-Apr-2010,21.06,21.26,20.84,20.99,182900,NYSE
ABM,06-Apr-2010,20.9,20.94,20.78,20.86,94800,NYSE
ABM,07-Apr-2010,20.78,20.92,20.71,20.87,135000,NYSE
ABM,08-Apr-2010,20.84,20.84,20.55,20.68,113000,NYSE
ABM,09-Apr-2010,20.68,20.85,20.26,20.81,174100,NYSE
ABM,12-Apr-2010,20.88,21.03,20.59,20.91,350300,NYSE
ABM,13-Apr-2010,20.85,21.26,20.85,21.19,217300,NYSE
ABM,14-Apr-2010,21.34,21.43,21.08,21.39,109800,NYSE
ABM,15-Apr-2010,21.33,21.59,21.31,21.5,121300,NYSE
ABM,16-Apr-2010,21.42,21.59,21.22,21.36,140500,NYSE
ABM,19-Apr-2010,21.28,21.5,21.05,21.45,121000,NYSE
ABM,20-Apr-2010,21.48,21.64,21.4,21.59,142200,NYSE
ABM,21-Apr-2010,21.56,21.71,21.45,21.63,179900,NYSE
ABM,22-Apr-2010,21.48,21.87,21.42,21.76,155500,NYSE
ABM,23-Apr-2010,21.71,21.92,21.69,21.78,169500,NYSE
ABM,26-Apr-2010,21.74,22.05,21.72,21.9,136300,NYSE
ABM,27-Apr-2010,21.87,22.24,21.68,21.77,144000,NYSE
ABM,28-Apr-2010,21.88,21.98,21.75,21.89,224200,NYSE
ABM,29-Apr-2010,21.99,22.14,21.65,22.0,184900,NYSE
ABM,30-Apr-2010,21.98,22.05,21.47,21.49,245200,NYSE
ABM,03-May-2010,21.63,22.04,21.44,22.03,130900,NYSE
ABM,04-May-2010,21.81,21.81,21.45,21.73,315800,NYSE
ABM,05-May-2010,21.85,22.22,21.68,21.72,304200,NYSE
ABM,06-May-2010,21.65,21.81,20.9,21.18,533400,NYSE
ABM,07-May-2010,21.16,21.3,20.56,20.6,360600,NYSE
ABM,10-May-2010,21.19,21.67,20.89,21.57,240300,NYSE
ABM,11-May-2010,21.39,22.28,21.29,21.88,166000,NYSE
ABM,12-May-2010,21.9,22.6,21.82,22.57,146100,NYSE
ABM,13-May-2010,22.47,22.65,22.26,22.48,154500,NYSE
ABM,14-May-2010,22.32,22.33,21.82,22.08,117700,NYSE
ABM,17-May-2010,22.14,22.6,21.51,22.59,242400,NYSE
ABM,18-May-2010,22.78,22.9,22.19,22.25,139500,NYSE
ABM,19-May-2010,22.2,22.6,21.82,21.94,148000,NYSE
ABM,20-May-2010,21.5,21.73,20.66,20.69,224500,NYSE
ABM,21-May-2010,20.47,21.06,20.25,20.89,354400,NYSE
ABM,24-May-2010,20.81,20.93,20.46,20.59,169900,NYSE
ABM,25-May-2010,20.11,20.25,19.83,20.11,237300,NYSE
ABM,26-May-2010,20.2,21.1,20.2,20.84,364700,NYSE
ABM,27-May-2010,21.2,21.84,21.14,21.8,511200,NYSE
ABM,28-May-2010,21.75,21.85,21.36,21.47,480000,NYSE
ABM,01-Jun-2010,21.21,21.63,21.03,21.06,301600,NYSE
ABM,02-Jun-2010,21.2,22.0,21.06,21.81,233800,NYSE
ABM,03-Jun-2010,21.52,22.19,21.52,21.75,528900,NYSE
ABM,04-Jun-2010,21.34,21.69,20.44,20.52,746700,NYSE
ABM,07-Jun-2010,20.52,20.72,20.1,20.3,914700,NYSE
ABM,08-Jun-2010,20.33,20.46,19.9,20.2,1304700,NYSE
ABM,09-Jun-2010,20.38,20.57,20.17,20.36,320300,NYSE
ABM,10-Jun-2010,20.71,20.87,20.33,20.79,340100,NYSE
ABM,11-Jun-2010,20.63,21.22,20.56,21.17,186600,NYSE
ABM,14-Jun-2010,21.35,21.61,21.26,21.4,331500,NYSE
ABM,15-Jun-2010,21.4,22.22,21.37,22.18,265200,NYSE
ABM,16-Jun-2010,22.04,22.45,21.92,22.29,305900,NYSE
ABM,17-Jun-2010,22.47,22.49,22.1,22.43,132900,NYSE
ABM,18-Jun-2010,22.6,22.81,22.4,22.71,394500,NYSE
ABM,21-Jun-2010,22.96,23.0,22.55,22.67,298900,NYSE
ABM,22-Jun-2010,22.68,22.9,22.04,22.09,148700,NYSE
ABM,23-Jun-2010,22.09,22.27,21.85,22.06,210900,NYSE
ABM,24-Jun-2010,21.79,22.3,21.79,21.95,326600,NYSE
ABM,25-Jun-2010,21.98,22.42,21.76,22.37,915000,NYSE
ABM,28-Jun-2010,22.41,22.73,22.18,22.2,202400,NYSE
ABM,29-Jun-2010,21.76,21.91,21.1,21.23,221400,NYSE
ABM,30-Jun-2010,21.25,21.53,20.89,20.95,238500,NYSE
ABM,01-Jul-2010,20.97,21.06,20.33,20.76,308000,NYSE
ABM,02-Jul-2010,20.92,21.05,20.54,20.71,145900,NYSE
ABM,06-Jul-2010,20.96,21.02,20.26,20.35,316400,NYSE
ABM,07-Jul-2010,20.33,20.81,20.32,20.79,248400,NYSE
ABM,08-Jul-2010,21.05,21.55,20.88,21.52,330300,NYSE
ABM,09-Jul-2010,21.54,21.73,21.31,21.57,217400,NYSE
ABM,12-Jul-2010,21.52,21.63,21.07,21.36,120100,NYSE
ABM,13-Jul-2010,21.56,21.98,21.46,21.93,181100,NYSE
ABM,14-Jul-2010,21.89,21.89,21.46,21.64,154200,NYSE
ABM,15-Jul-2010,21.64,21.64,20.97,21.21,406300,NYSE
ABM,16-Jul-2010,20.96,21.04,20.34,20.42,303800,NYSE
ABM,19-Jul-2010,20.55,20.68,20.18,20.67,148600,NYSE
ABM,20-Jul-2010,20.4,21.09,20.35,21.07,247400,NYSE
ABM,21-Jul-2010,21.24,21.25,20.63,20.71,163700,NYSE
ABM,22-Jul-2010,21.04,21.2,20.92,21.02,328200,NYSE
ABM,23-Jul-2010,20.98,21.34,20.89,21.29,367400,NYSE
ABM,26-Jul-2010,21.41,21.99,21.37,21.99,206500,NYSE
ABM,27-Jul-2010,22.1,22.25,21.95,22.15,213900,NYSE
ABM,28-Jul-2010,22.05,22.22,21.58,21.64,214500,NYSE
ABM,29-Jul-2010,21.89,22.16,21.67,21.99,152600,NYSE
ABM,30-Jul-2010,21.66,22.22,21.54,21.7,138600,NYSE
ABM,02-Aug-2010,22.01,22.21,21.63,21.96,122600,NYSE
ABM,03-Aug-2010,21.85,21.97,21.48,21.71,137200,NYSE
ABM,04-Aug-2010,21.78,22.16,21.78,21.96,90500,NYSE
ABM,05-Aug-2010,21.79,21.99,21.57,21.74,93800,NYSE
ABM,06-Aug-2010,21.47,21.47,20.78,21.24,128800,NYSE
ABM,09-Aug-2010,21.34,21.71,21.15,21.66,157000,NYSE
ABM,10-Aug-2010,21.43,21.55,20.96,21.18,137000,NYSE
ABM,11-Aug-2010,20.67,20.74,20.09,20.16,232200,NYSE
ABM,12-Aug-2010,19.75,20.35,19.75,20.31,206900,NYSE
ABM,13-Aug-2010,20.2,20.44,20.0,20.15,158400,NYSE
ABM,16-Aug-2010,19.98,20.43,19.98,20.36,99000,NYSE
ABM,17-Aug-2010,20.63,21.05,20.45,20.75,194700,NYSE
ABM,18-Aug-2010,20.73,21.0,20.5,20.78,170800,NYSE
ABM,19-Aug-2010,20.37,20.47,19.36,19.52,502800,NYSE
ABM,20-Aug-2010,19.37,19.5,19.02,19.41,257500,NYSE
