name,date,open_price,close_price,high_price,low_price,volume,market
AEM,04-Jan-2010,56.15,56.76,55.78,56.21,3284000,NYSE
AEM,05-Jan-2010,56.7,57.31,55.75,56.9,3993600,NYSE
AEM,06-Jan-2010,57.93,59.0,57.64,58.29,3554400,NYSE
AEM,07-Jan-2010,58.08,58.15,57.0,57.75,2754300,NYSE
AEM,08-Jan-2010,58.11,59.55,57.32,59.38,3454800,NYSE
AEM,11-Jan-2010,60.61,61.15,59.21,59.5,2673500,NYSE
AEM,12-Jan-2010,58.53,59.38,57.05,57.59,2570100,NYSE
AEM,13-Jan-2010,57.81,58.96,56.73,58.7,2113800,NYSE
AEM,14-Jan-2010,58.82,58.91,57.27,58.44,2603200,NYSE
AEM,15-Jan-2010,57.98,58.02,56.64,57.44,2201200,NYSE
AEM,19-Jan-2010,57.04,58.44,57.04,58.01,1919800,NYSE
AEM,20-Jan-2010,55.74,56.67,54.95,55.69,2984000,NYSE
AEM,21-Jan-2010,55.47,55.65,53.0,53.08,5487600,NYSE
AEM,22-Jan-2010,52.78,55.06,52.51,53.73,4144000,NYSE
AEM,25-Jan-2010,54.3,54.63,52.91,53.04,2484200,NYSE
AEM,26-Jan-2010,52.1,54.04,52.03,53.08,3018500,NYSE
AEM,27-Jan-2010,52.99,53.54,51.53,52.72,3063900,NYSE
AEM,28-Jan-2010,53.36,53.55,51.21,52.64,3077400,NYSE
AEM,29-Jan-2010,52.26,52.95,50.61,50.67,2762800,NYSE
AEM,01-Feb-2010,51.15,53.83,51.15,53.74,2541600,NYSE
AEM,02-Feb-2010,54.69,54.69,53.05,54.13,2813700,NYSE
AEM,03-Feb-2010,53.88,54.9,53.5,53.72,1919700,NYSE
AEM,04-Feb-2010,52.45,52.45,50.33,50.43,3474900,NYSE
AEM,05-Feb-2010,50.6,54.5,49.64,54.22,5147400,NYSE
AEM,08-Feb-2010,54.16,54.92,52.21,52.29,3479800,NYSE
AEM,09-Feb-2010,53.61,55.3,53.2,54.61,3555900,NYSE
AEM,10-Feb-2010,54.48,55.46,53.22,55.39,2276600,NYSE
AEM,11-Feb-2010,55.59,58.18,55.22,57.98,4282000,NYSE
AEM,12-Feb-2010,56.72,58.46,56.39,58.13,2904300,NYSE
AEM,16-Feb-2010,59.85,60.06,59.02,59.78,3830800,NYSE
AEM,17-Feb-2010,59.5,60.05,58.53,59.08,3378400,NYSE
AEM,18-Feb-2010,59.68,61.53,59.68,60.28,5124100,NYSE
AEM,19-Feb-2010,59.65,60.57,58.19,58.35,4782100,NYSE
AEM,22-Feb-2010,58.59,58.9,57.56,58.03,2591600,NYSE
AEM,23-Feb-2010,57.95,58.17,55.0,55.57,3647500,NYSE
AEM,24-Feb-2010,55.21,56.35,55.21,55.62,2801100,NYSE
AEM,25-Feb-2010,55.15,57.9,54.82,57.24,3963100,NYSE
AEM,26-Feb-2010,57.61,57.87,56.7,57.57,1920700,NYSE
AEM,01-Mar-2010,58.0,58.93,57.17,58.77,2074200,NYSE
AEM,02-Mar-2010,59.3,61.31,59.0,60.12,3252800,NYSE
AEM,03-Mar-2010,60.47,61.58,60.27,60.81,2865200,NYSE
AEM,04-Mar-2010,60.53,60.97,59.63,60.0,2535200,NYSE
AEM,05-Mar-2010,60.34,61.69,60.34,60.8,2593500,NYSE
AEM,08-Mar-2010,61.61,61.8,59.82,60.07,2012100,NYSE
AEM,09-Mar-2010,59.39,59.69,58.75,59.12,2688600,NYSE
AEM,10-Mar-2010,59.12,59.65,57.45,58.12,3229200,NYSE
AEM,11-Mar-2010,57.88,59.45,57.34,59.29,2587700,NYSE
AEM,12-Mar-2010,59.53,59.94,58.14,58.34,2355700,NYSE
AEM,15-Mar-2010,58.4,58.64,57.28,57.99,1629700,NYSE
AEM,16-Mar-2010,59.2,59.88,58.78,59.79,2893500,NYSE
AEM,17-Mar-2010,60.0,60.76,59.7,59.99,2683800,NYSE
AEM,18-Mar-2010,59.95,60.82,58.63,59.21,2470600,NYSE
AEM,19-Mar-2010,59.24,59.41,57.42,57.65,2617500,NYSE
AEM,22-Mar-2010,56.91,57.65,55.84,57.49,2521000,NYSE
AEM,23-Mar-2010,57.14,58.51,56.52,57.97,1865300,NYSE
AEM,24-Mar-2010,56.93,56.93,54.78,55.32,3765900,NYSE
AEM,25-Mar-2010,55.84,56.08,54.07,54.23,2667200,NYSE
AEM,26-Mar-2010,54.82,55.82,54.2,55.57,2221400,NYSE
AEM,29-Mar-2010,56.31,56.67,55.46,56.11,1989700,NYSE
AEM,30-Mar-2010,56.29,56.36,54.78,54.94,2254200,NYSE
AEM,31-Mar-2010,56.0,56.33,55.32,55.67,1987100,NYSE
AEM,01-Apr-2010,56.59,57.68,56.46,57.57,2365300,NYSE
AEM,05-Apr-2010,58.02,58.84,57.23,58.37,1903100,NYSE
AEM,06-Apr-2010,58.18,59.1,57.88,58.23,2242900,NYSE
AEM,07-Apr-2010,58.8,60.46,58.66,59.93,3723900,NYSE
AEM,08-Apr-2010,59.8,60.5,59.36,60.06,2237200,NYSE
AEM,09-Apr-2010,60.48,61.44,59.75,61.12,2419100,NYSE
AEM,12-Apr-2010,60.72,61.8,60.05,60.39,1878500,NYSE
AEM,13-Apr-2010,60.15,60.28,58.73,59.67,1694400,NYSE
AEM,14-Apr-2010,60.28,61.22,59.92,61.09,2703800,NYSE
AEM,15-Apr-2010,60.57,61.25,60.38,60.49,1585700,NYSE
AEM,16-Apr-2010,59.68,60.29,58.26,59.51,2691000,NYSE
AEM,19-Apr-2010,59.07,59.36,58.04,59.13,2001800,NYSE
AEM,20-Apr-2010,60.22,60.22,59.3,59.34,1284000,NYSE
AEM,21-Apr-2010,59.5,61.08,59.36,60.21,1783500,NYSE
AEM,22-Apr-2010,59.49,60.43,59.01,60.28,1617000,NYSE
AEM,23-Apr-2010,59.82,62.01,59.43,61.38,2165600,NYSE
AEM,26-Apr-2010,61.45,61.85,60.98,61.16,1461700,NYSE
AEM,27-Apr-2010,60.4,61.73,59.62,61.07,4303900,NYSE
AEM,28-Apr-2010,61.29,64.44,60.75,63.62,6785100,NYSE
AEM,29-Apr-2010,63.7,64.29,62.95,63.77,3944100,NYSE
AEM,30-Apr-2010,64.39,66.05,63.08,63.16,4844400,NYSE
AEM,03-May-2010,63.92,64.41,61.9,62.79,2901900,NYSE
AEM,04-May-2010,62.87,63.64,60.94,62.19,4138500,NYSE
AEM,05-May-2010,60.55,63.37,60.11,62.08,3402500,NYSE
AEM,06-May-2010,61.58,64.04,59.06,63.02,6710300,NYSE
AEM,07-May-2010,62.96,63.9,61.03,62.8,5570800,NYSE
AEM,10-May-2010,63.36,63.73,61.66,63.15,3585000,NYSE
AEM,11-May-2010,64.5,66.8,64.29,65.34,7049100,NYSE
AEM,12-May-2010,66.38,66.8,64.52,65.09,4367700,NYSE
AEM,13-May-2010,65.1,65.4,63.66,63.95,2274100,NYSE
AEM,14-May-2010,65.01,65.24,62.41,64.37,3597200,NYSE
AEM,17-May-2010,64.16,64.25,62.25,62.9,2944500,NYSE
AEM,18-May-2010,62.21,63.48,61.7,62.5,2637700,NYSE
AEM,19-May-2010,61.69,61.69,58.25,59.61,4619300,NYSE
AEM,20-May-2010,58.13,59.15,56.2,56.76,5593400,NYSE
AEM,21-May-2010,55.81,57.42,55.44,56.56,3956900,NYSE
AEM,24-May-2010,57.54,58.54,56.6,56.63,2351300,NYSE
AEM,25-May-2010,55.93,58.75,55.5,58.46,3634700,NYSE
AEM,26-May-2010,59.93,60.18,57.77,57.92,2905200,NYSE
AEM,27-May-2010,58.55,59.5,58.27,59.01,2492100,NYSE
AEM,28-May-2010,59.03,59.2,57.82,58.58,1876300,NYSE
AEM,01-Jun-2010,59.09,60.1,57.79,57.85,2025400,NYSE
AEM,02-Jun-2010,58.12,59.88,57.85,59.85,2289800,NYSE
AEM,03-Jun-2010,59.85,60.07,58.03,58.92,1906800,NYSE
AEM,04-Jun-2010,58.11,58.89,57.5,57.69,2415100,NYSE
AEM,07-Jun-2010,57.51,60.27,57.22,59.32,2878200,NYSE
AEM,08-Jun-2010,59.67,61.06,59.38,59.85,2797800,NYSE
AEM,09-Jun-2010,59.77,60.22,58.34,58.62,1954900,NYSE
AEM,10-Jun-2010,58.47,60.01,58.47,59.72,2535200,NYSE
AEM,11-Jun-2010,59.82,60.59,59.58,60.27,1405200,NYSE
AEM,14-Jun-2010,60.23,60.38,58.84,59.07,1395100,NYSE
AEM,15-Jun-2010,59.3,61.13,59.14,61.03,2121800,NYSE
AEM,16-Jun-2010,60.88,62.66,60.87,62.13,2333100,NYSE
AEM,17-Jun-2010,63.13,64.12,62.85,63.66,2417500,NYSE
AEM,18-Jun-2010,64.45,65.37,64.29,64.78,2798100,NYSE
AEM,21-Jun-2010,64.75,64.93,62.1,62.53,3032800,NYSE
AEM,22-Jun-2010,62.29,62.82,61.5,61.77,2123000,NYSE
AEM,23-Jun-2010,61.14,61.92,60.83,61.5,2420800,NYSE
AEM,24-Jun-2010,61.54,62.66,61.26,61.37,2009900,NYSE
AEM,25-Jun-2010,62.13,63.52,61.9,62.7,2049300,NYSE
AEM,28-Jun-2010,62.56,63.76,61.79,62.16,2020600,NYSE
AEM,29-Jun-2010,61.25,62.05,60.5,60.87,1850000,NYSE
AEM,30-Jun-2010,60.4,61.37,60.2,60.78,1798500,NYSE
