name,date,open_price,close_price,high_price,low_price,volume,market
AKP,04-Jan-2010,12.79,12.9,12.79,12.8,28200,NYSE
AKP,05-Jan-2010,12.69,12.85,12.67,12.73,35400,NYSE
AKP,06-Jan-2010,12.8,12.85,12.77,12.78,19200,NYSE
AKP,07-Jan-2010,12.75,12.85,12.75,12.84,10000,NYSE
AKP,08-Jan-2010,12.86,12.9,12.8,12.88,17100,NYSE
AKP,11-Jan-2010,12.85,12.89,12.84,12.84,13700,NYSE
AKP,12-Jan-2010,12.86,12.86,12.8,12.8,6400,NYSE
AKP,13-Jan-2010,12.78,12.79,12.7,12.75,14500,NYSE
AKP,14-Jan-2010,12.76,12.76,12.64,12.71,8600,NYSE
AKP,15-Jan-2010,12.72,12.79,12.72,12.79,9700,NYSE
AKP,19-Jan-2010,12.85,12.86,12.76,12.84,16200,NYSE
AKP,20-Jan-2010,12.79,12.86,12.79,12.86,4900,NYSE
AKP,21-Jan-2010,12.81,12.91,12.79,12.89,21600,NYSE
AKP,22-Jan-2010,12.93,12.95,12.85,12.89,15800,NYSE
AKP,25-Jan-2010,13.07,13.07,12.84,12.87,10100,NYSE
AKP,26-Jan-2010,12.9,12.92,12.87,12.91,8400,NYSE
AKP,27-Jan-2010,12.9,12.91,12.89,12.91,7300,NYSE
AKP,28-Jan-2010,12.9,12.92,12.9,12.9,2700,NYSE
AKP,29-Jan-2010,12.9,12.92,12.87,12.92,11900,NYSE
AKP,01-Feb-2010,12.92,13.07,12.89,13.01,18900,NYSE
AKP,02-Feb-2010,13.01,13.1,13.01,13.1,14500,NYSE
AKP,03-Feb-2010,13.0,13.03,12.97,13.01,11200,NYSE
AKP,04-Feb-2010,12.95,12.98,12.95,12.95,17100,NYSE
AKP,05-Feb-2010,12.96,12.96,12.94,12.94,8100,NYSE
AKP,08-Feb-2010,12.94,12.98,12.92,12.94,14800,NYSE
AKP,09-Feb-2010,12.94,13.03,12.92,13.03,21700,NYSE
AKP,10-Feb-2010,13.0,13.04,13.0,13.0,3800,NYSE
AKP,11-Feb-2010,12.98,13.08,12.98,13.07,8100,NYSE
AKP,12-Feb-2010,13.0,13.08,12.99,13.01,11200,NYSE
AKP,16-Feb-2010,12.99,13.09,12.98,13.0,8800,NYSE
AKP,17-Feb-2010,12.99,13.04,12.95,12.97,7800,NYSE
AKP,18-Feb-2010,13.03,13.03,12.96,12.98,5000,NYSE
AKP,19-Feb-2010,13.02,13.02,12.9,12.92,21200,NYSE
AKP,22-Feb-2010,12.83,12.92,12.83,12.87,22600,NYSE
AKP,23-Feb-2010,12.9,12.9,12.85,12.86,22600,NYSE
AKP,24-Feb-2010,12.86,13.0,12.86,12.93,20700,NYSE
AKP,25-Feb-2010,12.97,13.1,12.97,13.05,18600,NYSE
AKP,26-Feb-2010,13.05,13.05,12.91,12.99,22600,NYSE
AKP,01-Mar-2010,13.0,13.13,13.0,13.05,16800,NYSE
AKP,02-Mar-2010,13.04,13.13,13.04,13.07,8300,NYSE
AKP,03-Mar-2010,13.0,13.04,12.98,13.01,10700,NYSE
AKP,04-Mar-2010,13.02,13.02,12.94,13.0,9600,NYSE
AKP,05-Mar-2010,12.98,13.08,12.96,13.07,26000,NYSE
AKP,08-Mar-2010,13.06,13.08,13.03,13.05,14700,NYSE
AKP,09-Mar-2010,13.04,13.06,13.01,13.03,11200,NYSE
AKP,10-Mar-2010,13.02,13.08,13.0,13.06,14900,NYSE
AKP,11-Mar-2010,13.06,13.08,13.01,13.06,15200,NYSE
AKP,12-Mar-2010,13.05,13.07,13.02,13.03,23400,NYSE
AKP,15-Mar-2010,13.03,13.05,12.99,12.99,15000,NYSE
AKP,16-Mar-2010,13.0,13.09,12.96,13.09,18700,NYSE
AKP,17-Mar-2010,13.03,13.03,12.84,12.93,50300,NYSE
AKP,18-Mar-2010,12.94,13.04,12.94,13.02,21700,NYSE
AKP,19-Mar-2010,13.06,13.06,12.99,13.06,13500,NYSE
AKP,22-Mar-2010,13.0,13.09,13.0,13.09,23000,NYSE
AKP,23-Mar-2010,13.1,13.14,13.08,13.08,34600,NYSE
AKP,24-Mar-2010,13.1,13.1,13.05,13.06,8400,NYSE
AKP,25-Mar-2010,13.07,13.12,13.04,13.12,15000,NYSE
AKP,26-Mar-2010,13.04,13.09,13.04,13.08,5000,NYSE
AKP,29-Mar-2010,13.14,13.14,13.07,13.07,15900,NYSE
AKP,30-Mar-2010,13.08,13.15,13.06,13.1,6100,NYSE
AKP,31-Mar-2010,13.1,13.14,13.06,13.06,9000,NYSE
AKP,01-Apr-2010,13.06,13.2,13.04,13.14,15600,NYSE
AKP,05-Apr-2010,13.08,13.18,13.07,13.17,17200,NYSE
AKP,06-Apr-2010,13.23,13.23,13.12,13.16,13400,NYSE
AKP,07-Apr-2010,13.06,13.08,13.05,13.07,10500,NYSE
AKP,08-Apr-2010,13.01,13.05,12.99,13.03,10500,NYSE
AKP,09-Apr-2010,13.04,13.07,13.01,13.07,13700,NYSE
AKP,12-Apr-2010,13.09,13.11,13.07,13.09,6000,NYSE
AKP,13-Apr-2010,13.03,13.11,13.03,13.09,16700,NYSE
AKP,14-Apr-2010,13.1,13.19,13.07,13.18,28000,NYSE
AKP,15-Apr-2010,13.16,13.19,13.1,13.12,11500,NYSE
AKP,16-Apr-2010,13.11,13.15,13.05,13.13,13300,NYSE
AKP,19-Apr-2010,13.14,13.14,13.07,13.13,6800,NYSE
AKP,20-Apr-2010,13.12,13.21,13.12,13.21,12500,NYSE
AKP,21-Apr-2010,13.2,13.24,13.19,13.22,12300,NYSE
AKP,22-Apr-2010,13.2,13.28,13.19,13.24,10000,NYSE
AKP,23-Apr-2010,13.27,13.44,13.23,13.32,17300,NYSE
AKP,26-Apr-2010,13.33,13.4,13.33,13.35,14200,NYSE
AKP,27-Apr-2010,13.34,13.45,13.34,13.45,7300,NYSE
AKP,28-Apr-2010,13.42,13.49,13.39,13.4,8400,NYSE
AKP,29-Apr-2010,13.39,13.46,13.39,13.4,13400,NYSE
