name,date,open_price,close_price,high_price,low_price,volume,market
ALV,04-Jan-2010,44.41,44.41,43.9,44.2,1262500,NYSE
ALV,05-Jan-2010,44.55,44.97,44.31,44.77,1099900,NYSE
ALV,06-Jan-2010,44.74,45.84,44.67,44.89,1154700,NYSE
ALV,07-Jan-2010,44.37,44.91,44.0,44.86,1596800,NYSE
ALV,08-Jan-2010,44.75,45.5,44.75,45.47,1104100,NYSE
ALV,11-Jan-2010,45.78,46.14,45.35,45.64,1099900,NYSE
ALV,12-Jan-2010,45.0,45.79,44.95,45.38,808500,NYSE
ALV,13-Jan-2010,45.46,45.86,44.91,45.85,663200,NYSE
ALV,14-Jan-2010,45.25,45.74,45.11,45.27,922900,NYSE
ALV,15-Jan-2010,45.01,45.09,43.91,44.0,1104400,NYSE
ALV,19-Jan-2010,42.71,43.31,42.59,42.87,1594000,NYSE
ALV,20-Jan-2010,42.1,42.72,41.93,42.72,1815100,NYSE
ALV,21-Jan-2010,42.97,43.13,41.91,41.99,1614900,NYSE
ALV,22-Jan-2010,41.87,42.57,41.5,41.79,1925300,NYSE
ALV,25-Jan-2010,42.66,43.2,42.06,42.26,761200,NYSE
ALV,26-Jan-2010,41.67,42.24,41.35,41.5,655800,NYSE
ALV,27-Jan-2010,41.58,41.58,40.5,41.34,813000,NYSE
ALV,28-Jan-2010,41.89,42.0,40.35,40.91,1189000,NYSE
ALV,29-Jan-2010,44.14,44.59,42.42,42.81,3493300,NYSE
ALV,01-Feb-2010,45.68,47.8,45.14,47.5,3387600,NYSE
ALV,02-Feb-2010,47.65,47.83,46.71,47.62,2107200,NYSE
ALV,03-Feb-2010,46.87,47.95,46.81,47.53,1563600,NYSE
ALV,04-Feb-2010,46.34,46.61,45.12,45.17,1455300,NYSE
ALV,05-Feb-2010,44.42,44.77,43.0,44.44,989800,NYSE
ALV,08-Feb-2010,43.35,44.26,42.8,43.5,1241600,NYSE
ALV,09-Feb-2010,44.13,44.5,43.32,44.19,1010800,NYSE
ALV,10-Feb-2010,43.51,43.88,43.16,43.45,898900,NYSE
ALV,11-Feb-2010,43.63,43.85,42.86,43.7,921700,NYSE
ALV,12-Feb-2010,42.92,44.08,42.73,43.98,562600,NYSE
ALV,16-Feb-2010,43.55,44.24,43.33,43.77,1394600,NYSE
ALV,17-Feb-2010,44.66,44.98,44.41,44.85,971100,NYSE
ALV,18-Feb-2010,44.09,44.9,43.89,44.7,649300,NYSE
ALV,19-Feb-2010,43.97,44.42,43.84,44.12,770200,NYSE
ALV,22-Feb-2010,44.55,44.97,44.2,44.66,738600,NYSE
ALV,23-Feb-2010,44.4,44.99,43.92,44.14,531700,NYSE
ALV,24-Feb-2010,44.34,45.17,44.11,44.88,614900,NYSE
ALV,25-Feb-2010,43.83,44.54,43.67,44.46,957800,NYSE
ALV,26-Feb-2010,44.35,44.95,43.95,44.61,624300,NYSE
ALV,01-Mar-2010,44.47,45.52,44.45,45.47,804600,NYSE
ALV,02-Mar-2010,45.82,46.75,45.72,46.39,1462000,NYSE
ALV,03-Mar-2010,46.52,47.37,46.44,47.01,1182100,NYSE
ALV,04-Mar-2010,47.41,47.83,47.15,47.48,721000,NYSE
ALV,05-Mar-2010,47.97,48.35,47.82,48.18,832300,NYSE
ALV,08-Mar-2010,48.0,48.05,46.95,47.12,1109300,NYSE
ALV,09-Mar-2010,46.65,47.1,46.33,46.77,938800,NYSE
ALV,10-Mar-2010,47.47,47.47,46.75,47.15,937400,NYSE
ALV,11-Mar-2010,47.38,47.86,47.07,47.46,1117100,NYSE
ALV,12-Mar-2010,48.63,49.0,47.94,48.33,1286900,NYSE
ALV,15-Mar-2010,47.65,47.92,47.0,47.34,849300,NYSE
ALV,16-Mar-2010,47.52,48.06,47.12,48.03,849400,NYSE
ALV,17-Mar-2010,48.8,49.12,48.62,48.8,1273300,NYSE
ALV,18-Mar-2010,49.36,49.5,48.84,49.05,972900,NYSE
ALV,19-Mar-2010,49.09,49.32,48.62,49.02,1208300,NYSE
ALV,22-Mar-2010,52.39,52.6,51.46,51.94,2981700,NYSE
ALV,23-Mar-2010,52.91,53.58,52.6,53.5,2169300,NYSE
ALV,24-Mar-2010,52.93,53.7,52.88,53.4,1340400,NYSE
ALV,25-Mar-2010,53.93,54.07,52.86,52.87,816800,NYSE
ALV,26-Mar-2010,52.6,52.91,51.83,52.52,1291500,NYSE
ALV,29-Mar-2010,51.67,52.55,51.67,52.03,1532400,NYSE
ALV,30-Mar-2010,52.0,52.3,51.43,51.65,743000,NYSE
ALV,31-Mar-2010,51.89,51.96,51.34,51.53,1152100,NYSE
ALV,01-Apr-2010,52.1,52.84,52.04,52.33,788500,NYSE
ALV,05-Apr-2010,52.36,52.49,51.77,52.17,867300,NYSE
ALV,06-Apr-2010,52.18,52.43,51.88,52.31,1018700,NYSE
ALV,07-Apr-2010,51.96,52.06,51.06,51.49,694700,NYSE
ALV,08-Apr-2010,51.14,51.5,50.84,51.43,948600,NYSE
ALV,09-Apr-2010,52.37,53.89,52.37,53.77,1166100,NYSE
ALV,12-Apr-2010,54.07,54.3,53.79,53.95,1227100,NYSE
ALV,13-Apr-2010,54.17,54.23,53.49,53.73,822200,NYSE
ALV,14-Apr-2010,54.01,54.4,53.78,54.4,628100,NYSE
ALV,15-Apr-2010,54.01,54.69,53.74,54.58,1079800,NYSE
ALV,16-Apr-2010,55.21,55.53,53.69,54.24,1229900,NYSE
ALV,19-Apr-2010,53.78,54.57,53.31,54.11,1176400,NYSE
ALV,20-Apr-2010,55.4,56.34,55.32,55.95,1201600,NYSE
ALV,21-Apr-2010,55.87,56.39,55.71,56.31,1086500,NYSE
ALV,22-Apr-2010,55.34,56.37,55.0,56.37,1319200,NYSE
ALV,23-Apr-2010,56.72,57.74,56.66,57.74,918100,NYSE
ALV,26-Apr-2010,57.99,58.34,57.18,57.38,1254300,NYSE
ALV,27-Apr-2010,54.6,54.7,52.02,52.2,3689300,NYSE
ALV,28-Apr-2010,54.15,54.22,52.7,53.55,2114500,NYSE
ALV,29-Apr-2010,54.51,55.55,54.41,55.43,1719000,NYSE
ALV,30-Apr-2010,55.55,56.33,54.63,54.75,1168300,NYSE
ALV,03-May-2010,55.33,56.11,55.33,55.92,777800,NYSE
ALV,04-May-2010,54.14,54.41,53.32,53.5,1454700,NYSE
ALV,05-May-2010,51.28,52.8,50.53,51.49,1364500,NYSE
ALV,06-May-2010,50.43,52.04,45.75,49.47,2912500,NYSE
ALV,07-May-2010,48.34,48.73,46.58,47.51,3530300,NYSE
ALV,10-May-2010,51.09,51.74,50.5,51.72,2288300,NYSE
ALV,11-May-2010,49.71,50.76,49.56,50.15,2084600,NYSE
ALV,12-May-2010,50.63,52.27,50.57,51.87,1768700,NYSE
ALV,13-May-2010,51.46,51.94,51.32,51.44,1817200,NYSE
ALV,14-May-2010,50.6,50.67,48.51,49.19,1023000,NYSE
ALV,17-May-2010,49.42,49.98,48.14,49.55,1327300,NYSE
ALV,18-May-2010,50.19,50.26,47.6,47.64,1285700,NYSE
ALV,19-May-2010,47.19,47.46,45.41,46.56,2131000,NYSE
ALV,20-May-2010,45.04,45.4,43.68,44.53,2434600,NYSE
ALV,21-May-2010,45.01,46.84,44.33,46.53,1717000,NYSE
