name,date,open_price,close_price,high_price,low_price,volume,market
ALX,04-Jan-2010,305.0,311.9,298.93,301.11,7400,NYSE
ALX,05-Jan-2010,298.55,301.02,297.34,299.32,12000,NYSE
ALX,06-Jan-2010,299.08,302.0,299.08,300.95,5700,NYSE
ALX,07-Jan-2010,299.71,312.28,298.86,306.34,7900,NYSE
ALX,08-Jan-2010,304.34,305.78,299.78,305.68,2500,NYSE
ALX,11-Jan-2010,307.35,307.35,291.7,291.71,11700,NYSE
ALX,12-Jan-2010,291.7,303.02,289.0,300.72,21200,NYSE
ALX,13-Jan-2010,302.7,306.61,297.06,304.75,6700,NYSE
ALX,14-Jan-2010,305.0,306.74,302.76,303.54,2700,NYSE
ALX,15-Jan-2010,305.38,306.77,299.89,300.98,6000,NYSE
ALX,19-Jan-2010,300.5,304.28,298.98,304.28,6600,NYSE
ALX,20-Jan-2010,302.82,302.82,297.81,299.0,5300,NYSE
ALX,21-Jan-2010,300.06,300.06,292.17,293.56,13700,NYSE
ALX,22-Jan-2010,293.56,295.59,282.0,285.7,10700,NYSE
ALX,25-Jan-2010,286.99,289.7,279.8,286.4,6500,NYSE
ALX,26-Jan-2010,284.99,288.88,284.0,286.05,10300,NYSE
ALX,27-Jan-2010,283.58,291.55,281.35,289.34,3700,NYSE
ALX,28-Jan-2010,290.97,291.81,286.35,289.95,6000,NYSE
ALX,29-Jan-2010,291.34,295.0,290.54,292.29,10200,NYSE
ALX,01-Feb-2010,293.0,295.0,292.59,294.82,3500,NYSE
ALX,02-Feb-2010,294.0,296.81,286.97,287.75,6900,NYSE
ALX,03-Feb-2010,287.73,287.73,278.55,280.06,6800,NYSE
ALX,04-Feb-2010,278.06,278.06,271.55,271.77,5200,NYSE
ALX,05-Feb-2010,272.7,281.32,272.01,281.32,11400,NYSE
ALX,08-Feb-2010,280.05,280.7,272.74,273.24,3900,NYSE
ALX,09-Feb-2010,275.8,276.14,271.75,272.31,5100,NYSE
ALX,10-Feb-2010,271.35,285.97,270.15,272.72,2200,NYSE
ALX,11-Feb-2010,271.1,283.59,267.94,282.71,5200,NYSE
ALX,12-Feb-2010,280.74,297.0,280.74,293.48,4200,NYSE
ALX,16-Feb-2010,295.38,299.84,291.88,298.84,8600,NYSE
ALX,17-Feb-2010,299.0,300.0,298.0,298.35,3300,NYSE
ALX,18-Feb-2010,297.38,299.97,296.49,298.5,3400,NYSE
ALX,19-Feb-2010,298.75,298.75,295.12,297.0,3000,NYSE
ALX,22-Feb-2010,297.19,300.0,295.01,300.0,4900,NYSE
ALX,23-Feb-2010,300.0,300.8,294.53,298.98,8500,NYSE
ALX,24-Feb-2010,298.63,302.49,296.98,300.22,5700,NYSE
ALX,25-Feb-2010,295.04,299.02,295.04,298.0,1300,NYSE
ALX,26-Feb-2010,299.17,299.74,291.33,292.0,8500,NYSE
ALX,01-Mar-2010,293.08,294.97,290.45,294.97,4800,NYSE
ALX,02-Mar-2010,295.98,295.98,292.97,294.98,7000,NYSE
ALX,03-Mar-2010,294.82,297.02,292.98,293.86,8700,NYSE
ALX,04-Mar-2010,295.0,298.46,294.0,298.46,3100,NYSE
ALX,05-Mar-2010,299.0,303.64,296.99,303.38,9300,NYSE
ALX,08-Mar-2010,302.37,304.81,299.93,304.75,3000,NYSE
ALX,09-Mar-2010,303.18,306.74,303.18,305.38,2200,NYSE
ALX,10-Mar-2010,305.0,306.0,304.18,306.0,1500,NYSE
ALX,11-Mar-2010,305.0,305.0,304.0,304.83,1900,NYSE
ALX,12-Mar-2010,305.05,305.05,302.83,304.55,1400,NYSE
ALX,15-Mar-2010,302.95,303.07,299.0,299.55,3800,NYSE
ALX,16-Mar-2010,299.93,301.51,297.55,300.51,3400,NYSE
ALX,17-Mar-2010,302.06,303.19,299.72,302.14,2700,NYSE
ALX,18-Mar-2010,301.24,302.02,300.0,301.2,1800,NYSE
ALX,19-Mar-2010,303.12,303.12,294.7,296.0,7500,NYSE
ALX,22-Mar-2010,295.0,299.76,295.0,299.76,2900,NYSE
ALX,23-Mar-2010,299.0,303.19,296.82,301.23,12000,NYSE
ALX,24-Mar-2010,300.55,303.98,300.55,303.4,4700,NYSE
ALX,25-Mar-2010,303.54,309.0,301.81,301.81,4500,NYSE
ALX,26-Mar-2010,303.81,304.23,300.52,301.27,4300,NYSE
ALX,29-Mar-2010,302.19,302.45,300.0,302.45,2000,NYSE
ALX,30-Mar-2010,302.0,302.0,296.62,301.85,3500,NYSE
ALX,31-Mar-2010,301.0,308.3,299.13,299.13,6400,NYSE
ALX,01-Apr-2010,302.03,305.41,298.41,298.8,4800,NYSE
ALX,05-Apr-2010,300.0,310.0,300.0,310.0,3900,NYSE
ALX,06-Apr-2010,308.0,314.96,308.0,314.88,4400,NYSE
ALX,07-Apr-2010,313.5,315.96,308.44,313.5,8800,NYSE
ALX,08-Apr-2010,313.17,314.25,312.35,312.35,1200,NYSE
ALX,09-Apr-2010,313.17,316.35,311.2,314.37,3100,NYSE
