name,date,open_price,close_price,high_price,low_price,volume,market
AMID,27-Jul-2011,21.0,21.33,20.65,20.95,2423500,NYSE
AMID,28-Jul-2011,20.76,20.9,20.7,20.79,221800,NYSE
AMID,29-Jul-2011,20.79,20.9,20.5,20.88,103300,NYSE
AMID,01-Aug-2011,20.9,20.93,20.67,20.67,106300,NYSE
AMID,02-Aug-2011,20.76,20.77,20.55,20.55,156100,NYSE
AMID,03-Aug-2011,20.55,20.8,20.55,20.66,76000,NYSE
AMID,04-Aug-2011,20.6,20.7,20.45,20.45,154500,NYSE
AMID,05-Aug-2011,20.45,20.9,20.41,20.43,64500,NYSE
AMID,08-Aug-2011,20.05,20.13,16.9,17.25,544800,NYSE
AMID,09-Aug-2011,17.2,18.39,16.0,16.5,480200,NYSE
AMID,10-Aug-2011,16.4,17.13,16.01,16.26,133900,NYSE
AMID,11-Aug-2011,16.26,17.36,16.26,17.07,67400,NYSE
AMID,12-Aug-2011,16.8,17.39,16.25,17.0,167600,NYSE
AMID,15-Aug-2011,17.48,17.79,17.0,17.74,57700,NYSE
AMID,16-Aug-2011,17.55,17.8,17.4,17.73,32100,NYSE
AMID,17-Aug-2011,17.74,18.26,17.55,18.14,35800,NYSE
AMID,18-Aug-2011,17.67,17.73,17.06,17.58,31500,NYSE
AMID,19-Aug-2011,17.43,17.56,16.6,16.97,44300,NYSE
AMID,22-Aug-2011,16.96,17.1,16.77,16.95,21200,NYSE
AMID,23-Aug-2011,17.04,17.04,16.51,16.61,57700,NYSE
AMID,24-Aug-2011,16.56,17.25,16.5,17.25,52400,NYSE
AMID,25-Aug-2011,17.06,17.06,16.66,16.8,10600,NYSE
AMID,26-Aug-2011,16.75,17.1,16.75,17.1,18800,NYSE
AMID,29-Aug-2011,17.1,17.5,16.87,17.5,26600,NYSE
AMID,30-Aug-2011,17.35,17.77,17.2,17.66,20000,NYSE
AMID,31-Aug-2011,17.65,18.28,17.34,18.16,50500,NYSE
AMID,01-Sep-2011,18.06,18.43,17.73,18.13,32100,NYSE
AMID,02-Sep-2011,17.99,18.29,17.23,18.29,15900,NYSE
AMID,06-Sep-2011,17.7,18.95,17.36,18.75,45300,NYSE
AMID,07-Sep-2011,22.3,22.3,18.09,19.48,80000,NYSE
AMID,08-Sep-2011,19.55,19.8,19.15,19.34,33000,NYSE
AMID,09-Sep-2011,19.25,19.5,18.87,19.11,36300,NYSE
AMID,12-Sep-2011,18.95,19.24,17.26,19.09,53500,NYSE
AMID,13-Sep-2011,19.11,19.15,18.55,19.03,18500,NYSE
AMID,14-Sep-2011,19.8,19.8,18.75,19.15,70200,NYSE
AMID,15-Sep-2011,23.37,23.37,18.82,19.25,33700,NYSE
AMID,16-Sep-2011,19.1,19.37,18.85,19.21,29300,NYSE
AMID,19-Sep-2011,20.45,20.45,18.5,19.5,13900,NYSE
AMID,20-Sep-2011,19.46,19.98,18.89,19.6,46400,NYSE
AMID,21-Sep-2011,19.49,19.95,19.01,19.95,28000,NYSE
