name,date,open_price,close_price,high_price,low_price,volume,market
APD,04-Jan-2010,82.11,83.26,81.71,83.16,1046600,NYSE
APD,05-Jan-2010,82.9,83.16,81.9,82.47,730800,NYSE
APD,06-Jan-2010,81.99,82.68,81.5,81.79,1155000,NYSE
APD,07-Jan-2010,81.81,82.07,80.87,81.32,1400900,NYSE
APD,08-Jan-2010,81.14,82.22,80.95,81.84,1151500,NYSE
APD,11-Jan-2010,82.68,83.55,82.27,83.34,1107800,NYSE
APD,12-Jan-2010,82.42,83.19,81.76,82.28,877900,NYSE
APD,13-Jan-2010,82.38,83.11,81.76,83.1,809000,NYSE
APD,14-Jan-2010,82.96,83.8,81.81,82.07,613600,NYSE
APD,15-Jan-2010,82.23,82.96,81.95,82.77,1426600,NYSE
APD,19-Jan-2010,82.95,83.04,81.99,82.58,1309000,NYSE
APD,20-Jan-2010,82.0,82.0,81.12,81.48,1216900,NYSE
APD,21-Jan-2010,81.34,82.31,79.81,79.86,1430800,NYSE
APD,22-Jan-2010,79.86,80.88,77.97,78.07,1807000,NYSE
APD,25-Jan-2010,79.09,80.94,79.09,80.26,1796400,NYSE
APD,26-Jan-2010,79.47,81.08,79.0,79.58,1371100,NYSE
APD,27-Jan-2010,79.58,80.25,77.73,78.86,1704100,NYSE
APD,28-Jan-2010,79.22,79.48,76.93,77.04,1348700,NYSE
APD,29-Jan-2010,77.15,77.59,75.91,75.96,2338600,NYSE
APD,01-Feb-2010,76.65,77.08,75.33,76.81,2320300,NYSE
APD,02-Feb-2010,76.85,77.64,76.0,76.62,1477600,NYSE
APD,03-Feb-2010,76.22,76.97,75.7,76.19,1223400,NYSE
APD,04-Feb-2010,75.52,75.96,73.66,73.69,1491500,NYSE
APD,05-Feb-2010,67.65,69.17,65.05,68.64,9337900,NYSE
APD,08-Feb-2010,68.71,70.19,68.02,68.35,3408200,NYSE
APD,09-Feb-2010,67.89,68.85,67.47,67.95,3743100,NYSE
APD,10-Feb-2010,69.1,69.1,67.09,68.22,3738400,NYSE
APD,11-Feb-2010,68.32,69.09,67.5,68.4,3375600,NYSE
APD,12-Feb-2010,67.67,69.21,67.0,68.53,3436000,NYSE
APD,16-Feb-2010,69.31,70.57,68.94,70.41,1884000,NYSE
APD,17-Feb-2010,70.48,72.0,69.83,70.18,2806900,NYSE
APD,18-Feb-2010,70.3,70.46,69.66,69.95,2039200,NYSE
APD,19-Feb-2010,69.9,70.0,69.09,69.64,1883600,NYSE
APD,22-Feb-2010,69.67,70.02,69.5,69.92,3287900,NYSE
APD,23-Feb-2010,69.81,70.59,69.66,70.07,3324500,NYSE
APD,24-Feb-2010,70.34,70.34,69.7,69.87,4140900,NYSE
APD,25-Feb-2010,69.24,69.32,68.32,68.98,2352200,NYSE
APD,26-Feb-2010,69.06,69.26,68.46,68.58,2038200,NYSE
APD,01-Mar-2010,68.8,69.21,68.04,69.16,2181200,NYSE
APD,02-Mar-2010,69.67,71.01,69.42,70.67,2443900,NYSE
APD,03-Mar-2010,71.19,71.68,70.52,71.32,2073300,NYSE
APD,04-Mar-2010,71.46,72.04,71.01,71.89,2488900,NYSE
APD,05-Mar-2010,72.32,73.54,72.0,73.5,2659500,NYSE
APD,08-Mar-2010,73.55,74.35,73.55,74.2,2748800,NYSE
APD,09-Mar-2010,73.84,74.62,73.57,74.23,2472200,NYSE
APD,10-Mar-2010,74.33,74.84,73.58,74.4,2176800,NYSE
APD,11-Mar-2010,73.97,74.66,73.33,74.66,2109900,NYSE
APD,12-Mar-2010,74.9,75.1,74.39,74.56,1918000,NYSE
APD,15-Mar-2010,74.53,74.75,73.71,74.12,2136200,NYSE
APD,16-Mar-2010,74.41,74.97,74.27,74.88,1832000,NYSE
APD,17-Mar-2010,75.01,75.3,74.16,74.55,1679300,NYSE
APD,18-Mar-2010,74.85,74.89,74.09,74.76,1460100,NYSE
APD,19-Mar-2010,74.9,75.24,74.12,74.44,2316100,NYSE
APD,22-Mar-2010,73.98,75.27,73.98,75.01,1072900,NYSE
APD,23-Mar-2010,74.96,75.54,74.35,75.54,1030500,NYSE
APD,24-Mar-2010,75.16,75.24,74.4,74.81,1625300,NYSE
APD,25-Mar-2010,75.33,75.44,73.66,73.7,1214800,NYSE
APD,26-Mar-2010,73.9,74.9,73.72,74.32,1094400,NYSE
APD,29-Mar-2010,74.57,75.09,73.43,74.3,1833900,NYSE
APD,30-Mar-2010,73.74,74.25,72.78,74.09,1487500,NYSE
APD,31-Mar-2010,74.09,74.58,73.83,73.95,1395200,NYSE
APD,01-Apr-2010,74.44,74.54,73.51,73.87,1153100,NYSE
APD,05-Apr-2010,73.99,74.33,73.36,74.17,1321700,NYSE
APD,06-Apr-2010,73.88,74.69,73.78,74.63,866200,NYSE
APD,07-Apr-2010,74.1,74.85,73.85,74.06,1512400,NYSE
APD,08-Apr-2010,73.75,74.18,73.19,74.1,2038000,NYSE
APD,09-Apr-2010,74.3,75.43,73.9,75.36,1279800,NYSE
APD,12-Apr-2010,75.36,75.57,74.96,75.34,987600,NYSE
APD,13-Apr-2010,75.13,75.34,74.58,74.95,1117500,NYSE
APD,14-Apr-2010,75.35,76.1,75.0,76.01,1684400,NYSE
APD,15-Apr-2010,75.63,77.08,75.44,76.75,1348400,NYSE
APD,16-Apr-2010,76.55,77.25,75.79,76.03,1911900,NYSE
APD,19-Apr-2010,75.54,76.08,74.72,75.85,1022100,NYSE
APD,20-Apr-2010,76.48,76.81,76.08,76.46,780300,NYSE
APD,21-Apr-2010,76.69,77.0,76.14,76.67,1111800,NYSE
APD,22-Apr-2010,76.26,77.4,75.35,77.32,1310200,NYSE
APD,23-Apr-2010,77.25,79.25,77.25,79.22,1665900,NYSE
APD,26-Apr-2010,80.16,80.24,79.0,79.0,1269600,NYSE
APD,27-Apr-2010,78.82,79.16,77.23,77.42,1546200,NYSE
APD,28-Apr-2010,78.08,78.31,76.4,78.06,2000500,NYSE
APD,29-Apr-2010,78.47,78.89,77.77,78.03,1148700,NYSE
APD,30-Apr-2010,78.22,78.54,76.78,76.78,1396100,NYSE
APD,03-May-2010,77.3,77.36,76.45,77.01,1411100,NYSE
APD,04-May-2010,76.01,76.46,74.37,74.77,1424700,NYSE
APD,05-May-2010,74.09,74.68,73.5,74.14,1306900,NYSE
APD,06-May-2010,73.61,74.47,68.59,72.28,2016100,NYSE
APD,07-May-2010,72.14,73.25,70.54,70.98,2142800,NYSE
APD,10-May-2010,72.82,73.57,71.81,72.59,2622800,NYSE
APD,11-May-2010,71.97,72.79,71.57,71.67,1791100,NYSE
APD,12-May-2010,71.81,72.6,71.52,72.57,2465700,NYSE
APD,13-May-2010,72.26,72.44,71.46,71.47,1783700,NYSE
APD,14-May-2010,70.76,70.8,68.79,69.57,1832100,NYSE
APD,17-May-2010,69.62,71.15,69.15,70.58,2315900,NYSE
APD,18-May-2010,71.21,72.5,69.82,70.05,1442500,NYSE
APD,19-May-2010,69.78,69.81,68.62,69.39,1413300,NYSE
APD,20-May-2010,67.64,68.28,66.0,66.01,3446600,NYSE
APD,21-May-2010,64.76,67.05,64.57,66.94,2601500,NYSE
APD,24-May-2010,66.5,67.16,65.94,65.97,1543200,NYSE
APD,25-May-2010,64.63,67.42,64.47,67.35,2492500,NYSE
APD,26-May-2010,67.92,69.54,67.46,68.58,3752400,NYSE
APD,27-May-2010,69.83,70.68,68.48,70.68,2180600,NYSE
APD,28-May-2010,70.66,70.66,68.72,69.06,1692900,NYSE
APD,01-Jun-2010,68.3,69.39,67.36,67.42,1401700,NYSE
APD,02-Jun-2010,67.62,69.13,67.45,69.12,1123900,NYSE
APD,03-Jun-2010,69.24,69.37,67.81,68.97,1215900,NYSE
APD,04-Jun-2010,67.43,68.16,66.46,66.55,1509800,NYSE
APD,07-Jun-2010,66.82,67.27,65.54,65.6,1558900,NYSE
APD,08-Jun-2010,65.69,66.86,65.51,66.81,1929700,NYSE
APD,09-Jun-2010,67.5,68.73,67.18,67.5,2034400,NYSE
APD,10-Jun-2010,68.49,69.36,68.15,68.91,1671900,NYSE
APD,11-Jun-2010,68.3,69.43,68.25,69.43,1092500,NYSE
APD,14-Jun-2010,69.83,70.5,68.96,69.02,1213100,NYSE
APD,15-Jun-2010,69.7,70.24,69.28,70.24,1649300,NYSE
APD,16-Jun-2010,69.58,70.8,69.58,70.54,1382500,NYSE
APD,17-Jun-2010,70.91,70.98,69.7,70.65,1693800,NYSE
APD,18-Jun-2010,70.89,72.04,70.83,71.54,1849200,NYSE
APD,21-Jun-2010,72.36,72.94,70.63,71.15,1225600,NYSE
APD,22-Jun-2010,71.3,72.0,70.18,70.22,1008600,NYSE
APD,23-Jun-2010,70.11,70.23,68.39,69.0,1685600,NYSE
APD,24-Jun-2010,68.45,69.81,67.14,67.32,3247000,NYSE
APD,25-Jun-2010,67.38,68.64,66.85,68.58,3385600,NYSE
APD,28-Jun-2010,68.79,69.07,67.54,67.79,1484100,NYSE
APD,29-Jun-2010,66.38,66.48,65.2,65.52,1889800,NYSE
APD,30-Jun-2010,65.29,66.02,64.62,64.81,2060500,NYSE
APD,01-Jul-2010,64.54,65.51,64.54,65.0,2783800,NYSE
APD,02-Jul-2010,65.12,65.59,64.13,64.97,1492500,NYSE
