name,date,open_price,close_price,high_price,low_price,volume,market
AU,04-Jan-2010,42.1,42.34,41.63,42.16,1927600,NYSE
AU,05-Jan-2010,42.32,43.28,42.06,42.82,2193100,NYSE
AU,06-Jan-2010,43.6,44.82,43.42,44.18,2722000,NYSE
AU,07-Jan-2010,43.56,44.23,43.35,43.68,1991500,NYSE
AU,08-Jan-2010,44.11,44.23,43.23,44.18,1439600,NYSE
AU,11-Jan-2010,44.41,44.68,43.95,44.16,1504900,NYSE
AU,12-Jan-2010,42.46,42.99,41.51,41.75,2546500,NYSE
AU,13-Jan-2010,42.42,42.7,41.34,42.53,1246900,NYSE
AU,14-Jan-2010,41.83,42.28,41.54,42.0,1421700,NYSE
AU,15-Jan-2010,41.07,41.47,40.57,40.81,1517400,NYSE
AU,19-Jan-2010,40.38,40.83,40.22,40.77,1443300,NYSE
AU,20-Jan-2010,39.5,39.65,38.11,39.3,3676500,NYSE
AU,21-Jan-2010,39.01,39.4,38.5,38.8,7113800,NYSE
AU,22-Jan-2010,37.97,39.29,37.81,38.77,3365200,NYSE
AU,25-Jan-2010,38.96,39.03,37.97,38.2,1385700,NYSE
AU,26-Jan-2010,37.61,38.65,37.03,38.03,1884800,NYSE
AU,27-Jan-2010,37.71,37.98,36.7,37.53,1991200,NYSE
AU,28-Jan-2010,37.98,38.05,36.32,37.37,3029000,NYSE
AU,29-Jan-2010,37.09,37.27,35.45,35.69,3195200,NYSE
AU,01-Feb-2010,36.0,37.08,35.94,37.04,2398400,NYSE
AU,02-Feb-2010,37.83,38.05,37.17,37.45,2092500,NYSE
AU,03-Feb-2010,37.28,37.87,36.71,36.86,1316500,NYSE
AU,04-Feb-2010,36.23,36.37,35.08,35.59,4802300,NYSE
AU,05-Feb-2010,35.74,37.27,35.04,37.26,3053400,NYSE
AU,08-Feb-2010,36.49,36.96,35.75,35.8,2334100,NYSE
AU,09-Feb-2010,36.73,37.81,36.42,37.43,2707000,NYSE
AU,10-Feb-2010,37.43,37.43,36.18,36.97,1454800,NYSE
AU,11-Feb-2010,37.32,38.75,36.84,38.66,2016900,NYSE
AU,12-Feb-2010,37.24,38.25,37.03,38.08,1556300,NYSE
AU,16-Feb-2010,38.68,39.33,38.49,39.22,2180600,NYSE
AU,17-Feb-2010,39.1,39.35,37.8,38.36,1937800,NYSE
AU,18-Feb-2010,37.95,38.08,37.04,37.3,4854900,NYSE
AU,19-Feb-2010,36.6,37.12,36.4,36.67,1971100,NYSE
AU,22-Feb-2010,36.87,36.99,35.81,35.88,2510000,NYSE
AU,23-Feb-2010,35.78,35.96,34.61,34.85,3191400,NYSE
AU,24-Feb-2010,34.81,35.49,34.55,34.72,2365700,NYSE
AU,25-Feb-2010,34.24,36.01,34.11,36.0,3370700,NYSE
AU,26-Feb-2010,36.06,36.42,35.49,36.38,2005800,NYSE
AU,01-Mar-2010,36.23,36.51,35.76,36.12,2410500,NYSE
AU,02-Mar-2010,36.67,37.58,36.34,36.98,2836100,NYSE
AU,03-Mar-2010,37.55,38.15,37.05,37.68,1957500,NYSE
AU,04-Mar-2010,37.7,37.75,37.02,37.47,1556000,NYSE
AU,05-Mar-2010,37.53,38.38,37.47,38.3,1272100,NYSE
AU,08-Mar-2010,38.18,38.5,37.75,37.86,1489800,NYSE
AU,09-Mar-2010,37.46,37.8,37.18,37.42,1916600,NYSE
AU,10-Mar-2010,37.56,38.09,36.78,37.23,1778100,NYSE
AU,11-Mar-2010,36.9,37.6,36.56,37.58,936500,NYSE
AU,12-Mar-2010,37.75,38.04,37.08,37.38,1035800,NYSE
AU,15-Mar-2010,37.64,37.72,37.12,37.61,1193000,NYSE
AU,16-Mar-2010,38.13,38.42,37.93,38.41,1477800,NYSE
AU,17-Mar-2010,38.89,39.19,38.62,38.7,1283900,NYSE
AU,18-Mar-2010,38.83,39.26,38.57,38.93,1919200,NYSE
AU,19-Mar-2010,38.9,38.93,38.16,38.49,2322600,NYSE
AU,22-Mar-2010,38.09,38.5,37.78,38.45,1063600,NYSE
AU,23-Mar-2010,38.25,38.81,37.86,38.61,1017100,NYSE
AU,24-Mar-2010,37.91,37.99,36.77,36.8,2265500,NYSE
AU,25-Mar-2010,37.17,37.34,36.04,36.12,2452400,NYSE
AU,26-Mar-2010,36.79,37.51,36.5,37.3,1744000,NYSE
AU,29-Mar-2010,37.47,38.05,37.42,37.91,1409700,NYSE
AU,30-Mar-2010,37.94,38.07,37.28,37.41,1073800,NYSE
AU,31-Mar-2010,37.71,38.1,37.55,37.95,1130400,NYSE
AU,01-Apr-2010,38.6,39.72,38.42,39.65,2000100,NYSE
AU,05-Apr-2010,40.05,40.48,39.51,40.32,1192200,NYSE
AU,06-Apr-2010,40.12,40.79,40.0,40.36,1060600,NYSE
AU,07-Apr-2010,40.71,41.38,40.53,41.11,1789800,NYSE
AU,08-Apr-2010,40.55,40.88,40.33,40.7,1416000,NYSE
AU,09-Apr-2010,41.08,41.55,40.76,41.2,1267200,NYSE
AU,12-Apr-2010,40.84,41.3,40.52,40.65,1073100,NYSE
AU,13-Apr-2010,40.43,40.5,39.26,39.96,1602900,NYSE
AU,14-Apr-2010,40.37,40.41,39.79,40.21,1056300,NYSE
AU,15-Apr-2010,39.9,40.24,39.68,39.68,1160600,NYSE
AU,16-Apr-2010,39.42,39.6,37.52,38.58,3182400,NYSE
AU,19-Apr-2010,38.64,39.08,38.39,38.83,2028700,NYSE
AU,20-Apr-2010,39.32,39.45,38.6,38.69,1330800,NYSE
AU,21-Apr-2010,38.98,39.24,38.44,38.78,2265000,NYSE
AU,22-Apr-2010,38.37,39.03,38.02,39.0,1747300,NYSE
AU,23-Apr-2010,38.88,40.03,38.49,39.94,1724900,NYSE
