name,date,open_price,close_price,high_price,low_price,volume,market
AUY,04-Jan-2010,11.85,11.93,11.7,11.79,10547700,NYSE
AUY,05-Jan-2010,11.86,12.1,11.71,11.81,12516700,NYSE
AUY,06-Jan-2010,12.01,12.38,11.92,12.25,14574900,NYSE
AUY,07-Jan-2010,12.27,12.33,12.01,12.26,12046000,NYSE
AUY,08-Jan-2010,12.4,12.54,12.07,12.54,12123100,NYSE
AUY,11-Jan-2010,12.98,13.06,12.69,12.71,14022200,NYSE
AUY,12-Jan-2010,12.62,12.75,12.13,12.27,14650800,NYSE
AUY,13-Jan-2010,12.28,12.31,11.73,11.97,19773700,NYSE
AUY,14-Jan-2010,11.98,12.02,11.75,11.86,14092200,NYSE
AUY,15-Jan-2010,11.75,11.79,11.4,11.55,14588400,NYSE
AUY,19-Jan-2010,11.57,11.75,11.54,11.67,10713100,NYSE
AUY,20-Jan-2010,11.42,11.42,10.85,11.2,22130700,NYSE
AUY,21-Jan-2010,11.11,11.24,10.72,10.73,20059200,NYSE
AUY,22-Jan-2010,10.63,11.0,10.55,10.77,20255800,NYSE
AUY,25-Jan-2010,10.9,10.9,10.52,10.53,12451500,NYSE
AUY,26-Jan-2010,10.43,10.85,10.37,10.58,13936500,NYSE
AUY,27-Jan-2010,10.55,10.63,10.18,10.43,15639700,NYSE
AUY,28-Jan-2010,10.6,10.6,10.07,10.37,18466500,NYSE
AUY,29-Jan-2010,10.35,10.5,10.05,10.07,18539200,NYSE
AUY,01-Feb-2010,10.22,10.68,10.19,10.66,12269600,NYSE
AUY,02-Feb-2010,10.83,10.86,10.52,10.57,13148300,NYSE
AUY,03-Feb-2010,10.52,10.72,10.43,10.49,8679300,NYSE
AUY,04-Feb-2010,10.16,10.22,9.83,9.85,19774800,NYSE
AUY,05-Feb-2010,9.87,10.46,9.72,10.46,23621600,NYSE
AUY,08-Feb-2010,10.47,10.5,9.99,10.01,13710700,NYSE
AUY,09-Feb-2010,10.26,10.52,10.2,10.41,16139900,NYSE
AUY,10-Feb-2010,10.4,10.49,10.15,10.46,12693400,NYSE
AUY,11-Feb-2010,10.55,10.8,10.44,10.73,13976700,NYSE
AUY,12-Feb-2010,10.52,10.69,10.43,10.65,11785500,NYSE
AUY,16-Feb-2010,11.0,11.28,10.85,10.85,12907900,NYSE
AUY,17-Feb-2010,10.85,10.92,10.58,10.66,11672200,NYSE
AUY,18-Feb-2010,10.74,10.87,10.69,10.7,12423200,NYSE
AUY,19-Feb-2010,10.57,10.73,10.5,10.58,8351800,NYSE
AUY,22-Feb-2010,10.62,10.7,10.42,10.47,7533900,NYSE
AUY,23-Feb-2010,10.42,10.52,10.07,10.12,10565700,NYSE
AUY,24-Feb-2010,10.02,10.34,10.0,10.09,11004700,NYSE
AUY,25-Feb-2010,9.93,10.52,9.86,10.51,14608600,NYSE
AUY,26-Feb-2010,10.6,10.64,10.39,10.54,9105800,NYSE
AUY,01-Mar-2010,10.65,10.77,10.46,10.74,8234100,NYSE
AUY,02-Mar-2010,10.87,11.0,10.77,10.79,15263600,NYSE
AUY,03-Mar-2010,10.95,11.2,10.84,11.14,12898900,NYSE
AUY,04-Mar-2010,11.12,11.17,10.53,10.61,19273800,NYSE
AUY,05-Mar-2010,10.62,10.67,10.42,10.55,13381000,NYSE
AUY,08-Mar-2010,10.52,10.6,10.13,10.17,13034700,NYSE
AUY,09-Mar-2010,10.04,10.23,9.95,10.08,14844800,NYSE
AUY,10-Mar-2010,10.16,10.22,9.95,9.98,13608000,NYSE
AUY,11-Mar-2010,9.97,10.09,9.85,10.06,11437700,NYSE
AUY,12-Mar-2010,10.12,10.19,10.0,10.06,9753700,NYSE
AUY,15-Mar-2010,10.08,10.11,9.84,9.96,8090500,NYSE
AUY,16-Mar-2010,10.15,10.22,10.08,10.21,11496400,NYSE
AUY,17-Mar-2010,10.24,10.26,10.1,10.21,9735700,NYSE
AUY,18-Mar-2010,10.22,10.39,10.1,10.24,10286500,NYSE
AUY,19-Mar-2010,10.26,10.29,9.99,10.18,17498700,NYSE
AUY,22-Mar-2010,10.01,10.2,9.96,10.18,13180900,NYSE
AUY,23-Mar-2010,10.14,10.33,10.03,10.22,10198300,NYSE
AUY,24-Mar-2010,10.05,10.1,9.81,9.83,17593400,NYSE
AUY,25-Mar-2010,9.94,9.97,9.71,9.73,13463600,NYSE
AUY,26-Mar-2010,9.79,9.9,9.61,9.85,12187800,NYSE
AUY,29-Mar-2010,9.99,10.05,9.87,9.98,7290400,NYSE
