name,date,open_price,close_price,high_price,low_price,volume,market
AXL,04-Jan-2010,8.07,8.83,8.07,8.76,3573400,NYSE
AXL,05-Jan-2010,8.9,9.59,8.87,9.48,4734200,NYSE
AXL,06-Jan-2010,9.64,9.81,9.41,9.57,3120700,NYSE
AXL,07-Jan-2010,9.56,9.73,9.33,9.71,1741200,NYSE
AXL,08-Jan-2010,9.73,10.28,9.62,10.28,3165800,NYSE
AXL,11-Jan-2010,10.73,10.9,10.17,10.19,4060500,NYSE
AXL,12-Jan-2010,10.12,10.13,9.51,9.6,2710500,NYSE
AXL,13-Jan-2010,9.74,10.31,9.33,10.31,4275600,NYSE
AXL,14-Jan-2010,10.27,10.5,10.05,10.11,2894800,NYSE
AXL,15-Jan-2010,10.16,10.34,9.69,9.82,3178500,NYSE
AXL,19-Jan-2010,9.81,10.26,9.81,10.25,1486900,NYSE
AXL,20-Jan-2010,10.19,10.38,10.0,10.14,1671400,NYSE
AXL,21-Jan-2010,10.18,10.37,9.59,9.59,2594200,NYSE
AXL,22-Jan-2010,9.59,9.63,8.97,9.08,3856100,NYSE
AXL,25-Jan-2010,9.39,9.64,8.84,8.95,2545000,NYSE
AXL,26-Jan-2010,8.95,9.54,8.93,9.17,2382400,NYSE
AXL,27-Jan-2010,9.14,9.44,8.93,9.38,1774800,NYSE
AXL,28-Jan-2010,9.49,9.77,9.32,9.54,3436800,NYSE
AXL,29-Jan-2010,9.71,9.88,9.3,9.35,4438900,NYSE
AXL,01-Feb-2010,9.42,10.12,9.42,10.11,3464600,NYSE
AXL,02-Feb-2010,10.22,10.33,9.81,10.23,3430400,NYSE
AXL,03-Feb-2010,10.23,10.47,9.68,9.99,4320700,NYSE
AXL,04-Feb-2010,9.81,9.86,9.25,9.42,3328600,NYSE
AXL,05-Feb-2010,9.51,9.52,8.11,8.42,10040300,NYSE
AXL,08-Feb-2010,8.63,8.99,8.28,8.6,4294400,NYSE
AXL,09-Feb-2010,8.96,9.0,8.55,8.92,4346000,NYSE
AXL,10-Feb-2010,8.89,8.94,8.58,8.65,3144400,NYSE
AXL,11-Feb-2010,8.69,8.77,8.46,8.67,1991600,NYSE
AXL,12-Feb-2010,8.55,8.71,8.34,8.7,2917800,NYSE
AXL,16-Feb-2010,8.87,9.05,8.69,9.02,3438900,NYSE
AXL,17-Feb-2010,9.02,9.13,8.72,8.79,2512000,NYSE
AXL,18-Feb-2010,8.98,9.12,8.84,9.12,2602200,NYSE
AXL,19-Feb-2010,9.02,9.16,8.92,9.03,1549300,NYSE
AXL,22-Feb-2010,9.06,9.5,9.05,9.4,3248300,NYSE
AXL,23-Feb-2010,9.3,9.55,9.13,9.19,3465100,NYSE
AXL,24-Feb-2010,9.22,9.58,9.22,9.54,2227200,NYSE
AXL,25-Feb-2010,9.35,9.77,9.2,9.75,2555000,NYSE
AXL,26-Feb-2010,9.74,9.91,9.71,9.81,2014100,NYSE
AXL,01-Mar-2010,9.9,10.24,9.78,10.17,2653600,NYSE
AXL,02-Mar-2010,10.26,10.3,10.0,10.02,1976000,NYSE
AXL,03-Mar-2010,10.07,10.17,9.63,9.7,2227700,NYSE
AXL,04-Mar-2010,9.72,9.88,9.42,9.6,2057000,NYSE
AXL,05-Mar-2010,9.72,9.95,9.72,9.87,2152800,NYSE
AXL,08-Mar-2010,9.88,9.99,9.77,9.93,2613000,NYSE
AXL,09-Mar-2010,9.86,10.38,9.81,10.22,3803100,NYSE
