name,date,open_price,close_price,high_price,low_price,volume,market
BBX,04-Jan-2010,6.5,6.55,6.3,6.55,157200,NYSE
BBX,05-Jan-2010,6.45,6.45,6.25,6.35,255600,NYSE
BBX,06-Jan-2010,6.35,6.35,6.25,6.25,166500,NYSE
BBX,07-Jan-2010,6.45,7.0,6.25,7.0,1036500,NYSE
BBX,08-Jan-2010,7.15,8.45,7.0,8.05,2538600,NYSE
BBX,11-Jan-2010,8.35,9.2,8.15,9.2,1782200,NYSE
BBX,12-Jan-2010,9.25,9.25,7.8,7.9,1111600,NYSE
BBX,13-Jan-2010,8.1,8.35,7.6,7.85,505100,NYSE
BBX,14-Jan-2010,8.0,8.6,7.5,8.3,738100,NYSE
BBX,15-Jan-2010,8.3,8.3,7.8,8.3,335200,NYSE
BBX,19-Jan-2010,8.35,8.9,7.8,8.65,631100,NYSE
BBX,20-Jan-2010,8.3,8.85,8.2,8.7,386600,NYSE
BBX,21-Jan-2010,8.8,10.35,8.75,9.9,2286400,NYSE
BBX,22-Jan-2010,9.95,9.95,8.8,9.0,818800,NYSE
BBX,25-Jan-2010,9.25,9.25,7.3,7.5,1249200,NYSE
BBX,26-Jan-2010,7.65,8.35,7.5,7.55,648800,NYSE
BBX,27-Jan-2010,7.85,8.15,7.15,7.85,576900,NYSE
BBX,28-Jan-2010,7.85,8.15,7.05,7.25,488800,NYSE
BBX,29-Jan-2010,7.25,7.5,7.05,7.35,420400,NYSE
BBX,01-Feb-2010,7.65,7.65,7.1,7.4,275700,NYSE
BBX,02-Feb-2010,7.4,7.6,6.8,7.0,517600,NYSE
BBX,03-Feb-2010,7.0,7.1,6.5,6.6,465300,NYSE
BBX,04-Feb-2010,6.5,6.65,6.35,6.35,348900,NYSE
BBX,05-Feb-2010,6.4,6.95,6.35,6.5,244000,NYSE
BBX,08-Feb-2010,6.75,6.75,6.05,6.1,439900,NYSE
BBX,09-Feb-2010,6.1,6.25,6.0,6.05,313500,NYSE
BBX,10-Feb-2010,5.95,6.1,5.75,5.8,707200,NYSE
BBX,11-Feb-2010,5.75,5.95,5.75,5.85,409100,NYSE
BBX,12-Feb-2010,5.8,6.35,5.8,6.3,364900,NYSE
BBX,16-Feb-2010,6.0,6.4,6.0,6.15,253100,NYSE
BBX,17-Feb-2010,6.2,6.5,6.1,6.25,212800,NYSE
BBX,18-Feb-2010,6.1,6.3,6.1,6.3,139600,NYSE
BBX,19-Feb-2010,6.15,6.25,5.9,5.95,180400,NYSE
BBX,22-Feb-2010,6.05,6.2,6.0,6.2,182700,NYSE
BBX,23-Feb-2010,6.4,6.4,6.0,6.2,160400,NYSE
BBX,24-Feb-2010,6.15,6.15,6.0,6.05,180400,NYSE
BBX,25-Feb-2010,6.2,6.2,5.85,6.0,299400,NYSE
BBX,26-Feb-2010,6.05,6.3,5.9,6.3,189000,NYSE
BBX,01-Mar-2010,6.35,6.35,5.7,6.3,184900,NYSE
BBX,02-Mar-2010,6.1,6.25,6.0,6.25,143000,NYSE
BBX,03-Mar-2010,6.05,6.3,6.05,6.1,83400,NYSE
BBX,04-Mar-2010,6.1,6.25,6.1,6.25,52700,NYSE
BBX,05-Mar-2010,6.2,6.3,6.0,6.2,171100,NYSE
BBX,08-Mar-2010,6.15,7.2,6.15,7.1,699200,NYSE
BBX,09-Mar-2010,7.0,7.25,6.75,7.05,515100,NYSE
BBX,10-Mar-2010,7.25,7.45,7.2,7.4,470400,NYSE
BBX,11-Mar-2010,7.55,7.9,7.25,7.9,471300,NYSE
BBX,12-Mar-2010,8.1,8.7,7.8,8.45,1025900,NYSE
BBX,15-Mar-2010,8.9,9.65,8.75,9.4,1497600,NYSE
BBX,16-Mar-2010,9.8,10.65,9.5,10.6,2040000,NYSE
BBX,17-Mar-2010,11.15,13.45,11.1,13.4,6235500,NYSE
BBX,18-Mar-2010,14.45,16.2,11.4,11.8,10681800,NYSE
BBX,19-Mar-2010,11.7,11.75,8.75,8.75,5824500,NYSE
BBX,22-Mar-2010,8.5,10.95,8.25,10.3,5527700,NYSE
BBX,23-Mar-2010,10.65,11.7,9.95,10.0,4932400,NYSE
BBX,24-Mar-2010,9.8,10.65,9.8,10.15,1686000,NYSE
BBX,25-Mar-2010,10.55,11.15,10.25,10.45,1662600,NYSE
BBX,26-Mar-2010,10.8,10.8,9.75,9.9,1505900,NYSE
BBX,29-Mar-2010,9.95,10.25,9.4,9.6,1275700,NYSE
BBX,30-Mar-2010,9.45,9.65,8.65,8.85,1492300,NYSE
BBX,31-Mar-2010,8.85,9.2,8.75,8.85,862200,NYSE
BBX,01-Apr-2010,9.0,9.55,8.85,9.2,959900,NYSE
BBX,05-Apr-2010,9.5,9.6,9.2,9.6,689200,NYSE
BBX,06-Apr-2010,9.55,10.3,9.45,10.05,1632000,NYSE
BBX,07-Apr-2010,10.2,10.7,9.5,9.7,2445900,NYSE
BBX,08-Apr-2010,9.85,10.1,9.3,10.0,1708600,NYSE
BBX,09-Apr-2010,10.15,10.25,9.55,9.8,918500,NYSE
BBX,12-Apr-2010,9.75,10.0,9.55,9.7,585400,NYSE
BBX,13-Apr-2010,9.6,10.0,9.5,9.85,1140900,NYSE
BBX,14-Apr-2010,10.1,10.3,9.9,10.25,1561700,NYSE
BBX,15-Apr-2010,10.35,11.7,10.1,11.25,4318900,NYSE
BBX,16-Apr-2010,11.45,11.5,10.0,10.7,2068900,NYSE
BBX,19-Apr-2010,10.75,11.35,10.55,10.8,2159500,NYSE
BBX,20-Apr-2010,11.05,11.3,10.8,11.3,1105300,NYSE
BBX,21-Apr-2010,11.75,13.45,11.55,12.4,4578300,NYSE
BBX,22-Apr-2010,12.25,12.95,11.4,12.5,3219200,NYSE
BBX,23-Apr-2010,12.8,14.9,12.75,14.7,5948900,NYSE
BBX,26-Apr-2010,16.4,16.4,12.5,13.0,7833600,NYSE
BBX,27-Apr-2010,13.6,15.3,13.0,14.5,6231200,NYSE
BBX,28-Apr-2010,15.45,15.45,14.0,14.15,2308600,NYSE
BBX,29-Apr-2010,14.35,14.6,12.55,13.8,2822700,NYSE
BBX,30-Apr-2010,13.65,14.05,13.0,13.1,1228300,NYSE
BBX,03-May-2010,13.05,13.25,12.2,12.65,1211200,NYSE
BBX,04-May-2010,12.4,13.4,11.7,13.25,2177700,NYSE
BBX,05-May-2010,13.1,13.65,11.75,12.55,2197400,NYSE
BBX,06-May-2010,12.95,13.0,9.8,11.35,2434600,NYSE
BBX,07-May-2010,11.4,11.65,10.5,11.2,1305700,NYSE
BBX,10-May-2010,11.75,12.3,10.8,11.25,1109700,NYSE
BBX,11-May-2010,11.25,11.35,10.75,10.9,888000,NYSE
BBX,12-May-2010,11.05,11.9,10.7,11.5,2013100,NYSE
BBX,13-May-2010,11.9,12.5,11.0,12.45,1747000,NYSE
BBX,14-May-2010,12.45,13.2,12.0,12.5,1640000,NYSE
BBX,17-May-2010,12.45,12.5,11.35,12.35,990100,NYSE
BBX,18-May-2010,12.25,12.5,11.25,11.45,968700,NYSE
BBX,19-May-2010,11.15,11.35,10.3,10.8,1048700,NYSE
BBX,20-May-2010,10.5,10.5,9.5,9.55,1338100,NYSE
BBX,21-May-2010,8.9,10.3,8.75,9.95,949500,NYSE
BBX,24-May-2010,10.0,10.15,9.05,9.3,731700,NYSE
BBX,25-May-2010,8.55,9.85,8.45,9.55,771300,NYSE
BBX,26-May-2010,10.0,10.6,9.0,9.0,1136100,NYSE
BBX,27-May-2010,9.7,9.95,9.3,9.75,584300,NYSE
BBX,28-May-2010,9.75,9.9,9.55,9.75,249200,NYSE
BBX,01-Jun-2010,9.5,9.85,9.25,9.5,325700,NYSE
BBX,02-Jun-2010,9.85,9.85,8.9,8.9,1157000,NYSE
BBX,03-Jun-2010,9.25,9.25,8.0,8.2,1596700,NYSE
BBX,04-Jun-2010,8.55,8.55,7.6,7.65,764300,NYSE
BBX,07-Jun-2010,7.6,8.2,7.5,7.55,632900,NYSE
BBX,08-Jun-2010,7.5,8.0,7.0,7.2,825600,NYSE
BBX,09-Jun-2010,7.5,7.5,7.25,7.45,539600,NYSE
BBX,10-Jun-2010,7.1,7.3,6.8,7.25,825900,NYSE
BBX,11-Jun-2010,7.25,7.45,6.95,7.45,584500,NYSE
BBX,14-Jun-2010,8.15,8.15,7.5,7.55,620800,NYSE
BBX,15-Jun-2010,7.75,7.75,7.25,7.5,324700,NYSE
BBX,16-Jun-2010,7.7,7.85,7.5,7.85,272100,NYSE
BBX,17-Jun-2010,7.85,8.0,7.55,7.6,343700,NYSE
BBX,18-Jun-2010,7.9,7.9,7.4,7.8,609100,NYSE
BBX,21-Jun-2010,7.75,8.55,7.5,8.35,982900,NYSE
BBX,22-Jun-2010,8.3,8.45,8.05,8.15,270600,NYSE
BBX,23-Jun-2010,8.35,8.35,7.8,7.9,257200,NYSE
BBX,24-Jun-2010,7.7,7.8,7.5,7.55,205100,NYSE
BBX,25-Jun-2010,7.5,7.6,7.25,7.4,317400,NYSE
BBX,28-Jun-2010,8.6,8.6,7.3,7.55,266000,NYSE
BBX,29-Jun-2010,7.5,7.5,6.75,6.75,618800,NYSE
BBX,30-Jun-2010,6.85,7.2,6.8,7.0,236200,NYSE
BBX,01-Jul-2010,6.8,6.95,6.4,6.75,421200,NYSE
BBX,02-Jul-2010,6.65,6.95,6.5,6.5,252800,NYSE
BBX,06-Jul-2010,6.5,7.15,6.5,6.95,414200,NYSE
BBX,07-Jul-2010,6.85,7.4,6.85,7.3,304500,NYSE
BBX,08-Jul-2010,7.5,7.9,7.3,7.9,548600,NYSE
BBX,09-Jul-2010,7.8,7.9,7.25,7.7,405100,NYSE
BBX,12-Jul-2010,7.7,7.9,7.5,7.7,361000,NYSE
BBX,13-Jul-2010,7.95,8.2,7.8,7.9,409200,NYSE
BBX,14-Jul-2010,7.8,8.35,7.7,8.25,755000,NYSE
BBX,15-Jul-2010,8.5,9.25,8.4,8.75,1701400,NYSE
BBX,16-Jul-2010,8.75,8.8,8.0,8.1,632800,NYSE
BBX,19-Jul-2010,7.9,8.25,7.5,7.55,788400,NYSE
BBX,20-Jul-2010,7.55,7.75,7.55,7.6,617800,NYSE
BBX,21-Jul-2010,7.55,7.75,6.9,7.05,827300,NYSE
BBX,22-Jul-2010,7.0,7.3,6.8,7.1,788900,NYSE
BBX,23-Jul-2010,7.2,7.5,7.05,7.5,472000,NYSE
BBX,26-Jul-2010,7.5,8.15,7.4,7.95,760100,NYSE
BBX,27-Jul-2010,8.15,8.6,8.0,8.45,679100,NYSE
BBX,28-Jul-2010,8.6,8.95,8.25,8.3,594800,NYSE
BBX,29-Jul-2010,8.25,8.7,8.0,8.1,394300,NYSE
BBX,30-Jul-2010,8.1,8.3,7.9,8.05,314000,NYSE
BBX,02-Aug-2010,8.05,8.5,8.05,8.35,497400,NYSE
BBX,03-Aug-2010,8.2,8.35,7.8,7.8,544100,NYSE
BBX,04-Aug-2010,7.95,7.95,7.25,7.35,1010200,NYSE
BBX,05-Aug-2010,7.35,7.55,7.2,7.3,426900,NYSE
BBX,06-Aug-2010,7.45,7.65,7.0,7.65,615900,NYSE
BBX,09-Aug-2010,7.6,7.6,7.25,7.35,288500,NYSE
BBX,10-Aug-2010,7.15,7.35,7.0,7.05,317700,NYSE
