name,date,open_price,close_price,high_price,low_price,volume,market
BCO,04-Jan-2010,24.5,24.98,24.5,24.93,381100,NYSE
BCO,05-Jan-2010,24.97,24.97,24.41,24.49,331900,NYSE
BCO,06-Jan-2010,25.26,25.36,24.84,24.9,507600,NYSE
BCO,07-Jan-2010,24.94,25.29,24.84,25.2,312800,NYSE
BCO,08-Jan-2010,25.07,25.18,24.88,25.07,240600,NYSE
BCO,11-Jan-2010,25.14,25.22,24.62,24.71,293300,NYSE
BCO,12-Jan-2010,24.61,24.68,24.3,24.37,345000,NYSE
BCO,13-Jan-2010,24.32,24.84,24.2,24.84,317400,NYSE
BCO,14-Jan-2010,24.85,25.16,24.83,25.14,335600,NYSE
BCO,15-Jan-2010,25.18,25.21,24.86,25.0,373700,NYSE
BCO,19-Jan-2010,25.17,25.69,25.12,25.58,513500,NYSE
BCO,20-Jan-2010,25.36,25.42,25.1,25.35,428600,NYSE
BCO,21-Jan-2010,25.45,25.57,24.66,24.77,501300,NYSE
BCO,22-Jan-2010,24.65,25.01,24.22,24.33,332900,NYSE
BCO,25-Jan-2010,24.48,24.48,23.87,24.14,284300,NYSE
BCO,26-Jan-2010,24.04,24.19,23.63,23.67,198100,NYSE
BCO,27-Jan-2010,23.62,24.04,23.56,24.0,332600,NYSE
BCO,28-Jan-2010,24.1,24.28,23.43,24.01,445400,NYSE
BCO,29-Jan-2010,23.98,24.11,23.37,23.38,283000,NYSE
BCO,01-Feb-2010,23.5,24.0,23.43,23.96,267500,NYSE
BCO,02-Feb-2010,23.93,24.19,23.56,23.75,543000,NYSE
BCO,03-Feb-2010,25.17,27.04,24.57,24.96,1284000,NYSE
BCO,04-Feb-2010,24.84,24.93,24.31,24.37,457200,NYSE
BCO,05-Feb-2010,24.29,24.7,24.06,24.68,427000,NYSE
BCO,08-Feb-2010,24.64,24.85,24.53,24.56,352300,NYSE
BCO,09-Feb-2010,24.81,24.81,24.17,24.34,548900,NYSE
BCO,10-Feb-2010,24.21,24.37,23.95,24.22,335100,NYSE
BCO,11-Feb-2010,24.12,24.6,24.12,24.57,256300,NYSE
BCO,12-Feb-2010,24.54,25.1,24.42,25.06,521000,NYSE
BCO,16-Feb-2010,25.17,25.79,25.17,25.78,515000,NYSE
BCO,17-Feb-2010,25.88,25.98,25.67,25.92,475900,NYSE
BCO,18-Feb-2010,25.97,26.19,25.88,26.15,257500,NYSE
BCO,19-Feb-2010,26.06,26.37,25.89,26.32,443100,NYSE
BCO,22-Feb-2010,26.41,26.41,25.96,26.06,289400,NYSE
BCO,23-Feb-2010,25.96,26.25,25.41,25.45,380900,NYSE
BCO,24-Feb-2010,25.51,25.6,25.15,25.36,301200,NYSE
BCO,25-Feb-2010,24.96,25.71,24.94,25.34,252000,NYSE
BCO,26-Feb-2010,25.25,25.83,25.25,25.48,405300,NYSE
BCO,01-Mar-2010,25.6,25.99,25.38,25.83,389700,NYSE
BCO,02-Mar-2010,25.81,26.21,25.6,26.04,335500,NYSE
BCO,03-Mar-2010,26.08,26.51,26.0,26.03,249600,NYSE
BCO,04-Mar-2010,26.29,26.29,25.9,26.08,260100,NYSE
BCO,05-Mar-2010,26.23,26.58,25.97,26.55,305700,NYSE
BCO,08-Mar-2010,26.35,26.61,26.12,26.35,163900,NYSE
BCO,09-Mar-2010,26.31,26.53,26.06,26.5,361900,NYSE
BCO,10-Mar-2010,26.41,27.06,26.3,27.06,445200,NYSE
BCO,11-Mar-2010,26.86,27.22,26.63,27.21,351300,NYSE
BCO,12-Mar-2010,27.26,27.26,26.85,27.08,229600,NYSE
BCO,15-Mar-2010,26.96,27.28,26.82,27.2,174900,NYSE
BCO,16-Mar-2010,27.3,27.57,27.11,27.57,227000,NYSE
BCO,17-Mar-2010,27.55,27.62,27.32,27.47,299400,NYSE
BCO,18-Mar-2010,27.57,27.62,27.26,27.61,436700,NYSE
BCO,19-Mar-2010,27.72,28.0,27.58,27.86,620800,NYSE
BCO,22-Mar-2010,27.66,28.51,27.64,28.45,419300,NYSE
BCO,23-Mar-2010,28.32,28.42,28.1,28.37,641500,NYSE
BCO,24-Mar-2010,28.31,28.41,27.88,28.38,481200,NYSE
BCO,25-Mar-2010,28.61,28.61,28.24,28.28,363700,NYSE
BCO,26-Mar-2010,28.35,28.43,27.73,27.78,517000,NYSE
BCO,29-Mar-2010,27.97,28.43,27.83,28.34,408200,NYSE
BCO,30-Mar-2010,28.36,28.93,28.25,28.74,296800,NYSE
BCO,31-Mar-2010,28.61,28.88,28.2,28.23,339200,NYSE
BCO,01-Apr-2010,28.37,28.68,28.28,28.6,257100,NYSE
BCO,05-Apr-2010,28.74,28.95,28.44,28.85,228900,NYSE
BCO,06-Apr-2010,28.78,29.04,28.78,29.0,175200,NYSE
BCO,07-Apr-2010,28.89,29.03,28.68,28.84,214400,NYSE
BCO,08-Apr-2010,28.81,28.85,28.48,28.68,219900,NYSE
BCO,09-Apr-2010,28.81,28.81,28.42,28.7,124500,NYSE
BCO,12-Apr-2010,28.75,28.83,28.6,28.78,159800,NYSE
BCO,13-Apr-2010,28.68,28.98,28.49,28.75,160100,NYSE
BCO,14-Apr-2010,28.96,29.06,28.58,28.99,171400,NYSE
BCO,15-Apr-2010,29.05,29.49,29.01,29.29,455000,NYSE
BCO,16-Apr-2010,29.44,29.59,28.81,29.08,319200,NYSE
BCO,19-Apr-2010,28.95,29.2,28.32,28.58,363200,NYSE
BCO,20-Apr-2010,28.58,29.0,28.58,28.64,251800,NYSE
BCO,21-Apr-2010,28.57,28.73,28.04,28.21,422300,NYSE
BCO,22-Apr-2010,28.1,28.48,28.0,28.4,307000,NYSE
BCO,23-Apr-2010,28.47,29.01,28.22,28.96,265200,NYSE
BCO,26-Apr-2010,28.9,29.22,28.69,28.8,270400,NYSE
BCO,27-Apr-2010,28.76,28.76,27.91,27.94,375200,NYSE
BCO,28-Apr-2010,28.15,28.39,27.91,28.26,204800,NYSE
BCO,29-Apr-2010,28.49,28.49,26.0,26.76,630200,NYSE
BCO,30-Apr-2010,26.66,27.15,26.22,26.63,524400,NYSE
BCO,03-May-2010,26.78,26.78,26.26,26.64,354100,NYSE
BCO,04-May-2010,26.43,26.63,26.07,26.22,607900,NYSE
BCO,05-May-2010,26.07,26.34,25.61,25.75,389500,NYSE
BCO,06-May-2010,25.66,25.98,24.86,25.49,703700,NYSE
BCO,07-May-2010,24.63,25.3,24.16,24.37,1003600,NYSE
BCO,10-May-2010,25.48,25.57,24.81,25.57,313800,NYSE
BCO,11-May-2010,25.45,25.52,24.96,25.23,313600,NYSE
BCO,12-May-2010,25.33,25.45,24.77,25.13,596400,NYSE
BCO,13-May-2010,25.15,25.22,24.8,24.95,352800,NYSE
BCO,14-May-2010,24.75,24.81,24.48,24.72,373600,NYSE
BCO,17-May-2010,24.52,25.0,23.96,24.54,433000,NYSE
BCO,18-May-2010,24.67,24.95,23.73,23.83,521000,NYSE
BCO,19-May-2010,23.7,23.85,22.9,23.27,928000,NYSE
BCO,20-May-2010,22.85,23.0,22.24,22.53,856800,NYSE
BCO,21-May-2010,22.25,23.02,22.25,23.02,897300,NYSE
BCO,24-May-2010,23.02,23.02,22.62,22.63,405700,NYSE
BCO,25-May-2010,22.2,22.49,21.92,22.38,713400,NYSE
BCO,26-May-2010,22.51,22.91,22.36,22.52,559900,NYSE
BCO,27-May-2010,22.88,23.04,22.59,22.75,498500,NYSE
BCO,28-May-2010,22.77,22.86,22.54,22.67,335400,NYSE
BCO,01-Jun-2010,22.5,22.81,22.19,22.27,302200,NYSE
BCO,02-Jun-2010,22.28,22.35,21.95,22.29,450600,NYSE
BCO,03-Jun-2010,22.19,22.44,22.08,22.24,428300,NYSE
BCO,04-Jun-2010,21.82,22.0,21.26,21.29,309300,NYSE
BCO,07-Jun-2010,21.4,21.43,20.86,20.9,368400,NYSE
BCO,08-Jun-2010,20.95,20.95,20.47,20.8,514900,NYSE
BCO,09-Jun-2010,20.8,20.92,19.83,19.93,653000,NYSE
BCO,10-Jun-2010,19.95,20.08,19.75,19.92,1036200,NYSE
BCO,11-Jun-2010,19.8,20.27,19.64,20.24,1940100,NYSE
BCO,14-Jun-2010,20.41,21.05,20.3,20.76,627100,NYSE
BCO,15-Jun-2010,20.85,21.19,20.73,21.14,440200,NYSE
BCO,16-Jun-2010,21.07,21.29,20.68,21.1,441100,NYSE
BCO,17-Jun-2010,21.27,21.27,20.58,20.67,373800,NYSE
BCO,18-Jun-2010,20.6,20.71,20.35,20.68,421200,NYSE
BCO,21-Jun-2010,20.92,20.99,20.21,20.26,446300,NYSE
BCO,22-Jun-2010,20.23,20.59,19.87,19.89,398700,NYSE
BCO,23-Jun-2010,19.87,20.21,19.48,20.17,597400,NYSE
BCO,24-Jun-2010,20.15,20.32,19.95,20.18,759000,NYSE
BCO,25-Jun-2010,20.16,20.46,19.8,20.4,4173300,NYSE
BCO,28-Jun-2010,20.39,20.49,19.82,19.85,733500,NYSE
BCO,29-Jun-2010,19.6,19.78,19.18,19.33,617400,NYSE
BCO,30-Jun-2010,19.27,19.42,19.0,19.03,684700,NYSE
BCO,01-Jul-2010,18.95,19.12,18.57,18.63,668400,NYSE
BCO,02-Jul-2010,18.65,18.84,18.35,18.71,470400,NYSE
BCO,06-Jul-2010,19.0,19.03,18.36,18.39,890800,NYSE
BCO,07-Jul-2010,18.46,18.8,18.3,18.79,591600,NYSE
BCO,08-Jul-2010,18.94,19.23,18.87,19.17,455800,NYSE
BCO,09-Jul-2010,19.28,19.51,19.03,19.43,618000,NYSE
BCO,12-Jul-2010,19.32,19.73,19.16,19.62,447200,NYSE
BCO,13-Jul-2010,19.85,20.79,19.85,20.73,621600,NYSE
BCO,14-Jul-2010,20.74,20.74,20.3,20.65,493700,NYSE
BCO,15-Jul-2010,20.7,20.72,20.34,20.6,320100,NYSE
BCO,16-Jul-2010,20.47,20.51,19.62,19.64,484300,NYSE
BCO,19-Jul-2010,19.52,19.63,19.3,19.54,349800,NYSE
BCO,20-Jul-2010,19.33,19.92,19.23,19.89,413300,NYSE
BCO,21-Jul-2010,19.99,20.13,19.64,19.66,421800,NYSE
BCO,22-Jul-2010,19.89,20.43,19.89,20.37,545300,NYSE
BCO,23-Jul-2010,20.28,20.72,20.23,20.63,536900,NYSE
BCO,26-Jul-2010,20.72,21.04,20.29,21.02,502000,NYSE
BCO,27-Jul-2010,21.16,21.47,20.83,20.91,480400,NYSE
BCO,28-Jul-2010,20.91,21.19,20.71,20.74,449100,NYSE
BCO,29-Jul-2010,22.11,23.55,21.13,21.8,1139400,NYSE
BCO,30-Jul-2010,21.63,22.14,21.4,21.9,589600,NYSE
BCO,02-Aug-2010,22.23,22.53,21.12,21.35,694800,NYSE
BCO,03-Aug-2010,21.23,21.41,20.93,20.95,708400,NYSE
BCO,04-Aug-2010,21.0,21.28,20.79,21.02,717400,NYSE
BCO,05-Aug-2010,20.92,21.13,20.87,20.98,1125500,NYSE
BCO,06-Aug-2010,20.8,21.07,20.53,20.92,800200,NYSE
BCO,09-Aug-2010,21.0,21.25,20.94,21.22,432000,NYSE
BCO,10-Aug-2010,21.1,21.14,20.68,20.76,300600,NYSE
BCO,11-Aug-2010,20.42,20.42,19.99,20.23,528700,NYSE
BCO,12-Aug-2010,19.92,20.33,19.84,20.12,351100,NYSE
BCO,13-Aug-2010,20.02,20.34,19.89,20.12,354200,NYSE
BCO,16-Aug-2010,19.95,20.09,19.83,20.0,303800,NYSE
BCO,17-Aug-2010,20.17,20.54,20.03,20.44,325900,NYSE
BCO,18-Aug-2010,20.44,20.77,20.3,20.52,228800,NYSE
BCO,19-Aug-2010,20.4,20.4,19.97,19.99,298900,NYSE
BCO,20-Aug-2010,19.9,20.1,19.85,20.02,224900,NYSE
BCO,23-Aug-2010,20.07,20.17,19.64,19.65,271800,NYSE
BCO,24-Aug-2010,19.51,19.78,19.26,19.4,425300,NYSE
BCO,25-Aug-2010,19.33,19.84,19.33,19.79,266300,NYSE
BCO,26-Aug-2010,19.79,19.97,19.43,19.5,211500,NYSE
BCO,27-Aug-2010,19.63,19.91,19.28,19.89,236000,NYSE
BCO,30-Aug-2010,19.77,19.8,19.34,19.34,443000,NYSE
BCO,31-Aug-2010,19.27,19.28,18.85,18.87,374100,NYSE
BCO,01-Sep-2010,19.12,20.02,19.12,20.0,391300,NYSE
