name,date,open_price,close_price,high_price,low_price,volume,market
BDJ,04-Jan-2010,8.85,8.93,8.82,8.86,287000,NYSE
BDJ,05-Jan-2010,8.9,9.08,8.9,9.01,197200,NYSE
BDJ,06-Jan-2010,8.99,9.05,8.94,8.94,230200,NYSE
BDJ,07-Jan-2010,8.95,9.02,8.88,8.96,212100,NYSE
BDJ,08-Jan-2010,8.88,8.91,8.86,8.91,133000,NYSE
BDJ,11-Jan-2010,9.02,9.02,8.87,8.94,165200,NYSE
BDJ,12-Jan-2010,8.97,8.98,8.83,8.86,179000,NYSE
BDJ,13-Jan-2010,8.93,8.98,8.85,8.97,160900,NYSE
BDJ,14-Jan-2010,8.93,8.98,8.9,8.98,115400,NYSE
BDJ,15-Jan-2010,8.95,8.98,8.83,8.93,178100,NYSE
BDJ,19-Jan-2010,8.88,9.02,8.88,8.97,193300,NYSE
BDJ,20-Jan-2010,8.9,8.99,8.87,8.98,162800,NYSE
BDJ,21-Jan-2010,8.98,9.05,8.9,8.95,225900,NYSE
BDJ,22-Jan-2010,8.92,8.92,8.63,8.63,285500,NYSE
BDJ,25-Jan-2010,8.68,8.73,8.56,8.57,299100,NYSE
BDJ,26-Jan-2010,8.62,8.62,8.4,8.47,258500,NYSE
BDJ,27-Jan-2010,8.51,8.51,8.16,8.18,502200,NYSE
BDJ,28-Jan-2010,8.22,8.26,8.16,8.24,220600,NYSE
BDJ,29-Jan-2010,8.28,8.48,8.24,8.37,279400,NYSE
BDJ,01-Feb-2010,8.38,8.44,8.33,8.38,170700,NYSE
BDJ,02-Feb-2010,8.39,8.58,8.37,8.57,179900,NYSE
BDJ,03-Feb-2010,8.51,8.67,8.51,8.66,153400,NYSE
BDJ,04-Feb-2010,8.62,8.62,8.39,8.41,167700,NYSE
BDJ,05-Feb-2010,8.32,8.36,8.03,8.27,335300,NYSE
BDJ,08-Feb-2010,8.27,8.36,8.16,8.2,161000,NYSE
BDJ,09-Feb-2010,8.24,8.4,8.24,8.33,192200,NYSE
BDJ,10-Feb-2010,8.32,8.35,8.13,8.16,316700,NYSE
BDJ,11-Feb-2010,8.14,8.22,8.06,8.15,273800,NYSE
BDJ,12-Feb-2010,8.08,8.17,8.07,8.14,161800,NYSE
BDJ,16-Feb-2010,8.24,8.35,8.15,8.33,236300,NYSE
BDJ,17-Feb-2010,8.31,8.39,8.31,8.37,259300,NYSE
BDJ,18-Feb-2010,8.35,8.47,8.34,8.44,170700,NYSE
BDJ,19-Feb-2010,8.37,8.54,8.37,8.53,115600,NYSE
BDJ,22-Feb-2010,8.57,8.57,8.45,8.5,149600,NYSE
BDJ,23-Feb-2010,8.53,8.59,8.39,8.57,246500,NYSE
BDJ,24-Feb-2010,8.59,8.78,8.59,8.75,290900,NYSE
BDJ,25-Feb-2010,8.58,8.8,8.57,8.8,182800,NYSE
BDJ,26-Feb-2010,8.73,8.89,8.73,8.83,154900,NYSE
BDJ,01-Mar-2010,8.94,8.97,8.88,8.92,162100,NYSE
