name,date,open_price,close_price,high_price,low_price,volume,market
BGC,04-Jan-2010,29.87,30.71,29.85,30.52,1585700,NYSE
BGC,05-Jan-2010,30.56,30.73,30.03,30.4,1981200,NYSE
BGC,06-Jan-2010,30.42,32.0,30.13,31.73,2137300,NYSE
BGC,07-Jan-2010,31.78,32.51,31.36,32.48,1285100,NYSE
BGC,08-Jan-2010,32.37,33.13,32.25,33.06,811400,NYSE
BGC,11-Jan-2010,33.14,33.45,32.19,32.45,672000,NYSE
BGC,12-Jan-2010,32.28,32.33,31.05,31.45,879600,NYSE
BGC,13-Jan-2010,32.23,32.23,30.85,31.84,794600,NYSE
BGC,14-Jan-2010,31.71,31.71,30.49,30.66,1589200,NYSE
BGC,15-Jan-2010,30.64,30.97,29.91,30.31,1156200,NYSE
BGC,19-Jan-2010,30.15,31.21,30.12,31.16,681700,NYSE
BGC,20-Jan-2010,30.88,31.16,30.44,30.75,1164200,NYSE
BGC,21-Jan-2010,30.68,31.11,30.41,30.53,1363400,NYSE
BGC,22-Jan-2010,30.42,31.01,30.06,30.11,1141900,NYSE
BGC,25-Jan-2010,30.45,31.0,29.77,29.86,1053000,NYSE
BGC,26-Jan-2010,29.93,31.05,29.61,30.82,1348100,NYSE
BGC,27-Jan-2010,30.78,31.13,30.01,30.28,1225500,NYSE
BGC,28-Jan-2010,30.22,30.37,29.5,30.01,634400,NYSE
BGC,29-Jan-2010,30.21,30.78,29.06,29.1,1015300,NYSE
BGC,01-Feb-2010,29.44,30.0,29.21,29.95,685900,NYSE
BGC,02-Feb-2010,30.07,30.26,29.38,30.15,724700,NYSE
BGC,03-Feb-2010,30.1,30.5,29.77,30.1,538100,NYSE
BGC,04-Feb-2010,29.67,29.67,28.65,28.84,1399500,NYSE
BGC,05-Feb-2010,28.73,28.94,26.84,28.03,2071100,NYSE
BGC,08-Feb-2010,28.0,28.17,27.44,27.46,1221600,NYSE
BGC,09-Feb-2010,27.94,28.33,27.61,27.8,1838900,NYSE
BGC,10-Feb-2010,27.81,28.4,27.31,27.78,1726800,NYSE
BGC,11-Feb-2010,27.85,28.38,27.69,28.16,1549000,NYSE
BGC,12-Feb-2010,26.43,27.13,23.7,24.44,6295300,NYSE
BGC,16-Feb-2010,24.85,25.32,24.0,24.48,3132800,NYSE
BGC,17-Feb-2010,24.71,25.02,24.11,24.18,1729900,NYSE
BGC,18-Feb-2010,24.12,24.45,24.1,24.25,1783600,NYSE
BGC,19-Feb-2010,24.35,24.45,23.79,23.85,1664000,NYSE
BGC,22-Feb-2010,24.19,24.32,23.8,24.25,1401100,NYSE
BGC,23-Feb-2010,24.12,24.2,22.99,23.12,2264800,NYSE
BGC,24-Feb-2010,23.22,23.62,23.07,23.32,1455600,NYSE
BGC,25-Feb-2010,22.91,23.94,22.77,23.64,2431000,NYSE
BGC,26-Feb-2010,23.77,24.64,23.64,24.43,1675600,NYSE
BGC,01-Mar-2010,24.57,25.15,24.43,24.84,1165900,NYSE
BGC,02-Mar-2010,25.12,25.87,24.81,25.54,1369800,NYSE
BGC,03-Mar-2010,25.55,26.24,25.47,25.72,1432600,NYSE
BGC,04-Mar-2010,25.83,26.07,25.57,25.65,661900,NYSE
BGC,05-Mar-2010,25.76,25.84,25.32,25.67,1050300,NYSE
BGC,08-Mar-2010,25.7,25.82,25.41,25.5,756400,NYSE
BGC,09-Mar-2010,25.35,25.75,25.25,25.6,539000,NYSE
BGC,10-Mar-2010,25.64,25.73,25.35,25.51,991700,NYSE
BGC,11-Mar-2010,25.37,25.73,25.25,25.67,650600,NYSE
BGC,12-Mar-2010,25.89,27.05,25.88,26.7,1619300,NYSE
BGC,15-Mar-2010,26.64,26.75,25.86,26.07,923100,NYSE
BGC,16-Mar-2010,26.14,26.24,25.86,26.21,633100,NYSE
BGC,17-Mar-2010,26.25,26.54,26.19,26.26,534200,NYSE
BGC,18-Mar-2010,26.98,28.52,26.98,28.5,2918300,NYSE
BGC,19-Mar-2010,28.45,28.84,27.81,28.49,1543900,NYSE
BGC,22-Mar-2010,28.22,28.48,27.62,28.21,1136600,NYSE
BGC,23-Mar-2010,28.29,28.96,28.18,28.62,1660700,NYSE
BGC,24-Mar-2010,28.49,28.54,27.93,27.93,954900,NYSE
BGC,25-Mar-2010,28.23,28.41,27.47,27.57,1084800,NYSE
BGC,26-Mar-2010,27.75,28.06,26.78,27.28,1334000,NYSE
BGC,29-Mar-2010,27.49,27.69,27.33,27.56,641500,NYSE
