name,date,open_price,close_price,high_price,low_price,volume,market
BHP,04-Jan-2010,78.9,79.61,78.86,79.57,3016500,NYSE
BHP,05-Jan-2010,79.15,80.1,79.01,79.58,4145400,NYSE
BHP,06-Jan-2010,79.71,81.28,79.57,80.89,3485600,NYSE
BHP,07-Jan-2010,80.21,80.45,79.25,80.18,3030000,NYSE
BHP,08-Jan-2010,80.19,81.39,79.82,81.28,2237200,NYSE
BHP,11-Jan-2010,82.66,82.74,80.66,81.8,3588900,NYSE
BHP,12-Jan-2010,79.48,79.86,78.29,78.97,3816500,NYSE
BHP,13-Jan-2010,80.08,80.23,78.6,80.11,3538700,NYSE
BHP,14-Jan-2010,80.92,81.38,80.27,80.71,3371000,NYSE
BHP,15-Jan-2010,80.61,80.71,78.9,79.25,2898300,NYSE
BHP,19-Jan-2010,79.97,81.27,79.97,81.03,3748400,NYSE
BHP,20-Jan-2010,78.31,78.5,77.33,78.15,4628100,NYSE
BHP,21-Jan-2010,77.2,77.8,74.3,74.72,7065600,NYSE
BHP,22-Jan-2010,73.84,75.2,72.89,73.21,5541500,NYSE
BHP,25-Jan-2010,74.48,75.1,73.77,73.93,3084600,NYSE
BHP,26-Jan-2010,72.83,74.03,72.22,73.01,3991500,NYSE
BHP,27-Jan-2010,72.69,73.23,71.6,72.65,5354600,NYSE
BHP,28-Jan-2010,73.01,73.2,70.46,71.77,6603800,NYSE
BHP,29-Jan-2010,71.6,72.25,68.8,69.37,6006300,NYSE
BHP,01-Feb-2010,70.6,72.19,70.23,72.1,5376700,NYSE
BHP,02-Feb-2010,72.83,74.45,72.19,74.12,8624800,NYSE
BHP,03-Feb-2010,72.94,73.72,72.27,72.66,3861000,NYSE
BHP,04-Feb-2010,70.73,71.16,68.27,68.41,7767100,NYSE
BHP,05-Feb-2010,68.22,69.34,66.51,69.2,6573400,NYSE
BHP,08-Feb-2010,68.69,69.67,67.72,67.9,3448600,NYSE
BHP,09-Feb-2010,69.95,71.99,69.7,71.16,5458200,NYSE
BHP,10-Feb-2010,70.07,70.63,68.73,69.39,4916700,NYSE
BHP,11-Feb-2010,70.73,72.8,70.11,72.65,5345000,NYSE
BHP,12-Feb-2010,70.98,72.41,70.58,72.13,4347100,NYSE
BHP,16-Feb-2010,73.59,74.56,73.16,74.56,3953500,NYSE
BHP,17-Feb-2010,75.58,75.7,73.8,74.25,4912300,NYSE
BHP,18-Feb-2010,74.31,75.33,74.0,75.09,5079800,NYSE
BHP,19-Feb-2010,73.84,75.48,73.78,74.94,5608300,NYSE
BHP,22-Feb-2010,75.53,75.63,74.85,74.95,4319900,NYSE
BHP,23-Feb-2010,74.97,75.39,73.2,73.42,8903900,NYSE
BHP,24-Feb-2010,73.09,74.05,72.68,73.43,6862500,NYSE
BHP,25-Feb-2010,70.98,72.5,70.69,72.44,5848400,NYSE
BHP,26-Feb-2010,72.44,73.41,71.37,73.33,4525500,NYSE
BHP,01-Mar-2010,73.48,75.25,73.29,75.08,4312500,NYSE
BHP,02-Mar-2010,75.16,76.38,74.95,75.67,4458600,NYSE
BHP,03-Mar-2010,76.23,77.49,76.03,76.4,4762700,NYSE
BHP,04-Mar-2010,76.88,77.14,75.58,76.36,4119200,NYSE
