name,date,open_price,close_price,high_price,low_price,volume,market
BKN,04-Jan-2010,13.4,13.45,13.33,13.38,32500,NYSE
BKN,05-Jan-2010,13.45,13.45,13.37,13.43,23000,NYSE
BKN,06-Jan-2010,13.46,13.55,13.46,13.52,19300,NYSE
BKN,07-Jan-2010,13.55,13.68,13.44,13.64,25100,NYSE
BKN,08-Jan-2010,13.5,13.7,13.5,13.66,42400,NYSE
BKN,11-Jan-2010,13.63,13.79,13.63,13.69,22100,NYSE
BKN,12-Jan-2010,13.59,13.71,13.59,13.62,31100,NYSE
BKN,13-Jan-2010,13.55,13.61,13.53,13.56,20300,NYSE
BKN,14-Jan-2010,13.55,13.61,13.55,13.58,37100,NYSE
BKN,15-Jan-2010,13.57,13.66,13.57,13.63,24300,NYSE
BKN,19-Jan-2010,13.65,13.83,13.64,13.83,45600,NYSE
BKN,20-Jan-2010,13.83,13.95,13.78,13.9,28900,NYSE
BKN,21-Jan-2010,13.87,13.95,13.83,13.9,23900,NYSE
BKN,22-Jan-2010,13.83,13.94,13.71,13.75,30500,NYSE
BKN,25-Jan-2010,13.76,13.8,13.6,13.76,50600,NYSE
BKN,26-Jan-2010,13.76,13.76,13.63,13.66,23600,NYSE
BKN,27-Jan-2010,13.68,13.79,13.68,13.75,26700,NYSE
BKN,28-Jan-2010,13.8,13.84,13.67,13.7,28800,NYSE
BKN,29-Jan-2010,13.67,13.78,13.67,13.74,16400,NYSE
BKN,01-Feb-2010,13.81,13.84,13.71,13.75,36400,NYSE
BKN,02-Feb-2010,13.71,13.99,13.71,13.92,27300,NYSE
BKN,03-Feb-2010,13.97,14.03,13.92,13.99,24200,NYSE
BKN,04-Feb-2010,13.98,14.02,13.94,13.95,24600,NYSE
BKN,05-Feb-2010,13.9,13.99,13.85,13.93,18900,NYSE
BKN,08-Feb-2010,13.9,14.1,13.9,14.04,13200,NYSE
BKN,09-Feb-2010,14.1,14.11,13.94,13.95,35200,NYSE
BKN,10-Feb-2010,13.9,13.9,13.78,13.83,25500,NYSE
BKN,11-Feb-2010,13.88,13.91,13.74,13.79,15400,NYSE
BKN,12-Feb-2010,13.8,13.84,13.72,13.77,12600,NYSE
BKN,16-Feb-2010,13.79,13.89,13.75,13.88,20800,NYSE
BKN,17-Feb-2010,13.99,14.0,13.89,13.91,29600,NYSE
BKN,18-Feb-2010,13.95,14.0,13.82,13.82,18700,NYSE
BKN,19-Feb-2010,13.75,13.85,13.66,13.69,21400,NYSE
BKN,22-Feb-2010,13.64,13.64,13.26,13.4,125800,NYSE
BKN,23-Feb-2010,13.43,13.47,13.34,13.38,27100,NYSE
BKN,24-Feb-2010,13.41,13.54,13.41,13.47,36200,NYSE
BKN,25-Feb-2010,13.5,13.74,13.5,13.69,51600,NYSE
BKN,26-Feb-2010,13.68,13.72,13.59,13.61,23000,NYSE
BKN,01-Mar-2010,13.58,13.61,13.56,13.61,58500,NYSE
BKN,02-Mar-2010,13.65,13.8,13.65,13.78,61000,NYSE
BKN,03-Mar-2010,13.75,13.87,13.75,13.87,11800,NYSE
BKN,04-Mar-2010,13.8,14.0,13.8,13.9,22900,NYSE
BKN,05-Mar-2010,13.9,14.0,13.86,13.98,18100,NYSE
BKN,08-Mar-2010,13.9,13.95,13.85,13.88,26200,NYSE
BKN,09-Mar-2010,13.86,13.86,13.68,13.81,24000,NYSE
BKN,10-Mar-2010,13.76,13.84,13.76,13.84,16700,NYSE
BKN,11-Mar-2010,13.73,13.8,13.68,13.76,21600,NYSE
BKN,12-Mar-2010,13.8,13.8,13.71,13.72,15200,NYSE
BKN,15-Mar-2010,13.78,13.8,13.71,13.75,31900,NYSE
BKN,16-Mar-2010,13.72,13.81,13.69,13.77,37100,NYSE
BKN,17-Mar-2010,13.71,13.82,13.71,13.77,33400,NYSE
BKN,18-Mar-2010,13.8,13.92,13.78,13.86,23200,NYSE
BKN,19-Mar-2010,13.82,13.94,13.82,13.94,15200,NYSE
BKN,22-Mar-2010,13.84,14.0,13.84,13.94,43200,NYSE
BKN,23-Mar-2010,13.89,13.97,13.81,13.84,30300,NYSE
BKN,24-Mar-2010,13.84,13.91,13.76,13.86,30400,NYSE
BKN,25-Mar-2010,13.82,13.9,13.79,13.87,19700,NYSE
BKN,26-Mar-2010,13.82,13.91,13.81,13.86,18300,NYSE
BKN,29-Mar-2010,13.9,13.94,13.83,13.9,13500,NYSE
BKN,30-Mar-2010,13.9,13.94,13.84,13.9,10100,NYSE
BKN,31-Mar-2010,13.96,14.02,13.9,14.0,26000,NYSE
BKN,01-Apr-2010,14.03,14.12,14.03,14.09,14500,NYSE
BKN,05-Apr-2010,14.21,14.26,14.11,14.17,34400,NYSE
BKN,06-Apr-2010,14.12,14.22,14.11,14.16,23700,NYSE
BKN,07-Apr-2010,14.27,14.27,14.18,14.22,16600,NYSE
BKN,08-Apr-2010,14.17,14.22,14.16,14.21,18000,NYSE
BKN,09-Apr-2010,14.18,14.23,14.14,14.16,5000,NYSE
BKN,12-Apr-2010,14.22,14.22,14.16,14.2,25500,NYSE
BKN,13-Apr-2010,14.15,14.18,14.1,14.18,23200,NYSE
BKN,14-Apr-2010,14.13,14.22,14.12,14.19,11500,NYSE
BKN,15-Apr-2010,14.15,14.18,14.07,14.08,22900,NYSE
BKN,16-Apr-2010,14.07,14.1,13.9,13.9,41600,NYSE
BKN,19-Apr-2010,13.94,14.04,13.66,13.76,127000,NYSE
BKN,20-Apr-2010,13.79,13.88,13.76,13.82,29500,NYSE
BKN,21-Apr-2010,13.83,13.95,13.76,13.89,45700,NYSE
BKN,22-Apr-2010,13.9,13.9,13.82,13.9,20300,NYSE
BKN,23-Apr-2010,13.88,14.01,13.88,14.0,10500,NYSE
BKN,26-Apr-2010,13.97,14.11,13.97,14.06,11300,NYSE
BKN,27-Apr-2010,14.11,14.28,14.07,14.25,42100,NYSE
BKN,28-Apr-2010,14.26,14.35,14.21,14.27,27700,NYSE
BKN,29-Apr-2010,14.25,14.3,14.13,14.21,17000,NYSE
BKN,30-Apr-2010,14.25,14.26,14.19,14.23,4400,NYSE
BKN,03-May-2010,14.3,14.43,14.22,14.32,32900,NYSE
BKN,04-May-2010,14.38,14.5,14.29,14.39,29300,NYSE
BKN,05-May-2010,14.32,14.36,14.27,14.28,17600,NYSE
BKN,06-May-2010,14.27,14.29,13.89,14.03,35600,NYSE
BKN,07-May-2010,14.29,14.29,13.87,14.08,41500,NYSE
BKN,10-May-2010,14.12,14.23,14.11,14.22,40300,NYSE
BKN,11-May-2010,14.2,14.24,14.16,14.23,27700,NYSE
BKN,12-May-2010,14.2,14.2,14.09,14.14,43800,NYSE
BKN,13-May-2010,14.15,14.17,14.11,14.12,7900,NYSE
BKN,14-May-2010,14.15,14.17,14.01,14.1,14400,NYSE
BKN,17-May-2010,14.05,14.07,13.93,13.95,34100,NYSE
BKN,18-May-2010,14.01,14.12,14.01,14.09,22800,NYSE
BKN,19-May-2010,14.05,14.08,13.95,14.01,49800,NYSE
BKN,20-May-2010,13.95,13.96,13.57,13.76,31800,NYSE
BKN,21-May-2010,13.64,13.95,13.46,13.82,59000,NYSE
BKN,24-May-2010,13.79,13.98,13.79,13.98,36700,NYSE
BKN,25-May-2010,13.89,14.1,13.8,13.96,39300,NYSE
BKN,26-May-2010,14.1,14.1,13.98,14.04,16900,NYSE
BKN,27-May-2010,14.07,14.26,13.92,14.14,50800,NYSE
BKN,28-May-2010,14.16,14.24,14.09,14.14,28800,NYSE
BKN,01-Jun-2010,14.14,14.2,14.1,14.19,13200,NYSE
BKN,02-Jun-2010,14.16,14.28,14.16,14.28,22100,NYSE
BKN,03-Jun-2010,14.33,14.35,14.24,14.35,38300,NYSE
BKN,04-Jun-2010,14.27,14.35,14.27,14.29,11800,NYSE
BKN,07-Jun-2010,14.29,14.34,14.23,14.23,18500,NYSE
BKN,08-Jun-2010,14.2,14.27,14.16,14.2,12100,NYSE
BKN,09-Jun-2010,14.24,14.24,14.17,14.19,27300,NYSE
BKN,10-Jun-2010,14.19,14.23,14.19,14.23,11800,NYSE
BKN,11-Jun-2010,14.25,14.25,14.06,14.1,26400,NYSE
BKN,14-Jun-2010,14.06,14.24,14.0,14.2,50400,NYSE
BKN,15-Jun-2010,14.15,14.26,14.13,14.21,25800,NYSE
BKN,16-Jun-2010,14.29,14.29,14.14,14.18,19500,NYSE
BKN,17-Jun-2010,14.18,14.24,14.18,14.23,13700,NYSE
BKN,18-Jun-2010,14.26,14.27,14.2,14.25,13600,NYSE
BKN,21-Jun-2010,14.26,14.29,14.2,14.29,38900,NYSE
BKN,22-Jun-2010,14.23,14.29,14.15,14.18,38900,NYSE
BKN,23-Jun-2010,14.23,14.25,14.16,14.25,18700,NYSE
BKN,24-Jun-2010,14.27,14.33,14.27,14.33,18100,NYSE
BKN,25-Jun-2010,14.33,14.46,14.28,14.38,39600,NYSE
BKN,28-Jun-2010,14.38,14.38,14.25,14.28,22700,NYSE
BKN,29-Jun-2010,14.27,14.27,14.2,14.22,36400,NYSE
BKN,30-Jun-2010,14.22,14.34,14.21,14.3,33800,NYSE
BKN,01-Jul-2010,14.31,14.34,14.25,14.3,14100,NYSE
BKN,02-Jul-2010,14.3,14.41,14.3,14.4,14600,NYSE
BKN,06-Jul-2010,14.44,14.5,14.44,14.49,16200,NYSE
BKN,07-Jul-2010,14.49,14.57,14.44,14.5,37900,NYSE
BKN,08-Jul-2010,14.98,14.98,14.55,14.62,18800,NYSE
BKN,09-Jul-2010,14.65,14.65,14.52,14.6,17300,NYSE
BKN,12-Jul-2010,14.69,14.69,14.6,14.61,15700,NYSE
BKN,13-Jul-2010,14.54,14.6,14.47,14.53,11700,NYSE
BKN,14-Jul-2010,14.48,14.48,14.36,14.39,28000,NYSE
BKN,15-Jul-2010,14.42,14.42,14.41,14.41,3800,NYSE
