name,date,open_price,close_price,high_price,low_price,volume,market
BLH,04-Jan-2010,16.8,17.0,16.8,17.0,1500,NYSE
BLH,05-Jan-2010,17.0,17.42,16.87,17.1,6200,NYSE
BLH,06-Jan-2010,17.25,17.38,16.84,16.97,4100,NYSE
BLH,07-Jan-2010,16.84,16.84,16.72,16.75,9700,NYSE
BLH,08-Jan-2010,16.72,16.72,16.59,16.59,900,NYSE
BLH,11-Jan-2010,16.68,16.68,16.56,16.68,5000,NYSE
BLH,12-Jan-2010,16.8,16.85,16.6,16.76,5700,NYSE
BLH,13-Jan-2010,16.7,16.85,16.7,16.79,2300,NYSE
BLH,14-Jan-2010,16.75,16.75,16.7,16.7,1300,NYSE
BLH,15-Jan-2010,16.77,16.77,16.61,16.61,1800,NYSE
BLH,19-Jan-2010,16.67,16.75,16.62,16.65,2700,NYSE
BLH,20-Jan-2010,16.73,16.73,16.53,16.65,4700,NYSE
BLH,21-Jan-2010,16.69,16.69,16.52,16.61,5500,NYSE
BLH,22-Jan-2010,16.68,16.68,16.51,16.64,12400,NYSE
BLH,25-Jan-2010,16.65,16.69,16.58,16.61,6600,NYSE
BLH,26-Jan-2010,16.64,16.68,16.64,16.68,1400,NYSE
BLH,27-Jan-2010,16.72,16.72,16.62,16.7,2900,NYSE
BLH,28-Jan-2010,16.73,16.79,16.59,16.76,10800,NYSE
BLH,29-Jan-2010,16.76,17.01,16.76,16.9,8800,NYSE
BLH,01-Feb-2010,16.95,17.05,16.71,16.81,13800,NYSE
BLH,02-Feb-2010,16.75,16.78,16.64,16.76,9000,NYSE
BLH,03-Feb-2010,16.81,16.85,16.65,16.66,10700,NYSE
BLH,04-Feb-2010,16.75,16.76,16.58,16.58,11500,NYSE
BLH,05-Feb-2010,16.6,16.72,16.6,16.6,1800,NYSE
BLH,08-Feb-2010,16.65,16.65,16.59,16.6,3100,NYSE
BLH,09-Feb-2010,16.65,16.8,16.65,16.77,4300,NYSE
BLH,10-Feb-2010,16.75,16.8,16.66,16.8,3900,NYSE
BLH,11-Feb-2010,16.8,16.8,16.68,16.68,3200,NYSE
BLH,12-Feb-2010,16.75,16.75,16.65,16.75,1900,NYSE
BLH,16-Feb-2010,16.7,16.77,16.63,16.65,8300,NYSE
BLH,17-Feb-2010,16.66,16.74,16.6,16.74,17900,NYSE
BLH,18-Feb-2010,16.76,16.76,16.76,16.76,100,NYSE
BLH,19-Feb-2010,16.7,16.75,16.62,16.73,9400,NYSE
BLH,22-Feb-2010,16.78,16.79,16.65,16.75,5100,NYSE
