name,date,open_price,close_price,high_price,low_price,volume,market
BUD,04-Jan-2010,53.32,53.7,52.99,53.49,139500,NYSE
BUD,05-Jan-2010,53.33,53.34,52.6,52.85,141200,NYSE
BUD,06-Jan-2010,52.31,52.7,52.24,52.52,172600,NYSE
BUD,07-Jan-2010,51.63,51.63,50.97,51.24,310500,NYSE
BUD,08-Jan-2010,51.0,51.1,50.5,50.95,484700,NYSE
BUD,11-Jan-2010,51.45,51.62,51.28,51.41,119400,NYSE
BUD,12-Jan-2010,50.66,51.27,50.5,51.2,455300,NYSE
BUD,13-Jan-2010,51.87,52.23,51.49,51.79,223000,NYSE
BUD,14-Jan-2010,51.74,52.03,51.64,51.88,148000,NYSE
BUD,15-Jan-2010,51.5,51.61,50.15,50.49,411100,NYSE
BUD,19-Jan-2010,50.34,50.65,50.25,50.53,207400,NYSE
BUD,20-Jan-2010,49.48,49.69,48.7,49.27,448400,NYSE
BUD,21-Jan-2010,49.02,49.12,47.77,47.88,986300,NYSE
BUD,22-Jan-2010,48.72,49.4,47.92,48.06,764400,NYSE
BUD,25-Jan-2010,48.68,48.83,48.08,48.35,419700,NYSE
BUD,26-Jan-2010,47.58,48.65,47.44,48.11,159500,NYSE
BUD,27-Jan-2010,49.58,49.79,49.28,49.73,280900,NYSE
BUD,28-Jan-2010,50.35,50.39,48.75,49.07,210000,NYSE
BUD,29-Jan-2010,50.52,50.79,49.36,49.79,331000,NYSE
BUD,01-Feb-2010,50.27,50.74,50.2,50.65,249500,NYSE
BUD,02-Feb-2010,50.66,51.41,50.51,51.02,291200,NYSE
BUD,03-Feb-2010,51.07,51.21,50.53,50.99,201800,NYSE
BUD,04-Feb-2010,49.28,49.31,47.89,47.89,892500,NYSE
BUD,05-Feb-2010,46.81,47.09,45.55,46.43,565100,NYSE
BUD,08-Feb-2010,47.36,47.86,47.0,47.04,211500,NYSE
BUD,09-Feb-2010,47.71,49.1,47.66,48.52,259800,NYSE
BUD,10-Feb-2010,48.48,48.76,47.9,48.3,191200,NYSE
BUD,11-Feb-2010,48.67,49.29,48.12,49.13,186700,NYSE
BUD,12-Feb-2010,49.12,49.67,48.71,49.54,116900,NYSE
BUD,16-Feb-2010,49.11,50.32,48.9,50.21,115400,NYSE
