name,date,open_price,close_price,high_price,low_price,volume,market
CATO,04-Jan-2010,20.12,20.67,20.07,20.19,91600,NYSE
CATO,05-Jan-2010,20.1,21.4,19.83,20.6,176900,NYSE
CATO,06-Jan-2010,20.55,21.3,20.48,21.12,219500,NYSE
CATO,07-Jan-2010,21.53,21.62,20.77,21.11,190000,NYSE
CATO,08-Jan-2010,21.21,21.58,20.91,21.34,137500,NYSE
CATO,11-Jan-2010,21.7,21.92,21.5,21.65,101000,NYSE
CATO,12-Jan-2010,21.52,21.77,21.4,21.51,78700,NYSE
CATO,13-Jan-2010,21.52,21.99,21.52,21.84,65300,NYSE
CATO,14-Jan-2010,21.75,21.97,21.28,21.34,68200,NYSE
CATO,15-Jan-2010,21.34,21.67,20.82,20.99,115500,NYSE
CATO,19-Jan-2010,20.97,21.6,20.97,21.47,89600,NYSE
CATO,20-Jan-2010,21.26,21.45,20.82,20.93,97000,NYSE
CATO,21-Jan-2010,21.02,21.16,20.55,20.87,134800,NYSE
CATO,22-Jan-2010,20.85,21.24,20.69,20.72,101100,NYSE
CATO,25-Jan-2010,20.88,20.94,20.2,20.25,89700,NYSE
CATO,26-Jan-2010,20.13,20.36,19.6,19.67,96000,NYSE
CATO,27-Jan-2010,19.6,19.82,19.46,19.8,97000,NYSE
CATO,28-Jan-2010,19.87,19.87,19.17,19.57,118400,NYSE
CATO,29-Jan-2010,19.75,20.87,19.73,20.45,237400,NYSE
CATO,01-Feb-2010,20.57,20.62,20.25,20.54,76800,NYSE
CATO,02-Feb-2010,20.75,20.75,20.38,20.62,94600,NYSE
CATO,03-Feb-2010,20.5,20.72,20.1,20.32,51900,NYSE
CATO,04-Feb-2010,19.99,20.1,18.99,19.0,156300,NYSE
CATO,05-Feb-2010,19.1,19.14,18.53,19.05,97500,NYSE
CATO,08-Feb-2010,18.94,18.99,18.68,18.7,86000,NYSE
CATO,09-Feb-2010,19.0,19.37,18.58,19.29,98300,NYSE
CATO,10-Feb-2010,19.28,19.29,18.93,19.04,76000,NYSE
CATO,11-Feb-2010,18.93,19.37,18.7,19.31,148000,NYSE
CATO,12-Feb-2010,19.23,19.3,18.93,19.2,105700,NYSE
CATO,16-Feb-2010,19.4,19.4,18.9,19.33,70000,NYSE
CATO,17-Feb-2010,19.39,19.43,19.22,19.41,68200,NYSE
CATO,18-Feb-2010,19.45,19.8,19.13,19.79,52500,NYSE
CATO,19-Feb-2010,19.78,20.14,19.6,19.84,72800,NYSE
CATO,22-Feb-2010,19.83,20.02,19.45,19.62,108600,NYSE
CATO,23-Feb-2010,19.54,19.79,19.35,19.66,117300,NYSE
CATO,24-Feb-2010,19.66,20.23,19.66,20.18,57400,NYSE
CATO,25-Feb-2010,19.95,20.22,19.83,20.21,41800,NYSE
CATO,26-Feb-2010,20.28,20.28,19.6,19.6,90400,NYSE
CATO,01-Mar-2010,19.68,20.21,19.52,20.18,120700,NYSE
CATO,02-Mar-2010,20.15,20.42,19.88,20.08,177200,NYSE
CATO,03-Mar-2010,20.05,20.4,20.01,20.34,138400,NYSE
CATO,04-Mar-2010,20.33,21.05,20.33,21.04,75000,NYSE
CATO,05-Mar-2010,21.1,21.66,21.08,21.58,85800,NYSE
CATO,08-Mar-2010,21.66,21.87,21.49,21.56,48400,NYSE
CATO,09-Mar-2010,21.56,21.79,21.34,21.48,50000,NYSE
CATO,10-Mar-2010,21.54,21.82,21.37,21.53,58400,NYSE
CATO,11-Mar-2010,21.37,21.65,21.33,21.62,43300,NYSE
CATO,12-Mar-2010,21.76,21.76,21.35,21.63,54100,NYSE
CATO,15-Mar-2010,21.66,21.99,21.53,21.99,47800,NYSE
CATO,16-Mar-2010,22.0,22.0,21.52,21.69,98000,NYSE
CATO,17-Mar-2010,21.77,21.99,21.62,21.66,92300,NYSE
CATO,18-Mar-2010,21.57,21.76,20.57,20.98,220400,NYSE
CATO,19-Mar-2010,21.12,21.17,20.71,21.05,164300,NYSE
CATO,22-Mar-2010,21.0,21.78,20.88,21.68,70900,NYSE
CATO,23-Mar-2010,21.75,21.75,21.08,21.58,86200,NYSE
CATO,24-Mar-2010,21.56,21.6,21.18,21.26,102400,NYSE
CATO,25-Mar-2010,21.33,21.67,21.16,21.21,65200,NYSE
CATO,26-Mar-2010,21.35,21.57,21.19,21.33,64500,NYSE
CATO,29-Mar-2010,21.12,21.35,20.96,21.16,145200,NYSE
CATO,30-Mar-2010,21.12,21.48,21.08,21.43,100000,NYSE
CATO,31-Mar-2010,21.29,21.76,21.29,21.44,124100,NYSE
CATO,01-Apr-2010,21.52,22.13,21.41,22.13,133700,NYSE
CATO,05-Apr-2010,22.14,22.16,21.58,21.7,139900,NYSE
CATO,06-Apr-2010,21.65,21.66,21.34,21.44,195500,NYSE
CATO,07-Apr-2010,21.34,21.81,21.34,21.77,210700,NYSE
CATO,08-Apr-2010,22.17,23.88,22.1,23.67,397800,NYSE
CATO,09-Apr-2010,23.84,23.91,23.28,23.6,103700,NYSE
CATO,12-Apr-2010,23.78,24.17,23.57,24.08,151500,NYSE
CATO,13-Apr-2010,24.07,24.15,23.68,23.76,112900,NYSE
