name,date,open_price,close_price,high_price,low_price,volume,market
CCJ,04-Jan-2010,32.88,33.74,32.88,33.24,1158500,NYSE
CCJ,05-Jan-2010,33.48,33.68,32.63,32.88,1570700,NYSE
CCJ,06-Jan-2010,32.86,33.11,32.59,32.75,2076500,NYSE
CCJ,07-Jan-2010,32.64,32.88,31.4,32.04,2322100,NYSE
CCJ,08-Jan-2010,32.1,32.26,31.48,32.21,1823100,NYSE
CCJ,11-Jan-2010,32.43,32.61,31.66,31.91,1347100,NYSE
CCJ,12-Jan-2010,31.48,31.74,30.99,31.21,1425300,NYSE
CCJ,13-Jan-2010,31.35,31.44,30.51,31.1,1698200,NYSE
CCJ,14-Jan-2010,31.26,31.36,30.97,31.11,1544000,NYSE
CCJ,15-Jan-2010,31.13,31.31,30.26,30.54,1932000,NYSE
CCJ,19-Jan-2010,30.55,30.88,30.44,30.84,1408800,NYSE
CCJ,20-Jan-2010,30.52,30.52,29.75,30.02,1344500,NYSE
CCJ,21-Jan-2010,29.98,30.07,29.06,29.15,1897400,NYSE
CCJ,22-Jan-2010,29.08,29.09,28.2,28.36,2230600,NYSE
CCJ,25-Jan-2010,28.5,29.07,28.37,28.62,1385600,NYSE
CCJ,26-Jan-2010,28.1,28.83,27.77,28.43,1802600,NYSE
CCJ,27-Jan-2010,28.29,28.88,27.77,28.11,2352800,NYSE
CCJ,28-Jan-2010,28.3,28.48,27.51,28.01,1765000,NYSE
CCJ,29-Jan-2010,28.25,28.92,26.87,27.07,2901400,NYSE
CCJ,01-Feb-2010,27.39,27.94,27.3,27.89,1784900,NYSE
CCJ,02-Feb-2010,28.44,28.44,27.81,28.2,1892700,NYSE
CCJ,03-Feb-2010,28.16,28.3,27.34,27.37,2287800,NYSE
CCJ,04-Feb-2010,27.06,27.06,25.91,25.98,3579700,NYSE
CCJ,05-Feb-2010,25.87,26.41,25.31,26.35,3155900,NYSE
CCJ,08-Feb-2010,26.49,26.49,25.7,25.76,2226500,NYSE
CCJ,09-Feb-2010,26.3,27.14,26.13,27.01,3508200,NYSE
CCJ,10-Feb-2010,27.04,27.38,26.79,27.0,2019500,NYSE
CCJ,11-Feb-2010,27.12,28.01,26.94,27.93,2390200,NYSE
CCJ,12-Feb-2010,27.65,27.85,27.19,27.56,2815400,NYSE
CCJ,16-Feb-2010,28.06,28.25,27.76,28.12,2370400,NYSE
CCJ,17-Feb-2010,28.29,28.5,27.89,28.33,1918600,NYSE
CCJ,18-Feb-2010,28.21,28.87,28.21,28.75,1970600,NYSE
CCJ,19-Feb-2010,28.81,29.65,28.71,29.18,2242600,NYSE
CCJ,22-Feb-2010,29.56,29.65,29.16,29.25,2101800,NYSE
CCJ,23-Feb-2010,29.19,29.51,27.95,28.16,2633500,NYSE
CCJ,24-Feb-2010,28.23,28.65,27.97,28.23,2129300,NYSE
CCJ,25-Feb-2010,27.42,27.9,26.45,27.77,3459100,NYSE
CCJ,26-Feb-2010,27.81,27.81,27.16,27.48,2097100,NYSE
CCJ,01-Mar-2010,27.5,27.9,27.28,27.82,1688500,NYSE
CCJ,02-Mar-2010,27.93,27.98,27.65,27.74,1830700,NYSE
CCJ,03-Mar-2010,27.6,27.71,26.79,27.2,4726700,NYSE
CCJ,04-Mar-2010,27.2,27.44,26.95,27.16,2160800,NYSE
CCJ,05-Mar-2010,27.36,27.6,27.34,27.44,2183600,NYSE
CCJ,08-Mar-2010,27.53,27.71,27.34,27.5,1659800,NYSE
CCJ,09-Mar-2010,27.38,27.81,27.2,27.52,1495000,NYSE
CCJ,10-Mar-2010,27.53,27.98,27.52,27.93,3039200,NYSE
CCJ,11-Mar-2010,27.89,28.1,27.7,28.1,2374900,NYSE
CCJ,12-Mar-2010,28.34,28.4,28.0,28.21,2488000,NYSE
CCJ,15-Mar-2010,28.23,28.23,27.4,27.8,1446500,NYSE
CCJ,16-Mar-2010,27.93,28.09,27.73,28.05,1372700,NYSE
CCJ,17-Mar-2010,28.25,28.89,28.25,28.62,1989400,NYSE
CCJ,18-Mar-2010,28.75,28.82,27.92,28.06,1015500,NYSE
CCJ,19-Mar-2010,28.27,28.28,27.39,27.61,1588200,NYSE
CCJ,22-Mar-2010,27.24,27.6,26.99,27.57,982300,NYSE
CCJ,23-Mar-2010,27.51,27.73,27.37,27.64,1604600,NYSE
CCJ,24-Mar-2010,27.39,27.42,26.88,26.98,1571500,NYSE
CCJ,25-Mar-2010,27.19,27.43,26.6,26.64,1130800,NYSE
CCJ,26-Mar-2010,26.75,27.01,26.46,26.78,1258200,NYSE
CCJ,29-Mar-2010,27.0,27.38,26.83,27.36,957400,NYSE
CCJ,30-Mar-2010,27.49,27.65,27.21,27.45,1774200,NYSE
CCJ,31-Mar-2010,27.4,27.67,27.23,27.41,1255200,NYSE
CCJ,01-Apr-2010,27.64,27.67,26.59,26.7,3698100,NYSE
CCJ,05-Apr-2010,26.51,27.11,26.33,27.07,2457200,NYSE
CCJ,06-Apr-2010,26.95,27.33,26.85,27.04,1809600,NYSE
CCJ,07-Apr-2010,26.76,27.12,26.72,26.96,2052100,NYSE
CCJ,08-Apr-2010,26.71,27.07,26.47,27.03,1167300,NYSE
CCJ,09-Apr-2010,27.09,27.57,26.97,27.5,1310300,NYSE
CCJ,12-Apr-2010,27.46,27.47,27.14,27.33,1942700,NYSE
CCJ,13-Apr-2010,27.22,27.22,26.83,27.19,1672200,NYSE
CCJ,14-Apr-2010,27.21,27.22,26.86,26.99,1275100,NYSE
CCJ,15-Apr-2010,26.99,27.03,26.57,26.62,1420500,NYSE
CCJ,16-Apr-2010,26.55,26.59,25.73,26.08,2237300,NYSE
CCJ,19-Apr-2010,25.81,25.98,25.42,25.98,1519400,NYSE
CCJ,20-Apr-2010,26.31,26.32,26.01,26.1,1465500,NYSE
CCJ,21-Apr-2010,25.97,26.25,25.72,26.0,1030600,NYSE
CCJ,22-Apr-2010,25.8,25.8,25.43,25.71,1579200,NYSE
CCJ,23-Apr-2010,25.64,25.71,25.4,25.5,2482600,NYSE
CCJ,26-Apr-2010,25.47,25.69,25.27,25.47,2342700,NYSE
CCJ,27-Apr-2010,25.34,25.73,25.02,25.15,2145500,NYSE
CCJ,28-Apr-2010,25.33,25.33,24.5,24.92,2342000,NYSE
CCJ,29-Apr-2010,24.86,24.97,24.25,24.68,2695300,NYSE
CCJ,30-Apr-2010,24.6,25.24,24.49,24.61,3334600,NYSE
CCJ,03-May-2010,24.89,24.98,24.5,24.61,4179800,NYSE
CCJ,04-May-2010,24.36,24.5,23.92,24.41,2863500,NYSE
CCJ,05-May-2010,24.17,24.79,23.66,24.4,3465000,NYSE
CCJ,06-May-2010,24.19,24.51,22.41,23.54,3629200,NYSE
CCJ,07-May-2010,23.51,23.85,23.01,23.48,3560200,NYSE
CCJ,10-May-2010,24.38,24.6,24.02,24.36,2275600,NYSE
CCJ,11-May-2010,24.05,24.81,24.05,24.65,2650000,NYSE
CCJ,12-May-2010,24.85,25.46,24.83,25.29,2433100,NYSE
CCJ,13-May-2010,25.2,25.58,25.14,25.42,2209800,NYSE
CCJ,14-May-2010,25.15,25.15,24.39,25.09,2981900,NYSE
CCJ,17-May-2010,25.19,25.19,24.33,24.8,2760700,NYSE
CCJ,18-May-2010,25.17,25.44,24.95,24.97,3085400,NYSE
CCJ,19-May-2010,24.74,24.87,24.03,24.5,2943200,NYSE
CCJ,20-May-2010,23.52,23.89,22.98,23.52,3788300,NYSE
CCJ,21-May-2010,22.94,24.17,22.86,24.08,3602400,NYSE
CCJ,24-May-2010,24.1,24.28,23.8,23.87,2028500,NYSE
CCJ,25-May-2010,22.97,24.16,22.82,24.1,2683800,NYSE
