name,date,open_price,close_price,high_price,low_price,volume,market
CCM,04-Jan-2010,8.74,8.89,8.6,8.76,99800,NYSE
CCM,05-Jan-2010,8.88,9.43,8.76,9.42,229100,NYSE
CCM,06-Jan-2010,9.56,9.75,9.27,9.41,261600,NYSE
CCM,07-Jan-2010,9.4,9.95,9.32,9.87,292100,NYSE
CCM,08-Jan-2010,9.89,10.13,9.7,9.9,401500,NYSE
CCM,11-Jan-2010,10.0,10.15,9.5,9.68,122700,NYSE
CCM,12-Jan-2010,9.68,9.7,9.5,9.61,232800,NYSE
CCM,13-Jan-2010,9.56,9.71,9.45,9.56,92700,NYSE
CCM,14-Jan-2010,9.6,9.9,9.56,9.56,86300,NYSE
CCM,15-Jan-2010,9.6,9.84,9.45,9.82,214100,NYSE
CCM,19-Jan-2010,9.95,10.41,9.71,10.37,173800,NYSE
CCM,20-Jan-2010,9.84,10.7,9.84,10.42,790000,NYSE
CCM,21-Jan-2010,10.54,10.7,10.0,10.26,545500,NYSE
CCM,22-Jan-2010,10.39,10.39,10.0,10.13,373500,NYSE
CCM,25-Jan-2010,10.06,10.44,9.81,10.1,97500,NYSE
CCM,26-Jan-2010,9.96,10.23,9.83,9.95,140100,NYSE
CCM,27-Jan-2010,9.85,9.99,9.56,9.95,179900,NYSE
CCM,28-Jan-2010,9.9,10.01,9.84,9.85,145100,NYSE
CCM,29-Jan-2010,9.81,9.96,9.65,9.91,175800,NYSE
CCM,01-Feb-2010,9.9,9.9,9.52,9.7,133400,NYSE
CCM,02-Feb-2010,9.67,9.67,9.4,9.56,89000,NYSE
CCM,03-Feb-2010,9.54,9.65,9.41,9.49,25800,NYSE
CCM,04-Feb-2010,9.4,9.62,9.09,9.14,94700,NYSE
CCM,05-Feb-2010,9.02,9.02,8.27,8.47,105700,NYSE
CCM,08-Feb-2010,8.6,8.66,8.3,8.4,80400,NYSE
CCM,09-Feb-2010,8.41,8.44,8.16,8.33,149800,NYSE
CCM,10-Feb-2010,8.3,8.6,8.3,8.4,65100,NYSE
CCM,11-Feb-2010,8.74,8.81,8.25,8.41,81900,NYSE
CCM,12-Feb-2010,8.37,9.02,8.32,8.91,48300,NYSE
CCM,16-Feb-2010,8.89,8.89,8.51,8.7,47600,NYSE
CCM,17-Feb-2010,8.73,8.96,8.5,8.5,219800,NYSE
CCM,18-Feb-2010,8.59,8.84,8.51,8.6,81400,NYSE
CCM,19-Feb-2010,8.51,8.62,8.38,8.51,68300,NYSE
CCM,22-Feb-2010,8.53,8.7,8.5,8.52,22700,NYSE
CCM,23-Feb-2010,8.52,8.61,8.5,8.57,17000,NYSE
CCM,24-Feb-2010,8.58,8.6,8.5,8.57,15700,NYSE
CCM,25-Feb-2010,8.5,8.6,8.5,8.58,2900,NYSE
CCM,26-Feb-2010,8.6,8.6,8.5,8.56,16900,NYSE
CCM,01-Mar-2010,8.63,9.29,8.63,9.29,69300,NYSE
CCM,02-Mar-2010,9.4,9.41,8.96,9.3,145600,NYSE
CCM,03-Mar-2010,9.3,9.3,9.2,9.3,29700,NYSE
CCM,04-Mar-2010,9.2,9.22,8.86,9.06,42400,NYSE
CCM,05-Mar-2010,9.06,9.12,8.9,8.96,42300,NYSE
CCM,08-Mar-2010,8.91,9.0,8.82,8.98,33800,NYSE
CCM,09-Mar-2010,8.95,9.0,8.9,8.9,16200,NYSE
CCM,10-Mar-2010,8.82,9.0,8.77,8.8,16900,NYSE
CCM,11-Mar-2010,8.86,8.91,8.63,8.8,16700,NYSE
CCM,12-Mar-2010,8.82,8.93,8.56,8.58,104200,NYSE
CCM,15-Mar-2010,8.58,8.89,8.5,8.6,43400,NYSE
CCM,16-Mar-2010,8.6,8.66,8.28,8.38,102800,NYSE
CCM,17-Mar-2010,8.53,8.79,8.49,8.72,64300,NYSE
CCM,18-Mar-2010,8.62,9.05,8.62,8.7,65200,NYSE
CCM,19-Mar-2010,8.68,8.8,8.46,8.49,52000,NYSE
CCM,22-Mar-2010,8.31,8.4,7.81,7.82,92200,NYSE
CCM,23-Mar-2010,7.96,7.96,6.85,7.1,1684100,NYSE
CCM,24-Mar-2010,7.25,7.35,7.12,7.15,360700,NYSE
CCM,25-Mar-2010,7.15,7.18,6.8,6.99,321000,NYSE
CCM,26-Mar-2010,7.23,7.23,6.95,6.98,189900,NYSE
CCM,29-Mar-2010,7.0,7.17,6.94,7.05,275900,NYSE
CCM,30-Mar-2010,6.87,7.02,6.86,6.95,459200,NYSE
CCM,31-Mar-2010,6.93,7.03,6.72,6.81,100800,NYSE
CCM,01-Apr-2010,6.85,6.85,6.72,6.77,33800,NYSE
CCM,05-Apr-2010,6.76,6.82,6.74,6.78,46900,NYSE
CCM,06-Apr-2010,6.82,6.87,6.76,6.76,38000,NYSE
CCM,07-Apr-2010,6.78,6.84,6.75,6.8,80400,NYSE
CCM,08-Apr-2010,6.85,6.89,6.8,6.88,38200,NYSE
CCM,09-Apr-2010,6.88,7.1,6.88,6.99,82900,NYSE
CCM,12-Apr-2010,7.03,7.13,7.03,7.12,54100,NYSE
CCM,13-Apr-2010,7.07,7.13,7.06,7.11,21900,NYSE
CCM,14-Apr-2010,7.08,7.14,7.05,7.05,91300,NYSE
CCM,15-Apr-2010,7.11,7.27,7.06,7.23,132000,NYSE
CCM,16-Apr-2010,7.2,7.23,7.02,7.12,31800,NYSE
CCM,19-Apr-2010,7.15,7.22,7.06,7.15,39000,NYSE
CCM,20-Apr-2010,6.98,7.13,6.95,7.12,67300,NYSE
CCM,21-Apr-2010,7.18,7.18,7.02,7.04,20000,NYSE
CCM,22-Apr-2010,7.0,7.08,7.0,7.07,39000,NYSE
CCM,23-Apr-2010,7.04,7.1,7.03,7.08,45400,NYSE
CCM,26-Apr-2010,7.1,7.16,7.05,7.16,18000,NYSE
CCM,27-Apr-2010,7.2,7.44,7.2,7.37,161700,NYSE
CCM,28-Apr-2010,7.32,7.45,7.3,7.43,40100,NYSE
CCM,29-Apr-2010,7.47,7.5,7.33,7.43,40100,NYSE
CCM,30-Apr-2010,7.43,7.43,7.13,7.26,20600,NYSE
CCM,03-May-2010,7.25,7.39,7.15,7.26,63800,NYSE
CCM,04-May-2010,7.19,7.22,7.0,7.07,96200,NYSE
CCM,05-May-2010,7.13,7.15,7.0,7.11,73400,NYSE
CCM,06-May-2010,7.07,7.11,6.64,7.05,163400,NYSE
CCM,07-May-2010,7.02,7.11,6.9,6.98,39300,NYSE
CCM,10-May-2010,7.14,7.25,6.89,6.89,54100,NYSE
CCM,11-May-2010,6.88,6.94,6.72,6.75,41500,NYSE
CCM,12-May-2010,6.87,6.87,6.62,6.65,34900,NYSE
CCM,13-May-2010,6.69,6.77,6.65,6.71,6300,NYSE
CCM,14-May-2010,6.71,6.73,6.61,6.62,17200,NYSE
CCM,17-May-2010,6.61,6.71,6.5,6.61,67100,NYSE
CCM,18-May-2010,6.61,6.65,6.57,6.6,32100,NYSE
CCM,19-May-2010,6.84,6.84,6.51,6.53,19500,NYSE
CCM,20-May-2010,6.5,6.52,6.1,6.28,37100,NYSE
CCM,21-May-2010,6.17,6.4,5.98,6.23,41400,NYSE
CCM,24-May-2010,6.23,6.23,5.76,6.1,35000,NYSE
CCM,25-May-2010,6.09,6.1,5.95,6.03,24900,NYSE
CCM,26-May-2010,6.25,6.33,6.09,6.11,21900,NYSE
CCM,27-May-2010,6.25,6.48,6.22,6.39,72700,NYSE
CCM,28-May-2010,6.54,6.54,6.22,6.39,27400,NYSE
CCM,01-Jun-2010,6.32,6.41,6.25,6.33,19300,NYSE
CCM,02-Jun-2010,6.33,6.39,6.31,6.31,14400,NYSE
CCM,03-Jun-2010,6.41,6.41,6.1,6.26,58000,NYSE
CCM,04-Jun-2010,6.23,6.34,6.06,6.25,29800,NYSE
CCM,07-Jun-2010,6.24,6.25,5.71,6.12,55300,NYSE
CCM,08-Jun-2010,6.24,6.28,6.04,6.19,26700,NYSE
CCM,09-Jun-2010,6.23,6.23,6.03,6.08,8700,NYSE
CCM,10-Jun-2010,6.12,6.15,5.96,6.04,33500,NYSE
CCM,11-Jun-2010,6.0,6.0,5.75,5.9,19600,NYSE
CCM,14-Jun-2010,6.07,6.12,5.87,5.98,35300,NYSE
CCM,15-Jun-2010,5.9,6.16,5.74,6.03,78000,NYSE
CCM,16-Jun-2010,6.04,6.04,5.9,6.0,25500,NYSE
CCM,17-Jun-2010,6.12,6.12,6.0,6.0,2800,NYSE
CCM,18-Jun-2010,6.09,6.24,5.96,5.96,4400,NYSE
CCM,21-Jun-2010,6.17,6.29,5.91,5.96,71800,NYSE
CCM,22-Jun-2010,6.03,6.15,5.91,5.91,47100,NYSE
