name,date,open_price,close_price,high_price,low_price,volume,market
CEO,04-Jan-2010,158.48,161.32,157.93,161.32,248000,NYSE
CEO,05-Jan-2010,165.78,166.75,165.0,166.5,271500,NYSE
CEO,06-Jan-2010,167.93,169.64,167.01,169.36,244400,NYSE
CEO,07-Jan-2010,167.44,168.61,166.56,168.33,170400,NYSE
CEO,08-Jan-2010,169.0,169.7,167.12,169.42,154700,NYSE
CEO,11-Jan-2010,171.55,171.59,169.26,169.73,147500,NYSE
CEO,12-Jan-2010,168.55,168.55,164.58,165.94,196700,NYSE
CEO,13-Jan-2010,161.59,162.82,160.55,162.44,223100,NYSE
CEO,14-Jan-2010,159.94,160.66,159.53,159.86,251500,NYSE
CEO,15-Jan-2010,158.09,158.09,155.7,156.73,221500,NYSE
CEO,19-Jan-2010,157.46,159.32,156.5,159.13,150400,NYSE
CEO,20-Jan-2010,155.22,155.43,153.38,153.79,362700,NYSE
CEO,21-Jan-2010,153.07,153.61,148.51,149.22,287700,NYSE
CEO,22-Jan-2010,147.82,147.82,143.82,143.9,358400,NYSE
CEO,25-Jan-2010,147.55,147.99,145.52,146.81,237500,NYSE
CEO,26-Jan-2010,142.05,144.33,139.01,142.15,296900,NYSE
CEO,27-Jan-2010,141.14,143.57,140.51,142.9,285700,NYSE
CEO,28-Jan-2010,147.0,147.15,143.97,144.98,275900,NYSE
CEO,29-Jan-2010,143.93,144.7,139.41,139.83,284900,NYSE
CEO,01-Feb-2010,143.68,145.37,142.36,145.3,221200,NYSE
CEO,02-Feb-2010,147.0,151.48,146.78,150.74,438600,NYSE
CEO,03-Feb-2010,159.13,161.36,156.49,157.92,510200,NYSE
CEO,04-Feb-2010,154.0,154.21,149.0,149.12,256700,NYSE
CEO,05-Feb-2010,148.07,149.65,145.46,149.3,315400,NYSE
CEO,08-Feb-2010,147.27,148.59,144.75,145.34,242600,NYSE
CEO,09-Feb-2010,151.39,154.46,150.26,152.98,331700,NYSE
CEO,10-Feb-2010,155.79,156.77,153.45,156.2,392200,NYSE
CEO,11-Feb-2010,156.06,160.44,154.8,160.31,431500,NYSE
CEO,12-Feb-2010,155.0,156.16,153.63,155.15,253200,NYSE
CEO,16-Feb-2010,156.93,158.58,156.62,158.13,280600,NYSE
CEO,17-Feb-2010,158.54,159.54,157.32,158.54,234600,NYSE
CEO,18-Feb-2010,156.55,159.09,156.42,158.82,155600,NYSE
CEO,19-Feb-2010,154.76,155.86,154.27,155.0,278100,NYSE
CEO,22-Feb-2010,157.51,157.89,156.33,157.0,205100,NYSE
CEO,23-Feb-2010,158.27,158.7,155.6,155.93,195600,NYSE
CEO,24-Feb-2010,157.22,158.71,156.18,158.29,246000,NYSE
CEO,25-Feb-2010,154.2,155.95,152.07,155.48,306900,NYSE
CEO,26-Feb-2010,156.74,157.96,154.91,157.29,311900,NYSE
CEO,01-Mar-2010,158.43,158.77,156.22,156.92,231300,NYSE
CEO,02-Mar-2010,158.15,158.98,156.84,157.66,266300,NYSE
CEO,03-Mar-2010,159.19,160.19,158.0,158.15,138800,NYSE
CEO,04-Mar-2010,157.36,158.72,155.91,157.45,134700,NYSE
CEO,05-Mar-2010,160.3,162.04,159.32,161.93,157900,NYSE
CEO,08-Mar-2010,162.0,162.88,161.5,162.61,129300,NYSE
CEO,09-Mar-2010,162.3,164.48,161.15,163.07,129000,NYSE
CEO,10-Mar-2010,164.16,165.93,163.95,165.64,158000,NYSE
CEO,11-Mar-2010,165.57,166.61,163.36,166.38,282500,NYSE
CEO,12-Mar-2010,167.09,167.95,164.15,165.2,210900,NYSE
CEO,15-Mar-2010,165.8,166.02,163.34,165.54,216300,NYSE
CEO,16-Mar-2010,164.23,165.77,163.32,165.77,301000,NYSE
CEO,17-Mar-2010,167.21,167.99,166.4,167.08,157900,NYSE
CEO,18-Mar-2010,165.58,166.0,163.25,164.92,132600,NYSE
CEO,19-Mar-2010,163.5,163.52,160.51,161.38,222600,NYSE
CEO,22-Mar-2010,157.9,161.25,157.51,161.08,226600,NYSE
CEO,23-Mar-2010,161.24,161.49,160.1,161.12,229500,NYSE
CEO,24-Mar-2010,160.0,161.18,159.18,159.66,208700,NYSE
CEO,25-Mar-2010,160.16,160.88,157.01,157.39,205200,NYSE
CEO,26-Mar-2010,161.53,163.84,160.99,162.93,286600,NYSE
CEO,29-Mar-2010,163.86,166.54,163.86,166.48,259600,NYSE
CEO,30-Mar-2010,167.32,167.9,166.6,167.25,253800,NYSE
CEO,31-Mar-2010,163.43,166.67,163.43,165.08,273300,NYSE
CEO,01-Apr-2010,168.64,170.43,168.51,170.23,167900,NYSE
CEO,05-Apr-2010,170.32,173.09,170.32,172.53,144800,NYSE
CEO,06-Apr-2010,172.32,172.67,171.0,171.29,104900,NYSE
CEO,07-Apr-2010,178.19,178.33,175.66,176.42,327400,NYSE
CEO,08-Apr-2010,174.21,176.66,173.99,176.58,152300,NYSE
CEO,09-Apr-2010,179.32,180.88,178.55,179.78,177300,NYSE
CEO,12-Apr-2010,180.54,181.53,179.24,180.01,198400,NYSE
